Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,556,1,2024-03-28,HOU,,NYY,L 4-5,CG,5,4,1,1,0,0,0,0,0,0,1,2,.250,.400,.250,.650,1,0,0,0,0,0,.500,2.33,-0.206,2.27,-0.12%,-0.62,7.00,9.20,3,RF
2,557,2,2024-03-29,HOU,,NYY,L 1-7,CG,5,5,0,2,0,0,0,0,1,0,0,1,.333,.400,.333,.733,2,0,0,0,0,0,.500,1.19,0.064,1.09,0.04%,0.23,11.00,12.00,3,RF
3,558,3,2024-03-30,HOU,,NYY,L 3-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.231,.286,.231,.516,0,0,0,0,0,0,.000,0.88,-0.088,0.75,-0.05%,-0.89,0.00,0.00,3,RF
4,559,4,2024-03-31,HOU,,NYY,L 3-4,CG,5,4,1,2,1,0,0,1,0,0,1,1,.294,.368,.353,.721,3,0,0,0,0,0,.667,2.67,0.005,2.07,0.00%,0.93,14.00,18.70,3,RF
5,560,5,2024-04-01,HOU,,TOR,W 10-0,CG,4,3,2,2,0,0,2,4,0,0,1,1,.350,.435,.700,1.135,8,0,0,0,0,0,,0.37,0.182,0.27,0.08%,3.47,34.00,47.40,3,RF
6,561,6,2024-04-02,HOU,,TOR,L 1-2,CG,4,2,0,0,0,0,0,0,0,0,1,0,.318,.423,.636,1.059,0,1,0,0,0,0,.000,0.96,-0.066,0.78,-0.03%,-0.51,2.00,3.00,3,RF
7,562,7,2024-04-03,HOU,,TOR,W 8-0,GS-8,5,5,0,2,0,0,0,0,0,0,0,1,.333,.419,.593,1.012,2,0,0,0,0,0,.500,0.53,0.032,0.39,0.01%,0.00,6.00,6.00,3,RF
8,563,8,2024-04-05,HOU,@,TEX,L 2-10,CG,4,4,0,0,0,0,0,0,0,0,0,0,.290,.371,.516,.888,0,0,0,0,0,0,.000,0.37,-0.036,0.31,-0.02%,-1.02,0.00,0.00,3,RF
9,564,9,2024-04-06,HOU,@,TEX,L 2-7,CG,5,5,1,2,1,0,0,0,0,0,0,0,.306,.375,.528,.903,3,0,0,0,0,0,.400,0.89,-0.023,0.70,-0.01%,-0.68,10.00,12.20,3,RF
10,565,10,2024-04-07,HOU,@,TEX,W 3-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,.275,.341,.475,.816,0,0,0,0,0,0,.000,0.64,-0.063,0.46,-0.03%,-1.02,0.00,0.00,3,RF
11,566,11,2024-04-08,HOU,@,TEX,W 10-5,CG,5,4,1,1,0,0,0,2,0,0,1,1,.273,.347,.455,.801,1,0,0,0,0,0,.333,0.84,0.227,0.70,0.11%,1.46,11.00,16.20,3,RF
12,567,12,2024-04-09,HOU,@,KCR,L 3-4 (10),CG(10),5,5,0,2,0,0,0,0,0,0,0,1,.286,.352,.449,.801,2,0,0,0,0,0,.500,1.50,-0.034,1.17,-0.02%,0.38,6.00,6.00,3,DH
13,568,13,2024-04-10,HOU,@,KCR,L 2-11,CG,5,5,0,0,0,0,0,0,0,0,0,1,.259,.322,.407,.729,0,0,0,0,0,0,.000,0.57,-0.073,0.43,-0.03%,-1.37,0.00,0.00,3,RF
14,569,14,2024-04-11,HOU,@,KCR,L 3-13,CG,5,4,0,0,0,0,0,0,0,0,1,1,.241,.313,.379,.692,0,0,0,0,0,0,.000,0.48,-0.011,0.35,-0.01%,-1.41,2.00,3.00,3,RF
15,570,15,2024-04-12,HOU,,TEX,L 8-12,CG,5,4,2,2,0,0,2,3,0,0,1,1,.258,.333,.484,.817,8,0,0,0,0,0,.000,0.29,0.097,0.21,0.04%,2.34,32.00,43.90,3,RF
16,571,16,2024-04-13,HOU,,TEX,W 9-2,CG,5,3,1,2,2,0,0,3,0,0,2,0,.277,.365,.523,.888,4,0,0,0,0,1,.667,1.75,0.188,1.13,0.07%,3.06,22.00,31.70,3,RF
17,572,17,2024-04-14,HOU,,TEX,W 8-5,CG,4,2,1,0,0,0,0,0,0,0,2,0,.269,.372,.507,.879,0,0,0,0,0,0,.000,0.48,-0.003,0.35,0.00%,0.23,6.00,9.20,3,RF
18,573,18,2024-04-15,HOU,,ATL,L 1-6,CG,4,3,1,0,0,0,0,0,1,0,1,0,.257,.366,.486,.852,0,0,0,0,0,0,.000,1.20,-0.099,0.82,-0.04%,-0.39,9.00,12.20,3,RF
19,574,19,2024-04-16,HOU,,ATL,L 2-6,CG,4,3,1,1,0,0,1,1,0,0,1,0,.260,.372,.521,.893,4,0,0,0,0,0,.000,0.91,-0.068,0.56,-0.03%,0.54,16.00,21.70,3,RF
