Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,284,14,2024-04-12,STL,@,ARI,W 9-6,CG,5,4,1,1,0,0,1,2,0,0,1,1,.250,.400,1.000,1.400,4,0,0,0,0,0,.000,0.75,0.002,0.69,0.00%,1.23,18.00,25.20,6,LF
2,285,15,2024-04-13,STL,@,ARI,L 2-4,CG,4,3,0,1,0,0,0,1,0,0,1,0,.286,.444,.714,1.159,1,0,0,0,0,1,.333,2.04,0.041,1.92,0.02%,0.57,7.00,9.50,6,LF
3,286,16,2024-04-14,STL,@,ARI,L 0-5,CG,4,2,0,0,0,0,0,0,0,0,2,0,.222,.462,.556,1.017,0,0,0,0,0,0,.000,0.78,0.021,0.68,0.01%,0.33,4.00,6.00,6,RF
4,287,17,2024-04-15,STL,@,OAK,W 3-1,CG,4,3,1,1,1,0,0,0,0,0,0,0,.250,.438,.583,1.021,2,1,0,1,0,0,.333,0.79,0.017,0.62,0.01%,-0.22,7.00,9.20,3,LF
5,288,18,2024-04-16,STL,@,OAK,W 3-2,CG,4,3,0,0,0,0,0,0,0,0,1,2,.200,.400,.467,.867,0,0,0,0,0,0,.000,1.43,0.062,1.19,0.03%,0.33,2.00,3.00,6,LF
6,289,19,2024-04-17,STL,@,OAK,L 3-6,CG,4,3,1,1,0,0,0,0,1,0,1,0,.222,.417,.444,.861,1,1,0,0,0,0,.333,0.92,-0.041,0.79,-0.02%,-0.61,12.00,15.20,3,RF
7,290,20,2024-04-19,STL,,MIL,L 1-2 (10),CG(10),5,4,0,1,0,0,0,0,0,0,1,1,.227,.414,.409,.823,1,0,0,0,0,0,.333,1.59,-0.146,1.47,-0.08%,-0.54,5.00,6.00,3,RF LF
8,291,21,2024-04-20,STL,,MIL,L 5-12,CG,4,3,1,1,1,0,0,0,0,0,1,0,.240,.424,.440,.864,2,0,0,0,0,0,.333,0.51,0.046,0.44,0.02%,0.34,9.00,12.20,7,LF
9,292,22,2024-04-21,STL,,MIL,L 0-2,CG,4,4,0,1,0,0,0,0,0,0,0,1,.241,.405,.414,.819,1,0,0,0,0,0,.333,1.41,-0.047,1.15,-0.02%,-0.36,3.00,3.00,3,RF
10,293,23,2024-04-22,STL,,ARI,W 5-3,CG,4,4,0,1,0,0,0,2,0,0,0,0,.242,.390,.394,.784,1,0,0,0,0,0,.250,1.53,0.107,1.17,0.05%,0.97,7.00,10.00,3,RF
11,294,24,2024-04-23,STL,,ARI,L 1-14,CG,4,4,0,0,0,0,0,0,0,0,0,1,.216,.356,.351,.707,0,0,0,0,0,0,.000,0.76,-0.053,0.58,-0.02%,-0.89,0.00,0.00,5,RF
12,295,25,2024-04-24,STL,,ARI,W 5-1,CG,4,4,0,1,1,0,0,2,0,0,0,1,.220,.347,.366,.713,2,0,0,0,0,0,.333,1.03,-0.063,0.72,-0.03%,0.99,9.00,13.00,6,RF
13,296,26,2024-04-26,STL,@,NYM,W 4-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.200,.321,.333,.654,0,1,0,0,0,0,.000,0.73,-0.096,0.56,-0.04%,-1.31,0.00,0.00,3,RF
14,297,27,2024-04-27,STL,@,NYM,W 7-4,CG,5,4,0,0,0,0,0,0,1,0,1,0,.184,.310,.306,.616,0,0,0,0,0,0,.000,0.63,-0.041,0.50,-0.02%,-0.76,7.00,9.00,3,RF
15,298,28,2024-04-28,STL,@,NYM,L 2-4 (11),CG(11),4,4,0,1,1,0,0,0,0,0,0,0,.189,.306,.321,.627,2,0,0,0,0,0,.250,1.73,-0.005,1.44,0.00%,0.12,5.00,6.00,6,RF
16,299,29,2024-04-30 (1),STL,@,DET,W 2-1,CG,4,4,0,0,0,0,0,0,0,0,0,3,.175,.288,.298,.586,0,0,0,0,0,0,.000,1.44,-0.145,1.10,-0.07%,-0.72,0.00,0.00,3,CF RF
17,300,30,2024-04-30 (2),STL,@,DET,L 6-11,CG,5,4,1,1,1,0,0,0,0,0,1,2,.180,.296,.311,.607,2,0,0,0,0,0,.500,0.68,0.043,0.55,0.02%,0.34,9.00,12.20,3,CF RF
18,301,31,2024-05-01,STL,@,DET,L 1-4,CG,4,4,0,1,0,0,0,0,0,0,0,1,.185,.293,.308,.601,1,0,0,0,0,0,.333,0.88,0.004,0.68,0.00%,-0.18,3.00,3.00,3,CF RF
19,302,32,2024-05-03,STL,,CHW,W 3-0,CG,4,4,0,0,0,0,0,0,0,0,0,1,.174,.278,.290,.568,0,0,0,0,0,0,.000,0.48,-0.047,0.35,-0.02%,-1.00,0.00,0.00,7,RF
20,303,33,2024-05-04,STL,,CHW,L 5-6 (10),CG(10),5,5,0,0,0,0,0,0,0,0,0,1,.162,.262,.270,.532,0,0,0,0,0,0,.000,2.30,-0.414,1.80,-0.20%,-1.99,0.00,0.00,6,CF RF
21,304,34,2024-05-05,STL,,CHW,L 1-5,CG,3,3,0,1,0,0,0,0,0,0,0,0,.169,.264,.273,.537,1,0,0,0,0,0,.333,0.86,-0.038,0.62,-0.02%,-0.41,3.00,3.00,9,RF
22,305,35,2024-05-06,STL,,NYM,L 3-4,CG,3,3,0,1,1,0,0,0,0,0,0,0,.175,.267,.288,.554,2,0,0,0,0,0,.333,1.05,-0.010,0.76,0.00%,-0.34,5.00,6.00,9,RF
23,306,36,2024-05-07,STL,,NYM,L 5-7,CG,5,2,2,1,0,0,1,1,0,0,3,0,.183,.295,.329,.624,4,0,0,0,0,0,.000,1.00,0.136,0.68,0.06%,1.62,22.00,30.90,2,RF
24,307,37,2024-05-09,STL,@,MIL,L 1-7,CG,5,5,1,1,0,0,1,1,0,0,0,0,.184,.290,.356,.646,4,0,0,0,0,0,.000,0.89,-0.047,0.59,-0.02%,-0.48,14.00,18.70,2,LF
25,308,38,2024-05-10,STL,@,MIL,L 2-11,CG,4,4,0,0,0,0,0,0,0,0,0,3,.176,.279,.341,.620,0,0,0,0,0,0,.000,0.44,-0.045,0.27,-0.02%,-0.75,0.00,0.00,2,LF
26,309,39,2024-05-11,STL,@,MIL,L 3-5,CG,5,5,0,3,0,0,0,2,0,0,0,1,.198,.294,.354,.648,3,0,0,0,0,0,.750,1.53,0.193,0.84,0.06%,1.35,13.00,16.00,2,CF RF
27,310,40,2024-05-12,STL,@,MIL,W 4-3,CG,5,3,0,1,0,0,0,1,0,0,2,0,.202,.307,.354,.661,1,0,0,0,0,0,.333,1.42,0.135,0.71,0.04%,1.52,9.00,12.50,2,RF
28,311,41,2024-05-13,STL,@,LAA,W 10-5,CG,5,3,1,0,0,0,0,0,0,0,2,1,.196,.311,.343,.654,0,0,0,0,0,0,.000,1.25,0.045,0.59,0.01%,0.09,6.00,9.20,2,RF
29,312,42,2024-05-14,STL,@,LAA,W 7-6,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.194,.308,.340,.648,0,0,0,0,0,0,,0.90,-0.026,0.49,-0.01%,-0.36,0.00,0.00,6,PH RF
30,313,43,2024-05-15,STL,@,LAA,L 2-7,CG,5,4,0,2,1,0,0,0,0,0,1,0,.206,.320,.355,.675,3,0,0,0,0,0,.500,0.36,0.032,0.21,0.01%,0.55,10.00,12.00,2,RF
31,314,44,2024-05-17,STL,,BOS,W 10-6,CG,5,3,3,1,0,0,1,2,0,0,2,0,.209,.331,.382,.713,4,0,0,0,0,0,.000,0.70,0.097,0.38,0.03%,1.41,24.00,34.60,2,RF
32,315,45,2024-05-18,STL,,BOS,W 7-2,CG,5,5,0,2,0,0,0,2,0,0,0,1,.217,.333,.383,.716,2,0,0,0,0,0,.500,1.23,0.084,0.77,0.03%,2.07,10.00,13.00,2,CF RF
33,316,46,2024-05-19,STL,,BOS,L 3-11,CG,4,4,1,1,0,0,1,1,0,0,0,1,.218,.331,.403,.734,4,0,0,0,0,0,.000,0.36,0.043,0.22,0.02%,0.30,14.00,18.70,2,CF RF
34,317,47,2024-05-20,STL,,BAL,W 6-3,CG,5,3,0,0,0,0,0,0,0,0,2,1,.213,.333,.393,.727,0,0,0,0,0,0,.000,0.53,0.026,0.32,0.01%,0.23,4.00,6.00,2,RF
35,318,48,2024-05-21,STL,,BAL,W 3-1,GS-2,1,1,0,0,0,0,0,0,0,0,0,1,.211,.331,.390,.721,0,0,0,0,0,0,,0.62,-0.015,0.38,-0.01%,-0.16,0.00,0.00,2,RF
36,319,49,2024-05-22,STL,,BAL,W 5-4,CG,4,4,0,1,0,0,0,1,0,0,0,2,.213,.329,.386,.715,1,0,0,0,0,0,.500,0.84,0.027,0.56,0.01%,0.21,5.00,6.50,2,RF
37,320,50,2024-05-25,STL,,CHC,W 7-6,CG,5,5,1,3,0,1,0,1,1,0,0,2,.227,.338,.409,.747,5,0,0,0,0,0,1.000,1.22,0.142,1.00,0.07%,2.02,23.00,27.70,2,RF
38,321,53,2024-05-28,STL,@,CIN,W 7-1,CG,5,5,0,1,0,0,0,0,0,0,0,2,.226,.333,.401,.735,1,0,0,0,0,0,.333,0.49,-0.061,0.43,-0.03%,-0.95,3.00,3.00,2,RF
39,322,54,2024-05-29,STL,@,CIN,W 5-3,GS-8,4,4,0,2,0,0,0,0,0,0,0,1,.234,.337,.404,.742,2,0,0,0,0,0,.667,0.81,-0.054,0.76,-0.03%,-0.66,6.00,6.00,2,RF
40,323,90,2024-07-08,STL,@,WSN,W 6-0,CG,4,4,0,1,0,0,0,0,0,0,0,2,.234,.335,.400,.735,1,0,0,0,0,0,.500,0.55,-0.038,0.62,-0.03%,-0.72,3.00,3.00,7,RF
41,324,91,2024-07-10 (1),STL,,KCR,L 4-6,CG,4,4,0,0,0,0,0,0,0,0,0,1,.228,.327,.389,.717,0,0,0,0,0,0,.000,0.84,-0.092,0.97,-0.06%,-0.70,0.00,0.00,7,CF
42,325,92,2024-07-10 (2),STL,,KCR,L 5-8,CG,4,4,2,2,1,0,1,1,0,0,0,0,.235,.331,.418,.750,6,0,0,0,0,0,.333,1.18,0.077,1.28,0.05%,0.95,21.00,27.90,5,RF
43,326,93,2024-07-12,STL,,CHC,L 1-5,CG,4,4,0,2,0,0,0,0,0,0,0,1,.242,.335,.420,.756,2,0,0,0,0,0,.667,0.93,0.006,1.12,0.00%,-0.50,6.00,6.00,7,RF
44,327,94,2024-07-13 (1),STL,,CHC,W 11-3,CG,5,5,1,0,0,0,0,0,0,0,0,1,.235,.326,.407,.734,0,0,0,0,0,0,.000,0.39,0.083,0.44,0.06%,-0.32,2.00,3.20,4,RF
45,328,95,2024-07-13 (2),STL,,CHC,W 5-4,CG,4,4,0,1,0,0,0,0,0,0,0,0,.235,.324,.404,.728,1,0,0,0,0,0,.250,1.12,-0.036,1.35,-0.03%,-0.57,3.00,3.00,7,CF RF
46,329,96,2024-07-14,STL,,CHC,L 3-8,CG,4,4,0,0,0,0,0,0,0,0,0,1,.229,.318,.394,.712,0,0,0,0,0,0,.000,1.23,-0.145,1.55,-0.11%,-1.56,0.00,0.00,6,CF
47,330,97,2024-07-20 (1),STL,@,ATL,L 2-3 (10),CG(10),4,3,0,2,0,0,0,0,0,0,1,0,.237,.327,.399,.725,2,0,0,0,0,0,.667,1.23,0.101,1.52,0.08%,0.63,8.00,9.00,7,RF
48,331,98,2024-07-20 (2),STL,@,ATL,W 9-5,CG,4,4,0,1,1,0,0,0,1,0,0,1,.237,.325,.401,.726,2,1,0,0,0,0,.333,0.77,-0.087,0.90,-0.06%,-0.43,10.00,12.00,7,RF
49,332,99,2024-07-21,STL,@,ATL,W 6-2,CG,4,3,1,1,0,0,1,1,0,0,1,1,.239,.328,.417,.745,4,0,0,0,0,0,.000,0.53,0.083,0.66,0.06%,0.92,16.00,21.70,6,RF
