Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,12,12,2023-04-11,CHW,@,MIN,L 3-4 (10),10-10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,,,,,5,PR
2,13,13,2023-04-12,CHW,@,MIN,L 1-3,CG,4,4,1,1,0,0,1,1,0,0,0,1,.250,.250,1.000,1.250,4,0,0,0,0,0,.000,0.62,-0.053,0.64,-0.03%,0.56,7,2B
3,14,14,2023-04-14,CHW,,BAL,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.125,.125,.500,.625,0,0,0,0,0,0,.000,0.75,-0.075,0.61,-0.04%,-1.36,7,2B
4,15,15,2023-04-15,CHW,,BAL,W 7-6 (10),CG(10),4,4,0,1,1,0,0,0,0,0,0,0,.167,.167,.500,.667,2,0,0,0,0,0,.250,0.99,-0.022,0.76,-0.01%,-0.37,8,2B
5,16,16,2023-04-16,CHW,,BAL,L 4-8,CG,4,4,0,1,0,0,0,0,0,0,0,2,.188,.188,.438,.625,1,0,0,0,0,0,.500,0.80,-0.059,0.65,-0.03%,-0.49,8,2B
6,17,17,2023-04-18 (1),CHW,,PHI,L 4-7,CG,4,4,1,1,0,0,0,0,0,0,0,0,.200,.200,.400,.600,1,0,0,0,0,0,.250,0.86,-0.048,0.65,-0.02%,-0.19,8,2B
7,18,18,2023-04-18 (2),CHW,,PHI,W 3-0,CG,3,3,0,0,0,0,0,0,0,0,0,0,.174,.174,.348,.522,0,0,0,0,0,0,.000,0.36,-0.029,0.25,-0.01%,-0.84,8,2B 3B
8,19,19,2023-04-19,CHW,,PHI,L 2-5,CG,3,3,0,0,0,0,0,0,0,0,0,1,.154,.154,.308,.462,0,0,0,0,0,0,.000,1.29,-0.099,0.98,-0.05%,-0.91,8,2B
9,20,20,2023-04-21,CHW,@,TBR,L 7-8,CG,5,4,0,1,0,0,0,1,0,0,1,1,.167,.194,.300,.494,1,0,0,0,0,0,.333,1.30,0.055,0.91,0.02%,0.28,9,2B 3B
10,21,21,2023-04-22,CHW,@,TBR,L 3-4 (10),8-GF(10),1,1,0,0,0,0,0,0,0,0,0,1,.161,.188,.290,.478,0,0,0,0,0,0,,3.42,-0.092,2.46,-0.04%,-0.36,9,2B
