Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,169,32,2025-05-03,SDP,@,PIT,W 2-1,CG,3,2,0,0,0,0,0,0,0,0,1,0,.000,.333,.000,.333,0,0,0,0,0,0,.000,0.99,-0.035,1.12,-0.02%,-0.35,2.00,3.00,5,DH
2,170,33,2025-05-04,SDP,@,PIT,W 4-0,GS-7,3,1,0,0,0,0,0,0,0,0,2,0,.000,.500,.000,.500,0,0,0,0,0,0,.000,0.71,0.004,0.79,0.00%,0.01,4.00,6.00,5,DH
3,171,34,2025-05-05,SDP,@,NYY,W 4-3,CG,4,3,0,0,0,0,0,0,0,0,1,1,.000,.400,.000,.400,0,0,0,0,0,0,.000,1.07,-0.099,1.18,-0.07%,-0.97,2.00,3.00,5,DH
4,172,50,2025-05-24,SDP,@,ATL,L 1-7,9-GF,1,0,0,0,0,0,0,0,0,0,1,0,.000,.455,.000,.455,0,0,0,0,0,0,,0.01,0.000,0.00,0.00%,0.13,2.00,3.00,9,PH
5,173,51,2025-05-25,SDP,@,ATL,W 5-3,CG,4,4,0,0,0,0,0,0,0,0,0,4,.000,.333,.000,.333,0,0,0,0,0,0,,0.75,-0.077,0.87,-0.05%,-0.94,0.00,0.00,8,DH
6,174,52,2025-05-26,SDP,,MIA,W 4-3 (11),GS-6,2,1,0,0,0,0,0,0,0,0,1,1,.000,.353,.000,.353,0,0,0,0,0,0,,1.23,0.017,1.43,0.01%,0.11,2.00,3.00,7,DH
7,175,56,2025-05-31,SDP,,PIT,L 0-5,GS-8,2,2,0,0,0,0,0,0,0,0,0,0,.000,.316,.000,.316,0,1,0,0,0,0,.000,0.91,-0.069,1.08,-0.05%,-0.63,0.00,0.00,7,DH
8,176,66,2025-06-10,SDP,,LAD,W 11-1,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.000,.300,.000,.300,0,0,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.33,0.00,0.00,5,PH DH
9,177,69,2025-06-14,SDP,@,ARI,L 7-8,CG,4,4,0,0,0,0,0,0,0,0,0,3,.000,.250,.000,.250,0,0,0,0,0,0,.000,1.85,-0.202,2.31,-0.15%,-1.70,0.00,0.00,8,DH
,,,,,,,6-3,,24,18,0,0,0,0,0,0,0,0,6,9,.000,.250,.000,.250,0,1,0,0,0,0,.000,1.00,-0.461,0.98,-0.33%,-4.66,12.00,18.00,,
