Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,8,2021-04-09,LAD,,WSN,W 1-0,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.55,-0.014,0.62,-0.01%,-0.25,9,RF
2,2,11,2021-04-13,LAD,,COL,W 7-0,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,0,,,,,,,,,4,RF
3,3,12,2021-04-14,LAD,,COL,W 4-2,6-GF,2,1,0,1,1,0,0,0,0,0,1,0,.500,.667,1.000,1.667,2,0,0,0,0,0,1.000,0.50,0.031,0.64,0.02%,0.63,9,RF LF
4,4,13,2021-04-15,LAD,,COL,W 7-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.167,.286,.333,.619,0,0,0,0,0,0,.000,0.92,-0.097,1.16,-0.07%,-0.98,8,LF
5,5,14,2021-04-16,LAD,@,SDP,W 11-6 (12),CG(12),6,6,1,2,0,0,1,2,0,0,0,1,.250,.308,.583,.891,5,0,0,0,0,0,.250,1.50,-0.030,2.10,-0.03%,0.14,8,LF
6,6,15,2021-04-17,LAD,@,SDP,W 2-0,CG,3,3,0,1,0,0,0,0,0,0,0,1,.267,.313,.533,.846,1,0,0,0,0,0,.500,0.86,-0.010,1.22,-0.01%,-0.12,7,RF LF
7,7,16,2021-04-18,LAD,@,SDP,L 2-5,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.267,.313,.533,.846,0,,0,0,,,,,,,,,7,LF
8,8,17,2021-04-19,LAD,@,SEA,L 3-4,6-GF,2,2,0,0,0,0,0,0,0,0,0,1,.235,.278,.471,.748,0,0,0,0,0,0,.000,2.80,-0.143,3.38,-0.10%,-0.67,8,PH RF
9,9,19,2021-04-22,LAD,,SDP,L 2-3,CG,4,4,0,1,0,0,0,0,0,0,0,2,.238,.273,.429,.701,1,0,0,0,0,0,.500,1.77,-0.052,2.49,-0.04%,-0.11,8,RF
10,10,20,2021-04-23,LAD,,SDP,L 1-6,GS-9,3,2,0,1,0,0,0,0,0,0,0,0,.261,.320,.435,.755,1,0,1,0,0,0,.500,0.87,0.050,1.21,0.04%,0.37,7,RF
11,11,21,2021-04-24,LAD,,SDP,W 5-4,7-8,1,1,0,0,0,0,0,0,0,0,0,1,.250,.308,.417,.724,0,0,0,0,0,0,,1.33,-0.041,1.92,-0.04%,-0.59,7,PH RF
12,12,22,2021-04-25,LAD,,SDP,L 7-8 (11),GS-8,4,3,0,0,0,0,0,0,0,0,0,2,.222,.300,.370,.670,0,0,1,0,0,0,.000,1.34,-0.091,1.91,-0.08%,-1.55,7,RF
13,13,23,2021-04-26,LAD,,CIN,L 3-5 (10),CG(10),5,4,0,0,0,0,0,0,0,0,0,3,.194,.286,.323,.608,0,0,1,0,0,0,.000,1.82,-0.184,2.22,-0.14%,-1.29,6,LF
14,14,25,2021-04-28,LAD,,CIN,W 8-0,CG,4,3,1,1,0,0,0,0,0,0,1,0,.206,.308,.324,.631,1,1,0,0,0,1,.333,0.70,-0.068,0.83,-0.05%,-0.88,7,RF
15,15,36,2021-05-11,LAD,,SEA,W 6-4,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.200,.300,.314,.614,0,0,0,0,0,0,,0.14,-0.004,0.15,0.00%,-0.11,9,PH LF
16,16,37,2021-05-12,LAD,,SEA,W 7-1,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.200,.300,.314,.614,0,,0,0,,,,,,,,,7,LF
17,17,38,2021-05-14,LAD,,MIA,W 9-6,7-8,1,1,0,0,0,0,0,0,0,0,0,0,.194,.293,.306,.598,0,0,0,0,0,0,.000,0.35,-0.009,0.40,-0.01%,-0.79,9,PH
