Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,789,1,2024-03-28,MIN,@,KCR,W 4-1,GS-7,2,2,1,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,1,0,0,0,0,0,1.000,0.71,0.029,0.72,0.02%,0.28,5.00,6.20,9,DH
2,790,2,2024-03-30,MIN,@,KCR,W 5-1,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.333,.333,.333,.667,0,0,0,0,0,0,,2.75,-0.078,2.83,-0.05%,-0.32,0.00,0.00,5,PH RF
3,791,3,2024-03-31,MIN,@,KCR,L 0-11,6-GF,2,2,0,1,0,0,0,0,0,0,0,1,.400,.400,.400,.800,1,0,0,0,0,0,1.000,0.02,-0.001,0.02,0.00%,-0.23,3.00,3.00,3,PH DH
4,792,4,2024-04-02,MIN,@,MIL,L 2-3,7-GF,2,1,0,0,0,0,0,0,0,0,1,0,.333,.429,.333,.762,0,1,0,0,0,0,.000,3.47,-0.150,3.27,-0.09%,-0.18,2.00,3.00,6,PH LF
5,793,5,2024-04-03,MIN,@,MIL,W 7-3,4-GF,3,3,0,0,0,0,0,0,0,0,0,1,.222,.300,.222,.522,0,0,0,0,0,0,.000,1.48,-0.114,1.33,-0.06%,-1.13,0.00,0.00,1,PH CF LF
6,794,6,2024-04-04,MIN,,CLE,L 2-4,6-GF,2,2,0,0,0,0,0,0,0,0,0,1,.182,.250,.182,.432,0,0,0,0,0,0,.000,1.39,-0.077,1.44,-0.05%,-0.46,0.00,0.00,7,PH LF
7,795,8,2024-04-08,MIN,,LAD,L 2-4,GS-8,3,3,1,2,0,0,1,2,0,0,0,0,.286,.333,.500,.833,5,0,0,0,0,0,.500,0.92,0.239,0.79,0.12%,2.02,19.00,25.20,1,RF LF
8,796,10,2024-04-10,MIN,,LAD,W 3-2,CG,4,3,0,0,0,0,0,0,0,0,1,2,.235,.316,.412,.728,0,0,0,0,0,0,.000,0.95,-0.031,0.70,-0.01%,-0.43,2.00,3.00,5,RF LF
9,797,11,2024-04-12,MIN,@,DET,L 2-8,CG,5,4,0,1,0,0,0,0,0,0,1,1,.238,.333,.381,.714,1,0,0,0,0,0,.333,0.35,-0.009,0.30,-0.01%,-0.11,5.00,6.00,1,RF
10,798,12,2024-04-13 (1),MIN,@,DET,W 11-5 (12),CG(12),6,5,1,0,0,0,0,0,0,0,1,0,.192,.300,.308,.608,0,0,0,0,0,0,.000,1.17,-0.256,1.00,-0.13%,-1.81,4.00,6.20,4,LF
11,799,13,2024-04-13 (2),MIN,@,DET,W 4-1,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.185,.290,.296,.587,0,0,0,0,0,0,,0.13,-0.003,0.12,0.00%,-0.23,0.00,0.00,7,RF
12,800,14,2024-04-14,MIN,@,DET,L 3-4,CG,4,4,0,1,0,0,0,0,0,0,0,0,.194,.286,.290,.576,1,0,0,0,0,0,.250,0.49,-0.010,0.47,-0.01%,-0.36,3.00,3.00,4,RF LF
13,801,15,2024-04-15,MIN,@,BAL,L 4-7,GS-7,3,3,0,1,0,0,0,0,0,0,0,0,.206,.289,.294,.584,1,0,0,0,0,0,.333,0.68,-0.024,0.59,-0.01%,-0.24,3.00,3.00,1,RF
14,802,16,2024-04-16,MIN,@,BAL,L 3-11,CG,4,3,0,0,0,0,0,0,0,0,1,1,.189,.286,.270,.556,0,0,0,0,0,0,.000,0.40,-0.032,0.34,-0.02%,-0.77,2.00,3.00,8,RF
