Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1182,1,2023-03-30,TEX,,PHI,W 11-7,CG,5,5,1,2,0,0,0,0,1,0,0,1,.400,.400,.400,.800,2,0,0,0,0,0,.500,1.01,0.103,0.90,0.06%,1.08,1,2B
2,1183,2,2023-04-01,TEX,,PHI,W 16-3,CG,6,5,2,1,0,0,1,2,0,0,0,2,.300,.273,.600,.873,4,0,0,0,1,0,.000,0.39,0.063,0.35,0.03%,1.06,1,2B
3,1184,3,2023-04-02,TEX,,PHI,W 2-1,CG,4,4,0,2,0,0,0,1,0,1,0,1,.357,.333,.571,.905,2,0,0,0,0,0,.667,1.15,0.048,1.07,0.03%,-0.17,1,2B
4,1185,4,2023-04-03,TEX,,BAL,L 0-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.278,.263,.444,.708,0,0,0,0,0,0,.000,1.15,-0.119,1.25,-0.08%,-1.04,1,2B
5,1186,5,2023-04-04,TEX,,BAL,L 2-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,.227,.217,.364,.581,0,0,0,0,0,0,.000,0.43,-0.044,0.44,-0.03%,-0.89,1,2B
6,1187,6,2023-04-05,TEX,,BAL,W 5-2,CG,4,3,0,1,0,0,0,0,0,0,1,1,.240,.259,.360,.619,1,0,0,0,0,0,.500,0.75,0.041,0.74,0.03%,0.48,1,2B
7,1188,7,2023-04-07,TEX,@,CHC,L 0-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.207,.226,.310,.536,0,1,0,0,0,0,.000,1.46,-0.160,1.38,-0.09%,-1.41,1,2B
8,1189,8,2023-04-08,TEX,@,CHC,L 3-10,CG,5,5,1,1,1,0,0,0,0,0,0,0,.206,.222,.324,.546,2,0,0,0,0,0,.200,0.86,-0.107,0.82,-0.06%,-0.74,1,2B
9,1190,9,2023-04-09,TEX,@,CHC,W 8-2,CG,5,5,1,2,1,0,0,3,0,0,0,1,.231,.244,.359,.603,3,0,0,0,0,0,.500,0.63,0.063,0.58,0.04%,0.93,1,2B
10,1191,10,2023-04-10,TEX,,KCR,W 11-2,GS-8,4,4,1,0,0,0,0,0,0,0,0,0,.209,.222,.326,.548,0,0,0,0,0,0,.000,0.68,-0.005,0.68,0.00%,-0.40,1,2B
11,1192,11,2023-04-11,TEX,,KCR,W 8-5 (10),CG(10),5,5,2,2,1,0,0,1,0,0,0,1,.229,.240,.354,.594,3,0,0,0,0,0,.500,1.02,0.067,1.07,0.04%,0.95,1,2B
12,1193,12,2023-04-12,TEX,,KCR,L 1-10,CG,4,4,0,0,0,0,0,0,0,0,0,1,.212,.222,.327,.549,0,0,0,0,0,0,.000,0.43,-0.043,0.46,-0.03%,-0.68,1,2B
13,1194,13,2023-04-14,TEX,@,HOU,W 6-2,CG,5,3,3,2,1,0,0,0,0,0,2,1,.236,.271,.364,.635,3,0,0,0,0,0,1.000,0.67,0.077,0.75,0.05%,1.77,1,2B
14,1195,14,2023-04-15,TEX,@,HOU,L 2-8,CG,4,4,0,1,0,0,0,1,0,0,0,0,.237,.270,.356,.626,1,0,0,0,0,0,.250,1.08,0.016,1.26,0.01%,0.01,1,2B
15,1196,15,2023-04-16,TEX,@,HOU,W 9-1,CG,5,5,1,2,0,0,1,4,0,0,0,0,.250,.279,.406,.686,5,0,0,0,0,0,.250,0.84,0.093,0.92,0.06%,3.20,1,2B
16,1197,16,2023-04-17,TEX,@,KCR,W 4-0,CG,4,3,2,1,0,0,1,1,0,0,1,0,.254,.292,.448,.739,4,0,0,0,0,0,.000,0.44,0.098,0.48,0.06%,1.28,1,2B
17,1198,17,2023-04-18,TEX,@,KCR,W 12-2,GS-8,5,3,2,2,0,0,1,3,0,0,2,0,.271,.325,.500,.825,5,0,0,0,0,0,.500,0.98,0.112,1.09,0.08%,3.07,1,2B
18,1199,18,2023-04-19,TEX,@,KCR,W 12-3,CG,6,5,2,3,0,0,0,2,1,0,0,0,.293,.341,.507,.848,3,0,0,0,0,0,.600,0.54,0.175,0.61,0.12%,1.68,1,2B
19,1200,19,2023-04-21,TEX,,OAK,L 4-5,CG,4,3,0,0,0,0,0,0,0,0,1,2,.282,.337,.487,.824,0,0,0,0,0,0,.000,1.01,0.008,1.18,0.01%,-0.46,1,2B
20,1201,20,2023-04-22,TEX,,OAK,W 18-3,GS-7,4,3,2,2,0,0,0,2,0,0,1,1,.296,.356,.494,.849,2,0,0,0,0,0,1.000,0.56,0.111,0.62,0.07%,1.41,1,2B
21,1202,21,2023-04-23,TEX,,OAK,W 5-2,CG,5,3,1,1,0,0,0,0,1,0,2,0,.298,.368,.488,.857,1,0,0,0,0,0,.333,0.63,0.059,0.74,0.04%,0.52,1,2B
22,1203,22,2023-04-24,TEX,@,CIN,L 6-7,CG,5,5,0,1,0,0,0,1,0,0,0,2,.292,.360,.472,.832,1,0,0,0,0,0,.333,1.09,-0.028,1.25,-0.02%,-0.03,1,2B
23,1204,23,2023-04-25,TEX,@,CIN,L 6-7,CG,5,4,1,1,0,0,1,1,0,0,1,1,.290,.362,.495,.857,4,0,0,0,0,0,.000,1.11,-0.037,1.28,-0.03%,0.29,1,2B
24,1205,24,2023-04-26,TEX,@,CIN,L 3-5,CG,5,4,1,0,0,0,0,0,0,0,1,2,.278,.355,.474,.829,0,0,0,0,0,0,.000,1.71,-0.156,1.89,-0.10%,-0.93,1,2B
25,1206,25,2023-04-27,TEX,,NYY,L 2-4,CG,4,4,1,2,1,0,0,0,0,0,0,1,.287,.360,.485,.845,3,0,0,0,0,0,.667,0.88,0.041,1.01,0.03%,0.46,1,2B
26,1207,26,2023-04-28,TEX,,NYY,W 5-2,CG,4,3,0,1,1,0,0,1,0,0,1,0,.288,.364,.490,.855,2,0,0,0,0,0,.333,0.61,0.071,0.68,0.05%,0.91,1,2B
27,1208,27,2023-04-29,TEX,,NYY,W 2-0,CG,4,4,0,0,0,0,0,0,0,0,0,1,.278,.352,.472,.825,0,0,0,0,0,0,.000,0.84,-0.102,0.96,-0.07%,-1.29,1,2B
28,1209,28,2023-04-30,TEX,,NYY,W 15-2,CG,5,4,1,0,0,0,0,0,1,0,1,0,.268,.346,.455,.802,0,0,0,0,0,0,.000,0.29,-0.024,0.35,-0.02%,-0.92,1,2B
29,1210,29,2023-05-02,TEX,,ARI,W 6-4,CG,4,3,1,2,1,0,0,1,0,0,1,0,.278,.359,.470,.828,3,0,0,0,0,0,.667,1.30,0.158,1.44,0.11%,1.72,1,2B
30,1211,30,2023-05-03,TEX,,ARI,L 7-12,CG,5,4,0,1,0,0,0,0,0,0,1,0,.277,.360,.462,.822,1,0,0,0,0,0,.250,0.88,-0.035,1.04,-0.03%,-0.66,1,2B
31,1212,31,2023-05-05,TEX,@,LAA,L 4-5 (10),CG(10),6,4,1,2,1,0,0,1,0,0,2,0,.285,.373,.472,.845,3,0,0,0,0,0,.500,1.46,0.178,1.97,0.14%,1.71,1,2B
32,1213,32,2023-05-06,TEX,@,LAA,W 10-1,CG,6,4,0,1,0,0,0,2,0,0,2,2,.283,.378,.465,.843,1,0,0,0,0,0,.500,0.61,0.048,0.83,0.04%,1.54,1,2B
33,1214,33,2023-05-07,TEX,@,LAA,W 16-8,CG,6,6,1,2,1,0,0,1,0,0,0,2,.286,.377,.466,.843,3,0,0,0,0,0,.500,0.49,0.066,0.68,0.06%,0.97,1,2B
34,1215,34,2023-05-08,TEX,@,SEA,W 2-1,CG,4,4,1,2,0,0,0,0,1,0,0,1,.292,.380,.467,.847,2,0,0,0,0,0,.667,1.01,0.045,1.39,0.04%,0.14,1,2B
35,1216,35,2023-05-09,TEX,@,SEA,L 0-5,CG,4,3,0,0,0,0,0,0,0,0,1,1,.286,.377,.457,.834,0,0,0,0,0,0,.000,1.00,-0.068,1.35,-0.06%,-0.44,1,2B
36,1217,36,2023-05-10,TEX,@,SEA,W 4-3,CG,5,5,1,2,0,0,1,2,0,0,0,2,.290,.377,.476,.853,5,0,0,0,0,0,.500,1.03,0.137,1.45,0.12%,1.05,1,2B
37,1218,37,2023-05-11,TEX,@,OAK,W 4-0,CG,4,4,1,1,0,0,1,1,0,0,0,1,.289,.374,.490,.864,4,0,0,0,0,0,.000,0.78,0.067,0.97,0.05%,0.32,1,2B
38,1219,38,2023-05-12,TEX,@,OAK,L 7-9 (10),CG(10),6,4,0,1,0,0,0,1,0,0,2,0,.288,.379,.484,.862,1,0,0,0,0,1,.250,1.76,0.052,2.10,0.04%,0.39,1,2B
39,1220,39,2023-05-13,TEX,@,OAK,W 5-0,CG,4,3,1,1,0,0,0,1,2,0,0,0,.288,.376,.481,.856,1,0,0,0,1,0,.250,0.94,0.095,1.19,0.07%,0.60,1,2B
40,1221,40,2023-05-14,TEX,@,OAK,W 11-3,CG,5,4,3,1,0,0,0,1,0,0,0,1,.288,.376,.475,.851,1,0,1,0,0,0,.333,0.74,0.091,0.94,0.07%,1.18,1,2B
41,1222,41,2023-05-15,TEX,,ATL,L 0-12,CG,5,5,0,3,0,0,0,0,0,0,0,0,.297,.382,.479,.861,3,0,0,0,0,0,.600,0.42,-0.001,0.52,0.00%,0.34,1,2B
42,1223,42,2023-05-16,TEX,,ATL,W 7-4,CG,4,4,1,1,0,0,0,1,0,0,0,0,.296,.379,.473,.853,1,0,0,0,0,0,.250,0.61,-0.031,0.74,-0.02%,0.42,1,2B
43,1224,43,2023-05-17,TEX,,ATL,L 5-6,CG,5,5,1,1,0,1,0,0,0,0,0,1,.293,.375,.477,.852,3,0,0,0,0,0,.250,1.28,-0.089,1.58,-0.07%,-0.49,1,2B
44,1225,44,2023-05-19,TEX,,COL,W 7-2,CG,5,5,1,1,0,0,0,0,0,0,0,1,.291,.371,.469,.840,1,0,0,0,0,0,.250,0.64,-0.025,0.79,-0.02%,-0.50,1,2B
45,1226,45,2023-05-20,TEX,,COL,W 11-5,CG,5,5,3,3,2,0,0,0,0,0,0,0,.299,.376,.484,.860,5,0,0,0,0,0,.600,0.23,0.068,0.29,0.05%,0.93,1,2B
46,1227,46,2023-05-21,TEX,,COL,W 13-3,GS-6,4,3,2,2,1,0,0,3,0,0,1,0,.305,.383,.492,.875,3,0,0,0,0,0,.667,0.64,0.139,0.83,0.11%,2.62,1,2B
47,1228,47,2023-05-22,TEX,@,PIT,L 4-6,CG,4,4,0,1,0,0,0,1,0,0,0,0,.304,.381,.487,.868,1,0,0,0,0,0,.250,1.12,-0.061,1.37,-0.05%,0.20,1,2B
48,1229,48,2023-05-23,TEX,@,PIT,W 6-1,CG,5,5,1,1,0,1,0,0,0,0,0,1,.301,.377,.490,.866,3,0,0,0,0,0,.250,0.52,0.042,0.65,0.03%,-0.31,1,2B
49,1230,49,2023-05-24,TEX,@,PIT,W 3-2,CG,5,5,1,1,0,0,1,1,0,0,0,1,.299,.373,.498,.870,4,0,0,0,0,0,.000,1.22,-0.023,1.56,-0.02%,-0.36,1,2B
50,1231,50,2023-05-26,TEX,@,BAL,W 12-2,CG,5,5,1,1,0,0,0,0,0,0,0,1,.296,.369,.490,.859,1,0,0,0,0,0,.250,0.49,-0.022,0.66,-0.02%,0.35,1,2B
51,1232,51,2023-05-27,TEX,@,BAL,W 5-3,CG,5,5,0,2,0,0,0,2,0,0,0,0,.299,.370,.488,.858,2,0,0,0,0,0,.400,0.63,0.019,0.82,0.02%,1.23,1,2B
52,1233,52,2023-05-28,TEX,@,BAL,L 2-3,CG,4,4,0,1,1,0,0,1,0,0,0,1,.298,.368,.488,.856,2,0,0,0,0,0,.333,1.49,0.040,1.92,0.03%,0.51,1,2B
53,1234,53,2023-05-29,TEX,@,DET,W 5-0,CG,5,3,1,1,0,0,0,1,0,0,1,1,.298,.368,.486,.855,1,0,0,0,1,0,.333,0.82,-0.032,1.09,-0.03%,-0.17,1,2B
54,1235,54,2023-05-30,TEX,@,DET,W 10-6,CG,5,5,1,1,1,0,0,0,0,0,0,1,.296,.365,.484,.849,2,0,0,0,0,0,.250,0.85,0.051,1.13,0.04%,0.18,1,2B
55,1236,55,2023-05-31,TEX,@,DET,L 2-3,CG,5,4,0,1,1,0,0,0,0,0,1,0,.295,.366,.485,.850,2,0,0,0,0,0,.250,1.91,-0.036,2.32,-0.03%,-0.70,1,2B
56,1237,56,2023-06-02,TEX,,SEA,W 2-0,CG,4,4,1,1,0,0,0,0,0,0,0,1,.294,.364,.481,.845,1,0,0,0,0,0,.333,0.87,-0.003,1.21,0.00%,-0.33,1,2B
57,1238,57,2023-06-03,TEX,,SEA,W 16-6,CG,6,6,4,4,2,0,1,3,0,0,0,0,.304,.371,.506,.877,9,0,0,0,0,0,.600,0.37,0.116,0.52,0.10%,2.74,1,2B
58,1239,58,2023-06-04,TEX,,SEA,W 12-3,CG,5,4,1,1,1,0,0,0,0,0,1,0,.303,.371,.506,.878,2,0,0,0,0,0,.250,0.27,0.046,0.35,0.04%,0.09,1,2B
59,1240,59,2023-06-05,TEX,,STL,W 4-3,CG,5,4,1,2,0,0,0,1,0,0,1,0,.306,.375,.506,.882,2,0,0,0,0,0,.500,0.98,0.083,1.08,0.06%,0.65,1,2B
60,1241,60,2023-06-06,TEX,,STL,W 6-4,CG,5,5,0,1,1,0,0,2,0,0,0,0,.304,.372,.504,.876,2,0,0,0,0,0,.200,1.18,0.137,1.29,0.09%,1.28,1,2B
61,1242,61,2023-06-07,TEX,,STL,L 0-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.299,.367,.496,.863,0,0,0,0,0,0,.000,1.01,-0.105,1.04,-0.07%,-0.88,1,2B
62,1243,62,2023-06-09,TEX,@,TBR,L 3-8,CG,4,4,0,0,0,0,0,0,0,0,0,2,.295,.362,.488,.850,0,0,0,0,0,0,.000,0.60,-0.063,0.68,-0.04%,-0.79,1,2B
63,1244,63,2023-06-10,TEX,@,TBR,W 8-4,CG,5,5,1,2,0,0,0,0,0,0,0,1,.297,.363,.487,.849,2,0,0,0,0,0,.500,0.74,0.014,0.84,0.01%,-0.19,1,2B
64,1245,64,2023-06-11,TEX,@,TBR,L 3-7,CG,4,4,1,1,1,0,0,1,0,0,0,0,.296,.361,.487,.848,2,0,0,0,0,0,.250,0.76,0.101,0.84,0.07%,0.98,1,2B
65,1246,65,2023-06-12,TEX,,LAA,L 6-9 (12),CG(12),7,7,0,0,0,0,0,0,0,0,0,2,.288,.353,.474,.827,0,0,0,0,0,0,.000,1.58,-0.309,2.18,-0.26%,-2.35,1,2B
66,1247,66,2023-06-13,TEX,,LAA,L 3-7,CG,5,4,0,0,0,0,0,0,0,0,1,0,.284,.350,.468,.818,0,0,0,0,0,0,.000,0.93,-0.085,1.41,-0.08%,-0.49,1,2B
67,1248,67,2023-06-14,TEX,,LAA,W 6-3,CG,5,5,1,2,0,0,1,2,0,0,0,0,.286,.351,.477,.828,5,0,0,0,0,0,.250,0.84,0.342,1.33,0.33%,1.30,1,2B
68,1249,68,2023-06-15,TEX,,LAA,L 3-5,GS-8,4,3,0,0,0,0,0,0,0,0,1,1,.283,.350,.472,.822,0,0,0,0,0,0,.000,1.54,-0.153,2.38,-0.14%,-0.68,1,2B
69,1250,69,2023-06-16,TEX,,TOR,L 1-2,CG,4,4,0,1,1,0,0,0,0,0,0,0,.283,.349,.472,.821,2,0,0,0,0,0,.250,1.23,-0.057,1.71,-0.05%,-0.05,1,2B
70,1251,70,2023-06-17,TEX,,TOR,W 4-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.279,.345,.466,.811,0,0,0,0,0,0,.000,0.79,-0.081,1.11,-0.07%,-0.96,1,2B
71,1252,71,2023-06-18,TEX,,TOR,W 11-7,CG,5,4,1,1,1,0,0,1,0,0,0,0,.279,.342,.466,.809,2,0,0,0,1,0,.200,0.88,-0.090,1.19,-0.07%,-1.08,1,2B
72,1253,72,2023-06-19,TEX,@,CHW,W 5-2,CG,5,5,1,1,0,0,0,0,0,0,0,1,.277,.340,.462,.802,1,0,0,0,0,0,.250,0.72,-0.028,0.87,-0.02%,-0.64,1,2B
73,1254,73,2023-06-20,TEX,@,CHW,L 6-7,CG,5,4,0,1,0,0,0,0,0,0,1,1,.277,.341,.459,.800,1,0,0,0,0,0,.333,2.03,0.007,2.36,0.01%,-0.01,1,2B
74,1255,74,2023-06-21,TEX,@,CHW,W 6-3,CG,5,5,1,1,0,0,0,0,0,0,0,0,.276,.339,.455,.794,1,0,0,0,0,0,.200,0.53,-0.023,0.67,-0.02%,-0.67,1,2B
75,1256,75,2023-06-23,TEX,@,NYY,W 4-2 (10),CG(10),5,5,0,0,0,0,0,0,0,0,0,0,.271,.334,.448,.782,0,0,0,0,0,0,.000,1.50,-0.200,1.78,-0.14%,-1.50,1,2B
76,1257,76,2023-06-24,TEX,@,NYY,L 0-1,CG,5,5,0,3,0,0,0,0,0,0,0,0,.276,.338,.450,.788,3,0,0,0,0,0,.600,1.96,-0.033,2.16,-0.02%,0.09,1,2B
77,1258,77,2023-06-25,TEX,@,NYY,L 3-5,CG,5,5,1,2,1,0,0,0,0,0,0,2,.278,.339,.453,.791,3,0,0,0,0,0,.667,0.93,-0.009,1.12,-0.01%,-0.10,1,2B
78,1259,78,2023-06-26,TEX,,DET,L 2-7,CG,5,4,1,2,0,0,1,1,0,0,1,1,.281,.342,.462,.805,5,0,0,0,0,0,.500,0.66,0.114,0.80,0.08%,1.07,1,2B
79,1260,79,2023-06-27,TEX,,DET,W 8-3,CG,5,5,1,2,0,0,0,0,0,0,0,0,.283,.343,.461,.804,2,0,0,0,0,0,.400,0.99,-0.061,1.25,-0.05%,-0.70,1,2B
80,1261,80,2023-06-28,TEX,,DET,W 10-2,CG,5,5,1,1,1,0,0,0,0,0,0,0,.282,.341,.460,.802,2,0,0,0,0,0,.200,0.44,0.025,0.53,0.02%,-0.94,1,2B
81,1262,81,2023-06-29,TEX,,DET,L 5-8,CG,5,4,1,2,0,0,0,0,0,0,1,1,.284,.345,.461,.806,2,0,0,0,0,0,.667,1.02,0.055,1.17,0.04%,0.84,1,2B
82,1263,82,2023-06-30,TEX,,HOU,L 3-5,CG,4,3,1,0,0,0,0,0,0,0,1,0,.282,.344,.457,.801,0,0,0,0,0,0,.000,0.85,-0.026,1.37,-0.03%,-0.20,1,2B
83,1264,83,2023-07-01,TEX,,HOU,W 5-2,CG,5,4,0,3,0,0,0,1,1,0,1,0,.287,.349,.460,.810,3,0,0,0,0,0,.750,0.86,0.134,1.48,0.14%,1.60,1,2B
84,1265,84,2023-07-02,TEX,,HOU,L 3-5,CG,4,3,0,1,1,0,0,0,0,0,1,0,.287,.351,.462,.813,2,0,0,0,0,0,.333,0.95,0.008,1.55,0.01%,0.33,1,2B
85,1266,85,2023-07-03,TEX,,HOU,L 11-12,CG,5,5,0,0,0,0,0,0,1,0,0,1,.283,.347,.456,.802,0,0,0,0,0,0,.000,1.18,0.051,2.06,0.05%,0.12,1,2B
86,1267,86,2023-07-04,TEX,@,BOS,W 6-2,CG,5,4,1,0,0,0,0,0,0,0,1,1,.280,.345,.451,.795,0,0,0,0,0,0,.000,0.57,-0.053,0.83,-0.05%,-0.66,1,2B
87,1268,87,2023-07-05,TEX,@,BOS,L 2-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,.277,.341,.446,.787,0,0,0,0,0,0,.000,1.13,-0.123,1.55,-0.10%,-1.17,1,2B
88,1269,88,2023-07-06,TEX,@,BOS,L 6-10,CG,5,5,0,0,0,0,0,0,0,0,0,1,.273,.337,.440,.777,0,0,0,0,0,0,.000,1.04,-0.139,1.51,-0.12%,-1.53,1,2B
89,1270,89,2023-07-07,TEX,@,WSN,W 7-2,CG,5,4,1,1,1,0,0,0,0,0,1,1,.273,.338,.440,.778,2,0,0,0,0,0,.333,0.49,0.026,0.71,0.02%,0.16,1,2B
90,1271,90,2023-07-08,TEX,@,WSN,L 3-8,CG,4,3,0,0,0,0,0,0,0,0,1,0,.271,.337,.437,.774,0,0,0,0,0,0,.000,0.51,-0.041,0.70,-0.03%,-0.66,1,2B
91,1272,91,2023-07-09,TEX,@,WSN,L 2-7,CG,5,4,1,1,1,0,0,0,0,0,1,1,.271,.338,.438,.776,2,1,0,0,0,0,.333,0.76,0.024,1.13,0.02%,-0.38,1,2B
92,1273,92,2023-07-14,TEX,,CLE,W 12-4,CG,5,4,1,0,0,0,0,0,0,0,1,0,.268,.336,.433,.769,0,0,0,0,0,0,.000,0.97,-0.050,1.50,-0.05%,-1.29,1,2B
93,1274,93,2023-07-15,TEX,,CLE,W 2-0,CG,4,3,1,2,0,0,0,1,0,0,0,0,.271,.338,.435,.773,2,0,0,0,1,0,.500,0.89,0.047,1.40,0.05%,0.43,1,2B
94,1275,94,2023-07-16,TEX,,CLE,W 6-5,CG,4,2,3,1,0,0,1,1,0,0,2,0,.272,.342,.443,.784,4,0,0,0,0,0,.000,0.82,0.138,1.20,0.12%,1.36,1,2B
95,1276,95,2023-07-17,TEX,,TBR,W 3-2,CG,4,3,0,1,0,0,0,0,0,0,1,0,.273,.343,.442,.785,1,0,0,0,0,0,.333,1.47,-0.007,2.10,-0.01%,0.10,1,2B
96,1277,96,2023-07-18,TEX,,TBR,W 5-3,CG,4,4,2,3,0,0,1,1,0,0,0,0,.278,.347,.453,.799,6,0,0,0,0,0,.667,0.80,0.150,1.06,0.12%,1.50,1,2B
97,1278,97,2023-07-19,TEX,,TBR,W 5-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.275,.344,.448,.792,0,0,0,0,0,0,.000,0.77,-0.081,0.97,-0.06%,-1.08,1,2B
98,1279,98,2023-07-21,TEX,,LAD,L 5-11,CG,4,4,0,0,0,0,0,0,0,0,0,0,.272,.341,.444,.784,0,0,0,0,0,0,.000,0.71,-0.073,0.89,-0.05%,-0.75,1,2B
99,1280,99,2023-07-22,TEX,,LAD,L 3-16,GS-8,4,4,1,1,0,0,1,1,0,0,0,0,.272,.340,.449,.789,4,0,0,0,0,0,.000,0.39,0.082,0.51,0.07%,0.43,1,2B
100,1281,100,2023-07-23,TEX,,LAD,W 8-4,CG,5,5,1,1,0,0,0,1,0,0,0,0,.271,.338,.446,.784,1,0,0,0,0,0,.200,0.74,0.062,0.99,0.05%,0.13,1,2B
101,1282,101,2023-07-24,TEX,@,HOU,L 9-10,CG,5,5,0,2,0,0,0,0,0,1,0,1,.273,.339,.446,.784,2,0,0,0,0,0,.500,1.19,-0.060,2.39,-0.07%,-0.89,1,2B
102,1283,102,2023-07-25,TEX,@,HOU,L 3-4,CG,4,4,1,2,0,0,0,0,0,0,0,0,.275,.340,.446,.786,2,0,0,0,0,0,.500,0.78,0.016,1.69,0.02%,0.05,1,2B
103,1284,103,2023-07-26,TEX,@,HOU,W 13-5,GS-5,4,3,3,3,0,0,1,2,0,0,0,0,.280,.346,.457,.803,6,0,1,0,0,0,1.000,0.60,0.260,1.32,0.34%,2.73,1,2B
104,1285,104,2023-07-28,TEX,@,SDP,L 1-7,CG,5,4,0,0,0,0,0,1,0,0,1,1,.277,.344,.453,.797,0,0,0,0,0,0,.000,0.45,-0.052,0.69,-0.05%,0.24,1,2B
105,1286,105,2023-07-29,TEX,@,SDP,L 0-4,CG,4,3,0,0,0,0,0,0,0,0,1,1,.275,.344,.450,.793,0,0,0,0,0,0,.000,1.04,-0.059,1.67,-0.06%,-0.78,1,2B
106,1287,106,2023-07-30,TEX,@,SDP,L 3-5,CG,5,5,0,1,0,0,0,2,0,0,0,1,.274,.342,.447,.789,1,0,0,0,0,0,.250,1.25,0.036,2.06,0.04%,0.65,1,2B
107,1288,107,2023-08-01,TEX,,CHW,W 2-0,CG,3,3,0,2,0,0,0,0,0,0,0,0,.277,.344,.448,.792,2,0,0,0,0,0,.667,0.86,0.043,1.47,0.04%,0.41,1,2B
108,1289,108,2023-08-02,TEX,,CHW,W 11-1,CG,6,5,3,2,0,0,1,2,0,0,1,0,.278,.346,.454,.800,5,0,0,0,0,0,.250,0.33,0.054,0.54,0.05%,1.56,1,2B
109,1290,109,2023-08-03,TEX,,CHW,W 5-3,CG,4,3,2,1,0,0,1,1,0,0,1,0,.279,.347,.460,.807,4,0,0,0,0,0,.000,0.79,0.139,1.25,0.13%,0.91,1,2B
110,1291,110,2023-08-04,TEX,,MIA,W 6-2,CG,4,4,1,1,1,0,0,1,0,0,0,2,.279,.346,.461,.807,2,0,0,0,0,0,.500,1.02,-0.035,1.63,-0.03%,0.31,1,2B
111,1292,111,2023-08-05,TEX,,MIA,W 9-8,CG,5,3,1,1,1,0,0,0,0,0,2,0,.279,.349,.462,.811,2,0,0,0,0,0,.333,0.71,0.079,1.05,0.07%,0.78,1,2B
112,1293,112,2023-08-06,TEX,,MIA,W 6-0,CG,4,4,2,2,0,0,1,1,1,0,0,0,.281,.350,.469,.819,5,0,0,0,0,0,.333,0.64,0.070,0.95,0.06%,0.86,1,2B
113,1294,113,2023-08-07,TEX,@,OAK,W 5-3,CG,5,3,0,0,0,0,0,0,0,0,2,0,.279,.350,.466,.816,0,0,0,0,0,0,.000,0.93,0.041,1.31,0.03%,-0.05,1,2B
114,1295,114,2023-08-08,TEX,@,OAK,W 6-1,CG,5,5,1,2,0,0,0,1,0,0,0,2,.280,.351,.465,.816,2,0,0,0,0,0,.667,0.74,0.079,0.98,0.06%,0.55,1,2B
