Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,1,2023-03-30,BOS,,BAL,L 9-10,CG,5,4,1,2,0,0,0,1,0,0,0,0,.500,.600,.500,1.100,2,0,1,0,0,0,.500,1.50,0.034,1.48,0.02%,2.53,4,LF
2,2,2,2023-04-01,BOS,,BAL,W 9-8,GS-9,5,5,0,0,0,0,0,0,0,0,0,1,.222,.300,.222,.522,0,0,0,0,0,0,.000,1.56,-0.130,1.43,-0.07%,-1.40,4,LF
3,3,3,2023-04-02,BOS,,BAL,W 9-5,CG,5,4,3,2,0,0,0,2,1,0,1,0,.308,.400,.308,.708,2,0,0,0,0,0,.500,0.94,0.142,0.91,0.08%,1.71,4,DH
4,4,4,2023-04-03,BOS,,PIT,L 6-7,CG,5,4,1,1,0,0,1,2,0,0,1,0,.294,.400,.471,.871,4,0,0,0,0,0,.000,1.97,0.054,1.81,0.03%,0.96,4,LF
5,5,5,2023-04-04,BOS,,PIT,L 1-4,CG,4,4,0,0,0,0,0,1,0,0,0,0,.238,.333,.381,.714,0,0,0,0,0,0,.000,1.19,0.087,1.00,0.04%,0.61,4,LF
6,6,6,2023-04-05,BOS,,PIT,L 1-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.200,.286,.320,.606,0,1,0,0,0,0,.000,1.02,-0.147,0.85,-0.07%,-1.42,4,LF
7,7,7,2023-04-06,BOS,@,DET,W 6-3,CG,4,3,1,2,1,0,0,0,1,0,1,0,.250,.344,.393,.737,3,1,0,0,0,0,.667,1.56,-0.019,1.31,-0.01%,0.46,4,LF
8,8,8,2023-04-08,BOS,@,DET,W 14-5,CG,5,2,2,0,0,0,0,0,0,0,3,0,.233,.378,.367,.745,0,0,0,0,0,0,.000,0.25,0.047,0.22,0.02%,0.69,4,DH
9,9,10,2023-04-10,BOS,@,TBR,L 0-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.235,.366,.353,.719,1,0,0,0,0,0,.333,1.18,-0.058,1.23,-0.04%,-0.04,4,LF
10,10,11,2023-04-11,BOS,@,TBR,L 2-7,CG,4,3,0,0,0,0,0,0,0,0,1,0,.216,.356,.324,.680,0,1,0,0,0,0,.000,0.83,-0.072,0.84,-0.04%,-1.28,4,LF
11,11,16,2023-04-16,BOS,,LAA,W 2-1,CG,3,2,0,0,0,0,0,0,0,0,0,1,.205,.354,.308,.662,0,0,1,0,0,0,.000,1.01,0.024,0.85,0.01%,0.19,6,DH
12,12,17,2023-04-17,BOS,,LAA,L 4-5,CG,5,4,0,0,0,0,0,0,0,0,1,1,.186,.340,.279,.619,0,0,0,0,0,0,.000,2.27,-0.243,1.94,-0.13%,-0.96,4,DH
13,13,18,2023-04-18,BOS,,MIN,W 5-4 (10),GS-10,5,5,0,0,0,0,0,0,0,0,0,0,.167,.310,.250,.560,0,0,0,0,0,0,.000,1.64,-0.230,1.40,-0.12%,-1.71,4,LF
14,14,20,2023-04-20,BOS,,MIN,W 11-5,CG,5,5,1,2,0,0,0,2,0,0,0,0,.189,.317,.264,.582,2,0,0,0,0,0,.400,0.26,0.061,0.21,0.03%,1.30,4,LF
15,15,21,2023-04-21,BOS,@,MIL,W 5-3,CG,4,4,0,1,1,0,0,1,0,0,0,2,.193,.313,.281,.594,2,0,0,0,0,0,.500,0.90,0.073,0.75,0.04%,0.44,4,LF
16,16,22,2023-04-22,BOS,@,MIL,L 4-5,CG,4,4,0,2,0,0,0,0,0,0,0,1,.213,.324,.295,.619,2,0,0,0,0,0,.667,1.24,0.018,1.07,0.01%,-0.34,6,DH
17,17,23,2023-04-23,BOS,@,MIL,W 12-5,CG,5,4,2,2,0,0,2,6,0,0,0,1,.231,.329,.400,.729,8,0,0,0,1,0,.000,1.03,0.253,0.82,0.12%,3.94,4,LF
18,18,24,2023-04-24,BOS,@,BAL,L 4-5,GS-9,4,3,0,3,0,0,0,0,0,0,1,0,.265,.363,.426,.789,3,0,0,0,0,0,1.000,1.58,0.129,1.45,0.07%,0.69,4,LF
19,19,25,2023-04-25,BOS,@,BAL,W 8-6,CG,5,4,1,2,0,0,0,0,0,0,1,0,.278,.376,.431,.807,2,1,0,0,0,0,.500,0.51,-0.064,0.44,-0.03%,-0.30,4,LF
20,20,26,2023-04-26,BOS,@,BAL,L 2-6,CG,4,4,1,1,0,0,1,1,0,0,0,1,.276,.371,.461,.831,4,0,0,0,0,0,.000,0.85,0.040,0.79,0.02%,0.39,4,LF
21,21,27,2023-04-28,BOS,,CLE,L 2-5,CG,4,4,0,1,1,0,0,0,0,0,0,0,.275,.366,.463,.828,2,0,0,0,0,0,.250,1.01,-0.002,0.80,0.00%,-0.25,2,LF
22,22,28,2023-04-29,BOS,,CLE,W 8-7 (10),CG(10),5,4,1,1,0,0,0,0,0,0,1,0,.274,.367,.452,.820,1,0,0,0,0,0,.250,1.00,-0.075,0.75,-0.03%,-1.35,2,DH
23,23,29,2023-04-30,BOS,,CLE,W 7-1,CG,4,3,1,1,1,0,0,0,0,0,1,1,.276,.373,.460,.832,2,0,0,0,0,0,.500,0.60,0.002,0.47,0.00%,0.21,5,DH
24,24,30,2023-05-01,BOS,,TOR,W 6-5,CG,4,4,1,2,1,0,0,1,0,0,0,0,.286,.377,.473,.850,3,0,0,0,0,0,.500,1.17,0.078,1.03,0.04%,0.67,2,LF
25,25,31,2023-05-02,BOS,,TOR,W 7-6,CG,4,3,1,2,0,0,1,2,0,0,1,0,.298,.391,.511,.902,5,0,0,0,0,0,.500,1.19,0.192,1.08,0.10%,1.85,6,DH
26,26,32,2023-05-03,BOS,,TOR,W 8-3,CG,5,5,1,2,1,0,0,2,0,0,0,0,.303,.391,.515,.906,3,0,0,0,0,0,.400,0.77,0.063,0.71,0.04%,1.61,2,LF
