Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,360,1,2020-07-24,OAK,,LAA,W 7-3 (10),CG(10),5,4,1,2,0,0,1,4,0,0,1,2,.500,.600,1.250,1.850,5,0,0,0,0,0,1.000,1.98,0.157,2.32,0.11%,2.88,5,1B
2,361,2,2020-07-25,OAK,,LAA,L 1-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.250,.333,.625,.958,0,0,0,0,0,0,.000,1.06,-0.109,1.25,-0.08%,-1.15,4,1B
3,362,3,2020-07-26,OAK,,LAA,W 6-4,CG,4,2,1,0,0,0,0,1,0,0,2,0,.200,.385,.500,.885,0,0,0,0,0,0,.000,0.78,0.069,0.93,0.05%,0.45,4,1B
4,363,4,2020-07-27,OAK,,LAA,W 3-0,CG,4,3,0,0,0,0,0,0,0,0,1,2,.154,.353,.385,.738,0,0,0,0,0,0,.000,0.65,-0.070,0.79,-0.05%,-0.98,4,1B
5,364,5,2020-07-28,OAK,,COL,L 3-8,CG,4,3,1,2,0,0,0,0,0,0,1,1,.250,.429,.438,.866,2,0,0,0,0,0,1.000,1.24,0.096,1.30,0.06%,1.73,4,1B
6,365,6,2020-07-29,OAK,,COL,L 1-5,CG,4,3,0,0,0,0,0,0,0,0,1,0,.211,.400,.368,.768,0,0,0,0,0,0,.000,1.62,-0.057,1.76,-0.04%,-0.32,4,1B
7,366,7,2020-07-31,OAK,@,SEA,L 3-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.174,.345,.304,.649,0,0,0,0,0,0,.000,1.04,-0.104,1.31,-0.08%,-0.96,4,1B
8,367,8,2020-08-01,OAK,@,SEA,W 3-2 (10),CG(10),4,3,0,0,0,0,0,0,0,0,1,3,.154,.333,.269,.603,0,0,0,0,0,0,,1.62,-0.043,1.97,-0.03%,-0.66,5,1B
9,368,9,2020-08-02,OAK,@,SEA,W 3-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.133,.297,.233,.531,0,0,0,0,0,0,.000,0.76,-0.078,0.96,-0.06%,-0.89,3,1B
10,369,10,2020-08-03,OAK,@,SEA,W 11-1,GS-9,6,3,1,1,0,0,0,1,0,0,3,0,.152,.349,.242,.591,1,0,0,0,0,0,.333,0.41,-0.019,0.52,-0.02%,2.04,5,1B
11,370,11,2020-08-04,OAK,,TEX,W 5-1,GS-9,4,3,0,0,0,0,0,0,0,0,1,1,.139,.340,.222,.563,0,0,0,0,0,0,.000,1.32,-0.010,1.65,-0.01%,-0.15,3,1B
12,371,12,2020-08-05,OAK,,TEX,W 6-4,CG,4,3,2,2,0,0,2,3,0,0,1,0,.179,.373,.410,.783,8,0,0,0,0,0,.000,0.87,0.265,1.06,0.19%,3.02,3,1B
13,372,13,2020-08-06,OAK,,TEX,W 6-4,CG,4,3,1,1,0,0,1,1,0,0,1,0,.190,.382,.476,.858,4,0,0,0,0,0,.000,0.57,0.078,0.64,0.05%,0.64,5,1B
14,373,14,2020-08-07,OAK,,HOU,W 3-2 (13),CG(13),6,5,0,0,0,0,0,0,0,0,1,4,.170,.361,.426,.786,0,0,0,0,0,0,.000,2.57,-0.387,2.81,-0.25%,-1.88,3,1B
15,374,15,2020-08-08,OAK,,HOU,W 3-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.157,.338,.392,.731,0,1,0,0,0,0,.000,0.76,-0.074,0.76,-0.04%,-1.41,5,1B
16,375,16,2020-08-09,OAK,,HOU,W 7-2,CG,4,4,1,1,0,0,1,3,0,0,0,0,.164,.333,.436,.770,4,0,0,0,0,0,.000,0.67,0.207,0.60,0.11%,2.26,3,1B
17,376,17,2020-08-10,OAK,@,LAA,L 9-10,CG,5,3,2,0,0,0,0,0,0,0,2,0,.155,.338,.414,.752,0,0,0,0,0,0,.000,1.17,0.125,0.90,0.06%,1.69,3,1B
18,377,18,2020-08-11,OAK,@,LAA,L 0-6,GS-8,4,4,0,0,0,0,0,0,0,0,0,1,.145,.321,.387,.708,0,1,0,0,0,0,.000,0.85,-0.110,0.75,-0.06%,-1.51,3,1B
19,378,19,2020-08-12,OAK,@,LAA,W 8-4,CG,5,5,1,1,0,0,1,1,0,0,0,0,.149,.313,.418,.731,4,0,0,0,0,0,.000,0.67,0.018,0.65,0.01%,-0.24,3,1B
20,379,20,2020-08-14,OAK,@,SFG,W 8-7 (10),CG(10),5,5,1,1,0,0,1,1,0,0,0,1,.153,.307,.444,.751,4,0,0,0,0,0,.000,1.12,-0.056,0.91,-0.03%,0.16,4,1B
21,380,21,2020-08-15,OAK,@,SFG,W 7-6,GS-9,5,4,1,1,0,0,1,1,0,0,1,1,.158,.312,.474,.786,4,0,0,0,0,0,.000,1.22,0.108,0.87,0.05%,0.33,4,1B
22,381,22,2020-08-16,OAK,@,SFG,W 15-3,CG,5,5,3,3,0,0,0,0,0,0,0,2,.185,.327,.481,.808,3,0,0,0,0,0,1.000,0.65,0.007,0.38,0.00%,0.47,4,1B
23,382,23,2020-08-17,OAK,@,ARI,L 3-4,CG,4,4,0,0,0,0,0,0,0,0,0,2,.176,.314,.459,.773,0,0,0,0,0,0,.000,1.82,0.141,0.91,0.04%,0.18,4,1B
24,383,24,2020-08-18,OAK,@,ARI,L 1-10,GS-7,3,3,0,0,0,0,0,0,0,0,0,2,.170,.305,.443,.748,0,0,0,0,0,0,.000,0.66,-0.010,0.38,0.00%,-0.45,3,1B
25,384,25,2020-08-19,OAK,,ARI,W 4-1,CG,4,3,1,0,0,0,0,0,0,0,1,0,.165,.303,.429,.731,0,0,0,0,0,0,.000,0.53,-0.046,0.34,-0.02%,-0.52,3,1B
26,385,26,2020-08-20,OAK,,ARI,W 5-1,CG,4,3,1,1,0,0,1,2,0,0,1,0,.170,.310,.457,.767,4,0,0,0,0,1,.000,0.68,0.133,0.37,0.04%,1.21,5,1B
27,386,27,2020-08-21,OAK,,LAA,W 5-3,CG,4,3,1,1,1,0,0,1,0,0,1,1,.175,.316,.464,.780,2,0,0,0,0,0,.500,0.82,0.030,0.41,0.01%,0.35,5,1B
28,387,28,2020-08-22,OAK,,LAA,L 3-4,CG,4,4,0,1,1,0,0,1,0,0,0,1,.178,.314,.465,.779,2,0,0,0,0,0,.333,1.31,0.029,0.50,0.01%,0.38,3,1B
29,388,29,2020-08-23,OAK,,LAA,W 5-4 (10),GS-10,5,5,0,0,0,0,0,0,0,0,0,3,.170,.302,.443,.745,0,0,0,0,0,0,.000,1.92,-0.244,0.90,-0.07%,-1.53,3,1B
30,389,30,2020-08-24,OAK,@,TEX,L 2-3,CG,5,4,0,0,0,0,0,0,0,0,1,3,.164,.298,.427,.725,0,0,0,0,0,0,.000,2.57,-0.303,0.96,-0.07%,-1.28,3,1B
31,390,31,2020-08-25,OAK,@,TEX,W 10-3,CG,5,4,1,2,0,0,1,2,0,0,1,0,.175,.309,.456,.765,5,0,0,0,0,0,.333,0.40,0.245,0.19,0.07%,1.91,6,1B
32,391,32,2020-08-26,OAK,@,TEX,W 3-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.178,.307,.449,.756,1,0,0,0,0,0,.333,1.30,0.009,0.48,0.00%,0.25,5,1B
33,392,33,2020-08-29 (1),OAK,@,HOU,L 2-4 (7),CG(7),3,3,0,0,0,0,0,0,0,0,0,2,.174,.301,.438,.739,0,0,0,0,0,0,.000,1.19,-0.101,0.39,-0.02%,-0.80,5,1B
34,393,34,2020-08-29 (2),OAK,@,HOU,L 3-6 (7),CG(7),3,3,0,0,0,0,0,0,0,0,0,3,.169,.295,.427,.722,0,0,0,0,0,0,,1.46,-0.110,0.61,-0.03%,-0.89,5,1B
35,394,35,2020-09-04,OAK,,SDP,L 0-7,CG,4,1,0,0,0,0,0,0,0,0,3,0,.168,.307,.424,.731,0,0,0,0,0,0,.000,0.51,0.069,0.20,0.02%,0.56,5,1B
36,395,36,2020-09-05,OAK,,SDP,W 8-4,CG,4,4,0,3,0,1,0,2,0,0,0,1,.186,.318,.450,.768,5,0,0,0,0,0,1.000,0.58,0.187,0.25,0.05%,2.34,5,1B
37,396,37,2020-09-06,OAK,,SDP,L 3-5,CG,4,4,0,2,0,0,0,2,0,0,0,2,.195,.323,.451,.774,2,0,0,0,0,0,1.000,1.86,0.142,0.64,0.03%,1.64,4,1B
38,397,38,2020-09-07,OAK,,HOU,W 6-0,CG,4,3,1,0,0,0,0,0,0,0,1,0,.191,.321,.441,.762,0,0,0,0,0,0,.000,0.44,-0.040,0.24,-0.01%,-0.19,4,1B
39,398,39,2020-09-08 (1),OAK,,HOU,W 4-2 (7),CG(7),4,4,0,0,0,0,0,0,0,0,0,0,.186,.313,.429,.742,0,0,0,0,0,0,.000,1.30,-0.087,0.58,-0.02%,-1.31,4,1B
40,399,40,2020-09-08 (2),OAK,,HOU,L 4-5 (7),CG(7),4,4,1,1,0,0,1,3,0,0,0,3,.188,.312,.444,.756,4,0,0,0,0,0,,2.05,0.054,0.63,0.01%,1.96,4,1B
41,400,41,2020-09-09,OAK,,HOU,W 3-2,CG,4,3,0,1,0,0,0,0,0,0,1,1,.190,.316,.442,.758,1,0,0,0,0,0,.500,1.31,-0.031,0.54,-0.01%,-0.21,4,1B
42,401,42,2020-09-10,OAK,,HOU,W 3-1,CG,4,3,1,1,0,0,1,2,0,0,1,0,.193,.320,.460,.780,4,0,0,0,0,0,.000,0.91,0.349,0.21,0.05%,1.60,4,1B
43,402,43,2020-09-11,OAK,@,TEX,W 10-6,CG,5,5,1,2,0,0,1,5,0,0,0,2,.200,.322,.477,.800,5,0,0,0,0,0,.500,0.67,0.194,0.11,0.02%,1.92,4,1B
44,403,44,2020-09-12 (1),OAK,@,TEX,L 2-5 (7),CG(7),3,3,0,1,1,0,0,1,0,0,0,1,.203,.323,.481,.804,2,0,0,0,0,0,.500,0.41,0.005,0.08,0.00%,0.68,4,1B
45,404,45,2020-09-12 (2),OAK,@,TEX,W 10-1 (7),GS-6,4,3,1,1,0,0,0,1,0,0,1,0,.205,.326,.478,.805,1,0,0,0,0,0,.333,0.45,0.062,0.09,0.01%,0.63,5,1B
46,405,46,2020-09-13,OAK,@,TEX,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,4,.200,.320,.467,.786,0,0,0,0,0,0,,0.83,-0.106,0.12,-0.01%,-1.25,4,1B
47,406,47,2020-09-14 (1),OAK,@,SEA,L 5-6 (7),CG(7),4,4,0,0,0,0,0,0,0,0,0,3,.195,.313,.456,.769,0,0,0,0,0,0,.000,1.40,-0.154,0.26,-0.02%,-1.20,5,1B
48,407,48,2020-09-14 (2),OAK,@,SEA,W 9-0 (7),GS-7,4,2,1,0,0,0,0,0,0,0,2,1,.193,.317,.450,.767,0,0,0,0,0,0,.000,0.73,0.042,0.13,0.01%,-0.25,4,1B
49,408,49,2020-09-15,OAK,@,COL,L 1-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,.189,.311,.440,.751,0,0,0,0,0,0,.000,1.23,-0.169,0.14,-0.01%,-1.56,4,1B
50,409,50,2020-09-16,OAK,@,COL,W 3-1,CG,4,4,1,1,1,0,0,0,0,0,0,2,.190,.310,.441,.751,2,0,0,0,0,0,.500,1.39,0.042,0.22,0.00%,-0.05,4,1B
51,410,51,2020-09-18,OAK,,SFG,W 6-0,CG,4,4,1,1,0,0,1,3,0,0,0,3,.191,.308,.454,.762,4,0,0,0,0,0,,0.97,0.134,0.12,0.01%,1.10,4,1B
52,411,52,2020-09-19,OAK,,SFG,W 6-0,CG,4,3,0,1,0,0,0,1,1,0,0,1,.194,.312,.452,.764,1,0,1,0,0,0,.500,0.79,0.088,0.12,0.01%,0.91,4,1B
53,412,53,2020-09-20,OAK,,SFG,L 2-14,GS-8,3,3,0,1,0,0,0,0,0,0,0,2,.196,.312,.450,.762,1,0,0,0,0,0,1.000,0.53,-0.023,0.06,0.00%,-0.70,4,1B
54,413,54,2020-09-22,OAK,@,LAD,L 2-7,CG,4,3,0,0,0,0,0,0,0,0,1,2,.193,.311,.443,.754,0,0,0,0,0,0,.000,0.59,-0.041,0.07,0.00%,-0.55,4,1B
55,414,55,2020-09-23,OAK,@,LAD,W 6-4,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.192,.310,.440,.750,0,0,0,0,0,0,,2.37,-0.062,0.13,0.00%,-0.25,5,1B
56,415,56,2020-09-24,OAK,@,LAD,L 1-5,CG,4,4,0,1,0,0,0,0,0,0,0,3,.193,.309,.437,.745,1,0,0,0,0,0,1.000,0.78,-0.019,0.13,0.00%,-0.50,4,1B
57,416,57,2020-09-25,OAK,,SEA,W 3-1 (10),CG(10),4,3,0,0,0,0,0,0,0,0,1,1,.190,.308,.430,.738,0,0,0,0,0,0,.000,1.74,-0.059,0.30,-0.01%,-0.08,5,1B
