Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,10,127,2023-08-23 (1),CIN,@,LAA,W 9-4,7-GF,1,0,0,0,0,0,0,0,0,1,1,0,,1.000,,,0,0,0,0,0,0,,0.17,-0.002,0.19,0.00%,-0.25,1,CF
2,11,128,2023-08-23 (2),CIN,@,LAA,W 7-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,,1.000,,,0,,0,0,,,,,,,,,8,LF
3,12,131,2023-08-26,CIN,@,ARI,W 8-7 (11),9-9,0,0,1,0,0,0,0,0,0,0,0,0,,1.000,,,0,,0,0,,,,,0.000,,0.00%,0.00,9,PR
,,,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals,Player went from Cincinnati Reds to St. Louis Cardinals
4,13,154,2023-09-22,STL,@,SDP,L 2-4,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.000,.500,.000,.500,0,0,0,0,0,0,,3.95,-0.142,0.00,0.00%,-0.69,7,PR DH
5,14,155,2023-09-23,STL,@,SDP,W 5-2 (11),11-GF(11),0,0,0,0,0,0,0,0,1,0,0,0,.000,.500,.000,.500,0,,0,0,,,,,0.000,,0.00%,0.00,6,PR DH
6,15,156,2023-09-24,STL,@,SDP,L 2-12,5-GF,2,2,0,0,0,0,0,0,0,0,0,0,.000,.250,.000,.250,0,0,0,0,0,0,.000,0.05,-0.003,0.00,0.00%,-0.61,1,CF
7,16,157,2023-09-26,STL,@,MIL,W 4-1,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.250,.000,.250,0,,0,0,,,,,,,,,5,CF
8,17,160,2023-09-29,STL,,CIN,L 2-19,6-GF,2,2,0,0,0,0,0,0,0,0,0,0,.000,.167,.000,.167,0,0,0,0,0,0,.000,0.01,0.000,0.00,0.00%,-0.54,5,CF
,,,,,,,5-3,,6,5,1,0,0,0,0,0,1,1,1,1,.000,.167,.000,.167,0,0,0,0,0,0,.000,0.63,-0.147,0.05,0.00%,-2.09,,
