Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,167,3,2020-07-26,NYY,@,WSN,W 3-2,GS-7,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.99,-0.082,1.08,-0.05%,-0.61,7,LF
2,168,5,2020-07-30,NYY,@,BAL,W 8-6,GS-6,2,2,0,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,1,0,0,0,0,0,.500,0.72,0.006,0.86,0.00%,-0.04,9,LF
3,169,8,2020-08-02,NYY,,BOS,W 9-7,GS-7,3,3,1,0,0,0,0,0,0,0,0,0,.125,.125,.125,.250,0,1,0,0,0,0,.000,1.55,-0.177,1.60,-0.11%,-1.43,9,LF
4,170,10,2020-08-05 (1),NYY,@,PHI,L 7-11 (7),CG(7),4,4,0,0,0,0,0,0,0,0,0,1,.083,.083,.083,.167,0,0,0,0,0,0,.000,0.75,-0.079,0.59,-0.04%,-1.09,6,3B
5,171,11,2020-08-05 (2),NYY,@,PHI,W 3-1 (7),GS-5,2,2,0,0,0,0,0,0,0,0,0,1,.071,.071,.071,.143,0,0,0,0,0,0,.000,1.18,-0.065,1.02,-0.03%,-0.43,9,LF
6,172,22,2020-08-17,NYY,,BOS,W 6-3,GS-7,3,3,0,0,0,0,0,0,0,0,0,0,.059,.059,.059,.118,0,0,0,0,0,0,.000,1.08,-0.083,0.71,-0.03%,-1.13,6,LF
7,173,23,2020-08-18,NYY,,TBR,L 3-6,CG,4,3,0,1,0,0,0,0,0,0,1,0,.100,.143,.100,.243,1,0,0,0,0,0,.333,0.99,0.011,0.65,0.01%,0.35,8,DH
8,174,24,2020-08-19,NYY,,TBR,L 2-4,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.095,.136,.095,.232,0,0,0,0,0,0,,4.74,-0.110,3.59,-0.05%,-0.48,8,PH
9,175,26,2020-08-26 (1),NYY,@,ATL,L 1-5 (7),7-GF(7),1,1,0,0,0,0,0,0,0,0,0,0,.091,.130,.091,.221,0,0,0,0,0,0,.000,0.19,-0.005,0.16,0.00%,-0.26,8,PH
10,176,27,2020-08-26 (2),NYY,@,ATL,L 1-2 (7),CG(7),3,3,1,2,0,0,0,0,0,0,0,0,.160,.192,.160,.352,2,0,0,0,0,0,.667,1.45,0.014,1.34,0.01%,0.35,6,DH
11,177,28,2020-08-28 (1),NYY,,NYM,L 4-6 (7),GS-6,3,3,0,0,0,0,0,0,0,0,0,2,.143,.172,.143,.315,0,0,0,0,0,0,.000,0.60,-0.039,0.63,-0.02%,-0.95,6,3B
12,178,29,2020-08-28 (2),NYY,,NYM,L 3-4 (7),GS-6,3,3,0,0,0,0,0,0,0,0,0,0,.129,.156,.129,.285,0,0,0,0,0,0,.000,1.03,-0.079,1.15,-0.05%,-1.13,6,3B
13,179,37,2020-09-04 (1),NYY,@,BAL,W 6-5 (9),7-GF,1,1,1,1,0,0,0,1,0,0,0,0,.156,.182,.156,.338,1,0,0,0,0,0,1.000,6.09,0.150,8.43,0.12%,0.59,2,PR 3B DH
14,180,38,2020-09-04 (2),NYY,@,BAL,L 3-6 (7),CG(7),3,2,1,1,0,0,0,0,0,0,1,0,.176,.222,.176,.399,1,0,0,0,0,0,.500,0.71,0.086,0.87,0.06%,0.65,6,3B
15,181,39,2020-09-05,NYY,@,BAL,L 1-6,CG,4,3,0,0,0,0,0,0,0,0,1,0,.162,.225,.162,.387,0,0,0,0,0,0,.000,0.98,-0.035,1.34,-0.03%,-0.39,6,LF
16,182,40,2020-09-06,NYY,@,BAL,L 1-5,CG,4,4,0,3,0,1,0,0,0,0,0,0,.220,.273,.268,.541,5,0,0,0,0,0,.750,0.62,0.088,0.94,0.08%,1.51,6,3B
17,183,41,2020-09-07,NYY,@,TOR,L 7-12,CG,5,5,1,1,0,0,1,2,0,0,0,1,.217,.265,.326,.591,4,0,0,0,0,0,.000,0.56,0.068,0.87,0.06%,0.01,6,DH
18,184,42,2020-09-08,NYY,@,TOR,L 1-2,CG,4,4,0,2,1,0,0,0,0,0,0,1,.240,.283,.360,.643,3,0,0,0,0,0,.667,0.90,-0.009,1.38,-0.01%,0.19,8,DH
19,185,43,2020-09-09,NYY,@,TOR,W 7-2,CG,5,5,0,0,0,0,0,0,0,0,0,0,.218,.259,.327,.586,0,0,0,0,0,0,.000,0.59,-0.079,0.91,-0.07%,-1.46,6,DH
20,186,45,2020-09-11 (2),NYY,,BAL,W 10-1 (7),CG(7),4,4,0,1,1,0,0,2,0,0,0,1,.220,.258,.339,.597,2,0,0,0,0,0,.333,0.48,0.082,0.84,0.09%,0.35,6,DH
21,187,47,2020-09-13,NYY,,BAL,W 3-1,GS-7,3,3,0,2,0,0,0,0,0,0,0,0,.242,.277,.355,.632,2,0,0,0,0,0,.667,1.03,0.035,1.12,0.02%,0.28,5,LF
,,,,,,,9-12,,65,62,5,15,2,1,1,5,0,0,3,9,.242,.277,.355,.632,22,1,0,0,0,0,.269,1.00,-0.302,1.43,-0.05%,-5.13,,
