Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1081,3,2024-03-28,LAD,,STL,W 7-1,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.01,0.000,0.01,0.00%,-0.10,0.00,0.00,9,PH SS
2,1082,4,2024-03-29,LAD,,STL,W 6-3,CG,3,3,1,2,0,0,1,1,0,0,0,0,.500,.500,1.250,1.750,5,0,0,0,0,0,.500,0.25,-0.003,0.25,0.00%,1.15,17.00,21.70,9,SS
3,1083,6,2024-03-31,LAD,,STL,W 5-4,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,.333,.333,.833,1.167,0,0,0,0,0,0,.000,1.16,-0.058,1.13,-0.03%,-0.45,0.00,0.00,8,SS
4,1084,8,2024-04-02,LAD,,SFG,W 5-4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.833,1.167,0,,0,0,,,,,,,,,0.00,0.00,8,SS
5,1085,9,2024-04-03,LAD,,SFG,W 5-4,CG,3,3,1,1,0,0,1,2,0,0,0,0,.333,.333,1.000,1.333,4,0,0,0,0,0,.000,1.23,0.073,1.42,0.05%,0.71,16.00,22.20,9,SS
6,1086,11,2024-04-06,LAD,@,CHC,W 4-1,CG,4,4,0,2,0,0,0,1,0,0,0,2,.385,.385,.846,1.231,2,0,0,0,0,0,1.000,0.90,0.018,1.02,0.01%,0.78,8.00,9.50,8,SS
7,1087,12,2024-04-07,LAD,@,CHC,L 1-8,CG,3,3,0,0,0,0,0,0,0,0,0,1,.313,.313,.688,1.000,0,0,0,0,0,0,.000,0.27,-0.021,0.31,-0.02%,-0.62,0.00,0.00,9,3B
8,1088,13,2024-04-08,LAD,@,MIN,W 4-2,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.313,.313,.688,1.000,0,,0,0,,,,,,,,,0.00,0.00,7,SS
9,1089,15,2024-04-10,LAD,@,MIN,L 2-3,GS-6,2,2,0,0,0,0,0,0,0,0,0,1,.278,.278,.611,.889,0,0,0,0,0,0,.000,1.08,-0.054,1.20,-0.04%,-0.48,0.00,0.00,8,SS
10,1090,16,2024-04-12,LAD,,SDP,L 7-8 (11),8-GF(11),2,2,0,0,0,0,0,0,0,0,0,0,.250,.250,.550,.800,0,0,0,0,0,0,.000,3.33,-0.166,4.18,-0.13%,-0.53,0.00,0.00,9,PH SS
11,1091,19,2024-04-15,LAD,,WSN,L 4-6,GS-7,2,2,0,0,0,0,0,0,0,0,0,0,.227,.227,.500,.727,0,0,0,0,0,0,.000,0.43,-0.021,0.49,-0.02%,-0.25,0.00,0.00,9,SS
12,1092,20,2024-04-16,LAD,,WSN,W 6-2,CG,4,3,2,2,1,0,0,0,0,0,1,0,.280,.308,.560,.868,3,0,0,0,0,0,.667,0.52,0.050,0.58,0.03%,0.89,14.00,18.40,8,SS 3B
13,1093,22,2024-04-19,LAD,,NYM,L 4-9,GS-6,2,1,0,0,0,0,0,0,0,0,1,0,.269,.321,.538,.860,0,0,0,0,0,0,.000,1.14,-0.015,1.30,-0.01%,-0.06,2.00,3.00,8,3B
14,1094,24,2024-04-21,LAD,,NYM,W 10-0,6-GF,2,2,0,0,0,0,0,0,0,0,0,1,.250,.300,.500,.800,0,0,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.45,0.00,0.00,1,PH SS
15,1095,25,2024-04-23,LAD,@,WSN,W 4-1,CG,4,4,0,2,0,0,0,1,1,0,0,0,.281,.324,.500,.824,2,0,0,0,0,0,.500,1.14,0.117,1.21,0.07%,1.09,13.00,15.50,9,SS
16,1096,27,2024-04-25,LAD,@,WSN,W 2-1,CG,4,4,0,1,0,0,0,0,0,0,0,0,.278,.316,.472,.788,1,0,0,0,0,0,.250,0.88,-0.081,0.97,-0.05%,-0.89,3.00,3.00,8,SS
17,1097,28,2024-04-26,LAD,@,TOR,W 12-2,6-GF,2,1,1,0,0,0,0,0,0,0,1,0,.270,.325,.459,.784,0,0,0,0,0,0,.000,0.01,0.000,0.01,0.00%,-0.05,4.00,6.20,1,PH SS
18,1098,29,2024-04-27,LAD,@,TOR,W 4-2,CG,4,4,1,1,1,0,0,0,0,0,0,0,.268,.318,.463,.782,2,0,0,0,0,0,.250,0.63,0.006,0.71,0.00%,0.06,7.00,9.20,8,SS
19,1099,31,2024-04-29,LAD,@,ARI,W 8-4,CG,4,2,1,1,1,0,0,0,0,0,2,0,.279,.354,.488,.843,2,0,0,0,0,0,.500,0.71,0.015,0.91,0.01%,0.81,11.00,15.20,9,SS
20,1100,32,2024-04-30,LAD,@,ARI,L 3-4 (10),GS-7,2,2,0,0,0,0,0,0,0,0,0,0,.267,.340,.467,.807,0,0,0,0,0,0,.000,1.72,-0.094,2.20,-0.07%,-0.75,0.00,0.00,9,2B
21,1101,33,2024-05-01,LAD,@,ARI,W 8-0,CG,5,4,1,2,1,0,0,1,1,0,1,0,.286,.364,.490,.853,3,0,0,0,0,0,.500,0.31,0.064,0.40,0.05%,1.55,19.00,24.70,7,2B
22,1102,34,2024-05-03,LAD,,ATL,W 4-3 (11),7-10,2,2,0,0,0,0,0,0,0,0,0,0,.275,.351,.471,.821,0,1,0,0,0,0,.000,1.61,-0.105,2.03,-0.08%,-0.73,0.00,0.00,9,PH 2B
23,1103,36,2024-05-05,LAD,,ATL,W 5-1,CG,3,3,0,0,0,0,0,0,0,0,0,0,.259,.333,.444,.778,0,0,0,0,0,0,.000,0.40,-0.030,0.51,-0.02%,-0.61,0.00,0.00,7,2B
24,1104,38,2024-05-07,LAD,,MIA,W 8-2,6-GF,1,1,0,1,0,0,0,0,0,0,0,0,.273,.344,.455,.799,1,0,0,0,0,0,1.000,0.01,0.001,0.01,0.00%,0.12,3.00,3.00,1,PH SS
25,1105,39,2024-05-08,LAD,,MIA,W 3-1,CG,3,3,0,0,0,0,0,0,0,0,0,0,.259,.328,.431,.759,0,1,0,0,0,0,.000,0.83,-0.112,0.99,-0.08%,-0.96,0.00,0.00,8,2B
26,1106,42,2024-05-12,LAD,@,SDP,L 0-4,CG,3,3,0,0,0,0,0,0,0,0,0,0,.246,.313,.410,.723,0,0,0,0,0,0,.000,0.86,-0.067,1.16,-0.05%,-0.76,0.00,0.00,8,2B
27,1107,44,2024-05-14,LAD,@,SFG,W 10-2,8-GF,1,1,1,1,1,0,0,1,0,0,0,0,.258,.324,.435,.759,2,0,0,0,0,0,1.000,0.03,0.002,0.04,0.00%,1.00,9.00,12.70,1,SS
28,1108,46,2024-05-16,LAD,,CIN,L 2-7,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.254,.319,.429,.747,0,0,0,0,0,0,,0.17,-0.004,0.20,0.00%,-0.57,0.00,0.00,3,PH
29,1109,48,2024-05-18,LAD,,CIN,W 4-0,CG,3,3,1,1,1,0,0,0,0,0,0,1,.258,.319,.439,.759,2,0,0,0,0,0,.500,0.65,-0.011,0.78,-0.01%,-0.05,7.00,9.20,9,SS
30,1110,50,2024-05-20,LAD,,ARI,W 6-4,CG,3,3,1,1,0,0,0,0,0,0,0,0,.261,.320,.435,.755,1,0,0,0,0,0,.333,0.39,0.035,0.49,0.03%,0.07,5.00,6.20,9,2B
31,1111,53,2024-05-24,LAD,@,CIN,L 6-9,GS-8,3,3,0,0,0,0,0,0,0,0,0,1,.250,.308,.417,.724,0,0,0,0,0,0,.000,1.04,-0.099,1.22,-0.07%,-1.09,0.00,0.00,9,3B
32,1112,57,2024-05-28 (2),LAD,@,NYM,W 3-0,CG,4,4,0,1,1,0,0,1,0,0,0,0,.250,.305,.421,.726,2,0,0,0,0,0,.250,0.59,0.076,0.75,0.06%,0.52,7.00,9.50,8,2B
33,1113,58,2024-05-29,LAD,@,NYM,W 10-3,CG,5,5,1,4,1,0,0,1,0,0,0,0,.284,.333,.457,.790,5,0,0,0,0,0,.800,0.97,0.041,1.20,0.03%,0.95,18.00,21.70,8,SS 3B
34,1114,59,2024-05-31,LAD,,COL,L 1-4,CG,3,2,0,0,0,0,0,0,0,0,1,0,.277,.333,.446,.779,0,0,0,0,0,0,.000,0.89,0.007,1.03,0.01%,-0.07,2.00,3.00,8,3B
