Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,653,1,2016-04-04,LAA,,CHC,L 0-9,CG,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0.38,-0.037,0.34,-0.02%,-0.71,3,CF
2,654,2,2016-04-05,LAA,,CHC,L 1-6,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0.67,-0.059,0.58,-0.03%,-0.75,3,CF
3,655,3,2016-04-07,LAA,,TEX,W 4-3,CG,5,4,0,2,0,0,0,0,0,0,1,2,.167,.231,.167,.397,2,0,0,0,0,1,1.98,0.016,1.87,0.01%,-0.15,3,CF
4,656,4,2016-04-08,LAA,,TEX,L 3-7,CG,4,3,0,1,0,0,0,0,0,0,1,0,.200,.294,.200,.494,1,0,0,0,0,0,0.72,0.005,0.73,0.00%,0.05,3,CF
5,657,5,2016-04-09,LAA,,TEX,L 1-4,CG,4,4,0,1,1,0,0,0,0,0,0,1,.211,.286,.263,.549,2,0,0,0,0,0,1.81,-0.082,1.77,-0.05%,-0.37,3,CF
6,658,6,2016-04-10,LAA,,TEX,W 3-1,CG,4,1,0,0,0,0,0,2,0,0,2,0,.200,.320,.250,.570,0,0,0,0,1,0,1.41,0.090,1.33,0.05%,0.49,3,CF
7,659,7,2016-04-11,LAA,@,OAK,W 4-1,CG,4,3,1,1,0,0,1,2,0,0,1,2,.217,.345,.391,.736,4,0,0,0,0,0,0.88,0.158,0.86,0.09%,0.95,3,CF
8,660,8,2016-04-12,LAA,@,OAK,W 5-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.185,.303,.333,.636,0,0,0,0,0,0,1.09,-0.104,1.17,-0.07%,-0.90,3,CF
9,661,9,2016-04-13,LAA,@,OAK,W 5-1,CG,5,5,3,3,1,0,0,0,1,0,0,1,.250,.342,.406,.748,4,0,0,0,0,0,0.95,0.112,1.03,0.07%,1.17,3,CF
10,662,10,2016-04-15,LAA,@,MIN,L 4-5,CG,4,3,0,0,0,0,0,0,0,0,1,1,.229,.333,.371,.705,0,0,0,0,0,0,0.92,-0.013,0.93,-0.01%,-0.28,3,CF
11,663,11,2016-04-16,LAA,@,MIN,L 4-6,CG,4,4,0,1,0,0,0,0,0,0,0,1,.231,.326,.359,.685,1,0,0,0,0,0,1.37,-0.116,1.33,-0.07%,-0.94,3,CF
12,664,12,2016-04-17,LAA,@,MIN,L 2-3 (12),CG(12),5,4,1,1,1,0,0,0,0,0,1,1,.233,.333,.372,.705,2,0,0,0,0,0,1.00,-0.057,0.96,-0.03%,-0.16,3,CF
13,665,13,2016-04-18,LAA,@,CHW,W 7-0,CG,5,4,1,1,0,0,0,0,0,0,1,1,.234,.339,.362,.701,1,0,0,0,0,0,0.25,0.031,0.24,0.02%,0.19,3,CF
14,666,14,2016-04-19,LAA,@,CHW,L 0-5,CG,4,3,0,0,0,0,0,0,0,0,1,2,.220,.333,.340,.673,0,0,0,0,0,0,0.46,-0.024,0.45,-0.01%,-0.36,3,CF
15,667,15,2016-04-20,LAA,@,CHW,L 1-2,CG,4,4,0,3,0,0,0,0,0,1,0,0,.259,.359,.370,.730,3,0,0,0,0,0,1.14,-0.082,1.05,-0.05%,-0.34,3,CF
16,668,16,2016-04-21,LAA,@,CHW,W 3-2,CG,4,2,1,2,0,0,1,2,0,0,2,0,.286,.397,.446,.843,5,0,0,0,0,0,0.85,0.337,0.70,0.17%,2.64,3,CF
17,669,17,2016-04-22,LAA,,SEA,L 2-5 (10),CG(10),4,4,0,1,0,0,0,0,0,0,0,1,.283,.389,.433,.822,1,0,0,0,0,0,1.70,-0.099,1.71,-0.06%,-0.65,3,CF
18,670,18,2016-04-23,LAA,,SEA,W 4-2,CG,4,3,1,2,1,0,1,2,0,0,1,0,.302,.408,.508,.916,6,0,0,0,0,1,1.12,0.343,1.08,0.20%,2.16,3,CF
