Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,220,1,2020-07-24,MIN,@,CHW,W 10-5,CG,5,3,0,0,0,0,0,1,0,0,1,2,.000,.200,.000,.200,0,0,0,0,1,0,.000,0.81,0.004,0.95,0.00%,0.32,6,C
2,221,2,2020-07-25,MIN,@,CHW,L 3-10,CG,4,3,1,2,0,0,0,0,0,0,1,0,.333,.444,.333,.778,2,0,0,0,0,0,.667,0.65,0.055,0.77,0.04%,1.08,1,C
3,222,4,2020-07-28,MIN,,STL,W 6-3,CG,4,4,0,0,0,0,0,0,0,0,0,3,.200,.308,.200,.508,0,0,0,0,0,0,.000,0.79,-0.081,0.86,-0.05%,-1.25,6,C
4,223,6,2020-07-30,MIN,,CLE,L 0-2,CG,3,3,0,0,0,0,0,0,0,0,0,3,.154,.250,.154,.404,0,0,0,0,0,0,,0.65,-0.050,0.77,-0.04%,-0.39,6,C
5,224,8,2020-08-01,MIN,,CLE,W 3-0,CG,3,2,0,0,0,0,0,0,0,0,0,1,.133,.263,.133,.396,0,0,1,0,0,0,.000,0.54,-0.023,0.63,-0.02%,-0.52,5,C
6,225,9,2020-08-02,MIN,,CLE,W 3-1,CG,3,3,1,1,0,0,1,1,0,0,0,1,.167,.273,.333,.606,4,0,0,0,0,0,.000,0.60,0.064,0.71,0.05%,0.51,5,C
7,226,10,2020-08-03,MIN,,PIT,W 5-4,CG,5,3,1,0,0,0,0,0,0,0,2,0,.143,.296,.286,.582,0,0,0,0,0,0,.000,1.19,-0.048,1.18,-0.03%,0.04,1,C
8,227,12,2020-08-05,MIN,@,PIT,W 5-2,CG,4,3,1,0,0,0,0,0,0,0,1,2,.125,.290,.250,.540,0,0,0,0,0,0,.000,1.15,-0.093,0.98,-0.05%,-0.72,7,C
9,228,14,2020-08-07,MIN,@,KCR,L 2-3,CG,4,3,0,0,0,0,0,0,0,0,1,1,.111,.286,.222,.508,0,0,0,0,0,0,.000,1.19,-0.082,1.04,-0.04%,-0.35,7,C
10,229,15,2020-08-08,MIN,@,KCR,L 6-9,CG,5,5,0,0,0,0,0,0,0,0,0,2,.094,.250,.188,.438,0,0,0,0,0,0,.000,0.75,-0.098,0.73,-0.06%,-1.13,1,C
11,230,18,2020-08-11,MIN,@,MIL,L 4-6,CG,4,4,0,1,0,0,0,0,0,0,0,3,.111,.250,.194,.444,1,0,0,0,0,0,1.000,0.80,-0.071,0.83,-0.04%,-0.56,6,C
12,231,19,2020-08-12,MIN,@,MIL,W 12-2,CG,6,6,2,3,0,0,0,0,0,0,0,0,.167,.280,.238,.518,3,0,0,0,0,0,.500,0.33,-0.009,0.37,-0.01%,0.44,1,C
13,232,21,2020-08-15 (2),MIN,,KCR,L 2-4 (7),CG(7),3,3,1,0,0,0,0,0,0,0,0,2,.156,.264,.222,.486,0,0,0,0,0,0,.000,1.31,0.030,1.40,0.02%,0.47,1,C
14,233,22,2020-08-16,MIN,,KCR,W 4-2,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.152,.259,.217,.477,0,0,0,0,0,0,,0.19,-0.005,0.22,0.00%,-0.17,7,C
15,234,23,2020-08-17,MIN,,KCR,W 4-1,CG,4,3,0,0,0,0,0,0,0,0,1,1,.143,.259,.204,.463,0,1,0,0,0,0,.000,0.73,-0.087,0.77,-0.06%,-0.94,2,C
16,235,24,2020-08-18,MIN,,MIL,W 4-3 (12),11-GF(12),0,0,0,0,0,0,0,0,0,0,0,0,.143,.259,.204,.463,0,,0,0,,,,,,,,,5,1B
17,236,25,2020-08-19,MIN,,MIL,L 3-9,GS-7,3,3,0,1,0,0,0,0,0,0,0,2,.154,.262,.212,.474,1,0,0,0,0,0,1.000,0.57,0.023,0.44,0.01%,0.05,2,C
18,237,53,2020-09-18,MIN,@,CHC,L 0-1,CG,3,3,0,0,0,0,0,0,0,0,0,2,.145,.250,.200,.450,0,0,0,0,0,0,.000,1.01,-0.080,0.60,-0.03%,-0.63,6,C
19,238,54,2020-09-19,MIN,@,CHC,W 8-1,7-GF,2,2,0,1,0,0,0,2,0,0,0,1,.158,.258,.211,.468,1,0,0,0,0,0,1.000,0.31,0.028,0.19,0.01%,1.05,9,PH C
20,239,55,2020-09-20,MIN,@,CHC,W 4-0,CG,4,4,0,0,0,0,0,0,0,0,0,3,.148,.243,.197,.440,0,0,0,0,0,0,.000,1.11,-0.135,0.67,-0.05%,-1.77,7,C
21,240,56,2020-09-22,MIN,,DET,W 5-4 (10),CG(10),5,5,1,1,0,0,1,1,0,0,0,3,.152,.240,.242,.482,4,0,0,0,0,0,.000,1.74,-0.067,1.01,-0.02%,-0.27,5,C
22,241,58,2020-09-25,MIN,,CIN,L 2-7,CG,4,4,0,1,1,0,0,0,0,0,0,3,.157,.241,.257,.498,2,0,0,0,0,0,1.000,1.86,-0.087,0.80,-0.02%,-0.46,8,C
23,242,60,2020-09-27,MIN,,CIN,L 3-5 (10),8-GF(10),2,2,0,1,0,0,0,0,0,0,0,1,.167,.247,.264,.511,1,0,0,0,0,0,1.000,2.66,-0.015,0.93,0.00%,0.02,9,PH C
,,,,,,,13-10,,81,72,8,12,1,0,2,5,0,0,7,37,.167,.247,.264,.511,19,1,1,0,1,0,.294,0.96,-0.827,0.77,-0.39%,-5.17,,
