Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,566,2,2025-03-28,SEA,,ATH,L 0-7,CG,4,3,0,1,0,0,0,0,0,0,1,0,.333,.500,.333,.833,1,0,0,0,0,0,.333,0.72,0.063,0.71,0.04%,0.61,5.00,6.00,5,C
2,567,3,2025-03-29,SEA,,ATH,L 2-4,6-GF,2,2,0,0,0,0,0,0,0,0,0,1,.200,.333,.200,.533,0,0,0,0,0,0,.000,2.00,-0.092,2.00,-0.06%,-0.54,0.00,0.00,5,PH DH
3,568,4,2025-03-30,SEA,,ATH,W 2-1,CG,3,3,0,0,0,0,0,0,0,0,0,1,.125,.222,.125,.347,0,0,0,0,0,0,.000,0.90,-0.069,0.84,-0.04%,-0.62,0.00,0.00,5,DH
4,569,7,2025-04-02,SEA,,DET,W 3-2,CG,4,4,0,0,0,0,0,0,0,0,0,3,.083,.154,.083,.237,0,0,0,0,0,0,.000,0.87,-0.092,0.74,-0.05%,-1.00,0.00,0.00,5,C
5,570,9,2025-04-05,SEA,@,SFG,L 1-4,CG,4,2,0,0,0,0,0,0,0,0,2,0,.071,.235,.071,.307,0,0,0,0,0,0,.000,0.67,0.030,0.54,0.01%,0.18,4.00,6.00,5,C
6,571,10,2025-04-06,SEA,@,SFG,L 4-5,8-GF,2,2,0,1,0,0,0,0,0,0,0,0,.125,.263,.125,.388,1,0,0,0,0,0,.500,5.20,-0.038,3.89,-0.02%,-0.15,3.00,3.00,6,PH DH
7,572,12,2025-04-08,SEA,,HOU,L 1-2 (12),CG(12),5,4,1,1,0,0,0,0,1,0,0,2,.150,.292,.150,.442,1,1,1,0,0,0,.500,2.49,-0.266,2.08,-0.13%,-0.69,12.00,15.20,5,C
8,573,13,2025-04-09,SEA,,HOU,W 7-6,8-GF,2,1,0,0,0,0,0,0,0,0,1,0,.143,.308,.143,.451,0,0,0,0,0,0,.000,3.24,-0.057,2.60,-0.03%,-0.60,2.00,3.00,2,PH DH
9,574,16,2025-04-13,SEA,,TEX,W 3-1,8-GF,1,1,0,1,0,0,0,0,0,0,0,0,.182,.333,.182,.515,1,0,0,0,0,0,1.000,0.18,0.008,0.17,0.01%,0.37,3.00,3.00,2,PH DH
10,575,17,2025-04-15,SEA,@,CIN,L 4-8,CG,4,3,0,0,0,0,0,0,0,0,1,2,.160,.323,.160,.483,0,0,0,0,0,0,.000,0.83,-0.056,0.78,-0.03%,-0.50,2.00,3.00,5,C
11,576,18,2025-04-16,SEA,@,CIN,W 5-3,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.154,.313,.154,.466,0,0,0,0,0,0,.000,1.02,-0.027,0.89,-0.01%,-0.46,0.00,0.00,2,PH DH
12,577,19,2025-04-17,SEA,@,CIN,W 11-7 (10),8-GF(10),2,1,1,0,0,0,0,0,0,0,1,0,.148,.324,.148,.472,0,0,0,0,0,0,.000,2.80,-0.031,2.61,-0.02%,-0.46,4.00,6.20,2,PH DH
13,578,21,2025-04-19,SEA,@,TOR,W 8-4 (12),7-10,2,2,0,1,0,0,0,0,0,0,0,1,.172,.333,.172,.506,1,0,0,0,0,0,1.000,2.60,-0.091,2.58,-0.05%,-0.31,3.00,3.00,2,PH DH
14,579,22,2025-04-20,SEA,@,TOR,W 8-3,CG,5,5,1,2,0,0,0,1,0,0,0,1,.206,.341,.206,.547,2,0,0,0,0,0,.500,0.39,0.017,0.39,0.01%,0.68,10.00,12.70,5,C
15,580,24,2025-04-23,SEA,@,BOS,W 8-5,CG,5,4,0,1,0,0,0,1,0,0,1,3,.211,.348,.211,.558,1,0,0,0,0,0,1.000,0.68,0.067,0.73,0.04%,0.82,7.00,9.50,5,DH
16,581,25,2025-04-24,SEA,@,BOS,W 4-3,CG,5,4,0,1,1,0,0,2,0,0,1,1,.214,.353,.238,.591,2,1,0,0,0,0,.333,0.87,0.140,0.93,0.09%,1.18,11.00,16.00,5,C
17,582,27,2025-04-26,SEA,,MIA,W 14-0,6-GF,2,2,1,1,0,0,1,2,0,0,0,1,.227,.358,.318,.677,4,0,0,0,0,0,,0.00,0.000,0.00,0.00%,1.67,16.00,22.20,3,PH C
18,583,30,2025-04-30,SEA,,LAA,W 9-3,CG,4,2,1,0,0,0,0,0,1,0,2,0,.217,.368,.304,.673,0,0,0,0,0,0,.000,0.84,0.036,1.05,0.03%,1.18,11.00,15.20,5,C
19,584,31,2025-05-02,SEA,@,TEX,W 13-1,6-GF,3,2,1,1,0,0,0,0,0,0,1,0,.229,.383,.313,.696,1,0,0,0,0,0,.500,0.01,0.001,0.01,0.00%,0.40,7.00,9.20,2,PH DH
20,585,32,2025-05-03,SEA,@,TEX,W 2-1,CG,4,3,0,1,0,0,0,0,0,0,1,1,.235,.391,.314,.704,1,1,0,0,0,0,.500,1.91,-0.140,2.54,-0.11%,-0.53,5.00,6.00,5,DH
21,586,33,2025-05-04,SEA,@,TEX,L 1-8,8-GF,1,0,0,0,0,0,0,0,0,0,1,0,.235,.400,.314,.714,0,0,0,0,0,0,,0.20,0.006,0.26,0.01%,0.25,2.00,3.00,2,PH DH
22,587,34,2025-05-05,SEA,@,ATH,L 6-7 (11),11-11,1,1,0,0,0,0,0,0,0,0,0,0,.231,.394,.308,.702,0,0,0,0,0,0,.000,3.42,-0.092,4.94,-0.08%,-0.34,0.00,0.00,9,PH
23,588,35,2025-05-06,SEA,@,ATH,W 5-3,GS-9,4,4,0,0,0,0,0,0,0,0,0,2,.214,.371,.286,.657,0,0,0,0,0,0,.000,1.92,-0.197,2.64,-0.16%,-1.45,0.00,0.00,5,C
24,589,39,2025-05-11,SEA,,TOR,L 1-9,CG,3,3,0,0,0,0,0,0,0,0,0,1,.203,.356,.271,.627,0,0,0,0,0,0,.000,0.52,-0.038,0.66,-0.03%,-0.39,0.00,0.00,6,C
25,590,40,2025-05-12,SEA,,NYY,L 5-11,8-GF,1,0,1,0,0,0,0,0,0,0,1,0,.203,.365,.271,.636,0,0,0,0,0,0,,0.23,0.007,0.30,0.01%,0.24,4.00,6.20,2,PH DH
26,591,41,2025-05-13,SEA,,NYY,W 2-1 (11),CG(11),4,4,0,1,0,0,0,0,0,0,0,1,.206,.359,.270,.629,1,0,0,0,0,0,.333,0.87,-0.047,1.10,-0.04%,-0.27,3.00,3.00,5,DH
27,592,42,2025-05-14,SEA,,NYY,L 2-3,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.203,.354,.266,.620,0,0,0,0,0,0,,1.64,-0.041,2.07,-0.03%,-0.09,0.00,0.00,9,PH
28,593,43,2025-05-16,SEA,@,SDP,W 5-1,7-GF,2,2,0,0,0,0,0,0,0,0,0,0,.197,.346,.258,.603,0,0,0,0,0,0,.000,0.10,-0.005,0.12,0.00%,-0.80,0.00,0.00,2,PH DH
29,594,45,2025-05-18,SEA,@,SDP,W 6-1,CG,4,4,1,2,0,0,0,1,0,0,0,0,.214,.353,.271,.624,2,0,0,0,0,0,.500,1.01,0.028,1.21,0.02%,0.30,10.00,12.70,6,C
30,595,46,2025-05-19,SEA,@,CHW,W 5-1,8-GF,2,2,1,1,0,0,0,0,0,0,0,0,.222,.356,.278,.634,1,0,0,0,0,0,.500,0.95,0.052,1.19,0.04%,-0.10,5.00,6.20,2,PH DH
