Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,351,1,2021-04-01,SEA,,SFG,W 8-7 (10),CG(10),5,5,1,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,1,0,0,0,0,0,.200,0.78,-0.055,0.72,-0.03%,-0.51,1,RF
2,352,2,2021-04-02,SEA,,SFG,L 3-6,CG,4,4,1,1,0,0,0,0,0,0,0,2,.222,.222,.222,.444,1,0,0,0,0,0,.500,0.71,-0.008,0.69,-0.01%,-0.18,1,RF
3,353,3,2021-04-03,SEA,,SFG,W 4-0,CG,4,4,1,2,1,0,1,1,0,0,0,1,.308,.308,.615,.923,6,0,0,0,0,0,.500,0.54,0.061,0.49,0.03%,1.23,1,DH
4,354,4,2021-04-05,SEA,,CHW,L 0-6,CG,4,4,0,2,2,0,0,0,0,0,0,2,.353,.353,.706,1.059,4,0,0,0,0,0,1.000,0.68,0.004,0.66,0.00%,0.32,1,RF
5,355,5,2021-04-06,SEA,,CHW,L 4-10,CG,5,5,1,1,0,0,0,2,0,0,0,1,.318,.318,.591,.909,1,0,0,0,0,0,.250,0.96,0.001,0.90,0.00%,0.26,1,RF
6,356,6,2021-04-07,SEA,,CHW,W 8-4,CG,5,3,0,0,0,0,0,1,0,0,1,1,.280,.296,.520,.816,0,0,0,0,1,0,.000,1.51,-0.007,1.30,0.00%,-0.32,1,DH
7,357,7,2021-04-08,SEA,@,MIN,L 2-10,CG,4,3,0,1,0,0,0,0,0,0,1,1,.286,.323,.500,.823,1,0,0,0,0,0,.500,0.79,-0.036,0.75,-0.02%,-0.71,1,RF
8,358,8,2021-04-10,SEA,@,MIN,W 4-3 (10),CG(10),5,4,1,1,0,0,1,2,0,0,0,1,.281,.306,.563,.868,4,0,0,0,1,0,.000,2.50,0.041,2.30,0.02%,0.07,1,RF
9,359,9,2021-04-11,SEA,@,MIN,W 8-6,CG,5,5,1,1,0,0,0,0,0,0,0,3,.270,.293,.514,.806,1,0,0,0,0,0,.500,1.29,0.018,1.29,0.01%,-0.62,1,RF
10,360,10,2021-04-13 (1),SEA,@,BAL,W 4-3 (8),CG(8),4,4,1,1,0,0,0,1,0,0,0,0,.268,.289,.488,.777,1,0,0,0,0,0,.250,0.87,0.024,0.87,0.01%,0.34,1,RF
11,361,11,2021-04-13 (2),SEA,@,BAL,L 6-7 (7),CG(7),4,4,1,3,1,0,0,0,0,0,0,0,.311,.327,.533,.860,4,0,0,0,0,0,.750,1.46,0.207,1.55,0.13%,1.30,1,DH
12,362,12,2021-04-15 (1),SEA,@,BAL,W 4-2 (7),CG(7),4,4,1,1,0,0,1,2,0,0,0,0,.306,.321,.571,.892,4,0,0,0,0,0,.000,0.82,0.226,0.84,0.14%,1.17,1,RF
13,363,13,2021-04-15 (2),SEA,@,BAL,W 2-1 (7),CG(7),4,4,1,2,0,0,1,1,0,0,0,0,.321,.333,.623,.956,5,1,0,0,0,0,.333,0.91,0.118,0.99,0.08%,0.08,1,RF
14,364,14,2021-04-16,SEA,,HOU,W 6-5,CG,5,4,1,3,0,0,0,1,0,0,1,0,.351,.371,.632,1.003,3,0,0,0,0,0,.750,1.71,0.301,2.08,0.22%,2.26,1,DH
15,365,15,2021-04-17,SEA,,HOU,L 0-1,CG,4,4,0,0,0,0,0,0,0,0,0,2,.328,.348,.590,.939,0,0,0,0,0,0,.000,1.60,-0.164,1.99,-0.12%,-0.86,1,RF
16,366,16,2021-04-18,SEA,,HOU,W 7-2,CG,4,4,2,2,1,1,0,3,0,0,0,0,.338,.357,.631,.988,5,0,0,0,0,0,.500,1.28,0.276,1.60,0.21%,2.72,1,RF
17,367,17,2021-04-19,SEA,,LAD,W 4-3,CG,4,4,0,0,0,0,0,0,0,0,0,3,.319,.338,.594,.932,0,0,0,0,0,0,.000,0.62,-0.063,0.68,-0.04%,-0.73,1,RF
18,368,18,2021-04-20,SEA,,LAD,L 0-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.315,.333,.575,.909,1,0,0,0,0,0,.333,1.49,-0.123,1.70,-0.08%,-0.50,1,RF
19,369,19,2021-04-22,SEA,@,BOS,W 7-3 (10),CG(10),5,3,2,1,0,0,1,3,0,0,2,0,.316,.349,.605,.955,4,0,0,0,0,0,.000,1.73,0.348,1.93,0.23%,2.67,1,RF
20,370,20,2021-04-23,SEA,@,BOS,L 5-6,CG,5,5,1,1,1,0,0,0,0,0,0,3,.309,.341,.593,.934,2,0,0,0,0,0,.500,1.31,-0.096,1.50,-0.07%,-1.01,1,RF
21,371,21,2021-04-24,SEA,@,BOS,W 8-2,CG,5,5,0,0,0,0,0,0,0,0,0,1,.291,.323,.558,.881,0,0,0,0,0,0,.000,0.48,-0.066,0.57,-0.05%,-1.13,1,RF
22,372,22,2021-04-25,SEA,@,BOS,L 3-5,CG,4,3,1,1,1,0,0,0,0,0,1,0,.292,.330,.562,.892,2,0,0,0,0,0,.333,1.18,0.052,1.38,0.04%,0.31,1,DH
23,373,23,2021-04-26,SEA,@,HOU,L 2-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.280,.317,.538,.854,0,0,0,0,0,0,.000,1.02,-0.105,1.32,-0.08%,-1.12,1,RF
24,374,24,2021-04-27,SEA,@,HOU,L 0-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,.268,.305,.515,.820,0,1,0,0,0,0,.000,1.15,-0.143,1.44,-0.11%,-1.21,1,RF
25,375,27,2021-04-30,SEA,,LAA,W 7-4,CG,5,4,1,2,0,0,1,1,0,0,1,2,.277,.318,.545,.863,5,0,0,0,0,0,1.000,0.57,0.071,0.69,0.05%,1.19,1,RF
26,376,28,2021-05-01,SEA,,LAA,L 5-10,CG,5,5,1,1,0,0,1,2,0,0,0,0,.274,.313,.557,.870,4,0,0,0,0,0,.000,0.26,-0.010,0.33,-0.01%,1.89,1,RF
27,377,29,2021-05-02,SEA,,LAA,W 2-0,CG,4,2,0,0,0,0,0,1,0,0,1,2,.269,.311,.546,.857,0,0,0,0,1,0,.000,1.05,-0.026,1.34,-0.02%,-0.28,1,DH
28,378,30,2021-05-03,SEA,,BAL,L 3-5,CG,4,4,1,1,0,0,1,2,0,0,0,0,.268,.309,.563,.871,4,0,0,0,0,0,.000,0.69,0.024,0.80,0.02%,1.25,1,RF
29,379,31,2021-05-04,SEA,,BAL,W 5-2,CG,4,3,1,0,0,0,0,0,0,0,1,1,.261,.307,.548,.855,0,0,0,0,0,0,.000,1.57,0.000,1.75,0.00%,-0.16,1,DH
30,380,32,2021-05-05,SEA,,BAL,L 0-6,CG,3,3,0,0,0,0,0,0,0,0,0,2,.254,.300,.534,.834,0,0,0,0,0,0,.000,1.02,-0.078,1.16,-0.05%,-0.70,1,RF
31,381,33,2021-05-07,SEA,@,TEX,W 5-4,CG,5,5,0,1,0,0,0,1,0,0,0,0,.252,.296,.520,.817,1,0,0,0,0,0,.200,1.09,0.116,1.39,0.09%,0.18,1,RF
32,382,34,2021-05-08,SEA,@,TEX,L 8-9,CG,5,4,2,1,0,0,0,0,0,0,1,3,.252,.300,.512,.812,1,0,0,0,0,0,1.000,0.74,0.076,0.95,0.06%,0.14,1,RF
