Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,130,1,2023-03-30,KCR,,MIN,L 0-2,CG,4,3,0,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,0,2,0,0,0,0,.000,1.80,-0.264,1.79,-0.16%,-1.93,2,RF
2,131,2,2023-04-01,KCR,,MIN,L 0-2,CG,4,3,0,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,0,0,0,0,0,0,.000,1.20,-0.043,1.15,-0.03%,-0.19,2,RF
3,132,3,2023-04-02,KCR,,MIN,L 4-7,CG,4,3,0,0,0,0,0,0,0,0,1,3,.000,.250,.000,.250,0,0,0,0,0,0,,0.81,-0.011,0.75,-0.01%,-0.08,1,DH
4,133,4,2023-04-03,KCR,,TOR,W 9-5,CG,5,5,2,2,1,0,1,2,0,0,0,3,.143,.294,.429,.723,6,0,0,0,0,0,1.000,0.31,0.049,0.24,0.02%,1.26,1,C
5,134,6,2023-04-05,KCR,,TOR,L 0-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.111,.238,.333,.571,0,0,0,0,0,0,.000,1.37,-0.189,1.05,-0.09%,-1.74,2,RF
6,135,7,2023-04-06,KCR,,TOR,L 3-6,CG,5,3,1,0,0,0,0,0,0,0,2,2,.095,.269,.286,.555,0,0,0,0,0,0,.000,0.52,-0.002,0.39,0.00%,0.26,2,C
7,136,8,2023-04-07,KCR,@,SFG,W 3-1,CG,4,4,0,1,0,0,0,0,0,0,0,0,.120,.267,.280,.547,1,0,0,0,0,0,.250,1.00,-0.044,0.66,-0.02%,-0.39,1,RF
8,137,9,2023-04-08,KCR,@,SFG,W 6-5,CG,4,4,1,2,1,0,0,0,0,0,0,1,.172,.294,.345,.639,3,0,0,0,0,0,.667,0.86,0.053,0.60,0.02%,0.37,3,RF
9,138,10,2023-04-09,KCR,@,SFG,L 1-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.152,.263,.303,.566,0,0,0,0,0,0,.000,0.98,-0.103,0.74,-0.05%,-1.00,1,C
10,139,12,2023-04-11,KCR,@,TEX,L 5-8 (10),CG(10),5,4,0,1,0,0,0,1,0,0,1,2,.162,.279,.297,.576,1,0,0,0,0,0,.500,2.39,0.220,1.70,0.09%,0.57,2,C RF
11,140,13,2023-04-12,KCR,@,TEX,W 10-1,CG,5,5,1,2,1,0,0,3,0,0,0,2,.190,.292,.333,.625,3,0,0,0,0,0,.667,0.68,0.229,0.47,0.09%,1.83,1,C RF
12,141,14,2023-04-14,KCR,,ATL,L 3-10,CG,5,4,2,1,1,0,0,0,0,0,1,2,.196,.302,.348,.650,2,0,0,0,0,0,.500,0.31,0.073,0.20,0.03%,0.93,1,RF
