Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,128,1,2021-04-01,CIN,,STL,L 6-11,GS-4,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,0.32,-0.009,0.35,-0.01%,-0.18,6,CF
2,129,2,2021-04-03,CIN,,STL,W 9-6,6-GF,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.03,-0.001,0.03,0.00%,-0.18,1,CF
3,130,3,2021-04-04,CIN,,STL,W 12-1,CG,4,3,1,0,0,0,0,0,0,0,1,0,.000,.167,.000,.167,0,0,0,0,0,0,.000,0.57,-0.030,0.60,-0.02%,-0.09,6,CF
4,131,4,2021-04-05,CIN,,PIT,W 5-3,CG,4,2,2,0,0,0,0,0,0,0,2,1,.000,.300,.000,.300,0,0,0,0,0,0,.000,0.95,-0.030,1.08,-0.02%,0.11,6,CF
5,132,5,2021-04-06,CIN,,PIT,W 14-1,CG,5,4,4,3,0,0,0,0,0,0,1,0,.273,.467,.273,.739,3,0,0,0,0,0,.750,0.30,0.098,0.35,0.07%,2.50,6,CF
6,133,6,2021-04-07,CIN,,PIT,W 11-4,CG,4,3,2,2,2,0,0,1,0,0,1,1,.357,.526,.500,1.026,4,0,0,0,0,0,1.000,0.50,0.062,0.60,0.04%,2.67,5,CF
7,134,7,2021-04-09,CIN,@,ARI,W 6-5 (10),6-GF(10),2,2,0,0,0,0,0,0,0,0,0,1,.313,.476,.438,.914,0,0,0,0,0,0,.000,0.30,-0.014,0.32,-0.01%,-0.58,1,PH CF
8,135,8,2021-04-10,CIN,@,ARI,L 3-8,CG,4,4,0,3,0,0,0,1,1,1,0,0,.400,.520,.500,1.020,3,0,0,0,0,0,.750,0.99,0.017,1.13,0.01%,0.14,6,CF
9,136,9,2021-04-11,CIN,@,ARI,L 0-7,CG,3,3,0,0,0,0,0,0,0,0,0,0,.348,.464,.435,.899,0,0,0,0,0,0,.000,0.28,-0.022,0.31,-0.02%,-0.65,6,CF
10,137,10,2021-04-12,CIN,@,SFG,W 3-0,CG,4,4,0,0,0,0,0,0,0,0,0,1,.296,.406,.370,.777,0,0,0,0,0,0,.000,0.52,-0.053,0.56,-0.04%,-0.99,6,CF
11,138,11,2021-04-13,CIN,@,SFG,L 6-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,.258,.361,.323,.684,0,0,0,0,0,0,.000,1.01,-0.104,1.15,-0.07%,-0.61,6,CF
12,139,12,2021-04-14,CIN,@,SFG,L 0-3,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.250,.351,.313,.664,0,0,0,0,0,0,.000,0.51,-0.014,0.56,-0.01%,-0.10,9,CF
13,140,13,2021-04-16,CIN,,CLE,W 10-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.222,.317,.278,.595,0,0,0,0,0,0,.000,0.25,-0.026,0.26,-0.02%,-1.12,5,CF
14,141,14,2021-04-17,CIN,,CLE,W 3-2 (10),9-GF(10),0,0,1,0,0,0,0,0,0,0,0,0,.222,.317,.278,.595,0,,0,0,,,,,0.000,,0.00%,0.00,9,PR 3B
15,142,15,2021-04-18,CIN,,CLE,L 3-6,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.216,.310,.270,.580,0,0,0,0,0,0,,1.99,-0.048,2.17,-0.03%,-0.38,8,PH
16,143,16,2021-04-20,CIN,,ARI,L 4-5,GS-8,4,4,0,0,0,0,0,0,0,0,0,0,.195,.283,.244,.527,0,0,0,0,0,0,.000,1.20,-0.126,1.34,-0.09%,-1.18,5,CF
17,144,17,2021-04-21,CIN,,ARI,L 5-8 (10),CG(10),4,3,0,2,0,0,0,0,0,1,1,0,.227,.320,.273,.593,2,0,0,0,0,0,.667,1.43,-0.010,1.48,-0.01%,0.42,5,CF
18,145,18,2021-04-22,CIN,,ARI,L 11-14 (10),GS-8,4,4,0,0,0,0,0,0,0,0,0,1,.208,.296,.250,.546,0,0,0,0,0,0,.000,0.96,-0.104,0.98,-0.06%,-0.82,5,CF
19,146,19,2021-04-23,CIN,@,STL,L 4-5,CG,4,4,0,2,1,0,0,0,0,0,0,0,.231,.310,.288,.599,3,0,0,0,0,0,.500,0.58,0.025,0.62,0.02%,0.19,6,CF
20,147,21,2021-04-25,CIN,@,STL,L 2-5,CG,4,2,0,0,0,0,0,0,0,0,2,0,.222,.323,.278,.600,0,0,0,0,0,0,.000,0.75,0.062,0.74,0.04%,0.51,6,2B CF
21,148,22,2021-04-26,CIN,@,LAD,W 5-3 (10),CG(10),5,4,0,0,0,0,0,1,0,0,0,1,.207,.299,.259,.557,0,0,0,0,1,0,.000,1.14,-0.087,0.94,-0.04%,-0.90,5,CF
22,149,23,2021-04-27,CIN,@,LAD,W 6-5,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.203,.294,.254,.548,0,0,0,0,0,0,.000,0.53,-0.013,0.47,-0.01%,-0.17,9,PH CF
23,150,24,2021-04-28,CIN,@,LAD,L 0-8,CG,4,4,0,4,0,0,0,0,1,1,0,0,.254,.333,.302,.635,4,0,0,0,0,0,1.000,1.28,0.197,1.22,0.11%,1.56,1,2B CF
24,151,25,2021-04-30,CIN,,CHC,W 8-6,CG,4,4,1,1,0,0,1,2,0,0,0,0,.254,.329,.343,.672,4,0,0,0,0,0,.000,0.39,0.087,0.38,0.05%,1.10,7,2B CF
25,152,26,2021-05-01,CIN,,CHC,L 2-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.239,.313,.324,.636,0,0,0,0,0,0,.000,1.15,-0.121,1.17,-0.08%,-0.90,6,CF
26,153,27,2021-05-02,CIN,,CHC,W 13-12 (10),CG(10),5,3,1,1,0,0,0,0,0,1,2,1,.243,.329,.324,.654,1,0,0,0,0,0,.500,1.29,-0.082,1.16,-0.04%,-0.18,7,2B CF
