Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,124,2023-08-19,CIN,,TOR,L 3-4,9-GF,0,0,0,0,0,0,0,0,1,0,0,0,,,,,0,,0,0,,,,7.16,0.207,8.31,0.14%,0.50,5,PR
2,2,125,2023-08-20,CIN,,TOR,L 3-10,CG,4,4,0,1,1,0,0,0,0,0,0,1,.250,.250,.500,.750,2,0,0,0,0,0,.333,0.40,0.039,0.45,0.03%,0.84,7,3B
3,3,126,2023-08-22,CIN,@,LAA,W 4-3,CG,4,4,0,1,0,0,0,0,1,0,0,3,.250,.250,.375,.625,1,0,0,0,0,0,1.000,0.86,-0.022,0.88,-0.01%,-0.24,7,3B
4,4,128,2023-08-23 (2),CIN,@,LAA,W 7-3,CG,5,4,0,0,0,0,0,1,0,0,1,0,.167,.231,.250,.481,0,0,0,0,0,0,.000,1.06,0.018,1.24,0.01%,-0.21,1,3B
5,5,129,2023-08-24,CIN,@,ARI,L 2-3,CG,3,2,1,1,1,0,0,0,1,0,1,0,.214,.313,.357,.670,2,0,0,0,0,0,.500,1.20,0.128,1.75,0.11%,0.88,7,3B
6,6,130,2023-08-25,CIN,@,ARI,L 8-10,CG,4,4,0,1,0,0,0,0,0,0,0,2,.222,.300,.333,.633,1,0,0,0,0,0,.500,1.01,-0.012,1.38,-0.01%,-1.00,7,3B
7,7,131,2023-08-26,CIN,@,ARI,W 8-7 (11),CG(11),5,4,1,1,1,0,0,0,1,0,1,2,.227,.320,.364,.684,2,1,0,0,0,0,.500,1.81,-0.106,2.53,-0.09%,-0.43,7,3B
8,8,132,2023-08-27,CIN,@,ARI,L 2-5,CG,3,3,0,1,0,0,0,1,0,0,0,0,.240,.321,.360,.681,1,0,0,0,0,0,.333,1.06,0.159,1.52,0.14%,0.68,7,3B
9,9,133,2023-08-28,CIN,@,SFG,L 1-4,CG,4,4,0,0,0,0,0,0,0,0,0,2,.207,.281,.310,.592,0,0,0,0,0,0,.000,0.75,-0.079,1.02,-0.07%,-0.87,1,3B
10,10,134,2023-08-29,CIN,@,SFG,L 1-6,CG,3,3,0,0,0,0,0,0,0,0,0,1,.188,.257,.281,.538,0,0,0,0,0,0,.000,0.38,-0.029,0.51,-0.02%,-0.64,8,3B
11,11,135,2023-08-30,CIN,@,SFG,W 4-1,CG,4,3,0,0,0,0,0,0,1,0,1,2,.171,.256,.257,.514,0,0,0,0,0,0,.000,0.57,-0.058,0.70,-0.04%,-0.08,8,3B
12,12,136,2023-09-01 (1),CIN,,CHC,L 2-6,CG,4,3,1,2,0,0,0,1,0,0,1,0,.211,.302,.289,.592,2,0,0,0,0,0,.667,1.14,0.124,1.53,0.10%,1.40,8,3B DH
13,13,137,2023-09-01 (2),CIN,,CHC,W 3-2,CG,4,4,0,1,0,0,0,1,0,0,0,1,.214,.298,.286,.584,1,0,0,0,0,0,.333,2.27,0.243,2.71,0.18%,0.01,8,3B
14,14,138,2023-09-02,CIN,,CHC,W 2-1,CG,3,3,0,1,0,0,0,0,0,0,0,1,.222,.300,.289,.589,1,0,0,0,0,0,.500,1.36,-0.041,1.88,-0.03%,0.02,8,3B
15,15,139,2023-09-03,CIN,,CHC,L 7-15,CG,4,4,0,1,1,0,0,2,0,0,0,1,.224,.296,.306,.602,2,0,0,0,0,0,.333,0.68,-0.052,1.06,-0.05%,1.07,8,3B
16,16,140,2023-09-04,CIN,,SEA,W 6-3,CG,4,3,1,0,0,0,0,0,0,0,0,0,.212,.293,.288,.582,0,0,1,0,0,0,.000,0.52,-0.016,0.62,-0.01%,-1.03,8,3B
17,17,141,2023-09-05,CIN,,SEA,W 7-6,CG,4,3,2,3,1,0,1,1,0,1,1,0,.255,.339,.400,.739,7,0,0,0,0,0,1.000,0.95,0.142,1.21,0.11%,1.65,8,3B
18,18,142,2023-09-06,CIN,,SEA,L 4-8,CG,4,4,0,1,0,0,0,0,0,0,0,1,.254,.333,.390,.723,1,0,0,0,0,0,.333,0.75,0.037,0.97,0.03%,0.03,8,3B
19,19,143,2023-09-08,CIN,,STL,L 4-9,CG,4,4,1,1,0,0,0,0,1,0,0,0,.254,.329,.381,.710,1,0,0,0,0,0,.250,1.50,0.007,1.95,0.01%,0.23,8,3B
20,20,144,2023-09-09,CIN,,STL,L 3-4,GS-1,0,0,0,0,0,0,0,0,0,0,0,0,.254,.329,.381,.710,0,,0,0,,,,,,,,,8,3B
21,21,146,2023-09-12,CIN,@,DET,W 6-5 (10),10-GF(10),0,0,1,0,0,0,0,0,0,0,0,0,.254,.329,.381,.710,0,,0,0,,,,,0.000,,0.00%,0.00,4,PR 3B DH
22,22,147,2023-09-13,CIN,@,DET,W 4-3,CG,4,4,1,2,0,0,0,0,0,0,0,1,.269,.338,.388,.726,2,0,0,0,0,0,.667,1.53,0.079,1.98,0.06%,0.71,7,SS 3B
23,23,148,2023-09-14,CIN,@,DET,L 2-8,8-GF,1,1,0,1,0,0,0,0,0,0,0,0,.279,.347,.397,.744,1,0,0,0,0,0,1.000,1.67,0.076,2.57,0.07%,0.61,9,PH SS
24,24,149,2023-09-15,CIN,@,NYM,W 5-3,CG,4,4,1,3,0,0,0,0,0,0,0,0,.306,.367,.417,.784,3,0,0,0,0,0,.750,1.36,0.063,2.01,0.06%,0.39,6,SS
25,25,151,2023-09-17,CIN,@,NYM,L 4-8,CG,4,4,0,1,0,0,0,1,0,0,0,0,.303,.361,.408,.769,1,0,0,0,0,0,.250,0.84,0.060,1.53,0.07%,0.44,5,3B
26,26,152,2023-09-18,CIN,,MIN,W 7-3,CG,4,3,1,1,0,0,0,1,0,0,1,0,.304,.368,.405,.773,1,0,0,0,0,0,.333,0.71,0.141,1.25,0.15%,1.15,8,3B
27,27,153,2023-09-19,CIN,,MIN,L 0-7,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.304,.368,.405,.773,0,,0,0,,,,,,,,,1,2B
28,28,154,2023-09-20,CIN,,MIN,L 3-5,CG,4,4,0,1,0,0,0,0,0,0,0,1,.301,.363,.398,.760,1,0,0,0,0,0,.333,0.50,-0.022,0.86,-0.02%,-0.30,7,SS
29,29,155,2023-09-22,CIN,,PIT,L 5-7,CG,5,5,0,1,0,0,0,1,0,0,0,2,.295,.354,.386,.741,1,0,0,0,0,0,.333,2.12,-0.097,3.61,-0.10%,-0.71,6,3B
30,30,156,2023-09-23,CIN,,PIT,L 12-13,GS-9,4,4,0,1,0,0,0,0,0,0,0,0,.293,.350,.380,.730,1,0,0,0,0,0,.250,0.38,-0.037,0.56,-0.03%,-0.49,6,3B
31,31,158,2023-09-26,CIN,@,CLE,W 11-7,CG,5,4,1,1,0,0,0,0,0,0,1,2,.292,.352,.375,.727,1,0,0,0,0,0,.500,1.00,-0.057,0.80,-0.03%,-0.42,6,3B
32,32,159,2023-09-27,CIN,@,CLE,L 3-4,CG,4,4,0,1,0,0,0,0,0,0,0,1,.290,.349,.370,.719,1,0,0,0,0,0,.333,0.96,-0.097,1.28,-0.08%,-0.66,6,3B
33,33,160,2023-09-29,CIN,@,STL,W 19-2,CG,5,5,1,2,0,0,1,2,0,0,0,0,.295,.351,.400,.751,5,0,0,0,0,0,.250,0.23,0.020,0.27,0.02%,1.46,8,3B
34,34,161,2023-09-30,CIN,@,STL,L 6-15,CG,5,5,2,4,1,0,1,3,0,1,0,0,.318,.370,.455,.824,8,0,0,0,0,0,.750,0.29,0.018,0.49,0.02%,1.90,6,3B
35,35,162,2023-10-01,CIN,@,STL,L 3-4,CG,4,4,0,1,1,0,0,0,0,0,0,1,.316,.366,.456,.822,2,0,0,0,0,0,.333,1.53,0.039,0.00,0.00%,-0.45,5,3B
,,,,,,,14-21,,123,114,15,36,7,0,3,15,6,2,8,25,.316,.366,.456,.822,52,1,1,0,0,0,.384,1.06,0.875,1.54,0.69%,6.46,,
