Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1237,1,2022-04-07,STL,,PIT,W 9-0,CG,5,4,1,1,0,0,1,2,0,0,1,1,.250,.400,1.000,1.400,4,0,0,0,0,0,.000,0.42,-0.043,0.41,-0.03%,1.16,4,3B
2,1238,2,2022-04-09,STL,,PIT,W 6-2,CG,4,4,2,4,3,0,0,3,0,0,0,0,.625,.667,1.375,2.042,7,0,0,0,0,0,1.000,1.11,0.322,1.16,0.20%,3.75,4,3B
3,1239,3,2022-04-10,STL,,PIT,L 4-9,CG,4,4,1,1,0,0,1,2,0,0,0,1,.500,.538,1.250,1.788,4,0,0,0,0,0,.000,0.65,0.111,0.69,0.07%,1.21,4,3B
4,1240,4,2022-04-12,STL,,KCR,W 6-5,CG,4,4,1,1,0,0,1,2,0,0,0,1,.438,.471,1.188,1.658,4,0,0,0,0,0,.000,0.45,0.167,0.42,0.09%,1.47,4,3B
5,1241,5,2022-04-14,STL,@,MIL,L 1-5,CG,4,4,0,1,0,0,0,0,0,0,0,0,.400,.429,1.000,1.429,1,0,0,0,0,0,.250,0.55,-0.042,0.60,-0.03%,-0.57,4,3B
6,1242,6,2022-04-15,STL,@,MIL,W 10-1,GS-9,5,3,2,2,0,0,1,3,0,0,2,0,.435,.500,1.087,1.587,5,0,0,0,0,0,.500,0.37,0.047,0.38,0.03%,2.83,4,3B
7,1243,7,2022-04-16,STL,@,MIL,W 2-1,CG,4,3,1,1,1,0,0,0,0,0,1,0,.423,.500,1.038,1.538,2,0,0,0,0,0,.333,1.08,0.019,1.17,0.01%,0.12,4,3B
8,1244,8,2022-04-17,STL,@,MIL,L 5-6,CG,5,4,1,2,1,0,0,0,0,0,1,1,.433,.514,1.000,1.514,3,0,0,0,0,0,.667,1.28,0.031,1.39,0.02%,0.63,4,3B
9,1245,9,2022-04-19,STL,@,MIA,W 5-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,.382,.462,.882,1.344,0,0,0,0,0,0,.000,0.50,-0.041,0.53,-0.03%,-0.80,4,3B
10,1246,10,2022-04-20,STL,@,MIA,W 2-0,CG,4,4,1,1,0,0,1,2,0,0,0,3,.368,.442,.895,1.337,4,0,0,0,0,0,,1.65,0.310,1.79,0.20%,0.72,4,3B
11,1247,11,2022-04-21,STL,@,MIA,L 0-5,CG,4,4,0,3,0,0,0,0,0,0,0,0,.405,.468,.881,1.349,3,0,0,0,0,0,.750,0.55,0.048,0.59,0.03%,0.62,4,3B
12,1248,12,2022-04-22,STL,@,CIN,W 4-2,CG,5,4,0,2,0,0,0,0,0,0,1,1,.413,.481,.848,1.329,2,0,0,0,0,0,.667,0.65,0.004,0.72,0.00%,0.04,4,3B
13,1249,13,2022-04-23,STL,@,CIN,W 5-0,CG,5,5,0,1,0,0,0,0,0,0,0,3,.392,.456,.784,1.240,1,0,0,0,0,0,.500,0.95,-0.123,1.06,-0.08%,-1.21,4,3B
14,1250,14,2022-04-24,STL,@,CIN,L 1-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.364,.426,.727,1.154,0,0,0,0,0,0,.000,1.15,-0.125,1.33,-0.09%,-1.18,4,3B
15,1251,15,2022-04-25,STL,,NYM,L 2-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.339,.400,.678,1.078,0,0,0,0,0,0,.000,0.90,-0.095,1.04,-0.07%,-1.13,4,3B
16,1252,16,2022-04-26,STL,,NYM,L 0-3,CG,4,2,0,1,0,0,0,0,0,0,2,0,.344,.420,.672,1.092,1,0,0,0,0,0,.500,1.07,0.037,1.18,0.02%,0.39,4,3B
17,1253,17,2022-04-27,STL,,NYM,W 10-5,GS-8,4,3,1,3,1,0,0,3,0,0,1,0,.375,.452,.703,1.155,4,0,0,0,0,1,1.000,1.32,0.172,1.41,0.11%,2.50,4,DH
18,1254,18,2022-04-28,STL,,ARI,W 8-3,GS-8,4,4,0,2,0,0,0,0,0,0,0,0,.382,.455,.691,1.146,2,0,0,0,0,0,.500,0.33,0.048,0.34,0.03%,0.49,4,3B
19,1255,19,2022-04-29,STL,,ARI,L 2-6,CG,4,4,0,1,1,0,0,0,0,0,0,1,.375,.444,.681,1.125,2,0,0,0,0,0,.333,0.93,-0.062,1.02,-0.04%,-0.45,4,3B
20,1256,21,2022-05-01,STL,,ARI,W 7-5,CG,4,4,1,1,0,0,1,1,0,0,0,0,.368,.435,.697,1.133,4,0,0,0,0,0,.000,1.08,-0.001,1.09,0.00%,0.12,4,3B
21,1257,22,2022-05-02,STL,,KCR,W 1-0,CG,3,2,0,0,0,0,0,0,0,0,1,0,.359,.432,.679,1.111,0,0,0,0,0,0,.000,0.66,-0.015,0.67,-0.01%,-0.13,4,3B
22,1258,23,2022-05-03,STL,@,KCR,L 1-7,CG,4,4,0,1,1,0,0,0,0,0,0,0,.354,.424,.671,1.095,2,1,0,0,0,0,.250,0.64,0.004,0.68,0.00%,-0.82,4,3B
23,1259,24,2022-05-04,STL,@,KCR,W 10-0,GS-8,4,4,1,2,0,0,1,5,0,0,0,0,.360,.427,.698,1.125,5,0,0,0,0,0,.333,0.64,0.184,0.65,0.11%,3.24,3,3B
24,1260,25,2022-05-05,STL,@,SFG,W 7-1,CG,5,3,1,0,0,0,0,0,0,0,2,0,.348,.426,.674,1.100,0,0,0,0,0,0,.000,0.48,-0.035,0.52,-0.02%,-0.10,3,3B
25,1261,26,2022-05-06,STL,@,SFG,W 3-2,CG,4,4,0,1,1,0,0,0,0,0,0,0,.344,.419,.667,1.086,2,0,0,0,0,0,.250,1.67,-0.036,1.88,-0.02%,0.13,3,3B
26,1262,27,2022-05-07,STL,@,SFG,L 7-13,CG,5,5,0,2,0,0,0,1,0,0,0,1,.347,.418,.653,1.071,2,0,0,0,0,0,.500,0.68,0.049,0.78,0.03%,0.20,3,3B
27,1263,28,2022-05-08,STL,@,SFG,L 3-4,CG,5,5,0,0,0,0,0,0,0,0,0,1,.330,.400,.621,1.021,0,0,0,0,0,0,.000,1.75,-0.243,1.99,-0.17%,-1.15,3,3B
