Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,90,1,2023-03-30,PIT,@,CIN,W 5-4,CG,5,2,2,1,0,0,1,2,0,0,2,0,.500,.600,2.000,2.600,4,0,0,0,1,0,.000,1.66,0.292,1.71,0.18%,2.37,1,SS
2,91,2,2023-04-01,PIT,@,CIN,L 2-6,CG,4,4,0,2,0,0,0,1,0,0,0,1,.500,.556,1.000,1.556,2,0,0,0,0,0,.667,1.27,0.157,1.29,0.10%,1.61,6,SS
3,92,3,2023-04-02,PIT,@,CIN,L 1-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,.400,.462,.700,1.162,1,0,0,0,0,0,.250,1.50,0.012,1.55,0.01%,-0.25,1,SS
4,93,4,2023-04-03,PIT,@,BOS,W 7-6,CG,5,5,0,1,1,0,0,0,0,0,0,2,.333,.389,.600,.989,2,0,0,0,0,0,.333,0.67,-0.058,0.59,-0.03%,-0.63,1,SS
5,94,5,2023-04-04,PIT,@,BOS,W 4-1,CG,5,4,0,0,0,0,0,0,1,0,1,1,.263,.348,.474,.822,0,0,0,0,0,0,.000,0.65,-0.016,0.59,-0.01%,-0.36,1,SS
6,95,6,2023-04-05,PIT,@,BOS,W 4-1,GS-7,4,4,1,1,0,0,0,0,0,0,0,1,.261,.333,.435,.768,1,0,0,0,0,0,.333,0.79,0.037,0.76,0.02%,0.74,1,SS
7,96,7,2023-04-07,PIT,,CHW,W 13-9,CG,5,3,2,1,0,0,0,1,0,0,2,1,.269,.375,.423,.798,1,0,0,0,0,0,.500,1.31,0.062,1.32,0.04%,0.82,1,SS
8,97,8,2023-04-08,PIT,,CHW,L 5-11,CG,5,4,2,1,0,0,0,0,1,0,1,2,.267,.378,.400,.778,1,0,0,0,0,0,.500,0.85,0.013,0.85,0.01%,0.24,1,SS
9,98,9,2023-04-09,PIT,,CHW,W 1-0,GS-7,3,2,0,0,0,0,0,0,1,0,1,0,.250,.375,.375,.750,0,0,0,0,0,0,.000,0.96,0.015,0.96,0.01%,0.13,1,SS
,,,,,,,6-3,,40,32,7,8,1,0,1,4,3,0,7,8,.250,.375,.375,.750,12,0,0,0,1,0,.292,1.07,0.514,1.07,0.32%,4.68,,
