Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,480,1,2020-07-24,MIL,@,CHC,L 0-3,CG,3,3,0,3,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0,0,0,0,0,1.000,0.72,0.090,0.84,0.06%,0.80,9,SS
2,481,2,2020-07-25,MIL,@,CHC,W 8-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.429,.429,.429,.857,0,0,0,0,0,0,.000,0.92,-0.106,1.07,-0.07%,-1.43,9,SS
3,482,3,2020-07-26,MIL,@,CHC,L 1-9,CG,3,3,0,1,0,0,0,1,0,0,0,0,.400,.400,.400,.800,1,1,0,0,0,0,.333,1.04,-0.039,1.24,-0.03%,-0.07,9,SS
4,483,4,2020-07-27,MIL,@,PIT,W 6-5 (11),GS-5,1,1,0,0,0,0,0,0,0,0,0,0,.364,.364,.364,.727,0,0,0,0,0,0,.000,1.03,-0.027,1.24,-0.02%,-0.25,9,SS
5,484,5,2020-07-28,MIL,@,PIT,L 6-8,GS-9,3,3,0,1,1,0,0,2,0,0,0,1,.357,.357,.429,.786,2,0,0,0,0,0,.500,1.23,0.046,1.48,0.03%,1.23,9,SS
6,485,6,2020-07-29,MIL,@,PIT,W 3-0,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.357,.357,.429,.786,0,,0,0,,,,,,,,,4,PR SS
7,486,7,2020-08-03,MIL,,CHW,L 4-6,GS-8,3,3,1,1,0,0,0,0,0,0,0,0,.353,.353,.412,.765,1,1,0,0,0,0,.333,1.38,-0.071,1.50,-0.05%,-1.11,8,SS
8,487,8,2020-08-04,MIL,,CHW,L 2-3,9-GF,0,0,0,0,0,0,0,0,1,0,0,0,.353,.353,.412,.765,0,,0,0,,,,7.40,0.043,8.13,0.03%,0.11,7,PR
9,488,9,2020-08-05,MIL,@,CHW,W 1-0,CG,3,3,0,1,0,0,0,0,0,0,0,1,.350,.350,.400,.750,1,0,0,0,0,0,.500,1.35,-0.003,1.44,0.00%,-0.01,8,SS
10,489,10,2020-08-06,MIL,@,CHW,W 8-3,CG,5,4,0,1,0,0,0,1,0,0,1,0,.333,.360,.375,.735,1,0,0,0,0,0,.250,0.88,0.028,0.95,0.02%,0.08,9,SS
11,490,11,2020-08-07,MIL,,CIN,L 3-8,CG,3,2,1,0,0,0,0,0,0,0,1,0,.308,.357,.346,.703,0,1,0,0,0,0,.000,0.39,-0.042,0.50,-0.03%,-0.56,9,SS
12,491,12,2020-08-08,MIL,,CIN,L 1-4,CG,3,3,0,0,0,0,0,0,0,0,0,1,.276,.323,.310,.633,0,1,0,0,0,0,.000,1.27,-0.139,1.59,-0.10%,-1.34,9,SS
13,492,14,2020-08-10,MIL,,MIN,L 2-4,GS-7,2,2,0,1,1,0,0,1,0,0,0,0,.290,.333,.355,.688,2,0,0,0,0,0,.500,0.95,0.084,1.07,0.06%,0.84,9,SS
14,493,15,2020-08-11,MIL,,MIN,W 6-4,GS-7,2,2,0,1,0,0,0,0,0,0,0,0,.303,.343,.364,.707,1,0,0,0,0,0,.500,0.61,0.001,0.67,0.00%,-0.05,9,SS
15,494,16,2020-08-12,MIL,,MIN,L 2-12,6-GF,2,2,0,0,0,0,0,0,0,0,0,0,.286,.324,.343,.667,0,0,0,0,0,0,.000,0.02,-0.001,0.02,0.00%,-0.51,4,CF
16,495,17,2020-08-13,MIL,@,CHC,L 2-4,CG,3,2,0,1,0,0,0,0,0,0,1,0,.297,.350,.351,.701,1,0,0,0,0,0,.500,0.76,0.034,0.88,0.02%,0.28,8,SS
17,496,18,2020-08-14,MIL,@,CHC,W 4-3,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.297,.350,.351,.701,0,,0,0,,,,,,,,,2,SS
18,497,19,2020-08-15,MIL,@,CHC,W 6-5 (10),CG(10),5,5,0,0,0,0,0,1,0,0,0,0,.262,.311,.310,.621,0,0,0,0,0,0,.000,1.19,-0.017,1.45,-0.01%,-0.58,9,SS
19,498,20,2020-08-16,MIL,@,CHC,W 6-5,CG,4,4,3,3,0,1,1,2,0,0,0,0,.304,.347,.457,.803,8,1,0,0,0,0,.667,1.26,0.264,1.62,0.20%,1.57,9,SS
20,499,21,2020-08-18,MIL,@,MIN,L 3-4 (12),10-GF(12),2,2,0,0,0,0,0,0,0,0,0,0,.292,.333,.438,.771,0,0,0,0,0,0,.000,5.62,-0.303,6.83,-0.22%,-1.26,7,PH SS
21,500,22,2020-08-19,MIL,@,MIN,W 9-3,CG,4,3,1,0,0,0,0,0,0,0,1,0,.275,.327,.412,.739,0,0,0,0,0,0,.000,0.22,0.004,0.27,0.00%,-0.60,9,SS
22,501,23,2020-08-20,MIL,@,MIN,L 1-7,CG,3,3,0,1,0,0,0,0,0,0,0,1,.278,.328,.407,.735,1,0,0,0,0,0,.500,0.72,-0.038,0.90,-0.03%,-0.22,9,SS
23,502,24,2020-08-21,MIL,@,PIT,L 2-7,CG,4,3,0,0,0,0,0,0,0,0,1,0,.263,.323,.386,.709,0,0,0,0,0,0,.000,0.82,-0.023,1.03,-0.02%,-0.31,9,SS
24,503,25,2020-08-22,MIL,@,PIT,L 5-12,CG,4,3,2,1,0,0,0,0,0,0,1,1,.267,.333,.383,.717,1,0,0,0,0,0,.500,0.65,-0.096,0.81,-0.07%,-0.22,9,SS
25,504,26,2020-08-23,MIL,@,PIT,L 4-5,CG,4,3,0,0,0,0,0,0,0,0,1,2,.254,.329,.365,.694,0,1,0,0,0,0,.000,1.57,-0.164,1.98,-0.12%,-0.99,9,SS
26,505,27,2020-08-24,MIL,,CIN,W 4-2,CG,3,2,0,0,0,0,0,0,1,0,1,1,.246,.329,.354,.683,0,0,0,0,0,0,.000,0.42,0.017,0.54,0.01%,0.40,9,SS
27,506,28,2020-08-25,MIL,,CIN,W 3-2,CG,3,3,0,1,0,0,0,1,0,0,0,0,.250,.329,.353,.682,1,0,0,0,0,0,.333,1.65,-0.010,2.23,-0.01%,-0.37,8,SS
28,507,29,2020-08-27 (1),MIL,,CIN,L 1-6 (7),CG(7),3,2,0,2,0,0,0,0,0,0,1,0,.271,.354,.371,.726,2,0,0,0,0,0,1.000,0.53,0.045,0.76,0.04%,0.49,7,SS
29,508,30,2020-08-27 (2),MIL,,CIN,L 0-6 (7),CG(7),2,2,0,0,0,0,0,0,0,0,0,1,.264,.346,.361,.707,0,0,0,0,0,0,.000,1.15,-0.075,1.65,-0.07%,-0.72,9,SS
30,509,31,2020-08-28,MIL,,PIT,W 9-1,CG,4,3,0,0,0,0,0,0,0,0,1,0,.253,.341,.347,.688,0,0,0,0,0,0,.000,0.17,0.004,0.21,0.00%,-0.86,7,SS
31,510,32,2020-08-29,MIL,,PIT,W 7-6,CG,4,4,2,2,0,0,1,1,0,0,0,0,.266,.348,.392,.741,5,0,0,0,0,0,.333,1.19,0.138,1.57,0.11%,0.91,7,SS
32,511,33,2020-08-30,MIL,,PIT,L 1-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.253,.333,.373,.707,0,1,0,0,0,0,.000,1.24,-0.173,1.73,-0.15%,-1.65,7,SS
33,512,34,2020-08-31,MIL,,PIT,W 6-5,8-GF,1,1,0,1,0,0,0,1,0,0,0,0,.262,.340,.381,.721,1,0,0,0,0,0,1.000,3.46,0.268,4.69,0.22%,1.07,9,PH SS
34,513,35,2020-09-01,MIL,,DET,L 1-12,CG,4,4,0,1,0,0,0,0,0,0,0,0,.261,.337,.375,.712,1,0,0,0,0,0,.250,0.76,-0.057,1.02,-0.05%,-1.19,8,SS P
35,514,36,2020-09-02,MIL,,DET,W 8-5,CG,4,2,0,0,0,0,0,0,0,0,1,0,.256,.343,.367,.710,0,0,1,0,0,0,.000,1.28,-0.015,1.63,-0.01%,-0.14,9,SS
36,515,37,2020-09-04,MIL,@,CLE,W 7-1,CG,5,5,0,0,0,0,0,0,0,0,0,1,.242,.327,.347,.674,0,0,0,0,0,0,.000,1.09,-0.132,1.46,-0.11%,-1.72,6,SS
37,516,38,2020-09-05,MIL,@,CLE,L 3-4,CG,4,4,1,2,0,0,1,1,0,0,0,1,.253,.333,.384,.717,5,0,0,0,0,0,.500,1.67,0.140,2.18,0.11%,0.37,6,SS
38,517,39,2020-09-06,MIL,@,CLE,L 1-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.243,.322,.369,.691,0,0,0,0,0,0,.000,1.45,-0.150,1.99,-0.12%,-1.24,5,SS
39,518,40,2020-09-08,MIL,@,DET,L 3-8,CG,4,4,0,0,0,0,0,0,0,0,0,1,.234,.311,.355,.666,0,1,0,0,0,0,.000,0.75,-0.133,1.00,-0.11%,-2.04,7,SS
40,519,41,2020-09-09,MIL,@,DET,W 19-0,CG,6,6,3,4,1,0,0,0,0,0,0,1,.257,.328,.381,.709,5,1,0,0,0,0,.800,0.30,0.024,0.35,0.02%,0.06,6,SS
41,520,42,2020-09-11,MIL,,CHC,W 1-0,CG,3,3,0,1,1,0,0,0,0,0,0,1,.259,.328,.388,.716,2,0,0,0,0,0,.500,0.99,-0.037,1.42,-0.03%,-0.29,6,SS
42,521,43,2020-09-12,MIL,,CHC,L 2-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,.250,.318,.375,.693,0,0,0,0,0,0,.000,1.18,-0.125,1.79,-0.11%,-0.82,7,SS
