Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,157,1,2022-04-08,NYY,,BOS,W 6-5 (11),11-GF(11),0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,,,,,8,C
2,158,3,2022-04-10,NYY,,BOS,L 3-4,GS-8,3,3,1,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,1,0,0,0,0,0,.333,1.51,-0.023,1.54,-0.01%,-0.15,9,C
3,159,7,2022-04-14,NYY,,TOR,W 3-0,CG,3,3,0,2,0,0,0,2,1,0,0,0,.500,.500,.500,1.000,2,1,0,0,0,0,.667,0.96,0.186,0.97,0.11%,0.89,9,C
4,160,8,2022-04-15,NYY,@,BAL,L 1-2 (11),10-GF(11),0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,0,,0,0,,,,,,,,,8,C
5,161,9,2022-04-16,NYY,@,BAL,W 5-2,CG,4,4,1,2,1,0,0,0,0,0,0,1,.500,.500,.600,1.100,3,0,0,0,0,0,.667,1.06,0.137,1.08,0.08%,1.51,9,C
6,162,13,2022-04-21,NYY,@,DET,L 0-3,GS-8,2,2,0,0,0,0,0,0,0,0,0,0,.417,.417,.500,.917,0,0,0,0,0,0,.000,1.65,-0.087,1.70,-0.05%,-0.63,9,C
7,163,14,2022-04-22,NYY,,CLE,W 4-1,CG,3,3,0,0,0,0,0,0,0,0,0,0,.333,.333,.400,.733,0,0,0,0,0,0,.000,0.69,-0.055,0.70,-0.03%,-0.74,9,C
8,164,16,2022-04-24,NYY,,CLE,W 10-2,CG,4,3,1,0,0,0,0,0,0,0,1,0,.278,.316,.333,.649,0,0,0,0,0,0,.000,0.26,-0.023,0.28,-0.02%,-0.58,9,C
9,165,18,2022-04-27,NYY,,BAL,W 5-2,CG,3,3,0,0,0,0,0,0,0,0,0,0,.238,.273,.286,.558,0,0,0,0,0,0,.000,0.50,-0.028,0.59,-0.02%,-0.53,9,C
10,166,21,2022-04-30,NYY,@,KCR,W 3-0,CG,4,3,0,0,0,0,0,0,0,0,1,1,.208,.269,.250,.519,0,0,0,0,0,0,.000,0.74,-0.074,0.84,-0.05%,-0.98,9,C
11,167,22,2022-05-01,NYY,@,KCR,W 6-4,7-GF,0,0,0,0,0,0,0,0,0,0,0,0,.208,.269,.250,.519,0,,0,0,,,,,,,,,5,C
12,168,23,2022-05-02,NYY,@,TOR,W 3-2,CG,3,3,0,0,0,0,0,0,0,0,0,0,.185,.241,.222,.464,0,0,0,0,0,0,.000,0.94,-0.051,1.27,-0.04%,-0.48,9,C
13,169,24,2022-05-03,NYY,@,TOR,W 9-1,CG,4,4,1,0,0,0,0,1,0,0,0,0,.161,.212,.194,.406,0,0,0,0,0,0,.000,0.94,0.001,1.28,0.00%,0.46,9,C
14,170,25,2022-05-04,NYY,@,TOR,L 1-2,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.161,.212,.194,.406,0,,0,0,,,,,,,,,9,C
15,171,27,2022-05-08 (2),NYY,,TEX,L 2-4,GS-9,3,3,0,1,0,0,0,0,0,0,0,1,.176,.222,.206,.428,1,0,0,0,0,0,.500,1.33,-0.031,1.59,-0.02%,-0.55,9,C
16,172,28,2022-05-09,NYY,,TEX,W 1-0,CG,3,3,0,1,0,0,0,0,0,0,0,1,.189,.231,.216,.447,1,0,0,0,0,0,.500,1.12,0.001,1.34,0.00%,0.06,9,C
17,173,29,2022-05-10,NYY,,TOR,W 6-5,8-GF,1,0,1,0,0,0,0,0,0,0,1,0,.189,.250,.216,.466,0,0,0,0,0,0,,1.15,0.060,1.49,0.05%,0.26,9,C
18,174,30,2022-05-11,NYY,,TOR,W 5-3,CG,3,3,0,0,0,0,0,0,0,0,0,0,.175,.233,.200,.433,0,0,0,0,0,0,.000,0.50,-0.036,0.68,-0.03%,-0.66,9,C
19,175,31,2022-05-12,NYY,@,CHW,W 15-7,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.175,.233,.200,.433,0,,0,0,,,,,,,,,5,C
20,176,32,2022-05-13,NYY,@,CHW,W 10-4,CG,5,5,1,1,0,0,0,0,0,0,0,2,.178,.229,.200,.429,1,0,0,0,0,0,.333,0.29,0.035,0.34,0.03%,-0.46,8,C
21,177,34,2022-05-15,NYY,@,CHW,W 5-1,CG,3,2,1,0,0,0,0,0,0,0,1,0,.170,.235,.191,.427,0,0,0,0,0,0,.000,1.08,0.091,1.29,0.07%,0.96,8,C
22,178,35,2022-05-16,NYY,@,BAL,W 6-2,CG,4,4,1,2,0,0,1,3,0,0,0,0,.196,.255,.275,.529,5,0,0,0,0,0,.333,0.88,0.178,0.97,0.12%,1.92,8,C
