Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,496,1,2020-07-24,PIT,@,STL,L 4-5,CG,4,4,2,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,1,0,0,0,0,0,.250,1.20,-0.016,1.42,-0.01%,-0.07,4,1B
2,497,2,2020-07-25,PIT,@,STL,L 1-9,CG,4,4,1,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,1,0,0,0,0,0,.500,0.58,0.005,0.67,0.00%,-0.13,4,1B
3,498,3,2020-07-26,PIT,@,STL,W 5-1,CG,4,2,1,0,0,0,0,1,0,0,1,1,.200,.250,.200,.450,0,0,0,0,1,0,.000,0.83,-0.010,0.96,-0.01%,-0.09,3,DH
4,499,4,2020-07-27,PIT,,MIL,L 5-6 (11),CG(11),5,5,0,1,0,0,0,0,0,0,0,1,.200,.235,.200,.435,1,0,0,0,0,0,.250,1.38,-0.100,1.67,-0.07%,-0.46,3,1B
5,500,5,2020-07-28,PIT,,MIL,W 8-6,CG,5,5,0,1,0,0,0,0,0,0,0,0,.200,.227,.200,.427,1,0,0,0,0,0,.200,1.19,-0.139,1.39,-0.10%,-1.11,3,1B
6,501,6,2020-07-29,PIT,,MIL,L 0-3,CG,3,3,0,0,0,0,0,0,0,0,0,3,.174,.200,.174,.374,0,0,0,0,0,0,,1.32,-0.095,1.58,-0.07%,-0.86,3,DH
7,502,7,2020-07-31,PIT,@,CHC,L 3-6,CG,4,4,1,1,0,0,1,1,0,0,0,1,.185,.207,.296,.503,4,0,0,0,0,0,.000,0.48,-0.039,0.59,-0.03%,0.45,3,1B
8,503,8,2020-08-01,PIT,@,CHC,L 3-4,CG,4,4,0,0,0,0,0,0,0,0,0,3,.161,.182,.258,.440,0,0,0,0,0,0,.000,1.26,-0.126,1.47,-0.09%,-1.31,3,1B
9,504,9,2020-08-02,PIT,@,CHC,L 1-2 (11),10-GF(11),1,1,0,1,0,0,0,0,0,0,0,0,.188,.206,.281,.487,1,0,0,0,0,0,1.000,3.94,-0.106,4.33,-0.07%,-0.46,9,PH 1B
10,505,10,2020-08-03,PIT,@,MIN,L 4-5,CG,4,4,1,1,0,0,0,0,0,0,0,2,.194,.211,.278,.488,1,0,0,0,0,0,.500,0.60,-0.019,0.56,-0.01%,0.10,3,1B
11,506,11,2020-08-04,PIT,@,MIN,L 3-7,CG,5,5,0,0,0,0,0,0,0,0,0,2,.171,.186,.244,.430,0,1,0,0,0,0,.000,0.72,-0.106,0.61,-0.05%,-1.83,3,DH
12,507,12,2020-08-05,PIT,,MIN,L 2-5,CG,4,4,1,3,1,0,1,2,0,0,0,0,.222,.234,.378,.612,7,0,0,0,0,0,.667,0.80,0.019,0.61,0.01%,2.08,3,1B
13,508,13,2020-08-06,PIT,,MIN,W 6-5,CG,4,3,0,0,0,0,0,0,0,0,1,2,.208,.235,.354,.589,0,0,0,0,0,0,.000,0.68,-0.036,0.44,-0.01%,-0.21,3,DH
