Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,937,1,2025-03-27,NYM,@,HOU,L 1-3,CG,5,3,0,1,0,0,0,0,0,0,2,1,.333,.600,.333,.933,1,0,0,0,0,0,.500,1.13,-0.020,1.03,-0.01%,0.08,7.00,9.00,2,RF
2,938,2,2025-03-28,NYM,@,HOU,W 3-1,CG,4,3,1,1,0,0,1,1,0,0,1,1,.333,.556,.833,1.389,4,0,0,0,0,0,.000,0.69,0.096,0.59,0.05%,0.89,16.00,21.70,2,RF
3,939,3,2025-03-29,NYM,@,HOU,L 1-2,CG,4,3,0,1,1,0,0,1,0,0,1,0,.333,.538,.778,1.316,2,0,0,0,0,0,.333,1.55,0.176,1.40,0.10%,0.86,9.00,12.50,2,RF
4,940,4,2025-03-31,NYM,@,MIA,W 10-4,CG,5,4,1,1,0,0,0,0,0,0,1,0,.308,.500,.615,1.115,1,1,0,0,0,0,.250,0.67,0.069,0.66,0.04%,0.00,7.00,9.20,2,RF
5,941,5,2025-04-01,NYM,@,MIA,L 2-4,CG,4,3,0,0,0,0,0,0,0,0,1,0,.250,.455,.500,.955,0,0,0,0,0,0,.000,1.10,0.007,1.11,0.00%,-0.27,2.00,3.00,2,RF
6,942,6,2025-04-02,NYM,@,MIA,W 6-5 (11),CG(11),5,5,3,1,0,0,0,0,0,0,0,1,.238,.407,.429,.836,1,0,0,0,0,0,.250,2.07,-0.243,2.10,-0.15%,-1.35,9.00,12.60,2,RF
7,943,7,2025-04-04,NYM,,TOR,W 5-0,CG,4,4,1,1,1,0,0,1,1,0,0,0,.240,.387,.440,.827,2,0,0,0,0,0,.250,0.44,0.020,0.39,0.01%,0.21,14.00,18.70,2,RF
8,944,8,2025-04-05,NYM,,TOR,W 3-2,CG,4,4,1,1,0,0,0,0,0,0,0,1,.241,.371,.414,.785,1,0,0,0,0,0,.333,1.42,0.074,1.36,0.04%,0.18,5.00,6.20,2,RF
9,945,9,2025-04-06,NYM,,TOR,W 2-1,CG,4,3,1,1,1,0,0,0,0,0,1,0,.250,.385,.438,.822,2,1,0,0,0,0,.333,0.89,-0.023,0.89,-0.01%,-0.26,9.00,12.20,2,RF
10,946,10,2025-04-07,NYM,,MIA,W 2-0,CG,4,3,0,2,1,0,0,1,0,0,1,1,.286,.419,.486,.904,3,0,0,0,0,0,1.000,1.18,0.190,1.30,0.13%,1.88,12.00,15.50,2,RF
11,947,11,2025-04-08,NYM,,MIA,W 10-5,GS-9,5,4,2,2,0,0,0,0,0,0,1,0,.308,.438,.487,.925,2,0,0,0,0,1,.500,1.11,-0.012,1.27,-0.01%,0.10,12.00,15.40,2,RF
12,948,12,2025-04-09,NYM,,MIA,L 0-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.279,.404,.442,.846,0,1,0,0,0,0,.000,0.90,-0.120,1.07,-0.09%,-1.01,0.00,0.00,2,RF
13,949,13,2025-04-11,NYM,@,ATH,W 7-6,CG,5,4,2,1,0,0,0,0,0,0,1,1,.277,.404,.426,.829,1,0,0,0,0,0,.333,0.83,0.088,0.86,0.06%,1.11,9.00,12.40,2,RF
14,950,14,2025-04-12,NYM,@,ATH,L 1-3,CG,4,2,0,0,0,0,0,0,0,0,2,0,.265,.410,.408,.818,0,0,0,0,0,0,.000,1.43,0.048,1.51,0.03%,0.21,4.00,6.00,2,RF
15,951,15,2025-04-13,NYM,@,ATH,W 8-0,CG,5,3,0,0,0,0,0,0,0,0,2,0,.250,.409,.385,.794,0,0,0,0,0,1,.000,0.78,0.025,0.85,0.02%,0.71,4.00,6.00,2,RF
16,952,16,2025-04-14,NYM,@,MIN,W 5-1,CG,4,4,1,1,0,0,1,2,0,0,0,1,.250,.400,.429,.829,4,0,0,0,0,0,.000,1.19,-0.012,1.29,-0.01%,0.46,16.00,22.20,2,RF
17,953,17,2025-04-15,NYM,@,MIN,L 3-6,CG,4,4,1,1,0,0,1,1,0,0,0,1,.250,.392,.467,.859,4,0,0,0,0,0,.000,1.19,0.038,1.37,0.03%,0.24,14.00,18.70,2,RF
18,954,18,2025-04-16,NYM,@,MIN,L 3-4 (10),CG(10),5,5,0,0,0,0,0,0,0,0,0,3,.231,.367,.431,.798,0,1,0,0,0,0,.000,1.80,-0.338,2.00,-0.23%,-2.54,0.00,0.00,2,RF
19,955,19,2025-04-17,NYM,,STL,W 4-1,CG,4,3,0,0,0,0,0,0,0,0,1,1,.221,.361,.412,.773,0,1,0,0,0,0,.000,0.57,-0.089,0.66,-0.06%,-0.93,2.00,3.00,2,RF
20,956,20,2025-04-18,NYM,,STL,W 5-4,CG,4,3,0,1,0,0,0,1,0,0,1,0,.225,.368,.408,.776,1,0,0,0,0,0,.333,1.26,0.056,1.50,0.04%,0.24,7.00,9.50,2,RF
21,957,21,2025-04-19,NYM,,STL,W 3-0,CG,4,4,1,2,0,0,0,1,1,0,0,0,.240,.374,.413,.787,2,0,0,0,0,0,.500,0.66,0.122,0.80,0.09%,1.06,15.00,18.70,2,RF
22,958,22,2025-04-20,NYM,,STL,W 7-4,CG,5,3,1,2,1,0,0,3,0,0,1,1,.256,.385,.436,.821,3,0,0,0,1,0,.667,0.96,0.117,1.15,0.08%,2.27,18.00,25.70,2,RF
23,959,23,2025-04-21,NYM,,PHI,W 5-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.244,.370,.415,.785,0,0,0,0,0,0,.000,0.61,-0.031,0.83,-0.03%,-0.64,0.00,0.00,2,RF
24,960,24,2025-04-22,NYM,,PHI,W 5-1,CG,5,4,1,0,0,0,0,0,0,0,1,0,.233,.362,.395,.757,0,0,0,0,0,0,.000,0.77,-0.091,1.06,-0.08%,-0.83,4.00,6.20,2,RF
25,961,25,2025-04-23,NYM,,PHI,W 4-3 (10),CG(10),5,4,0,1,0,0,0,0,0,0,1,1,.233,.364,.389,.753,1,0,0,0,0,0,.333,1.80,-0.020,2.47,-0.02%,-0.10,5.00,6.00,2,RF
26,962,26,2025-04-25,NYM,@,WSN,L 4-5,CG,4,4,1,2,0,0,0,0,0,0,0,0,.245,.368,.394,.762,2,0,0,0,0,0,.500,0.72,0.046,0.95,0.04%,0.51,8.00,9.20,2,RF
27,963,27,2025-04-26,NYM,@,WSN,W 2-0,CG,4,4,0,0,0,0,0,0,0,0,0,1,.235,.356,.378,.733,0,0,0,0,0,0,.000,0.81,-0.078,1.06,-0.06%,-0.95,0.00,0.00,2,RF
28,964,28,2025-04-27,NYM,@,WSN,L 7-8,CG,5,3,2,2,1,0,0,0,0,0,2,1,.248,.374,.396,.770,3,0,0,0,0,0,1.000,0.62,0.135,0.80,0.11%,2.06,16.00,21.40,2,RF
29,965,29,2025-04-28,NYM,@,WSN,W 19-5,GS-7,4,4,1,2,1,0,0,0,0,0,0,1,.257,.378,.410,.787,3,0,0,0,0,0,.667,0.36,0.004,0.47,0.00%,1.10,10.00,12.20,2,RF
30,966,30,2025-04-29,NYM,,ARI,W 8-3,CG,4,3,0,0,0,0,0,0,0,0,1,1,.250,.374,.398,.772,0,0,0,0,0,0,.000,0.20,-0.019,0.26,-0.02%,-0.02,2.00,3.00,2,RF
31,967,31,2025-04-30,NYM,,ARI,L 3-4,CG,5,4,0,0,0,0,0,0,0,0,1,0,.241,.368,.384,.752,0,0,0,0,0,0,.000,1.80,0.015,2.18,0.01%,-0.34,2.00,3.00,2,RF
32,968,32,2025-05-01,NYM,,ARI,L 2-4,CG,4,3,2,2,0,0,2,2,0,0,1,0,.252,.379,.443,.822,8,0,0,0,0,0,.000,0.77,0.251,0.95,0.19%,1.97,30.00,40.40,2,RF
33,969,33,2025-05-02,NYM,@,STL,W 9-3,CG,5,5,1,2,1,0,0,0,0,0,0,1,.258,.379,.450,.829,3,1,0,0,0,0,.500,1.08,-0.072,1.35,-0.05%,-1.11,10.00,12.20,2,RF
34,970,34,2025-05-04 (1),NYM,@,STL,L 5-6,CG,5,4,1,1,0,0,0,0,0,0,1,2,.258,.380,.444,.824,1,0,0,0,0,0,.500,1.74,0.093,2.16,0.07%,0.24,7.00,9.20,2,RF
