Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,121,1,2022-04-07,PIT,@,STL,L 0-9,GS-1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,0.40,-0.010,0.40,-0.01%,-0.10,3,3B
2,122,2,2022-04-09,PIT,@,STL,L 2-6,CG,5,4,1,2,1,0,0,0,0,0,1,1,.400,.500,.600,1.100,3,0,0,0,0,0,.667,0.89,0.151,0.86,0.09%,1.20,3,3B
3,123,3,2022-04-10,PIT,@,STL,W 9-4,CG,5,5,1,2,0,0,0,1,0,0,0,1,.400,.455,.500,.955,2,0,0,0,0,0,.500,0.70,0.082,0.63,0.05%,1.16,1,3B
4,124,4,2022-04-12,PIT,,CHC,L 1-2,CG,4,4,0,1,0,0,0,0,1,0,0,1,.357,.400,.429,.829,1,0,0,0,0,0,.333,1.51,0.020,1.42,0.01%,-0.12,1,3B
5,125,5,2022-04-13,PIT,,CHC,W 6-2,CG,4,4,2,4,1,0,0,1,0,0,0,0,.500,.526,.611,1.137,5,0,0,0,0,0,1.000,0.43,0.092,0.38,0.05%,1.60,3,3B
6,126,6,2022-04-14,PIT,,WSN,W 9-4,CG,5,4,0,0,0,0,0,0,1,0,1,2,.409,.458,.500,.958,0,0,0,0,0,0,.000,0.60,-0.025,0.54,-0.01%,-1.18,3,3B
7,127,7,2022-04-15,PIT,,WSN,L 2-7,CG,4,4,0,1,1,0,0,0,0,0,0,1,.385,.429,.500,.929,2,0,0,0,0,0,.333,0.52,0.015,0.49,0.01%,-0.02,3,3B
8,128,8,2022-04-16,PIT,,WSN,W 6-4,CG,4,4,1,2,0,0,0,0,0,0,0,0,.400,.438,.500,.938,2,0,0,0,0,0,.500,0.83,0.029,0.76,0.02%,0.19,1,3B
9,129,9,2022-04-17,PIT,,WSN,W 5-3,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.400,.438,.500,.938,0,,0,0,,,,,,,,,4,3B
10,130,10,2022-04-18,PIT,@,MIL,L 1-6,CG,5,5,0,1,1,0,0,0,0,0,0,0,.371,.405,.486,.891,2,0,0,0,0,0,.200,0.53,0.017,0.56,0.01%,-0.21,1,3B
11,131,11,2022-04-19,PIT,@,MIL,L 2-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.333,.366,.436,.802,0,0,0,0,0,0,.000,0.39,-0.040,0.38,-0.02%,-0.52,3,3B
12,132,12,2022-04-20,PIT,@,MIL,L 2-4,CG,4,4,0,1,0,0,0,2,0,0,0,1,.326,.356,.419,.774,1,0,0,0,0,0,.333,1.62,-0.047,1.51,-0.03%,0.84,3,3B
13,133,13,2022-04-21,PIT,@,CHC,W 4-3,CG,5,2,0,1,0,0,0,0,0,0,3,0,.333,.400,.422,.822,1,0,0,0,0,0,.500,1.33,0.076,1.16,0.04%,0.83,3,3B
14,134,14,2022-04-22,PIT,@,CHC,W 4-2,CG,4,3,0,1,0,0,0,0,0,1,1,0,.333,.407,.417,.824,1,0,0,0,0,0,.333,0.65,0.035,0.62,0.02%,0.42,3,3B
15,135,16,2022-04-24,PIT,@,CHC,W 4-3,CG,5,4,1,1,1,0,0,0,0,0,1,1,.327,.407,.423,.830,2,0,0,0,0,0,.333,0.97,0.197,0.94,0.11%,1.61,3,3B
16,136,17,2022-04-26,PIT,,MIL,L 8-12,CG,5,3,2,3,1,0,0,1,0,0,1,0,.364,.438,.473,.910,4,0,0,0,1,0,.750,1.00,0.147,1.02,0.09%,2.02,2,SS 3B
17,137,18,2022-04-27,PIT,,MIL,L 1-3,CG,4,2,0,0,0,0,0,0,0,0,2,1,.351,.441,.456,.897,0,1,0,0,0,0,.000,1.29,0.027,1.28,0.02%,-0.46,3,SS 3B
18,138,19,2022-04-28,PIT,,MIL,L 2-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.328,.417,.426,.843,0,0,0,0,0,0,.000,1.14,-0.115,1.04,-0.06%,-0.79,3,3B
19,139,20,2022-04-29,PIT,,SDP,L 3-7,CG,4,4,1,1,0,0,0,0,0,0,0,1,.323,.408,.415,.823,1,0,0,0,0,0,.333,1.19,-0.045,0.91,-0.02%,-0.44,3,3B
20,140,21,2022-04-30,PIT,,SDP,W 7-6 (10),CG(10),5,4,2,2,0,0,0,1,0,0,1,2,.333,.420,.420,.840,2,0,0,0,0,0,1.000,1.75,0.300,1.29,0.13%,1.13,1,3B
