Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,32,2,2023-04-01,DET,@,TBR,L 2-12,CG,4,4,2,2,2,0,0,0,0,0,0,2,.500,.500,1.000,1.500,4,0,0,0,0,0,1.000,0.29,-0.014,0.27,-0.01%,0.70,4,RF
2,33,4,2023-04-03,DET,@,HOU,W 7-6 (11),CG(11),5,4,0,0,0,0,0,0,0,0,1,0,.250,.333,.500,.833,0,0,0,0,0,0,.000,1.25,-0.132,1.03,-0.07%,-0.65,4,DH
3,34,6,2023-04-05,DET,@,HOU,L 2-8,CG,4,3,0,0,0,0,0,0,0,0,1,1,.182,.308,.364,.671,0,0,0,0,0,0,.000,0.48,0.016,0.43,0.01%,-0.07,6,DH
4,35,7,2023-04-06,DET,,BOS,L 3-6,8-GF,1,1,0,1,1,0,0,0,0,0,0,0,.250,.357,.500,.857,2,0,0,0,0,0,1.000,0.67,0.042,0.58,0.02%,0.42,5,PH RF
5,36,8,2023-04-08,DET,,BOS,L 5-14,GS-9,4,3,1,2,0,0,0,0,0,0,1,1,.333,.444,.533,.978,2,0,0,0,0,0,1.000,0.26,0.015,0.22,0.01%,1.02,4,DH
6,37,9,2023-04-09,DET,,BOS,L 1-4,GS-9,4,4,0,0,0,0,0,0,0,0,0,1,.263,.364,.421,.785,0,0,0,0,0,0,.000,1.77,-0.161,1.40,-0.08%,-0.80,4,RF
7,38,10,2023-04-11,DET,@,TOR,L 3-9,CG,4,3,0,0,0,0,0,0,0,0,1,1,.227,.346,.364,.710,0,0,0,0,0,0,.000,1.32,-0.087,0.99,-0.04%,-0.46,4,DH
8,39,11,2023-04-12,DET,@,TOR,L 3-4 (10),CG(10),4,4,1,1,0,0,1,2,0,0,0,2,.231,.333,.462,.795,4,0,0,0,0,0,.000,1.81,0.271,1.27,0.11%,1.28,5,LF
9,40,12,2023-04-13,DET,@,TOR,W 3-1,GS-7,3,2,0,0,0,0,0,0,0,0,0,1,.214,.333,.429,.762,0,0,1,0,0,0,.000,0.87,-0.023,0.57,-0.01%,-0.21,4,RF
10,41,14,2023-04-15,DET,,SFG,W 7-6 (11),CG(11),5,5,1,1,0,0,1,1,0,0,0,0,.212,.316,.485,.801,4,1,0,0,0,0,.000,1.95,-0.122,1.35,-0.05%,-0.45,4,DH
11,42,15,2023-04-18 (1),DET,,CLE,W 4-3,CG,5,5,1,3,1,0,1,2,0,0,0,1,.263,.349,.605,.954,7,0,0,0,0,0,.667,1.56,0.691,1.27,0.34%,2.46,4,RF
12,43,16,2023-04-18 (2),DET,,CLE,W 1-0,CG,4,4,0,0,0,0,0,0,0,0,0,2,.238,.319,.548,.867,0,0,0,0,0,0,.000,0.82,-0.081,0.74,-0.04%,-0.81,4,DH
13,44,17,2023-04-19,DET,,CLE,L 2-3,CG,4,4,0,2,0,0,0,0,0,0,0,0,.261,.333,.543,.877,2,0,0,0,0,0,.500,1.74,0.102,1.63,0.06%,0.16,4,RF
14,45,18,2023-04-21,DET,@,BAL,L 1-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.240,.309,.500,.809,0,0,0,0,0,0,.000,1.59,-0.172,1.39,-0.09%,-0.86,4,RF
15,46,19,2023-04-22,DET,@,BAL,L 1-5,GS-9,3,2,0,0,0,0,0,0,0,0,1,1,.231,.310,.481,.791,0,0,0,0,0,0,.000,0.91,0.040,0.71,0.02%,0.33,4,RF
16,47,20,2023-04-23,DET,@,BAL,L 1-2 (10),GS-8,3,3,0,0,0,0,0,0,0,0,0,1,.218,.295,.455,.750,0,0,0,0,0,0,.000,1.19,-0.079,0.90,-0.04%,-0.74,4,DH
17,48,21,2023-04-24,DET,@,MIL,W 4-2,GS-8,3,3,0,0,0,0,0,0,0,0,0,2,.207,.281,.431,.712,0,0,0,0,0,0,.000,0.82,-0.064,0.53,-0.03%,-0.73,5,RF
18,49,22,2023-04-25,DET,@,MIL,W 4-3,CG,4,4,1,1,0,0,1,3,0,0,0,2,.210,.279,.468,.747,4,0,0,0,0,0,.000,1.02,0.172,0.75,0.08%,1.52,9,RF
19,50,23,2023-04-26,DET,@,MIL,L 2-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.197,.264,.439,.703,0,0,0,0,0,0,.000,0.76,-0.075,0.60,-0.04%,-0.94,5,DH
20,51,24,2023-04-27,DET,,BAL,L 4-7,GS-6,3,3,1,2,1,0,0,0,0,0,0,1,.217,.280,.464,.744,3,0,0,0,0,0,1.000,1.20,0.016,0.93,0.01%,0.26,5,RF
21,52,61,2023-06-09,DET,,ARI,L 6-11,CG,4,4,1,2,0,0,0,0,0,0,0,1,.233,.291,.466,.757,2,0,0,0,0,0,.667,1.15,0.114,0.59,0.04%,0.45,5,DH
22,53,62,2023-06-10,DET,,ARI,L 0-5,CG,4,4,0,3,1,0,0,0,0,0,0,0,.260,.313,.494,.807,4,0,0,0,0,0,.750,0.52,-0.016,0.23,0.00%,0.11,3,LF
23,54,63,2023-06-11,DET,,ARI,L 5-7,CG,5,4,1,3,0,0,0,0,0,0,1,1,.284,.341,.506,.847,3,0,0,0,0,0,1.000,1.14,0.159,0.45,0.04%,0.65,3,LF
24,55,64,2023-06-12,DET,,ATL,W 6-5 (10),GS-9,5,5,0,1,0,0,0,0,0,0,0,2,.279,.333,.488,.822,1,0,0,0,0,0,.333,1.65,0.011,0.60,0.00%,-0.83,3,DH
25,56,65,2023-06-14 (1),DET,,ATL,L 7-10,GS-7,3,3,0,0,0,0,0,0,0,0,0,1,.270,.323,.472,.795,0,0,0,0,0,0,.000,0.84,-0.063,0.34,-0.02%,-0.70,3,LF
26,57,66,2023-06-14 (2),DET,,ATL,L 5-6,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.267,.320,.467,.786,0,0,0,0,0,0,.000,1.91,-0.049,0.72,-0.01%,-0.24,1,PH LF
27,58,67,2023-06-15,DET,@,MIN,W 8-4,GS-8,4,4,1,1,0,0,0,0,0,0,0,1,.266,.317,.457,.774,1,0,0,0,0,0,.333,0.70,0.016,0.31,0.00%,0.07,3,RF LF
28,59,68,2023-06-16,DET,@,MIN,W 7-1,CG,4,3,0,1,1,0,0,1,0,0,0,0,.268,.314,.464,.778,2,0,0,0,1,0,.250,0.88,-0.012,0.46,0.00%,-0.14,3,DH
29,60,69,2023-06-17,DET,@,MIN,L 0-2,CG,3,3,0,0,0,0,0,0,0,0,0,1,.260,.306,.450,.756,0,0,0,0,0,0,.000,0.61,-0.047,0.40,-0.02%,-0.39,3,LF
30,61,70,2023-06-18,DET,@,MIN,W 6-4,GS-9,4,4,2,3,0,0,1,1,0,0,0,0,.279,.321,.490,.812,6,0,0,0,0,0,.667,0.59,0.075,0.33,0.03%,1.21,3,LF
31,62,71,2023-06-19,DET,,KCR,W 6-4,CG,4,3,1,1,0,0,1,3,0,0,1,0,.280,.328,.514,.842,4,0,0,0,0,0,.000,1.52,0.480,0.70,0.13%,2.31,3,RF
32,63,72,2023-06-20,DET,,KCR,L 0-1,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.278,.325,.509,.834,0,0,0,0,0,0,.000,4.91,-0.120,2.49,-0.04%,-0.32,5,PH
33,64,73,2023-06-21,DET,,KCR,W 9-4,CG,4,4,1,1,1,0,0,0,0,0,0,1,.277,.322,.509,.831,2,0,0,0,0,0,.333,0.36,0.011,0.16,0.00%,-0.28,3,DH
34,65,74,2023-06-23,DET,,MIN,L 1-4,GS-6,2,2,0,0,0,0,0,0,0,0,0,1,.272,.317,.500,.817,0,0,0,0,0,0,.000,1.40,-0.076,0.89,-0.03%,-0.83,3,LF
35,66,75,2023-06-24,DET,,MIN,W 3-2,GS-8,4,3,0,1,0,0,0,0,0,0,1,1,.274,.323,.496,.819,1,0,0,0,0,0,.500,0.60,-0.005,0.36,0.00%,-0.29,3,LF
36,67,76,2023-06-25,DET,,MIN,L 3-6 (10),CG(10),4,3,0,1,0,0,0,1,0,0,1,1,.275,.328,.492,.820,1,0,0,0,0,0,.500,0.94,0.095,0.59,0.04%,0.99,3,DH
37,68,78,2023-06-27,DET,@,TEX,L 3-8,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.273,.326,.488,.813,0,0,0,0,0,0,.000,1.25,-0.031,0.61,-0.01%,-0.16,7,PH LF
38,69,79,2023-06-28,DET,@,TEX,L 2-10,CG,4,4,1,1,0,0,1,2,0,0,0,2,.272,.324,.504,.828,4,0,0,0,0,0,.000,0.36,-0.035,0.15,-0.01%,1.17,3,RF
39,70,80,2023-06-29,DET,@,TEX,W 8-5,CG,5,5,0,1,0,0,0,0,0,0,0,2,.269,.319,.492,.811,1,0,0,0,0,0,.333,0.93,-0.117,0.38,-0.03%,-1.56,5,RF
40,71,81,2023-06-30,DET,@,COL,L 5-8,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.267,.317,.489,.805,0,0,0,0,0,0,,0.62,-0.017,0.27,0.00%,-0.19,5,PH RF
41,72,82,2023-07-01,DET,@,COL,W 4-2 (10),CG(10),5,4,0,0,0,0,0,0,0,0,0,0,.259,.313,.474,.787,0,0,1,0,0,0,.000,1.13,-0.071,0.46,-0.02%,-0.73,4,RF
42,73,83,2023-07-02,DET,@,COL,W 14-9,GS-7,3,3,2,2,0,0,1,3,0,0,0,0,.268,.320,.500,.820,5,0,0,0,0,0,.500,1.03,0.136,0.43,0.03%,1.97,4,RF
43,74,84,2023-07-04,DET,,OAK,L 0-1 (10),8-GF(10),1,0,0,0,0,0,0,0,0,0,1,0,.268,.325,.500,.825,0,0,0,0,0,0,,3.85,0.027,1.78,0.01%,0.27,3,PH RF
44,75,86,2023-07-06,DET,,OAK,W 9-0,CG,5,4,0,2,0,0,0,1,0,0,1,1,.275,.333,.500,.833,2,0,0,0,0,0,.667,0.58,0.006,0.19,0.00%,0.83,4,DH
45,76,87,2023-07-07,DET,,TOR,L 2-12,CG,4,4,0,0,0,0,0,0,0,0,0,1,.267,.325,.486,.811,0,0,0,0,0,0,.000,0.99,-0.113,0.38,-0.03%,-1.47,4,RF
46,77,88,2023-07-08,DET,,TOR,W 2-0,CG,4,4,0,1,0,1,0,1,0,0,0,1,.267,.323,.493,.817,3,0,0,0,0,0,.333,0.66,0.066,0.21,0.01%,0.49,4,RF
47,78,89,2023-07-09,DET,,TOR,L 3-4 (10),GS-7,3,3,0,0,0,0,0,0,0,0,0,1,.261,.317,.484,.801,0,0,0,0,0,0,.000,0.75,-0.043,0.27,-0.01%,-0.58,4,RF
48,79,90,2023-07-14,DET,@,SEA,W 5-4,GS-8,3,3,1,1,0,0,1,2,0,0,0,1,.263,.318,.500,.818,4,0,0,0,0,0,.000,0.58,0.168,0.21,0.04%,1.63,4,RF
49,80,91,2023-07-15,DET,@,SEA,W 6-0,CG,4,4,2,2,0,0,2,4,0,0,0,1,.269,.322,.538,.859,8,0,0,0,0,0,.000,0.64,0.206,0.26,0.05%,3.24,4,RF
50,81,92,2023-07-16,DET,@,SEA,L 0-2,CG,4,4,0,2,0,0,0,0,0,0,0,2,.274,.326,.537,.862,2,0,0,0,0,0,1.000,1.16,0.024,0.53,0.01%,0.13,4,RF
51,82,93,2023-07-17,DET,@,KCR,W 3-2,CG,4,2,0,1,0,0,0,1,0,0,2,0,.277,.335,.536,.871,1,0,0,0,0,0,.500,1.99,0.199,0.75,0.05%,1.67,4,DH
52,83,94,2023-07-18,DET,@,KCR,L 10-11,CG,5,4,1,0,0,0,0,0,0,0,1,1,.271,.332,.524,.855,0,0,0,0,0,0,.000,0.60,-0.047,0.27,-0.01%,-0.12,4,RF
53,84,95,2023-07-19,DET,@,KCR,W 3-2,CG,4,4,1,1,0,0,0,1,0,0,0,0,.270,.330,.517,.847,1,0,0,0,0,0,.250,1.28,0.048,0.47,0.01%,-0.02,4,RF
