Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,493,1,2020-07-24,CHC,,MIL,W 3-0,GS-9,3,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,1,0,0,0,0,0,.500,0.76,0.002,0.89,0.00%,-0.18,4,LF
2,494,2,2020-07-25,CHC,,MIL,L 3-8,CG,4,3,1,1,0,0,1,2,0,0,1,1,.333,.429,.833,1.262,4,0,0,0,0,0,.000,1.22,0.128,1.42,0.09%,0.86,4,LF
3,495,3,2020-07-26,CHC,,MIL,W 9-1,GS-8,4,3,2,1,1,0,0,0,0,0,1,1,.333,.455,.778,1.232,2,0,0,0,0,0,.500,0.74,0.104,0.88,0.07%,0.30,4,LF
4,496,4,2020-07-27,CHC,@,CIN,W 8-7,CG,5,5,0,0,0,0,0,0,0,0,0,2,.214,.313,.500,.813,0,0,0,0,0,0,.000,0.53,-0.074,0.64,-0.05%,-2.14,4,DH
5,497,5,2020-07-28,CHC,@,CIN,W 8-5,GS-7,4,3,0,1,0,0,0,1,0,0,1,0,.235,.350,.471,.821,1,0,0,0,0,0,.333,1.10,0.113,1.31,0.08%,0.72,4,LF
6,498,6,2020-07-29,CHC,@,CIN,L 7-12,CG,5,5,0,1,0,0,0,0,0,0,0,3,.227,.320,.409,.729,1,0,0,0,0,0,.500,0.31,-0.039,0.35,-0.03%,-0.69,4,LF
7,499,7,2020-07-31,CHC,,PIT,W 6-3,GS-8,4,3,1,0,0,0,0,0,0,0,1,1,.200,.310,.360,.670,0,0,0,0,0,0,.000,0.80,-0.092,0.98,-0.07%,-1.22,4,LF
8,500,8,2020-08-01,CHC,,PIT,W 4-3,GS-9,4,4,1,2,0,0,1,2,0,0,0,0,.241,.333,.483,.816,5,1,0,0,0,0,.333,0.75,-0.046,0.87,-0.03%,0.60,4,LF
9,501,9,2020-08-02,CHC,,PIT,W 2-1 (11),CG(11),4,3,0,1,1,0,0,1,0,0,1,0,.250,.351,.500,.851,2,0,0,0,0,0,.333,1.37,0.107,1.55,0.07%,0.70,5,LF
10,502,10,2020-08-03,CHC,,KCR,W 2-0,CG,4,3,0,0,0,0,0,0,0,0,1,2,.229,.341,.457,.799,0,0,0,0,0,0,.000,0.68,-0.011,0.65,-0.01%,-0.15,5,DH
11,503,11,2020-08-04,CHC,,KCR,W 5-4,CG,4,4,0,1,0,0,0,0,0,0,0,3,.231,.333,.436,.769,1,0,0,0,0,0,1.000,0.50,-0.021,0.44,-0.01%,-0.22,4,DH
12,504,12,2020-08-05,CHC,@,KCR,W 6-1,GS-8,4,3,0,0,0,0,0,0,0,0,1,2,.214,.327,.405,.731,0,0,0,0,0,0,.000,0.70,-0.051,0.54,-0.02%,-0.94,5,LF
13,505,13,2020-08-06,CHC,@,KCR,L 2-13,CG,4,3,1,1,0,0,0,0,0,0,1,1,.222,.340,.400,.740,1,0,0,0,0,0,.500,0.22,-0.020,0.15,-0.01%,0.47,4,LF
14,506,14,2020-08-11,CHC,@,CLE,W 7-1,GS-7,3,2,1,1,0,0,0,0,0,0,0,1,.234,.357,.404,.761,1,0,1,0,0,0,1.000,1.31,0.073,0.99,0.03%,0.81,4,LF
15,507,15,2020-08-12,CHC,@,CLE,W 7-2,9-9,1,1,0,0,0,0,0,0,0,0,0,1,.229,.351,.396,.747,0,0,0,0,0,0,,0.05,-0.001,0.03,0.00%,-0.17,4,PH
16,508,16,2020-08-13,CHC,,MIL,W 4-2,GS-8,4,4,1,1,0,0,1,1,0,0,0,2,.231,.344,.442,.787,4,0,0,0,0,0,.000,0.59,0.047,0.40,0.02%,0.26,5,LF
17,509,17,2020-08-14,CHC,,MIL,L 3-4,CG,4,4,0,1,1,0,0,0,0,0,0,1,.232,.338,.446,.785,2,0,0,0,0,0,.333,1.42,0.017,0.79,0.01%,-0.88,4,LF
18,510,18,2020-08-15,CHC,,MIL,L 5-6 (10),GS-10,5,4,1,1,0,0,0,0,0,0,1,2,.233,.343,.433,.776,1,0,0,0,0,0,.500,1.22,-0.058,0.79,-0.02%,-0.42,4,LF
19,511,19,2020-08-16,CHC,,MIL,L 5-6,CG,4,3,2,1,0,0,0,1,0,0,1,2,.238,.351,.429,.780,1,0,0,0,0,0,1.000,2.00,0.104,1.54,0.05%,1.32,4,LF
