Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,433,1,2024-03-28,WSN,@,CIN,L 2-8,CG,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.26,-0.027,0.26,-0.02%,-0.71,0.00,0.00,2,RF
2,434,2,2024-03-30,WSN,@,CIN,W 7-6,CG,5,4,0,0,0,0,0,0,0,0,1,3,.000,.111,.000,.111,0,0,0,0,0,0,.000,1.79,-0.157,1.61,-0.09%,-1.10,2.00,3.00,2,RF
3,435,3,2024-03-31,WSN,@,CIN,L 5-6,CG,5,4,0,1,0,0,0,3,2,0,0,0,.083,.143,.083,.226,1,0,0,0,1,0,.200,1.47,0.150,1.44,0.09%,0.82,19.00,25.50,2,RF
4,436,4,2024-04-01,WSN,,PIT,L 4-8,CG,5,4,0,1,0,0,0,1,0,0,1,0,.125,.211,.125,.336,1,0,0,0,0,0,.250,1.41,0.101,1.35,0.06%,0.61,7.00,9.50,2,RF
5,437,5,2024-04-03,WSN,,PIT,W 5-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.100,.174,.100,.274,0,0,0,0,0,0,.000,0.90,-0.159,0.80,-0.09%,-2.44,0.00,0.00,2,RF
6,438,6,2024-04-04,WSN,,PIT,L 4-7,CG,5,4,0,0,0,0,0,0,0,0,1,1,.083,.179,.083,.262,0,0,0,0,0,0,.000,0.41,-0.035,0.39,-0.02%,-0.72,2.00,3.00,2,RF
7,439,7,2024-04-05,WSN,,PHI,L 0-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.071,.156,.071,.228,0,0,0,0,0,0,.000,0.75,-0.078,0.70,-0.04%,-0.84,0.00,0.00,2,RF
8,440,8,2024-04-06,WSN,,PHI,L 2-5,CG,4,3,1,2,0,0,0,0,1,0,1,0,.129,.222,.129,.351,2,0,0,0,0,0,.667,0.80,0.106,0.70,0.06%,0.95,15.00,18.20,1,RF
9,441,9,2024-04-07,WSN,,PHI,W 3-2,CG,4,3,2,2,0,0,0,0,3,0,1,0,.176,.275,.176,.451,2,0,0,0,0,0,.667,1.11,0.171,0.96,0.09%,1.35,27.00,33.40,3,RF
10,442,10,2024-04-08,WSN,@,SFG,W 8-1,CG,5,5,1,3,0,0,1,3,0,0,0,0,.231,.311,.308,.619,6,0,0,0,0,0,.500,0.48,0.138,0.39,0.07%,2.15,24.00,31.70,3,RF
11,443,11,2024-04-09,WSN,@,SFG,W 5-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.209,.286,.279,.565,0,0,0,0,0,0,.000,0.57,-0.056,0.51,-0.03%,-0.62,0.00,0.00,2,RF
12,444,12,2024-04-10,WSN,@,SFG,L 1-7,CG,4,4,0,0,0,0,0,0,0,0,0,1,.191,.264,.255,.519,0,0,0,0,0,0,.000,0.60,-0.063,0.56,-0.04%,-0.87,0.00,0.00,2,RF
13,445,13,2024-04-12,WSN,@,OAK,L 1-2 (10),CG(10),5,5,0,1,0,0,0,0,0,1,0,1,.192,.259,.250,.509,1,0,0,0,0,0,.250,1.14,-0.049,0.94,-0.03%,-0.16,3.00,3.00,2,RF
14,446,14,2024-04-13,WSN,@,OAK,W 3-1,CG,5,4,0,0,0,0,0,0,0,0,1,2,.179,.254,.232,.486,0,0,0,0,0,0,.000,1.13,-0.101,0.87,-0.05%,-1.44,2.00,3.00,2,RF
15,447,15,2024-04-14,WSN,@,OAK,L 6-7,CG,5,5,1,3,0,0,1,3,1,0,0,1,.213,.279,.311,.591,6,0,0,0,0,0,.667,1.44,0.082,1.22,0.04%,2.35,29.00,37.70,5,RF
