Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,34,70,2022-06-24,TBR,,PIT,W 4-3 (10),CG(10),4,4,1,1,0,0,0,1,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,.333,1.33,-0.019,1.05,-0.01%,0.18,5,LF
2,35,71,2022-06-25,TBR,,PIT,W 6-5,GS-9,4,3,0,0,0,0,0,0,0,0,0,2,.143,.250,.143,.393,0,0,1,0,0,0,.000,1.14,-0.088,0.92,-0.04%,-0.50,6,DH
3,36,85,2022-07-10,TBR,@,CIN,L 5-10,7-GF,2,2,0,0,0,0,0,0,0,0,0,2,.111,.200,.111,.311,0,0,0,0,0,0,,0.13,-0.007,0.11,0.00%,-0.48,4,PH LF
4,37,86,2022-07-11,TBR,,BOS,W 10-5,CG,4,3,1,0,0,0,0,0,0,0,1,1,.083,.214,.083,.298,0,0,0,0,0,0,.000,0.72,-0.020,0.69,-0.01%,0.11,7,LF
5,38,89,2022-07-14,TBR,,BOS,W 5-4,CG,3,2,1,0,0,0,0,0,0,0,0,1,.071,.235,.071,.307,0,0,1,0,0,0,.000,1.68,-0.056,1.69,-0.03%,-0.36,8,LF
6,39,90,2022-07-15,TBR,,BAL,W 5-4,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,.063,.211,.063,.273,0,0,0,0,0,0,.000,1.34,-0.071,1.29,-0.04%,-0.52,9,RF
7,40,91,2022-07-16,TBR,,BAL,L 4-6 (11),11-GF(11),1,1,0,0,0,0,0,0,0,0,0,0,.059,.200,.059,.259,0,0,0,0,0,0,.000,3.38,-0.084,3.31,-0.05%,-0.41,9,PH
8,41,92,2022-07-17,TBR,,BAL,W 7-5,2-GF,3,3,0,0,0,0,0,0,0,0,0,2,.050,.174,.050,.224,0,0,0,0,0,0,.000,0.28,-0.023,0.28,-0.01%,-0.49,2,1B
9,42,94,2022-07-23,TBR,@,KCR,L 3-6,CG,4,4,0,1,0,0,0,1,0,0,0,1,.083,.185,.083,.269,1,1,0,0,0,0,.333,1.27,-0.113,1.05,-0.06%,-0.19,3,RF LF
10,43,95,2022-07-24,TBR,@,KCR,L 2-4,CG,4,1,0,0,0,0,0,1,0,0,2,0,.080,.226,.080,.306,0,0,0,0,1,0,.000,1.78,-0.062,1.57,-0.03%,-0.13,3,1B
11,44,96,2022-07-25,TBR,@,BAL,L 1-5,CG,4,3,0,2,2,0,0,0,0,0,1,1,.143,.286,.214,.500,4,0,0,0,0,0,1.000,0.88,0.051,0.84,0.03%,1.16,5,DH
12,45,97,2022-07-26,TBR,@,BAL,L 3-5,CG,4,4,1,1,0,0,0,0,0,0,0,1,.156,.282,.219,.501,1,0,0,0,0,0,.333,1.20,-0.039,1.20,-0.02%,-0.38,6,RF
13,46,98,2022-07-27,TBR,@,BAL,W 6-4 (10),GS-9,4,4,1,2,0,0,1,1,0,0,0,0,.194,.302,.333,.636,5,0,0,0,0,0,.333,0.73,0.053,0.76,0.03%,0.62,6,RF
14,47,99,2022-07-28,TBR,@,BAL,L 0-3,CG,4,3,0,1,0,0,0,0,0,0,0,0,.205,.319,.333,.652,1,0,1,0,0,0,.333,1.13,0.033,1.14,0.02%,0.14,4,DH
15,48,101,2022-07-30,TBR,,CLE,W 6-4,GS-7,3,2,2,1,0,0,0,0,0,0,1,1,.220,.340,.341,.681,1,0,0,0,0,0,1.000,0.43,0.022,0.44,0.01%,0.15,2,LF
16,49,102,2022-07-31,TBR,,CLE,L 3-5,8-9,1,1,0,0,0,0,0,0,0,0,0,1,.214,.333,.333,.667,0,0,0,0,0,0,,2.24,-0.052,2.31,-0.03%,-0.27,7,PH
17,50,103,2022-08-02,TBR,,TOR,L 1-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.200,.315,.311,.626,0,0,0,0,0,0,.000,0.76,-0.057,0.83,-0.04%,-0.28,8,RF
18,51,106,2022-08-05,TBR,@,DET,W 5-3,GS-8,5,3,0,0,0,0,0,0,0,0,2,2,.188,.322,.292,.614,0,0,0,0,0,0,.000,1.26,-0.050,1.25,-0.03%,-0.32,5,LF
19,52,107,2022-08-06,TBR,@,DET,L 1-9,CG,4,4,0,0,0,0,0,0,0,0,0,3,.173,.302,.269,.571,0,0,0,0,0,0,.000,1.28,-0.127,1.27,-0.08%,-1.40,6,RF 1B
20,53,108,2022-08-07,TBR,@,DET,W 7-0,GS-9,3,3,0,2,0,0,0,0,0,0,0,0,.200,.318,.291,.609,2,0,0,0,0,0,.667,1.06,0.076,1.05,0.05%,0.49,6,RF
21,54,109,2022-08-09,TBR,@,MIL,L 3-5,CG,3,3,0,0,0,0,0,0,0,0,0,2,.190,.304,.276,.580,0,0,0,0,0,0,.000,0.79,-0.059,0.79,-0.04%,-0.49,7,DH
22,55,113,2022-08-14,TBR,,BAL,W 4-1,CG,3,3,0,1,0,0,0,0,0,0,0,2,.197,.306,.279,.584,1,0,0,0,0,0,1.000,0.50,-0.034,0.60,-0.03%,-0.30,7,RF
,,,,,,,11-11,,72,61,7,12,2,0,1,4,0,0,7,24,.197,.306,.279,.584,17,1,3,0,1,0,.297,1.07,-0.726,1.11,-0.41%,-3.69,,
