Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,932,1,2020-07-24,ATL,@,NYM,L 0-1,CG,4,4,0,1,1,0,0,0,0,0,0,2,.250,.250,.500,.750,2,0,0,0,0,0,.500,1.75,-0.005,2.11,0.00%,-0.03,4,LF
2,933,2,2020-07-25,ATL,@,NYM,W 5-3 (10),CG(10),4,4,1,1,0,0,1,1,0,0,0,1,.250,.250,.750,1.000,4,0,0,0,0,0,.000,1.21,0.271,1.45,0.20%,0.29,4,DH
3,934,3,2020-07-26,ATL,@,NYM,W 14-1,GS-7,5,4,2,2,1,0,1,2,0,0,1,0,.333,.385,1.000,1.385,6,0,0,0,0,0,.333,0.78,0.077,0.95,0.06%,1.75,4,LF
4,935,4,2020-07-27,ATL,@,TBR,L 5-14,GS-8,3,3,0,0,0,0,0,0,0,0,0,3,.267,.313,.800,1.113,0,0,0,0,0,0,,0.73,-0.057,0.80,-0.04%,-1.05,4,LF
5,936,5,2020-07-28,ATL,@,TBR,L 2-5,CG,4,3,0,1,0,0,0,1,0,0,1,0,.278,.350,.722,1.072,1,0,0,0,0,0,.333,1.42,0.108,1.56,0.07%,0.91,4,LF
6,937,6,2020-07-29,ATL,,TBR,W 7-4,GS-8,4,3,1,2,1,0,0,0,0,0,1,0,.333,.417,.762,1.179,3,0,0,0,0,0,.667,0.81,0.060,0.87,0.04%,0.78,4,LF
7,938,7,2020-07-30,ATL,,TBR,W 2-1,CG,4,1,1,1,0,0,0,0,0,0,3,0,.364,.500,.773,1.273,1,0,0,0,0,1,1.000,0.68,0.074,0.74,0.05%,1.07,4,DH
8,939,8,2020-07-31,ATL,,NYM,W 11-10,GS-9,5,4,2,1,0,0,0,0,0,0,1,0,.346,.485,.692,1.177,1,0,0,0,0,0,.250,1.43,0.037,1.79,0.03%,-0.54,4,LF
9,940,9,2020-08-01,ATL,,NYM,W 7-1,GS-8,4,4,1,2,0,0,1,2,0,0,0,1,.367,.486,.767,1.253,5,0,0,0,0,0,.500,0.36,0.168,0.45,0.13%,1.66,4,LF
10,941,10,2020-08-02,ATL,,NYM,W 4-0,CG,4,4,0,0,0,0,0,0,0,0,0,2,.324,.439,.676,1.115,0,0,0,0,0,0,.000,0.70,-0.080,0.83,-0.06%,-1.53,4,DH
11,942,11,2020-08-03,ATL,,NYM,L 2-7,CG,4,3,0,1,0,0,0,0,0,0,1,2,.324,.444,.649,1.093,1,0,0,0,0,0,1.000,0.53,-0.002,0.61,0.00%,0.22,4,LF
12,943,12,2020-08-04,ATL,,TOR,W 10-1,GS-8,4,3,0,0,0,0,0,0,0,0,1,1,.300,.429,.600,1.029,0,0,0,0,0,1,.000,0.74,-0.074,0.81,-0.05%,-0.82,4,LF
13,944,13,2020-08-05,ATL,,TOR,L 1-2,CG,4,3,0,0,0,0,0,0,0,0,1,2,.279,.415,.558,.973,0,0,0,0,0,0,.000,1.27,0.043,1.31,0.03%,-0.24,3,DH
14,945,14,2020-08-06,ATL,,TOR,W 4-3,CG,4,4,1,1,0,0,0,0,0,0,0,2,.277,.404,.532,.935,1,0,0,0,0,0,.500,1.11,-0.045,1.22,-0.03%,-0.32,4,DH
15,946,15,2020-08-08,ATL,@,PHI,L 0-5,CG,4,4,0,0,0,0,0,0,0,0,0,3,.255,.377,.490,.867,0,0,0,0,0,0,.000,0.60,-0.062,0.72,-0.05%,-0.80,4,DH
16,947,16,2020-08-09 (1),ATL,@,PHI,W 5-2 (7),GS-7,4,3,1,1,1,0,0,0,0,0,1,1,.259,.385,.500,.885,2,0,0,0,0,0,.500,1.24,0.081,1.60,0.06%,0.58,4,LF
17,948,17,2020-08-09 (2),ATL,@,PHI,W 8-0 (7),CG(7),4,4,0,2,0,0,0,1,0,0,0,2,.276,.391,.500,.891,2,0,0,0,0,0,1.000,0.80,-0.066,1.03,-0.05%,-0.05,4,DH
18,949,18,2020-08-10,ATL,@,PHI,L 8-13,CG,4,3,0,0,0,0,0,1,0,0,0,1,.262,.370,.475,.845,0,0,0,0,1,0,.000,0.22,-0.023,0.25,-0.02%,-0.62,4,DH
19,950,19,2020-08-11,ATL,@,NYY,L 6-9,CG,5,5,1,2,1,0,1,3,0,0,0,0,.273,.372,.530,.902,6,0,0,0,0,0,.250,0.73,0.009,0.79,0.01%,1.84,4,RF
20,951,20,2020-08-12,ATL,@,NYY,L 3-6,CG,5,4,0,0,0,0,0,0,0,0,1,2,.257,.361,.500,.861,0,0,0,0,0,0,.000,1.08,-0.088,1.21,-0.06%,-1.06,4,DH
21,952,21,2020-08-14,ATL,@,MIA,L 2-8,CG,4,4,0,0,0,0,0,0,0,0,0,1,.243,.345,.473,.818,0,0,0,0,0,0,.000,1.30,-0.135,1.74,-0.11%,-1.48,4,DH
22,953,22,2020-08-15,ATL,@,MIA,W 2-1,CG,4,3,1,1,0,0,1,1,0,0,1,1,.247,.352,.506,.858,4,0,0,0,0,0,.000,1.45,0.112,2.01,0.09%,0.69,4,DH
23,954,23,2020-08-16,ATL,@,MIA,W 4-0,CG,4,2,0,1,0,0,0,1,0,0,2,1,.253,.368,.506,.875,1,0,0,0,0,0,1.000,1.83,0.111,2.42,0.09%,1.01,3,DH
