Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1344,1,2024-03-28,TEX,,CHC,W 4-3 (10),CG(10),5,4,0,0,0,0,0,0,0,0,1,2,.000,.200,.000,.200,0,0,0,0,0,0,.000,1.34,-0.175,1.23,-0.10%,-0.82,2.00,3.00,1,2B
2,1345,2,2024-03-30,TEX,,CHC,W 11-2,CG,5,4,1,2,0,0,0,1,0,0,1,0,.250,.400,.250,.650,2,0,0,0,0,0,.500,0.56,0.027,0.52,0.02%,1.10,12.00,15.70,1,2B
3,1346,3,2024-03-31,TEX,,CHC,L 5-9,CG,5,5,1,2,1,0,0,3,0,0,0,0,.308,.400,.385,.785,3,0,0,0,0,0,.400,1.91,0.219,1.87,0.13%,2.24,16.00,22.70,1,2B
4,1347,4,2024-04-01,TEX,@,TBR,W 9-3,CG,5,3,1,0,0,0,0,0,0,0,2,0,.250,.400,.313,.713,0,0,0,0,0,0,.000,0.35,0.015,0.35,0.01%,-0.12,6.00,9.20,1,2B
5,1348,5,2024-04-02,TEX,@,TBR,L 2-5,CG,4,3,0,0,0,0,0,0,0,0,1,1,.211,.375,.263,.638,0,0,0,0,0,0,.000,0.82,-0.030,0.84,-0.02%,-0.55,2.00,3.00,1,2B
6,1349,6,2024-04-03,TEX,@,TBR,W 4-1,CG,5,5,0,2,0,0,0,1,0,0,0,0,.250,.379,.292,.671,2,1,0,0,0,0,.400,1.29,-0.126,1.30,-0.08%,-0.30,8.00,9.50,1,2B
7,1350,7,2024-04-05,TEX,,HOU,W 10-2,GS-8,5,3,3,3,0,0,1,3,0,0,2,0,.333,.471,.481,.952,6,0,0,0,0,0,1.000,0.43,0.065,0.47,0.04%,3.46,32.00,44.10,1,2B
8,1351,8,2024-04-06,TEX,,HOU,W 7-2,CG,5,5,1,2,0,0,0,1,0,0,0,0,.344,.462,.469,.930,2,0,0,0,0,0,.400,1.39,0.096,1.48,0.06%,0.52,10.00,12.70,1,2B
9,1352,9,2024-04-07,TEX,,HOU,L 1-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,.306,.419,.417,.835,0,0,0,0,0,0,.000,0.99,-0.099,1.12,-0.07%,-0.96,0.00,0.00,1,2B
10,1353,10,2024-04-08,TEX,,HOU,L 5-10,CG,5,4,1,0,0,0,0,0,0,0,1,1,.275,.396,.375,.771,0,1,0,0,0,0,.000,0.68,-0.067,0.76,-0.05%,-1.70,4.00,6.20,1,2B
