Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1062,1,2025-03-27,ATL,@,SDP,L 4-7,CG,5,2,0,1,0,0,0,0,0,0,3,0,.500,.800,.500,1.300,1,0,0,0,0,0,.500,0.86,0.097,0.79,0.05%,0.97,9.00,12.00,3,1B
2,1063,2,2025-03-28,ATL,@,SDP,L 3-4,CG,4,3,0,0,0,0,0,0,0,0,1,2,.200,.556,.200,.756,0,0,0,0,0,0,.000,1.36,-0.060,1.23,-0.03%,-0.37,2.00,3.00,3,1B
3,1064,3,2025-03-29,ATL,@,SDP,L 0-1,CG,4,4,0,1,1,0,0,0,0,0,0,0,.222,.462,.333,.795,2,1,0,0,0,0,.250,1.41,-0.153,1.22,-0.08%,-1.39,5.00,6.00,3,1B
4,1065,4,2025-03-30,ATL,@,SDP,L 0-5,CG,3,3,0,0,0,0,0,0,0,0,0,0,.167,.375,.250,.625,0,0,0,0,0,0,.000,0.46,-0.036,0.37,-0.02%,-0.32,0.00,0.00,3,1B
5,1066,5,2025-03-31,ATL,@,LAD,L 1-6,CG,4,2,0,0,0,0,0,0,0,0,2,1,.143,.400,.214,.614,0,0,0,0,0,0,.000,0.39,0.034,0.30,0.02%,0.50,4.00,6.00,3,1B
6,1067,6,2025-04-01,ATL,@,LAD,L 1-3,CG,4,4,0,1,1,0,0,0,0,0,0,2,.167,.375,.278,.653,2,0,0,0,0,0,.500,0.81,-0.048,0.61,-0.02%,-0.43,5.00,6.00,3,1B
7,1068,7,2025-04-02,ATL,@,LAD,L 5-6,CG,5,4,1,1,1,0,0,2,0,0,1,0,.182,.379,.318,.697,2,0,0,0,0,0,.250,1.45,0.003,1.00,0.00%,0.68,13.00,19.20,4,1B
8,1069,8,2025-04-04,ATL,,MIA,W 10-0,CG,5,5,2,2,0,0,1,3,0,0,0,1,.222,.382,.444,.827,5,0,0,0,0,0,.333,0.50,-0.034,0.33,-0.01%,1.63,23.00,31.90,4,1B
9,1070,9,2025-04-05,ATL,,MIA,L 0-4,CG,4,3,0,1,0,0,0,0,0,0,1,0,.233,.395,.433,.828,1,0,0,0,0,0,.333,0.60,0.013,0.42,0.01%,0.43,5.00,6.00,4,1B
10,1071,10,2025-04-08,ATL,,PHI,W 7-5,CG,5,5,0,1,0,0,0,0,0,0,0,1,.229,.372,.400,.772,1,0,0,0,0,0,.250,1.38,-0.200,0.87,-0.08%,-1.31,3.00,3.00,4,1B
