Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,189,4,2024-04-01,LAA,@,MIA,W 7-4,GS-7,2,1,0,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,0,0,0,0,0,0,.000,0.57,0.024,0.50,0.01%,0.16,2.00,3.00,7,C
2,190,9,2024-04-07,LAA,,BOS,L 2-12,9-GF,1,1,1,1,0,0,0,0,0,0,0,0,.500,.667,.500,1.167,1,0,0,0,0,0,1.000,0.00,0.000,0.00,0.00%,1.21,5.00,6.20,7,PH
3,191,12,2024-04-10,LAA,,TBR,L 2-4,CG,4,4,1,2,1,0,0,0,0,0,0,2,.500,.571,.667,1.238,3,0,0,0,0,0,1.000,0.99,-0.044,0.97,-0.03%,0.01,10.00,12.20,8,C
4,192,16,2024-04-15,LAA,@,TBR,W 7-3,CG,4,3,0,1,1,0,0,3,0,0,1,2,.444,.545,.667,1.212,2,0,0,0,0,0,1.000,1.82,0.173,1.74,0.10%,2.42,13.00,19.50,7,C
5,193,19,2024-04-18,LAA,@,TBR,L 1-2,GS-9,3,2,0,0,0,0,0,0,0,0,1,1,.364,.500,.545,1.045,0,0,0,0,0,0,.000,1.04,-0.032,1.04,-0.02%,-0.20,2.00,3.00,5,C
6,194,22,2024-04-21,LAA,@,CIN,L 0-3,CG,4,3,0,0,0,0,0,0,0,0,1,1,.286,.444,.429,.873,0,0,0,0,0,0,.000,0.94,-0.030,0.80,-0.02%,-0.36,2.00,3.00,6,C
7,195,25,2024-04-24,LAA,,BAL,L 5-6,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.267,.421,.400,.821,0,0,0,0,0,0,,2.61,-0.064,2.20,-0.03%,-0.16,0.00,0.00,6,PH
8,196,27,2024-04-27,LAA,,MIN,L 5-16,CG,4,4,1,2,0,0,0,0,0,0,0,1,.316,.435,.421,.856,2,0,0,0,0,0,.667,0.30,0.020,0.21,0.01%,-0.13,8.00,9.20,6,C
9,197,31,2024-05-01,LAA,,PHI,L 1-2,GS-8,3,3,0,0,0,0,0,0,0,0,0,2,.273,.385,.364,.748,0,0,0,0,0,0,.000,1.87,-0.136,0.89,-0.04%,-1.14,0.00,0.00,5,C
10,198,33,2024-05-04,LAA,@,CLE,L 1-7,5-GF,2,2,0,0,0,0,0,0,0,0,0,0,.250,.357,.333,.690,0,0,0,0,0,0,.000,0.57,-0.032,0.30,-0.01%,-0.54,0.00,0.00,6,C
11,199,34,2024-05-05,LAA,@,CLE,L 1-4,CG,4,3,0,0,0,0,0,0,0,0,1,1,.222,.344,.296,.640,0,0,0,0,0,0,.000,0.94,-0.037,0.44,-0.01%,-0.19,2.00,3.00,6,C
12,200,39,2024-05-10,LAA,,KCR,L 1-2,GS-9,4,4,0,1,1,0,0,0,0,0,0,2,.226,.333,.323,.656,2,0,0,0,0,0,.500,1.83,0.053,0.79,0.01%,-0.69,5.00,6.00,6,C
13,201,47,2024-05-19,LAA,@,TEX,W 4-1,CG,4,4,0,0,0,0,0,0,0,0,0,2,.200,.300,.286,.586,0,0,0,0,0,0,.000,1.64,-0.147,0.62,-0.03%,-1.15,0.00,0.00,6,C
