Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,35,1,2022-04-08,PHI,,OAK,W 9-5,CG,4,3,0,0,0,0,0,1,0,0,0,1,.000,.000,.000,.000,0,0,0,0,1,0,.000,0.39,-0.023,0.35,-0.01%,-0.77,9,CF
2,36,2,2022-04-09,PHI,,OAK,W 4-2,CG,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.69,-0.055,0.63,-0.03%,-0.89,9,CF
3,37,3,2022-04-10,PHI,,OAK,L 1-4,CG,3,2,0,0,0,0,0,0,0,0,1,0,.000,.100,.000,.100,0,1,0,0,0,0,.000,1.58,-0.076,1.52,-0.04%,-0.90,9,CF
4,38,4,2022-04-11,PHI,,NYM,W 5-4,GS-8,2,2,0,0,0,0,0,0,0,0,0,0,.000,.083,.000,.083,0,0,0,0,0,0,.000,1.17,-0.061,1.19,-0.04%,-0.61,9,CF
5,39,5,2022-04-12,PHI,,NYM,L 0-2,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.083,.000,.083,0,,0,0,,,,,,,,,9,CF
6,40,6,2022-04-13,PHI,,NYM,L 6-9,GS-8,3,3,0,0,0,0,0,1,0,0,0,1,.000,.067,.000,.067,0,0,0,0,0,0,.000,1.12,-0.088,1.14,-0.05%,-0.63,9,CF
7,41,7,2022-04-14,PHI,@,MIA,L 3-4,GS-9,3,2,1,0,0,0,0,0,0,0,0,0,.000,.111,.000,.111,0,0,1,0,0,0,.000,1.23,-0.064,1.18,-0.04%,-0.66,9,CF
8,42,8,2022-04-15,PHI,@,MIA,L 1-7,9-GF,1,1,0,1,0,0,0,0,0,0,0,0,.063,.158,.063,.220,1,0,0,0,0,0,1.000,0.02,0.001,0.02,0.00%,0.21,9,PH
9,43,9,2022-04-16,PHI,@,MIA,W 10-3,CG,5,5,1,2,1,0,0,1,0,0,0,2,.143,.208,.190,.399,3,0,0,0,0,0,.667,0.21,0.068,0.18,0.04%,0.46,8,CF LF
10,44,10,2022-04-17,PHI,@,MIA,L 3-11,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.143,.208,.190,.399,0,,0,0,,,,,,,,,3,RF
11,45,11,2022-04-18,PHI,@,COL,L 1-4,GS-8,2,2,0,0,0,0,0,0,0,0,0,1,.130,.192,.174,.366,0,0,0,0,0,0,.000,0.87,-0.044,0.74,-0.02%,-0.36,9,CF
