Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,395,1,2024-03-28,HOU,,NYY,L 4-5,7-GF,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,1.000,3.41,0.134,3.32,0.08%,0.38,3.00,3.00,9,CF
2,396,3,2024-03-30,HOU,,NYY,L 3-5,CG,4,4,0,1,1,0,0,2,0,0,0,0,.400,.400,.600,1.000,2,0,0,0,0,0,.250,1.56,0.079,1.33,0.04%,1.06,9.00,13.00,8,CF
3,397,4,2024-03-31,HOU,,NYY,L 3-4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.400,.400,.600,1.000,0,,0,0,,,,,,,,,0.00,0.00,9,PR
4,398,5,2024-04-01,HOU,,TOR,W 10-0,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.333,.333,.500,.833,0,0,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.29,0.00,0.00,1,2B
5,399,7,2024-04-03,HOU,,TOR,W 8-0,CG,4,4,0,0,0,0,0,0,0,0,0,1,.200,.200,.300,.500,0,0,0,0,0,0,.000,0.37,-0.036,0.27,-0.02%,-0.94,0.00,0.00,9,CF LF
6,400,8,2024-04-05,HOU,@,TEX,L 2-10,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.182,.182,.273,.455,0,0,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.10,0.00,0.00,1,2B
7,401,11,2024-04-08,HOU,@,TEX,W 10-5,CG,4,4,1,1,0,0,0,0,0,0,0,0,.200,.200,.267,.467,1,0,0,0,0,0,.250,0.92,-0.039,0.77,-0.02%,-0.30,5.00,6.20,8,2B
8,402,12,2024-04-09,HOU,@,KCR,L 3-4 (10),GS-8,3,3,1,1,1,0,0,0,0,0,0,0,.222,.222,.333,.556,2,0,0,0,0,0,.333,1.04,-0.012,0.81,-0.01%,0.09,7.00,9.20,9,CF
9,403,13,2024-04-10,HOU,@,KCR,L 2-11,7-GF,2,1,0,0,0,0,0,0,0,0,1,0,.211,.250,.316,.566,0,0,0,0,0,0,.000,0.06,-0.003,0.04,0.00%,-0.11,2.00,3.00,1,PH LF
10,404,14,2024-04-11,HOU,@,KCR,L 3-13,CG,4,4,0,2,0,0,0,1,0,0,0,1,.261,.292,.348,.640,2,0,0,0,0,0,.667,0.12,0.008,0.09,0.00%,0.76,8.00,9.50,9,CF
11,405,15,2024-04-12,HOU,,TEX,L 8-12,CG,5,5,1,2,0,0,0,2,0,0,0,0,.286,.310,.357,.667,2,0,0,0,0,0,.400,0.29,0.021,0.22,0.01%,1.33,12.00,16.20,7,LF
12,406,16,2024-04-13,HOU,,TEX,W 9-2,GS-7,3,3,0,0,0,0,0,1,0,0,0,0,.258,.281,.323,.604,0,0,0,0,0,0,.000,1.14,-0.027,0.73,-0.01%,-0.15,2.00,3.50,9,3B
13,407,17,2024-04-14,HOU,,TEX,W 8-5,CG,4,4,0,1,1,0,0,2,0,0,0,0,.257,.278,.343,.621,2,0,0,0,0,0,.250,0.49,0.050,0.35,0.02%,0.73,9.00,13.00,9,3B
14,408,18,2024-04-15,HOU,,ATL,L 1-6,CG,4,3,0,1,0,0,0,0,1,0,1,1,.263,.300,.342,.642,1,0,0,0,0,0,.500,0.67,0.027,0.46,0.01%,-0.13,10.00,12.00,9,CF
15,409,19,2024-04-16,HOU,,ATL,L 2-6,9-GF,1,1,0,1,0,0,0,1,0,0,0,0,.282,.317,.359,.676,1,0,0,0,0,0,1.000,0.14,0.003,0.09,0.00%,1.00,5.00,6.50,7,PH
16,410,20,2024-04-17,HOU,,ATL,L 4-5 (10),CG(10),4,4,1,1,0,0,1,1,0,0,0,0,.279,.311,.419,.730,4,0,0,0,0,0,.000,1.24,0.017,0.70,0.01%,0.35,14.00,18.70,7,CF
17,411,21,2024-04-19,HOU,@,WSN,W 5-3,CG,4,4,0,3,0,0,0,1,0,0,0,1,.319,.347,.447,.794,3,0,0,0,0,0,1.000,0.63,0.069,0.32,0.02%,0.78,11.00,12.50,9,CF
18,412,22,2024-04-20,HOU,@,WSN,L 4-5 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,1,.294,.321,.412,.733,0,0,0,0,0,0,.000,0.80,-0.076,0.45,-0.03%,-0.95,0.00,0.00,9,CF
