Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,713,1,2023-03-30,LAD,,ARI,W 8-2,CG,5,5,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,0,0,0,0,0,0,,0.78,-0.126,0.78,-0.08%,-1.98,4,3B
2,714,2,2023-03-31,LAD,,ARI,L 1-2,CG,5,5,0,1,0,0,0,0,0,0,0,0,.100,.100,.100,.200,1,0,0,0,0,0,.200,1.74,-0.208,1.80,-0.13%,-0.85,4,3B
3,715,3,2023-04-01,LAD,,ARI,W 10-1,GS-8,4,3,1,0,0,0,0,0,0,0,0,2,.077,.143,.077,.220,0,0,1,0,0,0,.000,0.59,0.009,0.59,0.01%,-0.55,4,3B
4,716,5,2023-04-03,LAD,,COL,W 13-4,CG,5,3,1,0,0,0,0,0,0,0,2,2,.063,.211,.063,.273,0,0,0,0,0,0,.000,0.76,0.044,0.76,0.03%,0.00,4,3B
5,717,6,2023-04-04,LAD,,COL,W 5-2,CG,4,4,1,2,0,0,1,1,0,0,0,2,.150,.261,.300,.561,5,0,0,0,0,0,1.000,0.29,0.063,0.31,0.04%,0.37,4,3B
6,718,7,2023-04-06,LAD,@,ARI,W 5-2,CG,4,3,2,0,0,0,0,0,0,0,1,1,.130,.259,.261,.520,0,0,0,0,0,0,.000,0.91,0.050,0.99,0.03%,-0.01,4,3B
7,719,8,2023-04-07,LAD,@,ARI,L 3-6,CG,5,3,0,0,0,0,0,0,0,0,2,1,.115,.281,.231,.512,0,0,0,0,0,0,.000,0.89,-0.035,1.04,-0.02%,-0.26,4,3B
8,720,9,2023-04-08,LAD,@,ARI,L 8-12,CG,5,5,1,1,0,0,0,1,0,0,0,2,.129,.270,.226,.496,1,1,0,0,0,0,.333,1.18,-0.011,1.31,-0.01%,-0.07,4,3B
9,721,10,2023-04-09,LAD,@,ARI,L 6-11,CG,4,2,0,0,0,0,0,0,0,0,2,1,.121,.293,.212,.505,0,0,0,0,0,0,.000,0.85,0.072,0.93,0.05%,0.08,5,3B
10,722,11,2023-04-10,LAD,@,SFG,W 9-1,CG,4,3,2,3,0,0,2,7,0,0,1,0,.194,.356,.444,.800,9,0,0,0,0,0,1.000,0.79,0.307,0.83,0.19%,6.45,4,3B
11,723,12,2023-04-11,LAD,@,SFG,L 0-5,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.189,.348,.432,.780,0,0,0,0,0,0,,1.45,-0.037,1.52,-0.02%,-0.24,5,PH 3B
12,724,13,2023-04-12,LAD,@,SFG,W 10-5,CG,5,5,2,2,0,0,2,4,0,0,0,1,.214,.353,.571,.924,8,0,0,0,0,0,.000,1.00,0.201,1.06,0.13%,2.07,4,3B
13,725,14,2023-04-14,LAD,,CHC,L 2-8,CG,4,4,1,2,0,0,1,1,0,0,0,2,.239,.364,.630,.994,5,0,0,0,0,0,1.000,0.84,0.154,0.86,0.10%,0.91,4,3B
14,726,15,2023-04-15,LAD,,CHC,W 2-1,CG,4,3,0,0,0,0,0,0,0,0,1,2,.224,.356,.592,.948,0,0,0,0,0,0,.000,1.31,-0.078,1.32,-0.05%,-0.13,3,3B
15,727,16,2023-04-16,LAD,,CHC,L 2-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.208,.333,.547,.881,0,0,0,0,0,0,.000,2.19,-0.225,2.34,-0.14%,-1.46,4,3B
16,728,17,2023-04-17,LAD,,NYM,L 6-8,CG,4,4,1,2,0,0,1,1,0,0,0,0,.228,.343,.596,.940,5,0,0,0,0,0,.333,1.71,0.042,1.70,0.03%,0.33,5,3B
17,729,18,2023-04-18,LAD,,NYM,W 5-0,CG,4,1,0,1,0,0,0,0,0,0,3,0,.241,.380,.603,.984,1,0,0,0,0,0,1.000,0.37,0.051,0.36,0.03%,1.28,4,3B
18,730,19,2023-04-19,LAD,,NYM,L 3-5,CG,4,1,0,0,0,0,0,0,0,0,3,0,.237,.400,.593,.993,0,0,0,0,0,1,.000,1.89,0.118,1.85,0.07%,0.92,4,3B
19,731,20,2023-04-20,LAD,@,CHC,W 6-2,CG,4,2,1,1,0,0,1,1,1,0,2,1,.246,.418,.639,1.057,4,0,0,0,0,1,,1.96,0.112,1.77,0.06%,1.13,4,3B
20,732,21,2023-04-21,LAD,@,CHC,L 0-13,GS-7,2,2,0,0,0,0,0,0,0,0,0,2,.238,.407,.619,1.026,0,0,0,0,0,0,,0.70,-0.036,0.67,-0.02%,-0.48,4,3B
21,733,22,2023-04-22,LAD,@,CHC,W 9-4,CG,5,4,2,2,0,0,2,3,0,0,1,1,.254,.419,.701,1.120,8,0,0,0,0,0,.000,0.84,0.129,0.79,0.07%,2.50,3,3B
22,734,23,2023-04-23,LAD,@,CHC,W 7-3,CG,4,4,1,1,0,0,1,2,0,0,0,0,.254,.411,.718,1.129,4,0,0,0,0,0,.000,0.94,0.225,0.92,0.13%,1.16,3,3B
23,735,27,2023-04-28,LAD,,STL,W 7-3,CG,4,2,1,1,1,0,0,1,0,0,2,0,.260,.426,.726,1.152,2,0,0,0,0,0,.500,0.89,0.168,0.88,0.10%,1.54,4,3B
24,736,28,2023-04-29,LAD,,STL,W 1-0,CG,4,3,0,0,0,0,0,0,0,0,1,1,.250,.418,.697,1.116,0,0,0,0,0,0,.000,0.93,-0.071,0.93,-0.04%,-0.69,5,3B
25,737,29,2023-04-30,LAD,,STL,W 6-3,CG,5,4,1,0,0,0,0,0,0,0,1,0,.238,.408,.663,1.070,0,0,0,0,0,0,.000,1.06,-0.071,1.06,-0.04%,-1.28,4,3B
26,738,30,2023-05-01,LAD,,PHI,W 13-4,CG,5,4,1,1,0,0,0,0,0,0,1,1,.238,.407,.643,1.050,1,0,0,0,0,0,.333,0.17,-0.001,0.19,0.00%,-0.21,4,3B
27,739,31,2023-05-02,LAD,,PHI,W 13-1,CG,5,3,2,1,0,0,0,1,0,0,1,2,.241,.407,.632,1.039,1,0,0,0,1,0,.500,0.57,-0.001,0.66,0.00%,0.21,4,3B
28,740,32,2023-05-03,LAD,,PHI,W 10-6,CG,5,5,1,1,0,0,1,4,0,0,0,2,.239,.398,.641,1.040,4,0,0,0,0,0,.000,2.22,0.016,2.62,0.01%,1.53,4,3B
29,741,33,2023-05-05,LAD,@,SDP,L 2-5,GS-8,3,3,0,0,0,0,0,1,0,0,0,1,.232,.388,.621,1.009,0,0,0,0,0,0,.000,1.32,-0.058,1.68,-0.04%,-0.58,4,3B
30,742,34,2023-05-06,LAD,@,SDP,W 2-1,CG,4,2,0,0,0,0,0,0,0,0,1,1,.227,.392,.608,1.000,0,0,1,0,0,0,.000,0.58,0.002,0.76,0.00%,0.11,5,DH
31,743,35,2023-05-07,LAD,@,SDP,W 5-2 (10),CG(10),5,4,0,0,0,0,0,0,0,0,1,3,.218,.385,.584,.969,0,0,0,0,0,0,.000,2.74,-0.230,3.55,-0.18%,-1.27,4,3B
32,744,36,2023-05-08,LAD,@,MIL,L 3-9,CG,4,4,0,0,0,0,0,1,0,0,0,1,.210,.373,.562,.935,0,0,0,0,0,0,.000,0.99,-0.068,1.26,-0.05%,-0.92,4,DH
33,745,37,2023-05-09,LAD,@,MIL,W 6-2,CG,5,5,1,1,0,0,0,0,0,0,0,1,.209,.367,.545,.912,1,1,0,0,0,0,.250,0.24,-0.018,0.31,-0.01%,-1.90,5,3B
34,746,39,2023-05-12,LAD,,SDP,W 4-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.202,.357,.526,.883,0,0,0,0,0,0,.000,0.65,-0.050,0.91,-0.04%,-0.86,6,3B
