Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1,1,2018-10-04,LAD,,ATL,W 6-0,NLDS G1,CG,4,1,1,1,0,0,1,3,1,0,3,0,4,0,0,0,0,0,,0.70,0.252,10.93,2.22%,3.80,,,3,1B
2,2,2,2018-10-05,LAD,,ATL,W 3-0,NLDS G2,GS-9,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.53,-0.077,8.40,-0.67%,-1.04,,,3,1B
3,3,3,2018-10-07,LAD,@,ATL,L 5-6,NLDS G3,3-GF,4,3,1,1,0,0,1,1,0,0,1,1,4,0,0,0,0,0,.000,2.07,-0.032,21.41,-0.18%,0.38,,,3,PH 1B
4,4,4,2018-10-08,LAD,@,ATL,W 6-2,NLDS G4,GS-9,5,3,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,.000,0.86,0.009,16.67,0.16%,0.06,,,3,1B
5,5,5,2018-10-12,LAD,@,MIL,L 5-6,NLCS G1,4-GF,3,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,,0.66,-0.029,17.15,-0.41%,-0.13,,,3,PH 1B
6,6,6,2018-10-13,LAD,@,MIL,W 4-3,NLCS G2,7-GF,2,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.000,0.90,0.075,23.81,1.19%,0.76,,,3,PH 1B
7,7,7,2018-10-15,LAD,,MIL,L 0-4,NLCS G3,GS-8,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.93,-0.069,29.05,-1.37%,-0.53,,,2,1B
8,8,8,2018-10-16,LAD,,MIL,W 2-1 (13),NLCS G4,2-GF(13),5,5,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.333,1.93,-0.131,58.90,-2.22%,-0.97,,,3,PH 1B
9,9,9,2018-10-17,LAD,,MIL,W 5-2,NLCS G5,CG,4,4,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,1.000,1.13,0.110,46.76,2.50%,0.10,,,5,2B 1B
10,10,10,2018-10-19,LAD,@,MIL,L 2-7,NLCS G6,CG,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,0.75,-0.017,33.48,-0.48%,-0.34,,,2,2B 1B
11,11,11,2018-10-20,LAD,@,MIL,W 5-1,NLCS G7,CG,5,4,1,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1.000,0.49,0.039,41.17,1.96%,-0.39,,,2,1B
12,12,12,2018-10-23,LAD,@,BOS,L 4-8,WS G1,7-GF,2,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.000,0.56,0.036,29.25,1.04%,0.10,,,1,PH 1B
13,13,13,2018-10-24,LAD,@,BOS,L 2-4,WS G2,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.36,-0.035,71.93,-1.05%,-0.25,,,7,PH 2B 1B
14,14,14,2018-10-26,LAD,,BOS,W 3-2 (18),WS G3,CG(18),8,6,2,2,1,0,1,1,0,0,2,1,6,0,0,0,0,0,.250,1.71,0.428,71.14,10.43%,0.74,,,3,2B 1B
15,15,15,2018-10-27,LAD,,BOS,L 6-9,WS G4,CG,5,5,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.250,0.89,-0.087,54.19,-3.08%,-0.70,,,2,2B 1B
16,16,16,2018-10-28,LAD,,BOS,L 1-5,WS G5,CG,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.83,-0.062,30.18,-1.44%,-0.53,,,5,2B 1B
17,17,1,2019-10-03,LAD,,WSN,W 6-0,NLDS G1,CG,4,3,0,2,0,0,0,3,1,0,1,0,2,0,0,0,0,0,.667,1.37,0.274,21.47,2.40%,3.71,,,6,2B 1B
18,18,2,2019-10-04,LAD,,WSN,L 2-4,NLDS G2,CG,4,3,1,1,0,0,1,1,0,0,1,2,4,0,0,0,0,1,,1.01,0.146,16.19,1.49%,0.79,,,5,1B
19,19,3,2019-10-06,LAD,@,WSN,W 10-4,NLDS G3,CG,6,4,2,1,0,0,1,1,0,0,2,0,4,0,0,0,0,1,.000,0.65,0.041,13.57,0.41%,-0.10,,,2,2B 1B
20,20,4,2019-10-07,LAD,@,WSN,L 1-6,NLDS G4,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.56,-0.058,10.96,-0.66%,-0.85,,,2,1B
21,21,5,2019-10-09,LAD,,WSN,L 3-7 (10),NLDS G5,CG(10),5,5,1,1,0,0,1,2,0,0,0,0,4,0,0,0,0,0,.000,0.79,0.054,32.92,1.26%,0.57,,,2,2B 1B
22,22,1,2020-09-30,LAD,,MIL,W 4-2,NLWC G1,CG,4,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.000,0.85,0.038,8.84,0.21%,0.50,,,4,1B
23,23,2,2020-10-01,LAD,,MIL,W 3-0,NLWC G2,CG,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,0.57,-0.044,5.52,-0.25%,-0.54,,,4,1B
24,24,3,2020-10-06,LAD,,SDP,W 5-1,NLDS G1,CG,5,4,1,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,.333,0.89,-0.005,13.92,-0.10%,0.67,,,4,1B
25,25,4,2020-10-07,LAD,,SDP,W 6-5,NLDS G2,CG,4,4,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,.500,0.76,0.108,12.15,0.98%,1.21,,,4,1B
26,26,5,2020-10-08,LAD,@,SDP,W 12-3,NLDS G3,CG,6,3,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,.000,0.55,-0.005,5.69,-0.05%,0.19,,,4,1B
27,27,6,2020-10-12,LAD,,ATL,L 1-5,NLCS G1,CG,4,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,.000,0.78,-0.039,20.30,-0.59%,-0.39,,,4,1B
28,28,7,2020-10-13,LAD,,ATL,L 7-8,NLCS G2,CG,5,3,1,1,0,0,1,2,0,0,2,1,4,0,0,0,0,0,.000,0.74,0.030,19.10,0.43%,1.81,,,4,1B
29,29,8,2020-10-14,LAD,@,ATL,W 15-3,NLCS G3,CG,6,4,2,2,1,0,1,4,0,0,2,0,6,0,0,0,0,0,.333,0.26,0.014,5.49,0.19%,4.24,,,4,1B
30,30,9,2020-10-15,LAD,@,ATL,L 2-10,NLCS G4,CG,4,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,,0.47,0.005,15.03,0.13%,0.17,,,4,2B 1B
31,31,10,2020-10-16,LAD,@,ATL,W 7-3,NLCS G5,CG,4,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,0.96,-0.037,22.69,-0.50%,-0.63,,,4,1B
32,32,11,2020-10-17,LAD,,ATL,W 3-1,NLCS G6,CG,4,3,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1.000,0.47,0.011,20.63,0.28%,0.10,,,4,1B
33,33,12,2020-10-18,LAD,,ATL,W 4-3,NLCS G7,CG,4,4,1,1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,1.000,1.85,-0.127,153.96,-6.53%,-0.99,,,4,1B
34,34,13,2020-10-20,LAD,,TBR,W 8-3,WS G1,CG,5,4,2,2,1,0,0,2,0,0,1,0,3,0,0,0,0,0,.500,0.68,0.092,35.30,2.69%,2.14,,,4,1B
35,35,14,2020-10-21,LAD,,TBR,L 4-6,WS G2,CG,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,1.29,-0.076,68.05,-2.57%,-0.48,,,4,1B
36,36,15,2020-10-23,LAD,@,TBR,W 6-2,WS G3,CG,5,4,0,2,0,0,0,2,0,0,1,1,2,0,0,0,0,0,.667,0.53,0.169,32.97,6.77%,1.46,,,4,1B
37,37,16,2020-10-24,LAD,@,TBR,L 7-8,WS G4,CG,5,4,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,.333,1.38,-0.059,84.72,-2.20%,-0.33,,,4,1B
38,38,17,2020-10-25,LAD,@,TBR,W 4-2,WS G5,CG,4,3,1,2,0,0,1,1,0,0,1,0,5,0,0,0,0,0,.500,0.67,0.159,55.27,8.40%,1.54,,,4,1B
39,39,18,2020-10-27,LAD,,TBR,W 3-1,WS G6,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,.000,0.67,-0.079,52.40,-3.69%,-1.14,,,4,1B
40,40,1,2022-10-11,LAD,,SDP,W 5-3,NLDS G1,CG,4,3,1,1,0,0,0,1,0,0,1,2,1,0,0,0,0,0,1.000,0.51,0.081,7.91,0.72%,0.80,,,5,3B
41,41,2,2022-10-12,LAD,,SDP,L 3-5,NLDS G2,CG,4,4,1,2,0,0,1,1,0,0,0,0,5,0,0,0,0,0,.333,1.57,0.190,25.01,1.70%,1.49,,,5,3B
42,42,3,2022-10-14,LAD,@,SDP,L 1-2,NLDS G3,CG,4,4,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,.500,1.30,-0.040,27.09,-0.47%,-0.25,,,5,2B
43,43,4,2022-10-15,LAD,@,SDP,L 3-5,NLDS G4,CG,4,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,.000,0.80,-0.059,17.78,-0.80%,-1.10,,,5,3B
44,44,1,2023-10-07,LAD,,ARI,L 2-11,NLDS G1,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.16,-0.019,2.54,-0.18%,-1.46,,,4,3B
