Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,841,1,2023-03-30,MIN,@,KCR,W 2-0,CG,4,4,0,1,0,0,0,0,0,0,0,3,.250,.250,.250,.500,1,0,0,0,0,0,1.000,1.05,-0.029,1.05,-0.02%,-0.70,9,CF
2,842,2,2023-04-01,MIN,@,KCR,W 2-0,CG,3,3,0,0,0,0,0,0,0,0,0,0,.143,.143,.143,.286,0,0,0,0,0,0,.000,1.03,-0.096,1.09,-0.06%,-1.09,9,CF
3,843,3,2023-04-02,MIN,@,KCR,W 7-4,CG,4,3,0,1,1,0,0,0,0,0,0,1,.200,.273,.300,.573,2,0,1,0,0,0,.500,0.82,0.022,0.88,0.01%,0.21,9,CF
4,844,4,2023-04-03,MIN,@,MIA,W 11-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.143,.200,.214,.414,0,1,0,0,0,0,.000,0.20,-0.020,0.20,-0.01%,-1.53,9,CF
5,845,5,2023-04-04,MIN,@,MIA,L 0-1,CG,3,3,0,1,0,0,0,0,0,0,0,0,.176,.222,.235,.458,1,0,0,0,0,0,.333,0.86,0.000,0.92,0.00%,0.04,9,CF
6,846,6,2023-04-05,MIN,@,MIA,L 2-5,CG,3,3,0,1,0,0,0,0,1,0,0,1,.200,.238,.250,.488,1,0,0,0,0,0,.500,1.23,0.009,1.25,0.01%,0.06,9,CF
7,847,7,2023-04-07,MIN,,HOU,W 3-2 (10),CG(10),4,4,0,2,1,0,0,0,0,0,0,2,.250,.280,.333,.613,3,0,0,0,0,0,1.000,1.54,-0.005,1.65,0.00%,0.14,9,CF
8,848,8,2023-04-08,MIN,,HOU,W 9-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.214,.241,.286,.527,0,0,0,0,0,0,.000,0.86,-0.084,0.94,-0.06%,-1.40,9,CF
9,849,9,2023-04-09,MIN,,HOU,L 1-5,CG,3,3,0,0,0,0,0,0,0,0,0,2,.194,.219,.258,.477,0,0,0,0,0,0,.000,0.79,-0.065,0.90,-0.04%,-0.74,9,CF
10,850,10,2023-04-10,MIN,,CHW,L 3-4,CG,4,4,1,0,0,0,0,0,0,0,0,2,.171,.194,.229,.423,0,0,0,0,0,0,.000,2.27,-0.225,2.57,-0.15%,-1.33,9,CF
11,851,11,2023-04-11,MIN,,CHW,W 4-3 (10),CG(10),4,4,1,2,0,0,1,1,0,0,0,2,.205,.225,.333,.558,5,0,0,0,0,0,1.000,1.00,0.271,1.15,0.19%,1.49,9,CF
12,852,12,2023-04-12,MIN,,CHW,W 3-1,CG,4,4,0,2,0,0,0,2,0,0,0,1,.233,.250,.349,.599,2,0,0,0,0,0,.667,1.20,0.060,1.42,0.04%,0.91,9,CF
13,853,13,2023-04-13,MIN,@,NYY,W 11-2,GS-8,4,4,2,2,0,0,2,4,0,0,0,2,.255,.271,.489,.760,8,0,0,0,0,0,,0.12,0.069,0.14,0.05%,2.67,9,CF
