Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1013,1,2025-03-18,LAD,@,CHC,W 4-1,CG,4,4,0,1,1,0,0,0,0,0,0,1,.250,.250,.500,.750,2,0,0,0,0,0,.333,1.30,-0.097,1.26,-0.06%,-0.73,5.00,6.00,7,LF
2,1014,2,2025-03-19,LAD,@,CHC,W 6-3,CG,4,3,0,1,0,0,0,0,0,0,1,1,.286,.375,.429,.804,1,0,0,0,0,0,.500,0.31,0.023,0.30,0.01%,0.25,5.00,6.00,7,LF
3,1015,4,2025-03-28,LAD,,DET,W 8-5 (10),CG(10),4,4,1,1,1,0,0,1,0,0,0,1,.273,.333,.455,.788,2,0,0,0,0,0,.333,2.06,0.134,2.02,0.08%,0.20,9.00,12.70,7,LF
4,1016,5,2025-03-29,LAD,,DET,W 7-3,CG,4,3,1,1,1,0,0,1,0,0,1,1,.286,.375,.500,.875,2,0,0,0,0,0,.500,0.67,0.171,0.68,0.10%,1.33,11.00,15.70,7,LF
5,1017,6,2025-03-31,LAD,,ATL,W 6-1,CG,4,3,0,1,1,0,0,1,0,0,1,2,.294,.400,.529,.929,2,0,0,0,0,0,1.000,0.51,0.102,0.54,0.07%,1.23,9.00,12.50,4,LF
6,1018,8,2025-04-02,LAD,,ATL,W 6-5,CG,4,2,3,2,0,0,1,1,0,0,2,0,.368,.500,.737,1.237,5,0,0,0,0,0,1.000,0.93,0.228,1.02,0.15%,2.02,25.00,34.10,4,LF
7,1019,9,2025-04-04,LAD,@,PHI,L 2-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.318,.444,.636,1.081,0,0,0,0,0,0,.000,0.89,-0.073,1.01,-0.05%,-0.69,0.00,0.00,7,LF
8,1020,10,2025-04-05,LAD,@,PHI,W 3-1,CG,4,4,1,1,0,0,1,1,0,0,0,0,.308,.419,.692,1.112,4,0,0,0,0,0,.000,0.78,0.062,0.88,0.04%,0.30,14.00,18.70,4,LF
9,1021,11,2025-04-06,LAD,@,PHI,L 7-8,CG,4,3,0,0,0,0,0,0,0,0,0,1,.276,.400,.621,1.021,0,0,1,0,0,0,.000,0.96,-0.063,1.09,-0.04%,-0.53,2.00,3.00,6,LF
10,1022,12,2025-04-07,LAD,@,WSN,L 4-6,8-GF,2,1,1,0,0,0,0,0,0,0,1,1,.267,.405,.600,1.005,0,0,0,0,0,0,,1.21,-0.028,1.37,-0.02%,0.04,4.00,6.20,9,PH LF
11,1023,13,2025-04-08,LAD,@,WSN,L 2-8,CG,5,4,0,0,0,0,0,0,0,0,1,3,.235,.381,.529,.910,0,0,0,0,0,0,.000,0.39,0.015,0.43,0.01%,-0.88,2.00,3.00,5,LF
12,1024,14,2025-04-09,LAD,@,WSN,W 6-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.211,.348,.474,.822,0,0,0,0,0,0,.000,1.26,-0.133,1.38,-0.09%,-1.28,0.00,0.00,5,LF
13,1025,15,2025-04-11,LAD,,CHC,W 3-0,GS-9,4,3,0,1,0,0,0,0,0,0,1,1,.220,.360,.463,.823,1,0,0,0,0,0,.500,0.51,0.049,0.56,0.03%,0.11,5.00,6.00,7,LF
14,1026,16,2025-04-12,LAD,,CHC,L 0-16,CG,4,4,0,0,0,0,0,0,0,0,0,2,.200,.333,.422,.756,0,0,0,0,0,0,.000,0.87,-0.089,0.99,-0.06%,-1.24,0.00,0.00,5,LF
15,1027,17,2025-04-13,LAD,,CHC,L 2-4,CG,4,4,2,2,0,0,0,0,0,0,0,2,.224,.345,.429,.773,2,0,0,0,0,0,1.000,1.24,0.021,1.40,0.01%,0.18,10.00,12.40,5,LF
16,1028,18,2025-04-14,LAD,,COL,W 5-3,GS-9,4,2,0,0,0,0,0,0,0,0,2,0,.216,.355,.412,.767,0,2,0,0,0,0,.000,0.58,-0.079,0.60,-0.05%,-0.96,4.00,6.00,5,LF
17,1029,19,2025-04-15,LAD,,COL,W 6-2,GS-8,4,2,1,0,0,0,0,0,0,0,1,1,.208,.364,.396,.760,0,0,1,0,0,0,.000,0.41,0.029,0.42,0.02%,0.25,6.00,9.20,5,LF
18,1030,20,2025-04-16,LAD,,COL,W 8-7,GS-9,4,4,1,1,0,0,0,0,0,0,0,0,.211,.357,.386,.743,1,1,0,0,0,0,.250,0.72,-0.095,0.77,-0.06%,-1.55,5.00,6.20,5,LF
19,1031,21,2025-04-18,LAD,@,TEX,W 3-0,GS-9,4,3,0,0,0,0,0,0,0,0,1,1,.200,.351,.367,.718,0,0,0,0,0,0,.000,0.67,-0.035,0.71,-0.02%,0.15,2.00,3.00,5,LF
20,1032,22,2025-04-19,LAD,@,TEX,L 3-4,GS-9,4,4,1,1,0,0,0,0,0,0,0,0,.203,.346,.359,.706,1,0,0,0,0,0,.250,0.67,0.003,0.73,0.00%,-0.06,5.00,6.20,5,LF
21,1033,23,2025-04-20,LAD,@,TEX,W 1-0,GS-9,4,3,0,0,0,0,0,0,0,0,1,1,.194,.341,.343,.685,0,0,0,0,0,0,.000,0.94,-0.022,1.00,-0.01%,-0.35,2.00,3.00,6,LF
22,1034,24,2025-04-22,LAD,@,CHC,L 10-11 (10),10-10,1,1,0,0,0,0,0,0,0,0,0,0,.191,.337,.338,.676,0,0,0,0,0,0,.000,4.81,-0.127,5.71,-0.09%,-0.36,0.00,0.00,8,PH
23,1035,25,2025-04-23,LAD,@,CHC,L 6-7,CG,4,3,1,1,0,0,0,0,0,0,1,2,.197,.345,.338,.683,1,0,0,0,0,0,1.000,0.97,0.037,1.15,0.03%,0.38,7.00,9.20,7,LF
24,1036,26,2025-04-25,LAD,,PIT,L 0-3,CG,4,4,0,0,0,0,0,0,0,0,0,3,.187,.330,.320,.650,0,0,0,0,0,0,.000,0.76,-0.081,0.86,-0.06%,-0.82,0.00,0.00,7,LF
25,1037,27,2025-04-26,LAD,,PIT,W 8-4,GS-8,3,3,0,0,0,0,0,0,0,0,0,1,.179,.319,.308,.627,0,0,0,0,0,0,.000,0.68,-0.052,0.77,-0.04%,-0.49,0.00,0.00,7,LF
26,1038,29,2025-04-28,LAD,,MIA,W 7-6 (10),CG(10),5,5,1,0,0,0,0,0,0,0,0,1,.169,.303,.289,.592,0,0,0,0,0,0,.000,1.15,-0.145,1.37,-0.10%,-1.26,2.00,3.20,6,LF
27,1039,30,2025-04-29,LAD,,MIA,W 15-2,CG,5,4,1,0,0,0,0,0,1,0,1,1,.161,.298,.276,.574,0,1,0,0,0,0,.000,0.30,-0.010,0.36,-0.01%,-1.38,9.00,12.20,9,LF
28,1040,31,2025-04-30,LAD,,MIA,W 12-7,CG,5,3,1,0,0,0,0,0,0,0,2,1,.156,.303,.267,.569,0,2,0,0,0,0,.000,0.51,-0.047,0.63,-0.03%,-1.02,6.00,9.20,8,LF
29,1041,32,2025-05-02,LAD,@,ATL,W 2-1,GS-8,3,2,0,0,0,0,0,0,0,0,1,2,.152,.304,.261,.564,0,0,0,0,0,0,,0.77,-0.001,0.90,0.00%,0.07,2.00,3.00,8,LF
30,1042,33,2025-05-03,LAD,@,ATL,W 10-3,GS-9,5,5,0,0,0,0,0,1,0,0,0,3,.144,.291,.247,.538,0,0,0,0,0,0,.000,0.61,-0.019,0.73,-0.01%,-0.71,2.00,3.50,8,LF
31,1043,34,2025-05-04,LAD,@,ATL,L 3-4,GS-7,2,2,0,0,0,0,0,0,0,0,0,2,.141,.286,.242,.528,0,0,0,0,0,0,,0.79,-0.040,0.93,-0.03%,-0.40,0.00,0.00,8,LF
32,1044,35,2025-05-05,LAD,@,MIA,W 7-4,GS-9,4,4,0,1,0,0,0,0,0,0,0,0,.146,.285,.243,.527,1,0,0,0,0,0,.250,0.21,-0.016,0.25,-0.01%,-0.51,3.00,3.00,8,LF
33,1045,36,2025-05-06,LAD,@,MIA,L 4-5 (10),CG(10),4,3,0,0,0,0,0,0,0,0,1,1,.142,.283,.236,.519,0,0,0,0,0,0,.000,1.68,-0.111,1.92,-0.08%,-0.75,2.00,3.00,6,LF
