Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,150,2022-09-22,CIN,,MIL,L 1-5,CG,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.18,-0.094,0.00,0.00%,-0.86,8,CF
2,2,152,2022-09-24,CIN,,MIL,L 2-10,CG,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.65,-0.049,0.00,0.00%,-1.24,8,CF
3,3,155,2022-09-27,CIN,@,PIT,L 1-4,GS-8,3,3,0,2,0,0,0,0,0,1,0,0,.222,.222,.222,.444,2,0,0,0,0,0,.667,1.11,-0.016,0.00,0.00%,-0.01,7,CF
4,4,156,2022-09-28,CIN,@,PIT,L 3-4 (10),8-GF(10),1,1,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,.400,0,0,0,0,0,0,.000,3.94,-0.106,0.00,0.00%,-0.44,9,PR CF
5,5,157,2022-09-30,CIN,@,CHC,L 1-6,CG,3,3,0,0,0,0,0,0,0,0,0,0,.154,.154,.154,.308,0,1,0,0,0,0,.000,0.58,-0.064,0.00,0.00%,-1.54,7,CF
6,6,158,2022-10-01,CIN,@,CHC,L 1-2,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.154,.154,.154,.308,0,,0,0,,,,,,,,,9,PR CF
7,7,159,2022-10-02,CIN,@,CHC,L 1-8,CG,4,4,1,1,0,0,0,0,0,0,0,2,.176,.176,.176,.353,1,0,0,0,0,0,.500,0.27,-0.012,0.00,0.00%,-0.18,8,CF
8,8,161,2022-10-04,CIN,,CHC,W 3-2,CG,3,3,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,1,0,0,0,0,0,1.000,0.84,-0.039,0.00,0.00%,-0.21,7,CF
9,9,162,2022-10-05,CIN,,CHC,L 2-15,CG,4,4,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,.333,0,0,0,0,0,0,.000,1.54,-0.162,0.00,0.00%,-2.07,7,CF
,,,,,,,1-8,,24,24,1,4,0,0,0,0,0,1,0,7,.167,.167,.167,.333,4,1,0,0,0,0,.235,1.02,-0.542,0.00,0.00%,-6.55,,
