Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,299,53,2024-05-24,OAK,,HOU,L 3-6,CG,4,4,0,3,0,0,0,2,0,0,0,0,.750,.750,.750,1.500,3,0,0,0,0,0,.750,1.03,0.172,0.41,0.04%,2.17,13.00,16.00,4,LF
2,300,55,2024-05-26,OAK,,HOU,L 2-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.375,.375,.375,.750,0,0,0,0,0,0,.000,0.39,-0.039,0.17,-0.01%,-0.63,0.00,0.00,3,LF
3,301,56,2024-05-28,OAK,@,TBR,W 3-0,CG,4,4,1,1,0,0,1,3,0,0,0,1,.333,.333,.583,.917,4,1,0,0,0,0,.000,1.17,0.297,0.38,0.06%,1.18,18.00,25.70,4,LF
4,302,57,2024-05-29,OAK,@,TBR,L 3-4,CG,4,3,0,2,1,0,0,2,0,0,0,0,.400,.375,.667,1.042,3,0,0,0,1,0,.500,1.90,0.340,0.68,0.07%,1.51,12.00,16.00,4,LF 1B
5,303,58,2024-05-30,OAK,@,TBR,L 5-6 (12),CG(12),5,5,1,1,0,0,0,1,0,0,0,0,.350,.333,.550,.883,1,1,0,0,0,0,.200,1.46,-0.197,0.47,-0.04%,-1.62,7.00,9.70,4,DH
6,304,59,2024-05-31,OAK,@,ATL,L 2-4,CG,4,4,1,2,1,0,0,0,1,0,0,0,.375,.360,.583,.943,3,0,0,0,0,0,.500,1.40,0.015,0.37,0.00%,0.34,15.00,18.20,4,LF
7,305,60,2024-06-01,OAK,@,ATL,W 11-9,CG,5,5,3,4,0,0,1,4,0,0,0,0,.448,.433,.724,1.157,7,0,0,0,0,0,.750,1.32,0.313,0.32,0.05%,3.11,33.00,44.60,2,LF
8,306,61,2024-06-02,OAK,@,ATL,L 1-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,.394,.382,.636,1.019,0,0,0,0,0,0,.000,1.44,-0.147,0.38,-0.02%,-1.01,0.00,0.00,2,LF
9,307,62,2024-06-04,OAK,,SEA,L 3-4,GS-9,5,5,0,1,0,0,0,0,0,0,0,1,.368,.359,.579,.938,1,1,0,0,0,0,.250,1.08,-0.085,0.27,-0.01%,-0.69,3.00,3.00,2,LF
10,308,63,2024-06-05,OAK,,SEA,W 2-1,CG,3,3,0,0,0,0,0,0,0,0,0,1,.341,.333,.537,.870,0,0,0,0,0,0,.000,0.63,-0.047,0.14,-0.01%,-0.59,0.00,0.00,2,LF
11,309,64,2024-06-06,OAK,,SEA,L 0-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,.311,.304,.489,.793,0,0,0,0,0,0,.000,0.78,-0.059,0.18,-0.01%,-0.56,0.00,0.00,2,LF
12,310,65,2024-06-07,OAK,,TOR,W 2-1,CG,4,4,0,0,0,0,0,0,0,0,0,3,.286,.280,.449,.729,0,0,0,0,0,0,.000,1.16,-0.148,0.19,-0.01%,-1.12,0.00,0.00,2,LF
13,311,67,2024-06-09,OAK,,TOR,L 4-6 (10),CG(10),4,4,0,2,1,0,0,0,0,0,0,1,.302,.296,.472,.768,3,0,0,0,0,0,.667,1.21,0.055,0.21,0.01%,0.43,8.00,9.00,4,LF
14,312,68,2024-06-10,OAK,@,SDP,L 1-6,CG,4,3,0,2,1,0,0,0,0,0,1,1,.321,.328,.500,.828,3,0,0,0,0,0,1.000,0.72,0.048,0.10,0.00%,0.32,10.00,12.00,4,LF
15,313,69,2024-06-11,OAK,@,SDP,L 3-4,CG,4,4,1,1,0,0,0,0,0,1,0,1,.317,.323,.483,.806,1,0,0,0,0,0,.333,1.10,-0.069,0.12,0.00%,-0.98,5.00,6.20,4,LF
16,314,70,2024-06-12,OAK,@,SDP,L 4-5,CG,5,5,1,2,0,0,0,0,0,0,0,2,.323,.328,.477,.805,2,0,0,0,0,0,.667,1.30,0.061,0.11,0.00%,0.09,8.00,9.20,3,LF
17,315,71,2024-06-13,OAK,@,MIN,L 2-6,CG,4,3,1,0,0,0,0,0,0,0,1,0,.309,.324,.456,.780,0,0,0,0,0,0,.000,0.68,-0.009,0.05,0.00%,-0.12,4.00,6.20,4,LF
18,316,72,2024-06-14,OAK,@,MIN,L 5-6 (10),CG(10),5,5,1,2,0,0,0,0,0,0,0,0,.315,.329,.452,.781,2,0,0,0,0,0,.400,1.53,-0.118,0.09,0.00%,-0.30,8.00,9.20,4,LF
19,317,73,2024-06-16 (1),OAK,@,MIN,L 2-6,CG,4,4,0,1,0,0,0,0,0,0,0,0,.312,.325,.442,.767,1,0,0,0,0,0,.250,0.68,-0.018,0.03,0.00%,-0.45,3.00,3.00,4,LF
20,318,74,2024-06-16 (2),OAK,@,MIN,L 7-8,CG,5,5,1,1,0,0,0,0,0,0,0,0,.305,.318,.427,.744,1,0,0,0,0,0,.200,1.63,-0.131,0.05,0.00%,-0.66,5.00,6.20,3,DH
21,319,75,2024-06-18,OAK,,KCR,W 7-5,CG,4,4,0,2,0,0,0,1,0,0,0,0,.314,.326,.430,.756,2,0,0,0,0,0,.500,0.64,0.046,0.01,0.00%,0.48,8.00,9.50,3,LF
22,320,76,2024-06-19,OAK,,KCR,W 5-1,CG,5,5,1,3,0,0,0,1,0,0,0,0,.330,.340,.440,.780,3,0,0,0,0,0,.600,0.77,0.153,0.02,0.00%,1.38,13.00,15.70,3,LF
23,321,77,2024-06-20,OAK,,KCR,L 2-3,CG,4,3,0,1,0,0,0,0,0,0,1,0,.330,.347,.436,.783,1,1,0,0,0,0,.333,1.44,-0.046,0.05,0.00%,-0.54,5.00,6.00,3,LF
24,322,78,2024-06-21,OAK,,MIN,W 6-5,CG,4,4,1,1,0,0,0,0,0,0,0,1,.327,.343,.429,.772,1,0,0,0,0,0,.333,1.20,-0.107,0.03,0.00%,-0.91,5.00,6.20,3,LF
25,323,79,2024-06-22,OAK,,MIN,L 2-10,GS-8,3,3,0,0,0,0,0,0,0,0,0,0,.317,.333,.416,.749,0,0,0,0,0,0,.000,0.29,-0.022,0.01,0.00%,-0.47,0.00,0.00,3,LF
26,324,80,2024-06-23,OAK,,MIN,L 0-3,CG,4,4,0,2,0,0,0,0,0,0,0,1,.324,.339,.419,.759,2,0,0,0,0,0,.667,0.46,0.017,0.01,0.00%,0.27,6.00,6.00,3,LF
27,325,81,2024-06-24,OAK,@,LAA,L 1-5,CG,4,3,0,1,1,0,0,0,0,0,1,0,.324,.345,.426,.771,2,0,0,0,0,0,.333,0.80,-0.046,0.01,0.00%,-0.34,7.00,9.00,2,LF
28,326,82,2024-06-25,OAK,@,LAA,L 5-7,CG,5,4,0,1,0,0,0,0,0,0,1,1,.321,.347,.420,.767,1,0,0,0,0,0,.333,1.09,-0.050,0.02,0.00%,-0.36,5.00,6.00,3,LF
29,327,83,2024-06-26,OAK,@,LAA,L 2-5,CG,4,4,0,2,1,0,0,0,0,0,0,0,.328,.352,.431,.783,3,0,0,0,0,0,.500,0.48,-0.008,0.00,0.00%,0.01,8.00,9.00,3,LF
30,328,84,2024-06-28,OAK,@,ARI,W 9-4,CG,5,4,1,0,0,0,0,0,0,0,1,1,.317,.346,.417,.763,0,0,0,0,0,0,.000,1.00,-0.087,0.01,0.00%,-0.86,4.00,6.20,2,LF
31,329,85,2024-06-29,OAK,@,ARI,L 0-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,.315,.344,.411,.755,1,0,0,0,0,0,.250,0.69,-0.004,0.01,0.00%,-0.13,3.00,3.00,2,LF
32,330,86,2024-06-30,OAK,@,ARI,L 1-5,CG,4,4,0,0,0,0,0,0,0,0,0,3,.305,.333,.398,.732,0,0,0,0,0,0,.000,0.96,-0.102,0.01,0.00%,-0.88,0.00,0.00,2,LF
33,331,87,2024-07-02,OAK,,LAA,W 7-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,.295,.324,.386,.710,0,0,0,0,0,0,.000,0.55,-0.054,0.00,0.00%,-0.89,0.00,0.00,2,LF
34,332,88,2024-07-03,OAK,,LAA,W 5-0,CG,4,4,0,1,1,0,0,0,0,0,0,0,.294,.322,.390,.711,2,0,0,0,0,0,.250,0.32,0.025,0.00,0.00%,-0.06,5.00,6.00,2,LF
35,333,89,2024-07-04,OAK,,LAA,W 5-0,CG,4,4,1,1,0,0,0,1,0,0,0,2,.293,.320,.386,.705,1,0,0,0,0,0,.500,0.81,0.133,0.01,0.00%,0.90,7.00,9.70,2,LF
36,334,90,2024-07-05,OAK,,BAL,L 2-3,CG,4,4,1,1,0,0,1,1,0,0,0,1,.292,.318,.403,.721,4,0,0,0,0,0,.000,1.99,-0.138,0.01,0.00%,-0.06,14.00,18.70,2,LF
37,335,91,2024-07-06,OAK,,BAL,W 19-8,GS-7,5,4,1,3,1,0,0,3,0,0,1,1,.304,.333,.419,.752,4,0,0,0,0,0,1.000,0.33,0.063,0.00,0.00%,3.89,21.00,28.70,2,LF
38,336,92,2024-07-07,OAK,,BAL,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,.296,.325,.408,.733,0,0,0,0,0,0,.000,0.89,-0.091,0.01,0.00%,-1.02,0.00,0.00,2,LF
39,337,93,2024-07-09,OAK,@,BOS,L 9-12,CG,5,5,2,2,0,0,0,0,0,0,0,1,.299,.327,.408,.735,2,0,0,0,0,0,.500,0.62,-0.043,0.01,0.00%,-0.44,10.00,12.40,2,LF
40,338,94,2024-07-10,OAK,@,BOS,W 5-2,CG,5,5,1,1,0,0,0,0,1,0,0,1,.296,.324,.401,.725,1,0,0,0,0,0,.250,0.50,-0.020,0.00,0.00%,-0.56,10.00,12.20,2,LF
41,339,95,2024-07-11,OAK,@,BOS,L 0-7,CG,4,4,0,0,0,0,0,0,0,0,0,2,.289,.316,.392,.708,0,0,0,0,0,0,.000,0.68,-0.068,0.00,0.00%,-1.07,0.00,0.00,2,LF
42,340,96,2024-07-12,OAK,@,PHI,W 6-2,CG,5,5,1,1,0,0,0,1,0,0,0,2,.287,.313,.386,.699,1,1,0,0,0,0,.333,1.06,-0.031,0.00,0.00%,-0.76,7.00,9.70,2,LF
43,341,97,2024-07-13,OAK,@,PHI,L 5-11,7-GF,2,2,0,1,1,0,0,1,0,0,0,1,.289,.315,.393,.708,2,0,0,0,0,0,1.000,1.25,-0.064,0.00,0.00%,0.66,7.00,9.50,1,PH LF
44,342,98,2024-07-14,OAK,@,PHI,W 18-3,CG,5,5,0,0,0,0,0,0,0,0,0,0,.281,.306,.382,.688,0,0,0,0,0,0,.000,0.41,-0.052,0.00,0.00%,-0.84,0.00,0.00,2,LF
45,343,99,2024-07-19,OAK,,LAA,W 13-3,GS-8,4,4,1,2,1,0,0,1,0,0,0,0,.286,.311,.390,.701,3,0,0,0,0,0,.500,0.66,-0.015,0.00,0.00%,0.73,12.00,15.70,2,LF
46,344,100,2024-07-20,OAK,,LAA,W 8-2,CG,4,4,1,3,0,0,0,1,0,0,0,0,.296,.320,.398,.717,3,1,0,0,0,0,.750,0.43,-0.019,0.00,0.00%,0.88,13.00,15.70,2,LF
47,345,101,2024-07-21,OAK,,LAA,L 5-8,CG,5,5,1,3,0,0,1,1,0,0,0,0,.304,.327,.419,.745,6,0,0,0,0,0,.500,1.34,0.193,0.01,0.00%,1.61,20.00,24.70,2,LF
48,346,102,2024-07-22,OAK,,HOU,W 4-0,CG,4,4,1,1,1,0,0,1,0,0,0,0,.303,.325,.421,.746,2,0,0,0,0,0,.250,0.84,0.163,0.00,0.00%,1.06,9.00,12.70,2,LF
49,347,103,2024-07-23,OAK,,HOU,W 8-2,CG,5,5,0,1,0,0,0,0,0,0,0,1,.300,.322,.415,.737,1,1,0,0,0,0,.250,0.39,-0.054,0.00,0.00%,-1.15,3.00,3.00,2,LF
50,348,104,2024-07-24,OAK,,HOU,L 1-8,CG,5,5,0,2,1,0,0,1,0,0,0,0,.302,.324,.420,.743,3,0,0,0,0,0,.400,0.69,0.109,0.01,0.00%,0.66,10.00,12.50,2,LF
51,349,105,2024-07-25,OAK,@,LAA,W 6-5,CG,5,4,0,0,0,0,0,0,0,0,0,0,.297,.321,.411,.733,0,0,1,0,0,0,.000,0.87,-0.089,0.01,0.00%,-0.71,2.00,3.00,2,LF
52,350,106,2024-07-26,OAK,@,LAA,W 5-4,CG,4,3,0,1,0,0,0,0,0,0,1,0,.297,.324,.410,.735,1,0,0,0,0,0,.333,0.60,-0.009,0.00,0.00%,-0.07,5.00,6.00,2,LF
