Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,555,1,2024-03-28,SFG,@,SDP,L 4-6,CG,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.14,-0.126,1.15,-0.08%,-1.22,0.00,0.00,5,RF
2,556,5,2024-04-01,SFG,@,LAD,L 3-8,9-GF,1,0,1,0,0,0,0,0,0,0,1,0,.000,.200,.000,.200,0,0,0,0,0,0,,0.09,0.003,0.09,0.00%,0.38,4.00,6.20,9,PH
3,557,6,2024-04-02,SFG,@,LAD,L 4-5,GS-6,2,1,0,0,0,0,0,0,0,0,1,0,.000,.286,.000,.286,0,0,0,0,0,0,.000,1.13,0.005,1.13,0.00%,0.09,2.00,3.00,7,RF
4,558,7,2024-04-03,SFG,@,LAD,L 4-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.000,.182,.000,.182,0,0,0,0,0,0,.000,1.18,-0.119,1.14,-0.07%,-0.71,0.00,0.00,7,RF
5,559,8,2024-04-05,SFG,,SDP,W 3-2,GS-7,2,2,0,0,0,0,0,0,0,0,0,2,.000,.154,.000,.154,0,0,0,0,0,0,,1.25,-0.066,1.12,-0.04%,-0.50,0.00,0.00,7,RF
6,560,9,2024-04-06,SFG,,SDP,L 0-4,CG,4,3,0,1,0,0,0,0,0,0,1,0,.071,.235,.071,.307,1,0,0,0,0,0,.333,0.39,0.015,0.38,0.01%,0.05,5.00,6.00,7,RF
7,561,10,2024-04-07,SFG,,SDP,W 3-2,GS-7,2,2,0,0,0,0,0,0,0,0,0,2,.063,.211,.063,.273,0,0,0,0,0,0,,1.03,-0.051,0.90,-0.03%,-0.37,0.00,0.00,7,RF
8,562,11,2024-04-08,SFG,,WSN,L 1-8,CG,4,4,0,0,0,0,0,0,0,0,0,2,.050,.174,.050,.224,0,0,0,0,0,0,.000,0.98,-0.079,0.89,-0.04%,-1.13,0.00,0.00,6,RF
9,563,12,2024-04-09,SFG,,WSN,L 3-5,CG,4,3,1,2,0,0,0,0,0,0,0,0,.130,.231,.130,.361,2,0,0,1,0,0,.667,1.47,0.037,1.29,0.02%,0.31,8.00,9.20,7,RF
10,564,14,2024-04-12,SFG,@,TBR,L 1-2,GS-6,2,1,0,0,0,0,0,0,0,0,1,0,.125,.250,.125,.375,0,0,0,0,0,0,.000,1.42,-0.006,1.16,0.00%,0.03,2.00,3.00,7,RF
11,565,15,2024-04-13,SFG,@,TBR,W 11-2,CG,5,5,0,1,0,0,0,2,0,0,0,1,.138,.242,.138,.380,1,0,0,0,0,0,.250,0.35,0.007,0.26,0.00%,0.61,7.00,10.00,7,RF
12,566,17,2024-04-15,SFG,@,MIA,W 4-3,CG,4,3,1,0,0,0,0,0,0,0,1,0,.125,.243,.125,.368,0,0,0,0,0,0,.000,1.08,-0.019,0.82,-0.01%,-0.37,4.00,6.20,7,RF
13,567,19,2024-04-17,SFG,@,MIA,W 3-1,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.121,.237,.121,.358,0,0,0,0,0,0,.000,0.49,-0.014,0.38,-0.01%,-0.34,0.00,0.00,1,RF
14,568,20,2024-04-18,SFG,,ARI,W 5-0,CG,4,4,0,1,0,0,0,2,0,0,0,0,.135,.238,.135,.373,1,0,0,0,0,0,.250,0.52,-0.028,0.46,-0.02%,1.27,7.00,10.00,7,RF
15,569,22,2024-04-20,SFG,,ARI,W 7-3,CG,4,4,1,2,0,0,0,0,0,0,0,0,.171,.261,.171,.432,2,0,0,0,0,0,.500,0.63,-0.019,0.59,-0.01%,0.31,8.00,9.20,8,RF
