Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,243,1,2021-04-01,MIN,@,MIL,L 5-6 (10),CG(10),5,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.73,-0.099,0.66,-0.05%,-1.54,7,C
2,244,3,2021-04-04,MIN,@,MIL,W 8-2,CG,4,3,1,2,0,0,1,1,0,0,1,0,.250,.333,.625,.958,5,0,0,0,0,0,.500,0.43,0.166,0.38,0.09%,1.03,7,C
3,245,4,2021-04-05,MIN,@,DET,W 15-6,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.222,.300,.556,.856,0,0,0,0,0,0,,0.00,0.000,0.00,0.00%,-0.44,2,PH 1B
4,246,5,2021-04-06,MIN,@,DET,L 3-4 (10),9-GF(10),1,1,0,0,0,0,0,0,0,0,0,0,.200,.273,.500,.773,0,0,0,0,0,0,.000,2.33,-0.059,2.73,-0.04%,-0.24,9,PH C
5,247,6,2021-04-07,MIN,@,DET,W 3-2,CG,4,4,0,0,0,0,0,0,0,0,0,3,.143,.200,.357,.557,0,1,0,0,0,0,.000,1.16,-0.180,1.29,-0.12%,-1.37,1,C
6,248,7,2021-04-08,MIN,,SEA,W 10-2,GS-8,4,4,2,2,1,0,1,3,0,0,0,0,.222,.263,.611,.874,6,0,0,0,0,0,.333,1.10,0.154,1.17,0.10%,1.61,5,C
7,249,8,2021-04-10,MIN,,SEA,L 3-4 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,2,.182,.217,.500,.717,0,0,0,0,0,0,.000,2.30,-0.175,2.49,-0.11%,-1.28,5,C
8,250,10,2021-04-13,MIN,,BOS,L 2-4,CG,5,4,0,0,0,0,0,0,0,0,1,1,.154,.214,.423,.637,0,0,0,0,0,0,.000,1.24,-0.040,1.28,-0.03%,-0.04,3,C
9,251,12,2021-04-14 (2),MIN,,BOS,L 1-7 (7),CG(7),4,4,0,1,0,0,0,0,0,0,0,2,.167,.219,.400,.619,1,0,0,0,0,0,.500,0.54,-0.001,0.50,0.00%,-0.46,1,C
10,252,13,2021-04-15,MIN,,BOS,W 4-3,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.161,.212,.387,.599,0,0,0,0,0,0,.000,3.89,-0.115,3.38,-0.06%,-0.61,9,PH 1B
11,253,14,2021-04-16,MIN,@,LAA,L 3-10,CG,5,4,1,2,1,0,0,2,0,0,1,2,.200,.263,.429,.692,3,0,0,0,0,0,1.000,0.98,0.266,0.91,0.15%,1.50,1,C
12,254,15,2021-04-20 (1),MIN,@,OAK,L 0-7 (7),CG(7),4,4,0,1,1,0,0,0,0,0,0,2,.205,.262,.436,.698,2,0,0,0,0,0,.500,0.48,0.021,0.44,0.01%,-0.61,1,C
13,255,16,2021-04-20 (2),MIN,@,OAK,L 0-1 (7),GS-6,3,3,0,0,0,0,0,0,0,0,0,2,.190,.244,.405,.649,0,0,0,0,0,0,.000,1.79,-0.144,1.49,-0.07%,-0.82,1,1B
14,256,17,2021-04-21,MIN,@,OAK,L 12-13 (10),10-GF(10),1,1,0,0,0,0,0,0,0,0,0,1,.186,.239,.395,.634,0,0,0,0,0,0,,3.94,-0.106,3.20,-0.05%,-0.44,3,PH DH
