Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,452,1,2024-03-28,SEA,,BOS,L 4-6,CG,4,4,0,1,1,0,0,0,0,0,0,0,.250,.250,.500,.750,2,1,0,0,0,0,.250,1.21,-0.134,1.15,-0.08%,-1.40,5.00,6.00,4,DH
2,453,5,2024-04-01,SEA,,CLE,W 5-4,CG,4,3,1,0,0,0,0,0,0,0,1,1,.143,.250,.286,.536,0,0,0,0,0,0,.000,0.66,-0.020,0.62,-0.01%,-0.86,4.00,6.20,5,DH
3,454,6,2024-04-02,SEA,,CLE,L 2-5,CG,4,3,0,1,1,0,0,0,0,0,1,1,.200,.333,.400,.733,2,0,0,0,0,0,.500,0.73,-0.027,0.71,-0.02%,-0.38,7.00,9.00,5,DH
4,455,7,2024-04-03,SEA,,CLE,L 0-8,CG,4,4,0,0,0,0,0,0,0,0,0,0,.143,.250,.286,.536,0,0,0,0,0,0,.000,0.41,-0.041,0.40,-0.02%,-0.85,0.00,0.00,5,DH
5,456,8,2024-04-05,SEA,@,MIL,L 5-6,CG,4,2,0,1,1,0,0,1,0,0,0,1,.188,.300,.375,.675,2,0,1,0,1,0,.500,1.67,-0.016,1.43,-0.01%,0.40,9.00,12.50,5,DH
6,457,9,2024-04-06,SEA,@,MIL,W 5-3,CG,4,4,0,1,0,0,0,1,0,0,0,2,.200,.292,.350,.642,1,0,0,0,0,0,.500,0.76,0.028,0.61,0.01%,0.16,5.00,6.50,5,DH
7,458,10,2024-04-07,SEA,@,MIL,L 4-12,GS-8,4,4,0,1,0,0,0,0,0,0,0,2,.208,.286,.333,.619,1,0,0,0,0,0,.500,0.36,-0.028,0.31,-0.02%,-0.13,3.00,3.00,4,DH
8,459,11,2024-04-08,SEA,@,TOR,L 2-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.179,.250,.286,.536,0,0,0,0,0,0,.000,0.54,-0.055,0.46,-0.03%,-0.79,0.00,0.00,5,DH
9,460,12,2024-04-09,SEA,@,TOR,L 3-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.156,.222,.250,.472,0,1,0,0,0,0,.000,0.71,-0.110,0.58,-0.05%,-1.32,0.00,0.00,6,DH
10,461,13,2024-04-10,SEA,@,TOR,W 6-1 (10),GS-10,4,4,0,1,0,0,0,0,0,0,0,2,.167,.225,.250,.475,1,0,0,0,0,0,.500,0.98,-0.074,0.75,-0.03%,-0.49,3.00,3.00,6,DH
