Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,795,1,2020-07-23,LAD,,SFG,W 8-1,CG,5,5,1,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,1,0,0,0,0,0,.333,0.84,0.013,0.98,0.01%,-0.78,2,RF
2,796,2,2020-07-24,LAD,,SFG,W 9-1,CG,6,6,0,1,0,0,0,1,0,0,0,0,.182,.182,.182,.364,1,0,0,0,0,0,.167,0.55,-0.071,0.66,-0.05%,-0.88,1,RF
3,797,3,2020-07-25,LAD,,SFG,L 4-5,CG,5,5,0,0,0,0,0,0,0,0,0,1,.125,.125,.125,.250,0,0,0,0,0,0,.000,1.77,-0.242,2.11,-0.17%,-2.09,2,RF
4,798,4,2020-07-26,LAD,,SFG,L 1-3,CG,5,4,1,1,0,0,0,0,1,0,1,1,.150,.190,.150,.340,1,0,0,0,0,0,.333,1.20,-0.020,1.43,-0.01%,0.05,1,RF
5,799,5,2020-07-28,LAD,@,HOU,W 5-2,CG,5,4,1,2,1,0,0,1,0,0,1,0,.208,.269,.250,.519,3,0,0,0,0,0,.500,1.16,0.101,1.25,0.07%,1.35,1,RF
6,800,6,2020-07-29,LAD,@,HOU,W 4-2 (13),CG(13),6,6,0,1,1,0,0,1,0,0,0,1,.200,.250,.267,.517,2,0,0,0,0,0,.200,2.19,0.136,2.42,0.09%,-0.19,2,RF
7,801,7,2020-07-30,LAD,@,ARI,W 6-3,CG,5,4,1,1,0,0,0,0,0,0,1,1,.206,.270,.265,.535,1,1,0,0,0,0,.333,0.52,0.024,0.63,0.02%,-0.12,1,RF
8,802,8,2020-07-31,LAD,@,ARI,L 3-5,CG,5,5,1,3,1,0,1,2,0,0,0,1,.256,.310,.410,.720,7,0,0,0,0,0,.667,1.18,0.225,1.43,0.16%,1.69,2,CF RF
9,803,9,2020-08-01,LAD,@,ARI,W 11-2,GS-7,4,3,1,1,1,0,0,0,0,0,1,0,.262,.326,.429,.755,2,0,0,0,0,0,.333,0.61,0.055,0.74,0.04%,0.39,2,RF
10,804,10,2020-08-02,LAD,@,ARI,W 3-0,GS-7,3,3,1,2,1,0,1,1,0,0,0,0,.289,.347,.533,.880,6,0,0,0,0,0,.500,0.65,0.101,0.75,0.07%,1.17,1,RF
11,805,12,2020-08-04,LAD,@,SDP,W 5-2,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.289,.347,.533,.880,0,,0,0,,,,,,,,,6,RF
12,806,13,2020-08-05,LAD,@,SDP,W 7-6,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.289,.347,.533,.880,0,,0,0,,,,,,,,,7,RF
13,807,14,2020-08-07,LAD,,SFG,W 7-2,CG,5,4,1,2,1,0,1,1,0,0,1,0,.306,.370,.612,.983,6,0,0,0,0,0,.333,0.43,0.213,0.49,0.15%,1.81,2,RF
14,808,15,2020-08-08,LAD,,SFG,L 4-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.283,.345,.566,.911,0,0,0,0,0,0,.000,1.02,-0.106,1.04,-0.06%,-0.86,2,RF
15,809,16,2020-08-09,LAD,,SFG,W 6-2,CG,4,4,1,1,0,0,1,3,0,0,0,0,.281,.339,.596,.935,4,0,0,0,0,0,.000,1.05,-0.015,1.23,-0.01%,1.16,2,RF
16,810,17,2020-08-10,LAD,,SDP,L 1-2,CG,4,4,0,1,0,0,0,0,0,0,0,1,.279,.333,.574,.907,1,0,0,0,0,0,.333,1.27,-0.045,1.34,-0.03%,0.08,2,RF
17,811,18,2020-08-11,LAD,,SDP,L 2-6,CG,4,3,0,1,0,0,0,0,0,0,1,0,.281,.343,.563,.905,1,0,0,0,0,0,.333,0.66,0.045,0.76,0.03%,0.63,2,RF
18,812,19,2020-08-12,LAD,,SDP,W 6-0,CG,4,4,1,1,0,0,0,0,0,0,0,1,.279,.338,.544,.882,1,0,0,0,0,0,.333,0.66,-0.011,0.82,-0.01%,0.17,2,RF
19,813,20,2020-08-13,LAD,,SDP,W 11-2,CG,5,4,4,4,0,0,3,5,0,0,0,0,.319,.380,.694,1.074,13,0,1,0,0,0,1.000,0.42,0.216,0.49,0.15%,5.16,1,RF
20,814,21,2020-08-14,LAD,@,LAA,W 7-4,CG,5,4,0,0,0,0,0,0,0,0,1,1,.303,.369,.658,1.027,0,0,0,0,0,0,.000,0.71,0.057,0.65,0.03%,0.00,1,RF
21,815,22,2020-08-15,LAD,@,LAA,W 6-5 (10),CG(10),5,5,1,2,0,0,1,3,0,0,0,1,.309,.371,.679,1.050,5,0,0,0,0,0,.333,1.61,0.254,1.32,0.13%,1.99,1,RF
22,816,23,2020-08-16,LAD,@,LAA,W 8-3,CG,5,5,2,2,0,0,0,1,1,0,0,1,.314,.372,.663,1.035,2,0,0,0,0,0,.500,0.77,0.118,0.54,0.05%,1.07,1,RF
23,817,24,2020-08-17,LAD,,SEA,W 11-9,CG,5,5,2,2,0,0,1,2,0,0,0,1,.319,.374,.681,1.055,5,0,0,0,0,0,.333,1.75,-0.043,1.11,-0.02%,-0.37,1,DH
24,818,25,2020-08-18,LAD,,SEA,W 2-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,.305,.359,.653,1.012,0,0,0,0,0,0,.000,1.55,-0.156,0.89,-0.05%,-1.19,1,RF
25,819,26,2020-08-19,LAD,@,SEA,L 4-6,CG,5,3,1,1,1,0,0,0,0,0,2,1,.306,.370,.653,1.023,2,0,0,0,0,0,.500,1.30,0.093,0.63,0.03%,0.69,1,RF
26,820,27,2020-08-20,LAD,@,SEA,W 6-1,CG,5,4,1,0,0,0,0,0,1,0,1,1,.294,.363,.627,.990,0,0,0,0,0,0,.000,0.60,0.008,0.32,0.00%,-0.01,1,RF
27,821,29,2020-08-22,LAD,,COL,W 4-3,CG,4,3,1,0,0,0,0,0,0,0,1,2,.286,.359,.610,.968,0,0,0,0,0,0,.000,1.08,-0.054,0.40,-0.01%,-0.21,1,RF
28,822,30,2020-08-23,LAD,,COL,W 11-3,CG,5,5,3,3,0,0,2,3,2,0,0,1,.300,.369,.664,1.032,9,0,0,0,0,0,.500,0.30,0.093,0.10,0.02%,3.49,1,RF
29,823,31,2020-08-25,LAD,@,SFG,L 8-10 (11),CG(11),6,6,0,1,0,0,0,0,0,0,0,2,.293,.359,.638,.997,1,0,0,0,0,0,.250,1.29,-0.159,0.31,-0.02%,-0.95,1,RF
30,824,32,2020-08-27 (1),LAD,@,SFG,W 7-0 (7),CG(7),4,3,1,1,0,0,0,0,0,0,1,0,.294,.364,.630,.994,1,0,0,0,0,0,.333,0.60,0.009,0.18,0.00%,0.21,1,RF
31,825,33,2020-08-27 (2),LAD,@,SFG,W 2-0 (7),CG(7),3,3,0,0,0,0,0,0,0,0,0,1,.287,.356,.615,.970,0,0,0,0,0,0,.000,0.72,-0.055,0.21,-0.01%,-0.58,1,RF
32,826,34,2020-08-28,LAD,@,TEX,L 2-6,CG,5,4,0,1,0,0,0,0,0,0,1,3,.286,.357,.603,.960,1,0,0,0,0,0,1.000,1.10,-0.008,0.18,0.00%,-0.07,1,RF
33,827,35,2020-08-29,LAD,@,TEX,W 7-4,CG,5,2,1,1,1,0,0,0,1,0,3,0,.289,.372,.609,.982,2,0,0,0,0,0,.500,1.07,0.205,0.19,0.02%,2.25,1,RF
34,828,36,2020-08-30,LAD,@,TEX,W 7-2,CG,5,3,0,2,0,0,0,2,0,1,1,1,.298,.380,.611,.991,2,0,0,0,1,0,.667,0.76,0.048,0.08,0.00%,0.86,1,DH
35,829,37,2020-09-01,LAD,,ARI,W 6-3,CG,5,4,1,1,0,0,0,0,0,0,1,1,.296,.381,.600,.981,1,0,0,0,0,0,.333,0.56,0.037,0.07,0.00%,0.59,1,RF
36,830,38,2020-09-02,LAD,,ARI,W 3-2 (10),CG(10),4,4,1,2,0,0,1,1,0,0,0,1,.302,.384,.619,1.002,5,0,0,0,0,0,.500,1.38,0.451,0.11,0.02%,1.04,1,RF
37,831,39,2020-09-03,LAD,,ARI,W 5-1,CG,5,5,0,1,0,0,0,1,0,0,0,0,.299,.378,.604,.982,1,0,0,0,0,0,.200,0.56,-0.001,0.05,0.00%,-0.32,1,RF
38,832,40,2020-09-04,LAD,,COL,W 10-6,CG,5,5,2,3,0,0,1,2,0,0,0,0,.309,.385,.624,1.009,6,0,0,0,0,0,.500,0.94,0.159,0.05,0.01%,2.29,1,RF
