Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,311,1,2022-04-07,KCR,,CLE,W 3-1,CG,3,2,0,1,1,0,0,1,0,0,0,1,.500,.500,1.000,1.500,2,0,0,1,0,0,1.000,1.74,0.126,1.74,0.08%,0.65,9,2B
2,312,2,2022-04-09,KCR,,CLE,W 1-0 (10),CG(10),3,3,0,1,0,0,0,0,0,0,0,0,.400,.400,.600,1.000,1,0,0,0,0,0,.333,1.28,-0.012,1.34,-0.01%,-0.01,9,2B
3,313,3,2022-04-10,KCR,,CLE,L 3-17,GS-7,2,1,1,1,0,0,0,0,0,0,0,0,.500,.571,.667,1.238,1,0,1,0,0,0,1.000,0.12,0.009,0.12,0.01%,1.21,9,2B
4,314,4,2022-04-11,KCR,,CLE,L 7-10,CG,4,4,1,1,0,0,0,0,0,0,0,0,.400,.455,.500,.955,1,0,0,0,0,0,.250,1.04,0.189,1.04,0.11%,1.49,9,2B
5,315,5,2022-04-12,KCR,@,STL,L 5-6,CG,4,4,1,1,0,0,0,0,0,0,0,0,.357,.400,.429,.829,1,0,0,0,0,0,.250,1.01,-0.083,0.88,-0.04%,-0.41,8,2B
6,316,6,2022-04-14,KCR,,DET,L 2-4,GS-9,3,3,0,0,0,0,0,0,0,0,0,0,.294,.333,.353,.686,0,0,0,0,0,0,.000,2.04,-0.160,1.90,-0.09%,-1.29,9,2B
7,317,7,2022-04-15,KCR,,DET,L 1-2,CG,3,3,0,2,0,0,0,0,0,0,0,0,.350,.381,.400,.781,2,0,0,0,0,0,.667,1.12,0.098,0.99,0.05%,0.40,9,2B
8,318,8,2022-04-16,KCR,,DET,W 3-1,CG,3,3,0,1,0,0,0,0,0,0,0,0,.348,.375,.391,.766,1,0,0,0,0,0,.333,0.98,-0.069,0.83,-0.04%,-0.80,9,2B
9,319,9,2022-04-19,KCR,,MIN,W 4-3,CG,4,3,0,2,2,0,0,1,0,0,1,0,.385,.429,.500,.929,4,0,0,0,0,0,.667,1.36,0.181,1.17,0.09%,1.53,2,2B
10,320,10,2022-04-20,KCR,,MIN,W 2-0,CG,4,4,0,1,0,0,0,0,0,0,0,0,.367,.406,.467,.873,1,0,0,0,0,0,.250,0.67,0.028,0.63,0.02%,0.16,2,2B
11,321,11,2022-04-21,KCR,,MIN,L 0-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.324,.361,.412,.773,0,0,0,0,0,0,.000,2.00,-0.193,1.98,-0.12%,-0.91,1,2B
12,322,12,2022-04-22,KCR,@,SEA,L 1-4,CG,4,4,0,1,0,0,0,0,0,0,0,0,.316,.350,.395,.745,1,1,0,0,0,0,.250,1.04,-0.108,0.98,-0.06%,-1.11,1,2B
13,323,13,2022-04-23,KCR,@,SEA,L 7-13,CG,5,4,1,0,0,0,0,0,0,0,1,2,.286,.333,.357,.690,0,0,0,0,0,0,.000,1.13,-0.088,0.99,-0.05%,-0.82,1,2B
14,324,14,2022-04-24,KCR,@,SEA,L 4-5 (12),10-GF(12),2,2,0,1,0,0,0,0,0,0,0,1,.295,.340,.364,.704,1,0,0,0,0,0,1.000,4.51,-0.234,3.69,-0.12%,-1.00,2,PH 2B
15,325,15,2022-04-26,KCR,@,CHW,W 6-0,CG,4,2,0,0,0,0,0,0,0,0,2,0,.283,.353,.348,.701,0,0,0,0,0,0,.000,0.74,0.001,0.60,0.00%,0.04,9,SS 2B
16,326,16,2022-04-27,KCR,@,CHW,L 3-7,CG,4,2,1,0,0,0,0,0,0,0,1,1,.271,.364,.333,.697,0,0,1,0,0,0,.000,1.70,0.041,1.47,0.02%,0.15,1,SS
17,327,17,2022-04-28,KCR,@,CHW,W 5-2 (10),CG(10),5,3,1,0,0,0,0,0,0,0,2,1,.255,.367,.314,.680,0,0,0,0,0,0,.000,1.53,-0.035,1.22,-0.02%,0.18,1,SS
18,328,18,2022-04-29,KCR,,NYY,L 2-12 (8),CG(8),4,4,0,0,0,0,0,0,0,0,0,2,.236,.344,.291,.635,0,0,0,0,0,0,.000,0.90,-0.093,0.79,-0.05%,-0.97,1,SS
19,329,19,2022-04-30,KCR,,NYY,L 0-3,GS-9,4,4,0,0,0,0,0,0,0,0,0,2,.220,.324,.271,.595,0,0,0,0,0,0,.000,1.22,-0.116,0.99,-0.06%,-1.03,1,SS
20,330,20,2022-05-01,KCR,,NYY,L 4-6,CG,5,5,1,2,0,0,0,0,0,0,0,0,.234,.329,.281,.610,2,0,0,0,0,0,.400,1.42,0.113,1.02,0.05%,0.18,1,SS
21,331,21,2022-05-02,KCR,@,STL,L 0-1,CG,3,3,0,0,0,0,0,0,0,0,0,1,.224,.316,.269,.584,0,0,0,0,0,0,.000,1.36,-0.102,0.88,-0.04%,-0.61,9,SS
22,332,22,2022-05-03,KCR,,STL,W 7-1,CG,4,3,1,1,0,0,0,0,0,0,1,0,.229,.325,.271,.596,1,0,0,0,0,0,.333,0.53,0.052,0.30,0.02%,0.40,9,SS
23,333,23,2022-05-04,KCR,,STL,L 0-10,GS-8,2,1,0,0,0,0,0,0,0,0,1,0,.225,.329,.268,.597,0,0,0,0,0,0,.000,0.60,0.004,0.39,0.00%,0.09,9,SS
24,334,24,2022-05-08 (1),KCR,@,BAL,W 6-4,CG,4,3,1,0,0,0,0,0,0,0,1,1,.216,.326,.257,.582,0,0,0,0,0,0,.000,1.59,0.257,0.90,0.09%,1.74,9,SS
25,335,25,2022-05-08 (2),KCR,@,BAL,L 2-4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.216,.326,.257,.582,0,,0,0,,,,,,,,,3,PR DH
26,336,26,2022-05-09,KCR,@,BAL,L 1-6,CG,4,3,0,1,0,0,0,0,0,0,0,0,.221,.333,.260,.593,1,0,1,0,0,0,.333,0.46,-0.006,0.26,0.00%,-0.12,9,SS
27,337,27,2022-05-10,KCR,@,TEX,L 4-6,CG,4,4,0,0,0,0,0,1,0,0,0,1,.210,.319,.247,.566,0,0,0,0,0,0,.000,0.89,-0.062,0.47,-0.02%,-0.37,9,2B
28,338,28,2022-05-11,KCR,@,TEX,W 8-2,CG,4,4,1,1,0,0,0,0,1,0,0,1,.212,.316,.247,.563,1,0,0,0,0,0,.333,0.87,-0.097,0.43,-0.03%,-0.67,9,SS
29,339,29,2022-05-12,KCR,@,TEX,L 1-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,.202,.304,.236,.540,0,0,0,0,0,0,.000,1.38,-0.141,0.75,-0.05%,-0.94,8,2B
30,340,30,2022-05-13,KCR,@,COL,W 14-10,CG,5,5,0,1,0,0,0,0,0,0,0,2,.202,.299,.234,.533,1,0,0,0,0,0,.333,0.67,-0.106,0.32,-0.03%,-1.63,9,SS 2B
31,341,31,2022-05-14,KCR,@,COL,L 4-10,CG,3,3,0,0,0,0,0,0,0,0,0,0,.196,.291,.227,.518,0,0,0,0,0,0,.000,0.59,-0.060,0.31,-0.02%,-0.93,9,SS
32,342,32,2022-05-15,KCR,@,COL,W 8-7,GS-9,3,3,0,0,0,0,0,0,0,0,0,0,.190,.283,.220,.503,0,0,0,0,0,0,.000,0.38,-0.030,0.19,-0.01%,-0.50,9,2B
33,343,33,2022-05-16,KCR,,CHW,L 3-5 (10),8-GF(10),1,1,1,0,0,0,0,0,0,0,0,1,.188,.281,.218,.499,0,0,0,0,0,0,,2.55,-0.069,1.46,-0.02%,-0.35,8,PR SS
34,344,34,2022-05-17 (1),KCR,,CHW,L 0-3,CG,4,3,0,3,1,0,0,0,1,0,1,0,.212,.305,.250,.555,4,0,0,0,0,0,1.000,1.13,0.273,0.58,0.08%,2.50,9,SS
35,345,35,2022-05-17 (2),KCR,,CHW,W 2-1,CG,3,3,0,1,0,0,0,0,0,0,0,0,.215,.306,.252,.558,1,0,0,0,0,0,.333,0.77,-0.008,0.35,0.00%,-0.20,9,2B
