Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,575,2,2022-04-08,ATL,,CIN,W 7-6,CG,4,3,0,1,0,0,0,2,0,0,0,1,.333,.250,.333,.583,1,0,0,0,1,0,.333,0.54,0.005,0.50,0.00%,0.57,9,DH
2,576,5,2022-04-11,ATL,,WSN,L 2-11,CG,3,3,0,0,0,0,0,0,0,0,0,1,.167,.143,.167,.310,0,0,0,0,0,0,.000,0.45,-0.037,0.44,-0.02%,-0.64,9,DH
3,577,6,2022-04-12,ATL,,WSN,W 16-4,CG,5,4,1,2,0,0,0,2,0,0,1,1,.300,.333,.300,.633,2,0,0,0,0,0,.667,0.43,-0.035,0.40,-0.02%,0.99,9,DH
4,578,9,2022-04-15,ATL,@,SDP,W 5-2,CG,4,3,0,1,0,0,0,0,0,0,1,0,.308,.375,.308,.683,1,0,0,0,0,0,.333,0.81,-0.010,0.69,-0.01%,-0.08,8,LF
5,579,12,2022-04-18,ATL,@,LAD,L 4-7,GS-6,2,2,0,0,0,0,0,0,0,0,0,2,.267,.333,.267,.600,0,0,0,0,0,0,,0.30,-0.016,0.27,-0.01%,-0.27,7,LF
6,580,13,2022-04-19,ATL,@,LAD,W 3-1,GS-8,4,4,0,3,2,0,0,1,0,0,0,0,.368,.409,.474,.883,5,0,0,0,0,0,.750,0.52,0.119,0.44,0.06%,1.08,8,LF
7,581,14,2022-04-20,ATL,@,LAD,L 1-5,CG,3,2,0,0,0,0,0,0,0,0,1,0,.333,.400,.429,.829,0,1,0,0,0,0,.000,0.76,-0.059,0.66,-0.03%,-0.30,6,3B
8,582,15,2022-04-22,ATL,,MIA,W 3-0,CG,4,3,0,0,0,0,0,0,0,0,1,1,.292,.379,.375,.754,0,0,0,0,0,0,.000,0.66,-0.033,0.57,-0.02%,-0.41,6,LF
9,583,17,2022-04-24,ATL,,MIA,L 4-5,GS-8,3,2,0,0,0,0,0,0,0,0,1,1,.269,.375,.346,.721,0,0,0,0,0,0,.000,0.90,-0.038,0.78,-0.02%,-0.37,6,LF
10,584,25,2022-05-03 (1),ATL,@,NYM,L 4-5,9-GF,1,1,0,1,0,0,0,0,0,0,0,0,.296,.394,.370,.764,1,0,0,0,0,0,1.000,1.37,0.042,1.21,0.02%,0.12,9,PH
11,585,32,2022-05-11,ATL,,BOS,W 5-3,CG,4,4,2,3,0,0,1,2,0,0,0,0,.355,.432,.516,.949,6,0,0,0,0,0,.667,1.43,0.402,1.05,0.18%,2.03,8,DH
12,586,35,2022-05-15,ATL,,SDP,L 3-7 (11),GS-10,4,4,0,1,0,0,0,0,0,0,0,2,.343,.415,.486,.900,1,0,0,0,0,0,.500,1.24,-0.210,1.03,-0.10%,-0.75,9,DH
13,587,36,2022-05-16,ATL,@,MIL,L 0-1,CG,3,3,0,0,0,0,0,0,0,0,0,3,.316,.386,.447,.834,0,0,0,0,0,0,,0.86,-0.066,0.67,-0.03%,-0.44,9,DH
14,588,44,2022-05-25,ATL,,PHI,W 8-4,CG,4,3,1,2,2,0,0,1,0,0,1,0,.341,.417,.512,.929,4,1,0,0,0,0,.667,0.95,0.049,0.72,0.02%,0.79,8,DH
15,589,45,2022-05-26,ATL,,PHI,L 1-4,CG,3,3,0,0,0,0,0,0,0,0,0,1,.318,.392,.477,.869,0,0,0,0,0,0,.000,1.16,-0.089,0.90,-0.04%,-0.79,8,LF
16,590,53,2022-06-03,ATL,@,COL,W 3-1 (10),GS-9,3,3,0,0,0,0,0,0,0,0,0,1,.298,.370,.447,.817,0,0,0,0,0,0,.000,0.87,-0.068,0.66,-0.03%,-0.55,7,2B
17,591,62,2022-06-13,ATL,@,WSN,W 9-5,5-GF,2,1,0,1,0,0,0,0,0,0,1,0,.313,.393,.458,.851,1,0,0,0,0,0,1.000,0.14,0.010,0.15,0.01%,0.45,5,2B
18,592,63,2022-06-14,ATL,@,WSN,W 10-4,CG,5,4,2,2,0,0,1,2,0,0,0,0,.327,.393,.519,.913,5,0,0,0,1,0,.250,0.46,0.032,0.53,0.02%,0.36,8,2B
19,593,64,2022-06-15,ATL,@,WSN,W 8-2,CG,5,4,1,4,0,0,1,2,0,0,1,0,.375,.439,.607,1.047,7,0,0,0,0,0,1.000,0.82,0.193,0.95,0.14%,2.79,8,2B
20,594,65,2022-06-17,ATL,@,CHC,L 0-1,CG,4,4,0,1,1,0,0,0,0,0,0,1,.367,.429,.600,1.029,2,0,0,0,0,0,.333,3.38,-0.301,3.77,-0.20%,-1.23,8,2B
21,595,66,2022-06-18,ATL,@,CHC,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.344,.405,.563,.968,0,0,0,0,0,0,.000,0.86,-0.087,0.96,-0.06%,-1.16,8,2B
22,596,68,2022-06-20,ATL,,SFG,W 2-1,CG,4,4,0,1,0,0,0,1,0,0,0,0,.338,.397,.544,.942,1,1,0,0,0,0,.250,1.62,0.315,2.01,0.24%,0.19,8,2B
23,597,69,2022-06-21,ATL,,SFG,L 10-12,CG,4,4,0,1,0,0,0,0,0,0,0,1,.333,.390,.528,.918,1,0,0,0,0,0,.333,1.04,-0.036,1.29,-0.03%,-0.45,8,2B
24,598,70,2022-06-22,ATL,,SFG,W 4-3,CG,4,4,0,1,0,0,0,0,0,0,0,2,.329,.384,.513,.897,1,0,0,0,0,0,.500,1.97,-0.178,2.42,-0.13%,-0.77,6,2B 3B
25,599,71,2022-06-23,ATL,,SFG,W 7-6,CG,4,3,1,1,0,0,0,0,0,0,1,0,.329,.389,.506,.895,1,0,0,0,0,0,.333,0.37,0.036,0.48,0.03%,0.29,6,3B
26,600,72,2022-06-24,ATL,,LAD,L 1-4,CG,3,3,0,0,0,0,0,0,0,0,0,0,.317,.376,.488,.864,0,0,0,0,0,0,.000,0.58,0.026,0.72,0.02%,0.17,8,2B
27,601,73,2022-06-25,ATL,,LAD,W 5-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.302,.361,.465,.826,0,0,0,0,0,0,.000,0.60,-0.030,0.70,-0.02%,-0.64,7,2B
28,602,74,2022-06-26,ATL,,LAD,L 3-5 (11),CG(11),5,4,0,0,0,0,0,0,0,0,0,2,.289,.353,.444,.797,0,0,1,0,0,0,.000,1.55,-0.148,1.88,-0.11%,-1.07,6,2B
29,603,75,2022-06-28,ATL,@,PHI,W 5-3,CG,4,4,1,1,0,0,0,0,0,0,0,1,.287,.349,.436,.785,1,0,0,0,0,0,.333,0.64,-0.034,0.83,-0.03%,-0.29,7,2B
30,604,77,2022-06-30,ATL,@,PHI,L 4-14,CG,4,4,0,0,0,0,0,1,0,0,0,1,.276,.336,.418,.755,0,0,0,0,0,0,.000,0.70,0.002,0.96,0.00%,-0.73,8,SS 2B
31,605,78,2022-07-01,ATL,@,CIN,W 9-1,CG,4,4,0,1,0,0,0,2,0,0,0,1,.275,.333,.412,.745,1,0,0,0,0,0,.333,0.53,-0.045,0.63,-0.03%,0.59,8,2B
32,606,79,2022-07-02,ATL,@,CIN,W 4-1,CG,4,2,0,0,0,0,0,0,0,0,2,1,.269,.339,.404,.743,0,0,0,0,0,0,.000,1.00,-0.067,1.20,-0.05%,-0.63,8,2B
33,607,80,2022-07-03,ATL,@,CIN,L 3-4,GS-9,3,3,0,0,0,0,0,0,0,0,0,3,.262,.331,.393,.723,0,0,0,0,0,0,,0.76,-0.062,0.92,-0.04%,-0.60,8,2B
34,608,83,2022-07-06,ATL,,STL,W 3-0,CG,3,3,0,0,0,0,0,0,0,0,0,0,.255,.323,.382,.704,0,0,0,0,0,0,.000,0.58,-0.044,0.75,-0.03%,-0.65,8,2B
35,609,84,2022-07-07,ATL,,STL,L 2-3 (11),GS-9,4,3,0,0,0,0,0,0,0,0,1,0,.248,.320,.372,.692,0,0,0,0,0,0,.000,1.80,-0.108,2.18,-0.08%,-1.11,8,2B
36,610,85,2022-07-08,ATL,,WSN,W 12-2,CG,4,3,2,1,0,0,0,0,0,0,1,1,.250,.326,.371,.696,1,0,0,0,0,0,.500,0.44,0.021,0.50,0.01%,0.56,8,2B
37,611,86,2022-07-09,ATL,,WSN,W 4-3,CG,3,3,0,1,0,0,0,1,0,0,0,1,.252,.326,.370,.696,1,1,0,0,0,0,.500,0.81,-0.011,0.91,-0.01%,-0.17,8,2B
38,612,87,2022-07-10,ATL,,WSN,W 4-3 (12),GS-11,4,3,0,1,0,0,0,0,0,0,1,0,.254,.331,.369,.700,1,0,0,0,0,0,.333,1.34,-0.007,1.50,-0.01%,-0.12,8,2B
39,613,89,2022-07-12,ATL,,NYM,W 4-1,CG,3,3,0,0,0,0,0,0,0,0,0,1,.248,.324,.360,.684,0,0,0,0,0,0,.000,0.54,-0.041,0.83,-0.04%,-0.51,8,2B
40,614,91,2022-07-14,ATL,@,WSN,W 5-4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.248,.324,.360,.684,0,,0,0,,,,,,,,,8,2B
41,615,92,2022-07-15,ATL,@,WSN,W 8-4,CG,4,4,2,2,0,0,1,1,0,0,0,1,.256,.329,.388,.716,5,0,0,0,0,0,.500,0.27,0.036,0.28,0.02%,0.94,8,2B
42,616,93,2022-07-16,ATL,@,WSN,W 6-3,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.256,.329,.388,.716,0,,0,0,,,,,,,,,8,2B
43,617,95,2022-07-22,ATL,,LAA,W 8-1,3-GF,4,4,1,1,0,0,1,3,0,0,0,2,.256,.327,.406,.733,4,0,0,0,0,0,.000,0.69,-0.017,0.71,-0.01%,1.76,8,PH 2B
