Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,219,1,2025-03-27,SFG,@,CIN,W 6-4,CG,4,4,1,1,0,0,0,1,0,0,0,2,.250,.250,.250,.500,1,0,0,0,0,0,.500,2.03,0.273,1.92,0.16%,0.60,7.00,9.70,6,C
2,220,2,2025-03-29,SFG,@,CIN,L 2-3,CG,3,3,0,0,0,0,0,0,0,0,0,0,.143,.143,.143,.286,0,1,0,0,0,0,.000,1.52,-0.196,1.46,-0.11%,-1.38,0.00,0.00,7,C
3,221,3,2025-03-30,SFG,@,CIN,W 6-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.143,.143,.143,.286,0,,0,0,,,,,,,,,0.00,0.00,8,C
4,222,4,2025-03-31,SFG,@,HOU,W 7-2,CG,4,3,1,0,0,0,0,0,0,0,1,2,.100,.182,.100,.282,0,0,0,0,0,0,.000,0.77,-0.050,0.74,-0.03%,-0.57,4.00,6.20,6,C
5,223,5,2025-04-01,SFG,@,HOU,W 3-1,CG,4,2,1,0,0,0,0,0,0,0,2,1,.083,.267,.083,.350,0,0,0,0,0,0,.000,0.61,0.042,0.57,0.02%,0.32,6.00,9.20,8,C
6,224,6,2025-04-02,SFG,@,HOU,W 6-3,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.077,.250,.077,.327,0,0,0,0,0,0,,0.34,-0.008,0.34,-0.01%,-0.29,0.00,0.00,7,PH C
7,225,7,2025-04-04,SFG,,SEA,W 10-9 (11),GS-9,5,5,1,3,2,0,0,1,0,0,0,0,.222,.333,.333,.667,5,0,0,0,0,0,.600,1.77,0.259,1.74,0.15%,1.27,17.00,21.70,8,C
8,226,8,2025-04-05,SFG,,SEA,W 4-1,6-GF,2,2,0,0,0,0,0,0,0,0,0,0,.200,.304,.300,.604,0,0,0,0,0,0,.000,0.39,-0.018,0.41,-0.01%,-0.81,0.00,0.00,8,PH C
9,227,9,2025-04-06,SFG,,SEA,W 5-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.167,.259,.250,.509,0,0,0,0,0,0,.000,1.33,-0.084,1.45,-0.06%,-0.86,0.00,0.00,8,C
10,228,10,2025-04-07,SFG,,CIN,L 0-2,CG,3,3,0,0,0,0,0,0,0,0,0,1,.148,.233,.222,.456,0,0,0,0,0,0,.000,0.89,-0.066,0.98,-0.04%,-0.47,0.00,0.00,8,C
11,229,11,2025-04-08,SFG,,CIN,L 0-1,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.148,.233,.222,.456,0,,0,0,,,,,,,,,0.00,0.00,9,C
12,230,12,2025-04-09,SFG,,CIN,W 8-6 (10),CG(10),4,4,1,2,1,1,0,1,0,0,0,1,.194,.265,.355,.620,5,0,0,0,0,0,.667,1.07,0.144,1.17,0.10%,1.86,17.00,21.70,8,C
13,231,13,2025-04-11,SFG,@,NYY,W 9-1 (6),CG(6),3,3,0,1,1,0,0,1,0,0,0,1,.206,.270,.382,.653,2,0,0,0,0,0,.500,0.27,-0.002,0.29,0.00%,0.50,7.00,9.50,8,C
14,232,15,2025-04-13,SFG,@,NYY,W 5-4,CG,4,3,0,0,0,0,0,0,0,0,1,3,.189,.268,.351,.620,0,0,0,0,0,0,,0.74,-0.051,0.80,-0.03%,-0.52,2.00,3.00,8,C
15,233,16,2025-04-14,SFG,@,PHI,W 10-4,CG,4,4,1,1,0,0,0,0,0,0,0,1,.195,.267,.341,.608,1,0,0,0,0,0,.333,0.89,0.080,0.99,0.05%,0.71,5.00,6.20,8,C
16,234,17,2025-04-15,SFG,@,PHI,L 4-6,CG,4,4,0,0,0,0,0,0,0,0,0,3,.178,.245,.311,.556,0,0,0,0,0,0,.000,1.09,-0.110,1.24,-0.08%,-0.79,0.00,0.00,8,C
17,235,18,2025-04-16,SFG,@,PHI,W 11-4,CG,5,4,1,1,0,0,0,2,0,0,1,3,.184,.259,.306,.565,1,0,0,0,0,0,1.000,0.74,0.123,0.83,0.08%,0.66,11.00,16.20,8,C
18,236,20,2025-04-18,SFG,@,LAA,L 0-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,.170,.241,.283,.524,0,0,0,0,0,0,.000,0.61,-0.061,0.62,-0.04%,-0.51,0.00,0.00,7,C
19,237,21,2025-04-19,SFG,@,LAA,W 3-2,CG,3,3,0,0,0,0,0,0,0,0,0,1,.161,.230,.268,.497,0,0,0,0,0,0,.000,0.66,-0.050,0.69,-0.03%,-0.70,0.00,0.00,8,C
20,238,23,2025-04-21,SFG,,MIL,W 5-2,CG,4,3,0,1,0,0,0,2,0,0,0,2,.169,.231,.271,.502,1,0,0,0,1,0,.500,1.08,0.060,1.19,0.04%,0.44,7.00,10.00,8,C
21,239,24,2025-04-22,SFG,,MIL,L 3-11,GS-8,3,3,0,1,0,0,0,0,0,0,0,0,.177,.235,.274,.509,1,0,0,0,0,0,.333,0.76,-0.040,0.89,-0.03%,0.29,3.00,3.00,8,C
22,240,25,2025-04-23,SFG,,MIL,W 4-2,CG,4,4,0,0,0,0,0,0,0,0,0,3,.167,.222,.258,.480,0,0,0,0,0,0,.000,0.66,-0.066,0.72,-0.04%,-0.99,0.00,0.00,8,C
23,241,26,2025-04-24,SFG,,MIL,W 6-5,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.167,.222,.258,.480,0,,0,0,,,,,,,,,0.00,0.00,8,C
24,242,27,2025-04-25,SFG,,TEX,L 0-2,CG,3,3,0,0,0,0,0,0,0,0,0,1,.159,.213,.246,.460,0,0,0,0,0,0,.000,1.48,-0.112,1.62,-0.07%,-0.78,0.00,0.00,8,C
25,243,28,2025-04-26,SFG,,TEX,W 3-2,9-GF,1,1,0,1,0,0,0,1,0,0,0,0,.171,.224,.257,.481,1,0,0,0,0,0,1.000,4.19,0.160,4.65,0.11%,0.79,5.00,6.50,9,PH
26,244,29,2025-04-27,SFG,,TEX,W 3-2,CG,3,3,0,0,0,0,0,0,0,0,0,1,.164,.215,.247,.462,0,0,0,0,0,0,.000,1.41,-0.104,1.60,-0.07%,-0.75,0.00,0.00,8,C
27,245,30,2025-04-29,SFG,@,SDP,L 4-7,CG,4,4,0,1,0,0,0,0,0,0,0,1,.169,.217,.247,.464,1,0,0,0,0,0,.333,1.00,-0.088,1.31,-0.07%,-0.71,3.00,3.00,8,C
