Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,284,1,2023-03-30,CHC,,MIL,W 4-0,CG,4,3,0,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,0,0,0,0,0,0,.000,0.35,0.029,0.35,0.02%,-0.07,8,3B
2,285,3,2023-04-02,CHC,,MIL,L 5-9,CG,4,4,2,2,0,0,2,2,0,0,0,1,.286,.375,1.143,1.518,8,0,0,0,0,0,.000,0.61,0.068,0.60,0.04%,1.46,7,RF
3,286,4,2023-04-03,CHC,@,CIN,L 6-7,CG,5,4,1,1,0,0,0,0,0,0,0,1,.273,.385,.818,1.203,1,0,1,0,0,0,.333,1.63,-0.076,1.52,-0.04%,-0.83,6,3B
4,287,5,2023-04-04,CHC,@,CIN,W 12-5,CG,5,5,2,3,2,0,0,3,0,0,0,0,.375,.444,.875,1.319,5,0,0,0,0,0,.600,0.99,0.075,0.89,0.04%,2.18,6,3B
5,288,6,2023-04-07,CHC,,TEX,W 2-0,CG,3,3,0,0,0,0,0,0,0,0,0,2,.316,.381,.737,1.118,0,0,0,0,0,0,.000,0.53,-0.041,0.46,-0.02%,-0.52,6,3B
6,289,7,2023-04-08,CHC,,TEX,W 10-3,CG,4,4,2,2,0,0,1,1,0,0,0,2,.348,.400,.826,1.226,5,0,0,0,0,0,1.000,0.64,0.123,0.59,0.07%,1.14,5,RF
7,290,8,2023-04-09,CHC,,TEX,L 2-8,6-GF,2,2,0,0,0,0,0,0,0,0,0,2,.320,.370,.760,1.130,0,0,0,0,0,0,,0.54,-0.029,0.53,-0.02%,-0.95,7,PH RF
8,291,9,2023-04-10,CHC,,SEA,W 3-2 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,1,.276,.323,.655,.978,0,0,0,0,0,0,.000,1.27,-0.140,1.13,-0.08%,-1.22,7,3B
9,292,10,2023-04-11,CHC,,SEA,W 14-9,CG,5,3,1,0,0,0,0,0,0,0,2,1,.250,.333,.594,.927,0,0,0,0,0,0,.000,0.63,0.018,0.60,0.01%,0.21,6,3B
10,293,11,2023-04-12,CHC,,SEA,L 2-5,CG,3,2,0,0,0,0,0,0,0,0,1,2,.235,.333,.559,.892,0,0,0,0,0,0,,0.97,-0.003,0.96,0.00%,-0.12,7,3B
11,294,12,2023-04-14,CHC,@,LAD,W 8-2,CG,5,5,1,1,0,0,1,1,0,0,0,2,.231,.318,.590,.908,4,0,0,0,0,0,.000,0.61,-0.013,0.60,-0.01%,-0.07,6,3B
12,295,13,2023-04-15,CHC,@,LAD,L 1-2,CG,4,4,1,1,0,0,1,1,0,0,0,0,.233,.313,.628,.940,4,0,0,0,0,0,.000,0.89,0.066,0.93,0.04%,0.17,8,3B
13,296,14,2023-04-16,CHC,@,LAD,W 3-2,CG,4,4,1,2,0,0,1,1,0,0,0,1,.255,.327,.681,1.008,5,0,0,0,0,0,.500,0.97,0.134,0.97,0.08%,0.71,6,3B
14,297,15,2023-04-17,CHC,@,OAK,W 10-1,CG,5,5,2,3,0,0,2,4,0,0,0,2,.288,.351,.788,1.139,9,0,0,0,0,0,1.000,0.35,0.094,0.35,0.06%,3.51,6,DH
15,298,16,2023-04-18,CHC,@,OAK,W 4-0,CG,5,5,1,1,1,0,0,0,0,0,0,1,.281,.339,.754,1.093,2,0,0,0,0,0,.250,1.73,0.041,1.76,0.03%,-0.64,5,3B
16,299,17,2023-04-19,CHC,@,OAK,W 12-2,CG,5,4,1,1,0,1,0,2,0,0,1,2,.279,.343,.754,1.097,3,0,0,0,0,0,.500,0.79,0.125,0.81,0.08%,1.70,6,RF
17,300,18,2023-04-20,CHC,,LAD,L 2-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,.262,.324,.708,1.032,0,1,0,0,0,0,.000,1.97,-0.297,2.16,-0.20%,-2.28,6,3B
18,301,19,2023-04-21,CHC,,LAD,W 13-0,CG,5,5,2,2,1,0,1,3,0,0,0,3,.271,.329,.743,1.072,6,0,0,0,0,0,1.000,0.26,-0.018,0.28,-0.01%,1.30,5,DH
19,302,20,2023-04-22,CHC,,LAD,L 4-9,CG,4,4,0,0,0,0,0,0,0,0,0,2,.257,.313,.703,1.015,0,0,0,0,0,0,.000,1.76,-0.231,1.92,-0.15%,-1.78,6,3B 1B
