Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,314,28,2022-05-08,OAK,@,MIN,L 3-4,CG,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.98,-0.099,0.59,-0.04%,-0.77,1,RF
2,315,29,2022-05-09,OAK,@,DET,W 2-0,CG,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.79,-0.078,0.40,-0.02%,-0.95,3,CF
3,316,30,2022-05-10 (1),OAK,@,DET,L 0-6,CG,4,3,0,0,0,0,0,0,0,0,1,0,.000,.083,.000,.083,0,0,0,0,0,0,.000,0.39,-0.016,0.22,-0.01%,-0.28,3,RF
4,317,31,2022-05-10 (2),OAK,@,DET,W 4-1,CG,4,4,1,2,0,0,0,0,0,0,0,2,.133,.188,.133,.321,2,0,0,0,0,0,1.000,0.39,0.012,0.20,0.00%,0.65,6,RF
5,318,32,2022-05-11,OAK,@,DET,W 9-0,GS-9,5,3,2,1,1,0,0,1,1,0,2,0,.167,.286,.222,.508,2,0,0,0,0,0,.333,0.20,-0.007,0.11,0.00%,1.86,5,RF
6,319,33,2022-05-12,OAK,@,DET,W 5-3,CG,4,4,0,0,0,0,0,0,0,1,0,0,.136,.240,.182,.422,0,1,0,0,0,0,.000,0.96,-0.046,0.59,-0.02%,-0.94,5,RF
7,320,34,2022-05-13,OAK,,LAA,L 0-2,CG,3,2,0,0,0,0,0,0,0,0,1,0,.125,.250,.167,.417,0,0,0,0,0,0,.000,1.08,-0.056,0.80,-0.03%,-0.31,6,RF
8,321,35,2022-05-14 (1),OAK,,LAA,W 4-3,CG,4,3,2,2,2,0,0,0,0,0,1,0,.185,.313,.296,.609,4,0,0,0,0,0,.667,1.44,0.143,0.93,0.06%,0.59,5,RF
9,322,36,2022-05-14 (2),OAK,,LAA,L 1-9,GS-8,3,3,0,0,0,0,0,0,0,0,0,0,.167,.286,.267,.552,0,1,0,0,0,0,.000,0.56,-0.070,0.38,-0.03%,-1.02,4,CF
10,323,37,2022-05-15,OAK,,LAA,L 1-4,CG,4,4,0,1,0,0,0,0,1,0,0,0,.176,.282,.265,.547,1,0,0,0,0,0,.250,2.04,-0.047,1.29,-0.02%,-0.08,3,RF
11,324,38,2022-05-16,OAK,,MIN,L 1-3,CG,4,3,0,0,0,0,0,0,0,0,1,0,.162,.279,.243,.522,0,0,0,0,0,0,.000,1.26,-0.073,0.70,-0.03%,-0.35,3,RF
12,325,39,2022-05-17,OAK,,MIN,W 5-2,CG,5,4,1,0,0,0,0,0,0,0,0,2,.146,.271,.220,.490,0,0,1,0,0,0,.000,1.44,-0.015,0.70,0.00%,-0.49,3,RF
13,326,40,2022-05-18,OAK,,MIN,L 4-14,CG,5,5,1,2,1,0,0,0,0,0,0,2,.174,.283,.261,.544,3,0,0,0,0,0,.667,0.25,-0.003,0.13,0.00%,-0.23,3,CF RF
14,327,41,2022-05-20,OAK,@,LAA,W 4-2,CG,4,2,0,0,0,0,0,0,0,1,1,1,.167,.298,.250,.548,0,0,1,0,0,0,.000,0.92,-0.037,0.47,-0.01%,-0.34,5,CF
15,328,42,2022-05-21,OAK,@,LAA,L 3-5,GS-3,1,0,0,0,0,0,0,0,0,0,0,0,.167,.310,.250,.560,0,0,1,0,0,0,,0.65,0.026,0.37,0.01%,0.26,5,RF
16,329,44,2022-05-23,OAK,@,SEA,L 6-7,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.167,.310,.250,.560,0,,0,0,,,,2.71,0.034,1.16,0.01%,0.09,3,PR DH
