Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,668,1,2024-03-29,MIL,@,NYM,W 3-1,CG,4,3,0,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,0,1,0,0,0,0,.000,1.27,-0.173,1.21,-0.10%,-1.56,2.00,3.00,4,1B
2,669,2,2024-03-30,MIL,@,NYM,W 7-6,CG,5,4,2,3,0,0,1,4,0,0,1,0,.429,.556,.857,1.413,6,0,0,0,0,0,.667,0.76,0.323,0.75,0.19%,4.13,30.00,41.40,6,DH
3,670,3,2024-03-31,MIL,@,NYM,W 4-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.273,.385,.545,.930,0,1,0,0,0,0,.000,1.32,-0.220,1.30,-0.13%,-2.67,0.00,0.00,6,1B
4,671,4,2024-04-02,MIL,,MIN,W 3-2,CG,4,3,2,1,0,0,0,0,0,0,0,1,.286,.412,.500,.912,1,0,1,0,0,0,.500,0.54,0.005,0.52,0.00%,-0.02,9.00,12.40,6,DH
5,672,5,2024-04-03,MIL,,MIN,L 3-7,CG,4,3,1,1,0,0,1,1,0,0,1,0,.294,.429,.647,1.076,4,1,0,0,0,0,.000,1.06,-0.033,1.06,-0.02%,-0.45,16.00,21.70,5,1B
6,673,6,2024-04-05,MIL,,SEA,W 6-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.238,.360,.524,.884,0,0,0,0,0,0,.000,0.55,-0.058,0.54,-0.03%,-1.19,0.00,0.00,6,1B
7,674,7,2024-04-06,MIL,,SEA,L 3-5,8-GF,1,0,0,0,0,0,0,1,0,0,0,0,.238,.346,.524,.870,0,0,0,0,1,0,.000,5.97,-0.088,6.13,-0.05%,-0.15,2.00,3.50,5,PH 1B
8,675,8,2024-04-07,MIL,,SEA,W 12-4,GS-8,4,3,1,0,0,0,0,0,0,0,1,2,.208,.333,.458,.792,0,0,0,0,0,0,.000,0.54,-0.071,0.53,-0.04%,-0.87,4.00,6.20,5,DH
9,676,9,2024-04-08,MIL,@,CIN,L 8-10,CG,5,5,0,1,0,0,0,0,0,0,0,2,.207,.314,.414,.728,1,0,0,0,0,0,.333,1.10,-0.100,1.27,-0.07%,-1.23,3.00,3.00,6,1B
10,677,10,2024-04-09,MIL,@,CIN,W 9-5,CG,5,4,0,1,1,0,0,0,0,0,1,0,.212,.325,.424,.749,2,0,0,0,0,0,.250,0.24,0.005,0.27,0.00%,0.05,7.00,9.00,6,DH
11,678,12,2024-04-12,MIL,@,BAL,W 11-1,CG,5,5,1,2,1,0,0,1,0,0,0,0,.237,.333,.447,.781,3,1,0,0,0,0,.400,0.36,0.094,0.39,0.06%,-0.10,12.00,15.70,6,1B
12,679,13,2024-04-13,MIL,@,BAL,W 11-5,CG,5,5,1,2,0,0,1,2,0,0,0,1,.256,.340,.512,.852,5,0,0,0,0,0,.333,0.55,0.196,0.59,0.13%,1.59,19.00,25.20,6,DH
13,680,14,2024-04-14,MIL,@,BAL,L 4-6,CG,5,5,0,1,1,0,0,0,0,0,0,1,.250,.327,.500,.827,2,0,0,0,0,0,.250,1.71,-0.109,1.87,-0.07%,-0.70,5.00,6.00,2,1B
14,681,15,2024-04-15,MIL,,SDP,L 3-7,CG,4,4,0,1,0,0,0,0,0,0,0,0,.250,.322,.481,.803,1,1,0,0,0,0,.250,1.17,-0.063,1.30,-0.04%,-1.02,3.00,3.00,5,1B
15,682,16,2024-04-16,MIL,,SDP,L 3-6,CG,4,3,0,0,0,0,0,0,0,0,1,2,.236,.317,.455,.772,0,0,0,0,0,0,.000,0.67,-0.047,0.74,-0.03%,-0.61,2.00,3.00,5,DH
16,683,17,2024-04-17,MIL,,SDP,W 1-0,CG,3,2,0,0,0,0,0,0,0,0,1,1,.228,.318,.439,.757,0,0,0,0,0,0,.000,1.04,-0.055,1.15,-0.04%,-0.28,2.00,3.00,6,DH
17,684,18,2024-04-19,MIL,@,STL,W 2-1 (10),CG(10),4,3,0,0,0,0,0,0,0,0,1,1,.217,.314,.417,.731,0,0,0,0,0,0,.000,0.89,-0.055,1.06,-0.04%,-0.49,2.00,3.00,5,1B
18,685,19,2024-04-20,MIL,@,STL,W 12-5,CG,5,5,1,2,0,0,1,3,0,0,0,1,.231,.320,.462,.782,5,0,0,0,0,0,.333,0.63,0.176,0.78,0.13%,1.89,21.00,28.70,4,1B
19,686,20,2024-04-21,MIL,@,STL,W 2-0,CG,4,4,0,0,0,0,0,0,0,0,0,2,.217,.304,.435,.739,0,0,0,0,0,0,.000,0.98,-0.104,1.22,-0.08%,-0.96,0.00,0.00,4,DH
20,687,21,2024-04-22,MIL,@,PIT,L 2-4,CG,4,3,1,1,0,0,1,2,0,0,1,0,.222,.313,.472,.785,4,0,0,0,0,0,.000,2.22,0.102,2.83,0.08%,1.03,18.00,25.20,5,DH
21,688,22,2024-04-23,MIL,@,PIT,L 1-2,CG,4,3,0,0,0,0,0,0,0,0,1,0,.213,.310,.453,.764,0,0,0,0,0,0,.000,1.36,-0.064,1.74,-0.05%,-0.25,2.00,3.00,4,1B
22,689,23,2024-04-24,MIL,@,PIT,W 3-2,CG,5,4,0,0,0,0,0,1,0,0,0,1,.203,.304,.430,.735,0,0,1,0,0,0,.000,1.15,0.018,1.45,0.01%,0.20,4.00,6.50,4,DH
23,690,24,2024-04-25,MIL,@,PIT,W 7-5,CG,5,5,0,3,1,0,0,2,1,0,0,1,.226,.320,.452,.772,4,0,0,0,0,0,.750,1.91,0.244,2.34,0.18%,1.46,20.00,25.00,5,DH
24,691,25,2024-04-26,MIL,,NYY,W 7-6 (11),CG(11),5,5,1,2,0,0,0,0,0,0,0,2,.236,.324,.449,.773,2,0,0,0,0,0,.667,1.54,-0.067,1.79,-0.05%,-0.37,8.00,9.20,4,1B
25,692,26,2024-04-27,MIL,,NYY,L 3-15,GS-7,3,3,1,1,0,0,1,1,0,0,0,1,.239,.324,.478,.802,4,0,0,0,0,0,.000,0.31,0.066,0.35,0.05%,0.65,14.00,18.70,3,1B
26,693,28,2024-04-29,MIL,,TBR,L 0-1,CG,4,2,0,0,0,0,0,0,0,0,1,0,.234,.330,.468,.798,0,0,1,0,0,0,.000,2.90,-0.003,3.33,0.00%,-0.19,4.00,6.00,5,DH
27,694,29,2024-04-30,MIL,,TBR,W 8-2,CG,5,3,1,1,0,0,0,0,0,0,1,0,.237,.342,.464,.806,1,0,1,0,0,0,.333,0.48,0.051,0.53,0.03%,0.89,9.00,12.20,2,1B
28,695,30,2024-05-01,MIL,,TBR,W 7-1,CG,4,4,0,1,1,0,0,0,0,0,0,1,.238,.339,.465,.804,2,0,0,0,0,0,.333,0.39,0.000,0.45,0.00%,-0.22,5.00,6.00,5,DH
29,696,31,2024-05-03,MIL,@,CHC,W 3-1,CG,4,4,0,0,0,0,0,0,0,0,0,2,.229,.328,.448,.775,0,0,0,0,0,0,.000,1.16,-0.117,1.61,-0.10%,-1.04,0.00,0.00,6,DH
30,697,32,2024-05-04,MIL,@,CHC,L 5-6,CG,4,3,1,1,0,0,0,0,0,0,1,1,.231,.333,.444,.778,1,0,0,0,0,0,.500,1.00,-0.005,1.35,0.00%,0.32,7.00,9.20,6,1B
31,698,33,2024-05-05,MIL,@,CHC,L 0-5,CG,4,3,0,0,0,0,0,0,0,0,1,0,.225,.331,.432,.763,0,0,0,0,0,0,.000,0.84,-0.029,1.14,-0.02%,-0.40,2.00,3.00,6,DH
32,699,34,2024-05-06,MIL,@,KCR,L 2-3,GS-9,4,3,0,0,0,0,0,0,0,0,1,1,.219,.328,.421,.749,0,0,0,0,0,0,.000,1.40,0.047,1.65,0.03%,-0.31,2.00,3.00,3,1B
33,700,35,2024-05-07,MIL,@,KCR,W 6-5,CG,5,5,1,1,0,0,1,1,0,0,0,1,.218,.324,.437,.761,4,0,0,0,0,0,.000,0.91,0.014,1.06,0.01%,0.21,14.00,18.70,6,1B
34,701,37,2024-05-09,MIL,,STL,W 7-1,CG,4,4,1,1,0,0,1,2,0,0,0,2,.220,.322,.455,.777,4,0,0,0,0,0,.000,0.51,0.123,0.65,0.09%,0.37,16.00,22.20,5,1B
35,702,38,2024-05-10,MIL,,STL,W 11-2,GS-7,4,3,0,2,0,0,0,2,0,0,1,0,.230,.333,.460,.794,2,0,0,0,0,0,.667,0.82,0.090,1.03,0.07%,1.70,12.00,16.00,5,1B
36,703,39,2024-05-11,MIL,,STL,W 5-3,CG,4,3,1,1,0,0,1,3,0,0,1,0,.233,.338,.481,.818,4,0,0,0,0,0,.000,2.77,0.512,3.46,0.38%,2.31,20.00,28.70,5,1B
37,704,40,2024-05-12,MIL,,STL,L 3-4,CG,4,3,0,0,0,0,0,1,0,0,1,2,.227,.335,.470,.805,0,0,0,0,0,0,.000,1.41,0.001,1.73,0.00%,0.41,4.00,6.50,5,1B
38,705,41,2024-05-13,MIL,,PIT,L 6-8,GS-2,1,1,0,1,0,0,0,0,0,0,0,0,.233,.340,.474,.813,1,0,0,0,0,0,1.000,0.68,0.028,0.87,0.02%,0.26,3.00,3.00,5,1B
39,706,57,2024-05-31,MIL,,CHW,W 12-5,GS-7,5,5,0,2,0,0,0,0,0,0,0,2,.239,.342,.471,.813,2,0,0,0,0,0,.667,2.06,-0.199,2.44,-0.14%,-1.46,6.00,6.00,6,DH
40,707,58,2024-06-01,MIL,,CHW,W 4-3 (10),CG(10),4,4,0,1,0,0,0,0,0,0,0,0,.239,.339,.465,.804,1,0,0,0,0,0,.250,1.48,-0.087,1.78,-0.06%,-0.67,3.00,3.00,5,1B
41,708,60,2024-06-03,MIL,@,PHI,L 1-3,CG,3,2,1,1,0,0,1,1,1,0,1,0,.243,.345,.486,.831,4,0,0,0,0,0,.000,0.60,0.095,0.78,0.08%,1.37,21.00,27.70,6,DH
42,709,61,2024-06-04,MIL,@,PHI,L 1-2 (10),CG(10),4,4,0,1,0,0,0,0,0,0,0,1,.243,.343,.480,.823,1,1,0,0,0,0,.333,2.10,-0.260,2.68,-0.20%,-1.44,3.00,3.00,5,1B
43,710,62,2024-06-05,MIL,@,PHI,L 0-2,CG,3,3,0,0,0,0,0,0,0,0,0,1,.238,.337,.470,.807,0,0,0,0,0,0,.000,1.00,-0.080,1.28,-0.06%,-0.63,0.00,0.00,5,1B
44,711,63,2024-06-07,MIL,@,DET,W 10-0,CG,5,5,1,1,1,0,0,0,0,0,0,1,.237,.333,.468,.801,2,0,0,0,0,0,.250,0.37,0.101,0.44,0.07%,-0.25,7.00,9.20,6,DH
45,712,64,2024-06-08,MIL,@,DET,W 5-4,CG,4,3,1,0,0,0,0,0,0,0,1,0,.233,.332,.459,.791,0,0,0,0,0,0,.000,1.15,-0.023,1.30,-0.02%,-0.40,4.00,6.20,5,1B
46,713,65,2024-06-09,MIL,@,DET,L 2-10,GS-8,3,3,0,1,0,0,0,0,0,0,0,1,.235,.332,.457,.788,1,0,0,0,0,0,.500,0.36,-0.025,0.41,-0.02%,0.12,3.00,3.00,2,DH
47,714,66,2024-06-10,MIL,,TOR,W 3-1,CG,3,3,0,0,0,0,0,0,0,0,0,3,.230,.326,.448,.775,0,0,0,0,0,0,,0.95,-0.072,1.13,-0.05%,-0.86,0.00,0.00,5,DH
48,715,67,2024-06-11,MIL,,TOR,L 0-3,CG,4,3,0,1,0,0,0,0,0,0,1,1,.232,.330,.446,.776,1,0,0,0,0,0,.500,2.18,-0.075,2.61,-0.05%,-0.10,5.00,6.00,5,1B
49,716,69,2024-06-14,MIL,,CIN,L 5-6,GS-9,5,5,0,0,0,0,0,0,0,0,0,3,.225,.322,.434,.755,0,0,0,0,0,0,.000,1.89,-0.038,2.52,-0.03%,-0.79,0.00,0.00,5,1B
50,717,70,2024-06-15,MIL,,CIN,W 3-1,CG,3,3,0,0,0,0,0,0,0,0,0,2,.222,.317,.426,.743,0,0,0,0,0,0,.000,1.00,-0.077,1.37,-0.06%,-0.93,0.00,0.00,5,1B
51,718,72,2024-06-17,MIL,@,LAA,L 3-5,CG,4,3,0,0,0,0,0,0,0,0,1,1,.218,.316,.419,.735,0,0,0,0,0,0,.000,1.08,-0.016,1.26,-0.01%,-0.24,2.00,3.00,6,DH
52,719,73,2024-06-18,MIL,@,LAA,W 6-3,CG,4,4,1,1,0,0,0,0,0,0,0,3,.219,.314,.415,.730,1,0,0,0,0,0,1.000,0.42,-0.033,0.50,-0.02%,-0.32,5.00,6.20,5,1B
53,720,74,2024-06-19,MIL,@,LAA,W 2-0,GS-8,4,3,0,1,0,0,0,1,0,0,0,1,.220,.313,.414,.727,1,0,0,0,1,0,.333,1.28,-0.043,1.50,-0.03%,-0.40,5.00,6.50,5,1B
54,721,75,2024-06-20,MIL,@,SDP,L 6-7,CG,5,4,0,1,1,0,0,1,0,0,1,1,.221,.315,.416,.731,2,1,0,0,0,0,.333,1.80,0.173,2.22,0.13%,-0.80,9.00,12.50,6,DH
