Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,397,1,2025-03-27,MIN,@,STL,L 3-5,CG,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,.333,1.67,-0.079,1.49,-0.04%,-0.50,3.00,3.00,5,C
2,398,3,2025-03-30,MIN,@,STL,L 2-9,CG,4,4,0,0,0,0,0,0,0,0,0,0,.125,.125,.125,.250,0,0,0,0,0,0,.000,0.40,-0.043,0.31,-0.02%,-1.00,0.00,0.00,5,C
3,399,4,2025-03-31,MIN,@,CHW,L 0-9,GS-8,4,2,0,1,0,0,0,0,0,0,2,0,.200,.333,.200,.533,1,0,0,0,0,0,.500,0.11,-0.009,0.10,0.00%,0.35,7.00,9.00,3,DH
4,400,5,2025-04-01,MIN,@,CHW,W 8-3,CG,5,5,1,2,0,0,0,1,0,0,0,1,.267,.353,.267,.620,2,0,0,0,0,0,.500,0.88,0.037,0.72,0.02%,0.64,10.00,12.70,5,C
5,401,7,2025-04-03,MIN,,HOU,L 2-5,CG,3,3,0,0,0,0,0,0,0,0,0,2,.222,.300,.222,.522,0,0,0,0,0,0,.000,1.18,-0.088,1.05,-0.05%,-0.77,0.00,0.00,8,C
6,402,9,2025-04-06,MIN,,HOU,L 7-9 (10),CG(10),5,5,0,1,1,0,0,2,0,0,0,1,.217,.280,.261,.541,2,0,0,0,0,0,.250,0.91,0.106,0.83,0.06%,0.87,9.00,13.00,6,C
7,403,11,2025-04-08,MIN,@,KCR,L 1-2,GS-8,4,4,0,1,0,0,0,0,0,0,0,1,.222,.276,.259,.535,1,0,0,0,0,0,.333,1.11,-0.028,0.97,-0.02%,-0.38,3.00,3.00,2,C
8,404,13,2025-04-10,MIN,@,KCR,L 2-3,CG,4,4,0,1,0,0,0,1,0,0,0,1,.226,.273,.258,.531,1,0,0,0,0,0,.333,1.34,0.122,1.23,0.07%,0.84,5.00,6.50,6,C
9,405,14,2025-04-11,MIN,,DET,L 6-7,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.219,.265,.250,.515,0,0,0,0,0,0,,1.71,-0.044,1.42,-0.02%,-0.24,0.00,0.00,9,C
10,406,16,2025-04-13,MIN,,DET,W 5-1,CG,4,3,0,0,0,0,0,0,0,0,1,0,.200,.263,.229,.492,0,0,0,0,0,0,.000,0.58,-0.039,0.42,-0.02%,-0.67,2.00,3.00,6,C
11,407,18,2025-04-15,MIN,,NYM,W 6-3,CG,4,3,1,3,2,0,0,0,0,0,0,0,.263,.333,.342,.675,5,0,1,0,0,0,1.000,0.70,0.176,0.44,0.07%,2.24,17.00,21.20,7,C
12,408,19,2025-04-16,MIN,,NYM,W 4-3 (10),CG(10),4,3,1,0,0,0,0,0,0,0,1,1,.244,.326,.317,.643,0,0,0,0,0,0,.000,0.77,-0.051,0.51,-0.02%,-0.69,4.00,6.20,5,C
