Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,180,1,2022-04-08,BAL,@,TBR,L 1-2,CG,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,.333,1.51,-0.053,1.44,-0.03%,-0.11,2,1B
2,181,2,2022-04-09,BAL,@,TBR,L 3-5,CG,4,4,1,2,0,0,1,2,0,0,0,0,.375,.375,.750,1.125,5,0,0,0,0,0,.333,0.59,0.164,0.54,0.09%,1.80,2,1B
3,182,3,2022-04-10,BAL,@,TBR,L 0-8,CG,4,4,0,2,0,0,0,0,0,0,0,0,.417,.417,.667,1.083,2,0,0,0,0,0,.500,0.71,-0.001,0.63,0.00%,-0.18,2,1B
4,183,4,2022-04-11,BAL,,MIL,W 2-0,CG,4,3,0,0,0,0,0,0,0,0,1,0,.333,.375,.533,.908,0,0,0,0,0,0,.000,0.67,-0.032,0.51,-0.01%,-0.42,2,1B
5,184,5,2022-04-12,BAL,,MIL,L 4-5,CG,5,5,0,1,0,0,0,0,0,0,0,3,.300,.333,.450,.783,1,0,0,0,0,0,.500,1.41,-0.177,1.14,-0.09%,-0.71,2,DH
6,185,6,2022-04-13,BAL,,MIL,L 2-4,CG,4,4,0,1,0,0,0,1,0,0,0,1,.292,.320,.417,.737,1,0,0,0,0,0,.333,1.72,0.168,1.30,0.08%,0.67,2,1B
7,186,7,2022-04-15,BAL,,NYY,W 2-1 (11),CG(11),5,4,0,0,0,0,0,0,0,0,1,1,.250,.300,.357,.657,0,0,0,0,0,0,.000,1.88,-0.112,1.52,-0.05%,-0.52,3,1B
8,187,8,2022-04-16,BAL,,NYY,L 2-5,CG,4,4,0,1,0,0,0,0,0,0,0,1,.250,.294,.344,.638,1,0,0,0,0,0,.333,0.95,-0.045,0.83,-0.02%,-0.47,4,DH
9,188,9,2022-04-17,BAL,,NYY,W 5-0,CG,4,4,1,2,0,0,0,0,0,0,0,1,.278,.316,.361,.677,2,0,0,0,0,0,.667,1.46,0.010,1.15,0.01%,0.00,2,1B
10,189,10,2022-04-18,BAL,@,OAK,L 1-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.250,.286,.325,.611,0,0,0,0,0,0,.000,1.04,-0.165,0.86,-0.08%,-1.31,2,1B
11,190,11,2022-04-19,BAL,@,OAK,L 1-2,CG,4,4,0,1,1,0,0,0,0,0,0,2,.250,.283,.341,.624,2,0,0,0,0,0,.500,1.86,-0.040,1.44,-0.02%,-0.06,3,1B
12,191,12,2022-04-20,BAL,@,OAK,W 1-0,CG,4,4,0,0,0,0,0,0,0,0,0,2,.229,.260,.313,.573,0,0,0,0,0,0,.000,1.12,-0.113,0.81,-0.05%,-1.06,4,DH
13,192,13,2022-04-21,BAL,@,OAK,L 4-6,CG,4,3,2,1,0,0,0,0,0,0,0,2,.235,.278,.314,.592,1,0,1,0,0,0,1.000,1.04,0.086,0.81,0.04%,0.66,4,1B
14,193,14,2022-04-22,BAL,@,LAA,W 5-3,CG,4,4,1,1,0,0,0,0,0,0,0,2,.236,.276,.309,.585,1,0,0,0,0,0,.500,0.53,0.037,0.40,0.02%,0.41,3,1B
15,194,15,2022-04-23,BAL,@,LAA,W 5-4,CG,5,5,0,2,0,0,0,3,1,0,0,2,.250,.286,.317,.602,2,0,0,0,0,0,.667,1.42,0.397,1.16,0.20%,2.24,4,1B
16,195,16,2022-04-24,BAL,@,LAA,L 6-7,CG,5,5,1,1,0,0,0,1,0,0,0,0,.246,.279,.308,.587,1,1,0,0,0,0,.200,2.17,-0.290,1.76,-0.14%,-1.31,4,1B
17,196,17,2022-04-26,BAL,@,NYY,L 8-12,CG,4,4,0,0,0,0,0,0,0,0,0,1,.232,.264,.290,.554,0,0,0,0,0,0,.000,0.55,-0.056,0.45,-0.03%,-0.84,4,1B
18,197,20,2022-04-29,BAL,,BOS,L 1-3,CG,4,4,1,2,0,0,1,1,0,0,0,0,.247,.276,.342,.619,5,0,0,0,0,0,.333,0.66,0.075,0.42,0.03%,1.18,3,1B
19,198,21,2022-04-30,BAL,,BOS,W 2-1 (10),CG(10),4,4,0,1,0,0,0,0,0,0,0,1,.247,.275,.338,.613,1,0,0,0,0,0,.333,1.73,0.036,0.97,0.01%,0.07,3,1B
20,199,22,2022-05-01,BAL,,BOS,W 9-5,GS-8,4,3,0,1,0,0,0,1,0,0,1,1,.250,.286,.338,.623,1,0,0,0,0,1,.500,0.88,-0.071,0.55,-0.03%,0.42,3,DH
21,200,23,2022-05-02,BAL,,MIN,L 1-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.238,.273,.321,.594,0,1,0,0,0,0,.000,1.91,-0.311,1.25,-0.12%,-1.68,4,1B
