Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,117,2022-08-16,OAK,@,TEX,W 5-1,CG,4,4,1,1,1,0,0,0,0,0,0,3,.250,.250,.500,.750,2,0,0,0,0,0,1.000,0.54,0.020,0.00,0.00%,-0.16,6,DH
2,2,118,2022-08-17,OAK,@,TEX,W 7-2,CG,4,4,1,1,0,0,1,2,0,0,0,2,.250,.250,.750,1.000,4,0,0,0,0,0,.000,0.97,-0.065,0.00,0.00%,0.66,8,DH
3,3,119,2022-08-18,OAK,@,TEX,L 3-10,CG,4,4,1,1,1,0,0,0,0,0,0,2,.250,.250,.667,.917,2,0,0,0,0,0,.500,0.58,-0.058,0.00,0.00%,0.55,8,C
4,4,120,2022-08-19,OAK,,SEA,L 2-10,CG,4,3,0,0,0,0,0,1,0,0,0,1,.200,.188,.533,.721,0,0,0,0,1,0,.000,1.22,-0.074,0.00,0.00%,-0.90,5,DH
5,5,122,2022-08-21,OAK,,SEA,W 5-3,CG,4,4,1,3,1,1,0,1,0,0,0,1,.316,.300,.737,1.037,6,0,0,0,0,0,1.000,0.79,0.155,0.00,0.00%,2.13,7,C
6,6,123,2022-08-22,OAK,,MIA,L 0-3,CG,4,3,0,0,0,0,0,0,0,0,1,2,.273,.292,.636,.928,0,0,0,0,0,0,.000,0.92,-0.052,0.00,0.00%,-0.58,5,DH
7,7,124,2022-08-23,OAK,,MIA,L 3-5,CG,4,4,0,1,1,0,0,1,0,0,0,1,.269,.286,.615,.901,2,0,0,0,0,0,.333,0.79,0.028,0.00,0.00%,0.72,7,DH
8,8,125,2022-08-24,OAK,,MIA,W 3-2 (10),CG(10),4,4,1,0,0,0,0,0,0,0,0,1,.233,.250,.533,.783,0,0,0,0,0,0,.000,1.24,-0.163,0.00,0.00%,-1.17,2,C
9,9,126,2022-08-25,OAK,,NYY,L 4-13,CG,4,4,1,3,0,0,1,2,0,0,0,1,.294,.306,.647,.953,6,0,0,0,0,0,1.000,0.34,0.053,0.00,0.00%,2.39,5,C DH
10,10,127,2022-08-26,OAK,,NYY,L 2-3,CG,4,4,0,1,0,0,0,0,0,0,0,2,.289,.300,.605,.905,1,0,0,0,0,0,.500,1.07,-0.076,0.00,0.00%,-0.51,2,DH
