Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,343,1,2025-03-27,CIN,,SFG,L 4-6,CG,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.79,-0.088,0.78,-0.05%,-1.18,0.00,0.00,6,DH
2,344,3,2025-03-30,CIN,,SFG,L 3-6,CG,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.84,-0.065,0.82,-0.04%,-0.41,0.00,0.00,6,DH
3,345,4,2025-03-31,CIN,,TEX,W 14-3,CG,5,5,0,1,0,0,0,2,0,0,0,0,.083,.083,.083,.167,1,1,0,0,0,0,.200,0.21,-0.027,0.18,-0.01%,0.34,7.00,10.00,7,DH
4,346,6,2025-04-02,CIN,,TEX,L 0-1,CG,3,3,0,0,0,0,0,0,0,0,0,1,.067,.067,.067,.133,0,0,0,0,0,0,.000,1.18,-0.091,1.03,-0.05%,-0.55,0.00,0.00,7,DH
5,347,7,2025-04-03,CIN,@,MIL,L 0-1,CG,3,3,0,0,0,0,0,0,0,0,0,1,.056,.056,.056,.111,0,0,0,0,0,0,.000,1.81,-0.130,1.59,-0.07%,-0.83,0.00,0.00,7,DH
6,348,8,2025-04-04,CIN,@,MIL,L 2-3,CG,4,3,1,0,0,0,0,0,0,0,1,1,.048,.091,.048,.139,0,0,0,0,0,0,.000,0.91,0.052,0.76,0.03%,0.34,4.00,6.20,2,DH
7,349,10,2025-04-06,CIN,@,MIL,L 2-8,CG,4,3,1,1,0,0,1,1,0,0,1,1,.083,.154,.208,.362,4,0,0,0,0,0,.000,0.29,0.054,0.24,0.03%,0.95,16.00,21.70,7,DH
8,350,11,2025-04-07,CIN,@,SFG,W 2-0,CG,4,3,1,1,0,0,0,0,0,0,1,0,.111,.200,.222,.422,1,0,0,0,0,0,.333,1.04,0.112,0.77,0.05%,0.73,7.00,9.20,7,DH
9,351,12,2025-04-08,CIN,@,SFG,W 1-0,CG,4,4,1,2,2,0,0,0,0,0,0,1,.161,.235,.323,.558,4,0,0,0,0,0,.667,0.87,0.068,0.71,0.03%,0.52,12.00,15.20,7,DH
10,352,13,2025-04-09,CIN,@,SFG,L 6-8 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,1,.143,.211,.286,.496,0,0,0,0,0,0,.000,0.51,-0.040,0.43,-0.02%,-0.39,0.00,0.00,7,DH
11,353,14,2025-04-11,CIN,,PIT,W 5-3,CG,4,3,1,0,0,0,0,0,0,0,1,1,.132,.214,.263,.477,0,1,0,0,0,0,.000,0.83,-0.086,0.69,-0.04%,-1.33,4.00,6.20,4,DH
12,354,15,2025-04-12,CIN,,PIT,W 5-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.119,.196,.238,.434,0,0,0,0,0,0,.000,0.37,-0.038,0.31,-0.02%,-0.80,0.00,0.00,4,DH
13,355,16,2025-04-13,CIN,,PIT,W 4-0,CG,4,4,0,0,0,0,0,0,0,0,0,0,.109,.180,.217,.397,0,0,0,0,0,0,.000,0.63,-0.080,0.56,-0.04%,-1.70,0.00,0.00,5,DH
14,356,18,2025-04-16,CIN,,SEA,L 3-5,CG,4,4,1,1,0,0,0,0,0,0,0,2,.120,.185,.220,.405,1,0,0,0,0,0,.500,1.02,-0.045,0.94,-0.03%,-0.01,5.00,6.20,6,DH
15,357,20,2025-04-18,CIN,@,BAL,W 8-3,CG,5,4,0,0,0,0,0,0,0,0,1,4,.111,.186,.204,.390,0,0,0,0,0,0,,0.38,0.011,0.32,0.01%,-0.99,2.00,3.00,5,DH
16,358,22,2025-04-20,CIN,@,BAL,W 24-2,CG,7,6,3,2,1,0,0,1,0,0,1,0,.133,.212,.233,.445,3,0,0,0,0,0,.333,0.49,0.075,0.42,0.04%,1.33,18.00,25.10,6,1B
17,359,23,2025-04-21,CIN,@,MIA,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,.125,.200,.219,.419,0,0,0,0,0,0,.000,0.76,-0.080,0.73,-0.05%,-0.79,0.00,0.00,6,1B
18,360,25,2025-04-23,CIN,@,MIA,W 5-2,CG,4,3,1,2,0,0,0,1,1,0,1,0,.149,.230,.239,.469,2,0,0,0,0,0,.667,0.97,0.163,0.82,0.08%,1.67,17.00,21.70,8,1B
19,361,26,2025-04-25,CIN,@,COL,W 8-7,CG,5,4,2,1,0,0,1,2,0,0,0,1,.155,.241,.282,.522,4,0,1,0,0,0,.000,1.33,0.089,1.14,0.05%,0.76,20.00,28.40,6,1B
20,362,27,2025-04-26,CIN,@,COL,W 6-4,CG,5,5,0,2,0,0,0,1,0,0,0,1,.171,.250,.289,.539,2,0,0,0,0,0,.500,1.13,-0.031,1.03,-0.02%,0.27,8.00,9.50,6,1B
21,363,28,2025-04-27,CIN,@,COL,W 8-1,CG,5,4,2,2,0,0,0,0,0,0,1,0,.188,.270,.300,.570,2,0,0,0,0,0,.500,0.59,0.079,0.57,0.05%,1.30,12.00,15.40,2,1B
22,364,29,2025-04-28,CIN,,STL,W 3-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.179,.258,.286,.544,0,1,0,0,0,0,.000,1.01,-0.156,1.12,-0.10%,-2.16,0.00,0.00,7,1B
23,365,30,2025-04-30 (1),CIN,,STL,L 0-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,.170,.247,.273,.520,0,0,0,0,0,0,.000,1.00,-0.104,1.11,-0.07%,-1.01,0.00,0.00,6,1B
24,366,31,2025-04-30 (2),CIN,,STL,L 1-9,CG,4,4,0,1,0,0,0,0,0,0,0,2,.174,.248,.272,.519,1,0,0,0,0,0,.500,0.25,0.026,0.27,0.02%,-0.48,3.00,3.00,5,1B
25,367,32,2025-05-01,CIN,,STL,W 9-1,CG,4,3,1,2,0,0,1,1,0,0,1,0,.189,.267,.316,.582,5,0,0,0,0,0,.500,0.63,0.087,0.63,0.05%,1.87,19.00,24.70,6,1B
26,368,33,2025-05-02,CIN,,WSN,W 6-1,CG,4,3,1,1,0,0,0,0,1,0,1,1,.194,.275,.316,.592,1,0,0,0,0,0,.500,0.34,-0.008,0.35,-0.01%,0.17,12.00,15.20,6,1B
27,369,34,2025-05-03,CIN,,WSN,L 6-11,CG,5,5,1,2,1,0,0,2,0,0,0,0,.204,.281,.330,.611,3,0,0,0,0,0,.400,0.89,0.121,0.93,0.08%,1.39,14.00,19.20,5,1B
28,370,35,2025-05-04,CIN,,WSN,L 1-4,CG,4,4,0,1,0,0,0,0,0,0,0,1,.206,.280,.327,.607,1,0,0,0,0,0,.333,1.15,-0.077,1.17,-0.05%,-0.75,3.00,3.00,5,1B
29,371,36,2025-05-05,CIN,@,ATL,L 0-4,CG,4,3,0,0,0,0,0,0,0,0,1,1,.200,.279,.318,.597,0,0,0,0,0,0,.000,0.66,-0.053,0.66,-0.03%,-0.88,2.00,3.00,5,1B
30,372,37,2025-05-06,CIN,@,ATL,L 1-2 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,2,.193,.270,.307,.577,0,0,0,0,0,0,.000,0.89,-0.089,0.82,-0.05%,-0.80,0.00,0.00,6,LF 1B
31,373,38,2025-05-07,CIN,@,ATL,W 4-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.186,.262,.297,.558,0,0,0,0,0,0,.000,0.67,-0.072,0.58,-0.04%,-1.21,0.00,0.00,6,1B
32,374,39,2025-05-08,CIN,@,ATL,L 4-5 (11),CG(11),5,5,1,1,0,0,0,0,0,0,0,3,.187,.259,.293,.552,1,1,0,0,0,0,.500,2.48,-0.352,2.28,-0.19%,-1.72,5.00,6.20,5,1B
33,375,40,2025-05-09,CIN,@,HOU,L 0-3,CG,4,4,0,1,0,0,0,0,0,0,0,1,.189,.259,.291,.550,1,0,0,0,0,0,.333,0.59,-0.039,0.50,-0.02%,-0.43,3.00,3.00,6,1B
34,376,41,2025-05-10,CIN,@,HOU,W 13-9,CG,5,3,2,0,0,0,0,0,1,0,2,3,.185,.264,.285,.549,0,0,0,0,0,0,,0.27,0.031,0.22,0.02%,0.27,13.00,18.40,6,1B
35,377,42,2025-05-11,CIN,@,HOU,L 0-6,CG,3,3,0,1,1,0,0,0,0,0,0,0,.188,.265,.293,.559,2,0,0,0,0,0,.333,0.32,0.013,0.28,0.01%,0.08,5.00,6.00,6,1B
