Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,13,25,2022-05-04,SEA,@,HOU,L 2-7,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,0.02,0.000,0.02,0.00%,-0.10,4,PH
2,14,28,2022-05-07,SEA,,TBR,L 2-8,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.01,0.000,0.01,0.00%,-0.14,5,LF
3,15,30,2022-05-09,SEA,,PHI,L 0-9,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,0.01,0.000,0.01,0.00%,-0.21,5,LF
,,,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants,Player went from Seattle Mariners to San Francisco Giants
4,16,41,2022-05-23,SFG,,NYM,L 3-13,GS-8,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.62,-0.032,0.62,-0.02%,-0.38,9,CF
5,17,43,2022-05-25,SFG,,NYM,W 9-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.06,-0.006,0.06,0.00%,-1.11,7,CF
6,18,46,2022-05-29,SFG,@,CIN,W 6-4,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,0,,,,,,,,,4,CF
7,19,47,2022-05-30,SFG,@,PHI,W 5-4 (10),9-GF(10),0,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,0,,,,,0.000,,0.00%,0.00,7,CF
8,20,48,2022-05-31,SFG,@,PHI,W 7-4 (11),GS-5,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,2.18,-0.123,2.10,-0.07%,-1.20,6,CF
,,,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds,Player went from San Francisco Giants to Cincinnati Reds
9,21,87,2022-07-12,CIN,@,NYY,W 4-3,9-9,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,0,,,,,,,,,5,PR
10,22,88,2022-07-13,CIN,@,NYY,L 6-7 (10),CG(10),4,3,1,2,0,0,1,1,0,0,1,1,.143,.200,.357,.557,5,0,0,0,0,0,1.000,0.94,0.121,0.02,0.00%,1.18,9,CF RF
11,23,89,2022-07-14,CIN,@,NYY,W 7-6 (10),GS-9,3,2,0,0,0,0,0,0,0,0,1,1,.125,.222,.313,.535,0,0,0,0,0,0,.000,1.12,0.003,0.02,0.00%,0.06,9,RF
12,24,91,2022-07-16,CIN,@,STL,L 3-11,CG,3,3,1,0,0,0,0,0,0,0,0,1,.105,.190,.263,.454,0,1,0,0,0,0,.000,0.54,-0.038,0.01,0.00%,0.10,9,LF
13,25,93,2022-07-23,CIN,,STL,L 3-6,GS-8,3,2,0,0,0,0,0,0,0,0,0,2,.095,.208,.238,.446,0,0,1,0,0,0,,0.87,0.000,0.01,0.00%,-0.10,8,CF RF
14,26,95,2022-07-25,CIN,,MIA,W 11-2,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.095,.208,.238,.446,0,,0,0,,,,,,,,,4,PR RF
15,27,97,2022-07-27,CIN,,MIA,W 5-3,CG,3,3,0,0,0,0,0,0,0,0,0,3,.083,.185,.208,.394,0,0,0,0,0,0,,0.48,-0.041,0.01,0.00%,-1.13,8,CF
16,28,98,2022-07-28,CIN,,MIA,L 6-7,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.080,.179,.200,.379,0,0,0,0,0,0,,1.25,-0.032,0.01,0.00%,-0.17,9,PH
17,29,121,2022-08-23,CIN,@,PHI,L 6-7,CG,4,4,0,0,0,0,0,0,0,0,0,3,.069,.156,.172,.329,0,0,0,0,0,0,.000,1.91,-0.244,0.00,0.00%,-1.96,7,LF
18,30,122,2022-08-24,CIN,@,PHI,L 5-7,GS-7,3,3,1,1,0,0,1,1,0,0,0,1,.094,.171,.281,.453,4,0,0,0,0,0,.000,0.62,0.080,0.00,0.00%,0.61,6,LF
19,31,124,2022-08-26,CIN,@,WSN,W 7-3,CG,4,3,0,0,0,0,0,0,0,1,0,1,.086,.179,.257,.437,0,0,1,0,0,0,.000,0.53,-0.019,0.00,0.00%,-1.18,7,LF
20,32,126,2022-08-28,CIN,@,WSN,L 2-3,GS-7,2,2,1,1,0,0,1,1,0,0,0,0,.108,.195,.351,.546,4,0,0,0,0,0,.000,0.65,0.087,0.00,0.00%,0.85,6,LF
21,33,127,2022-08-29,CIN,,STL,L 4-13,CG,4,4,1,2,0,0,1,1,0,0,0,0,.146,.222,.439,.661,5,0,0,0,0,0,.333,0.12,0.007,0.00,0.00%,0.84,7,LF
22,34,129,2022-08-31,CIN,,STL,L 3-5 (13),GS-10,4,3,0,2,0,0,0,0,0,1,1,0,.182,.265,.455,.720,2,0,0,0,0,0,.667,0.96,0.009,0.00,0.00%,0.18,6,CF LF
