Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,62,59,2021-06-06,SFG,,CHC,L 3-4,7-8,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.91,-0.049,2.35,-0.04%,-0.24,9,PH
2,63,60,2021-06-08,SFG,@,TEX,W 9-4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,0,,,,,,,,,6,2B
3,64,61,2021-06-09,SFG,@,TEX,L 3-4 (11),9-GF(11),0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,0,,,,,,,,,5,2B
4,65,79,2021-06-29,SFG,@,LAD,L 1-3,6-6,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.94,-0.025,1.40,-0.02%,-0.25,9,PH
5,66,81,2021-07-02,SFG,@,ARI,W 11-4,CG,5,5,1,3,1,0,1,5,0,0,0,0,.429,.429,1.000,1.429,7,0,0,0,0,0,.500,0.81,0.175,0.94,0.12%,4.78,8,2B
6,67,82,2021-07-03,SFG,@,ARI,W 6-5,CG,5,2,1,1,0,0,0,0,0,0,3,0,.444,.583,.889,1.472,1,0,0,0,0,0,.500,1.51,0.089,1.69,0.06%,0.94,2,3B
7,68,83,2021-07-04,SFG,@,ARI,W 5-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.308,.438,.615,1.053,0,0,0,0,0,0,.000,0.63,-0.045,0.65,-0.03%,-0.85,2,SS
8,69,84,2021-07-05,SFG,,STL,L 3-5,GS-9,4,4,0,0,0,0,0,0,0,0,0,2,.235,.350,.471,.821,0,0,0,0,0,0,.000,0.79,-0.082,0.84,-0.05%,-0.66,2,LF
9,70,85,2021-07-06,SFG,,STL,L 5-6,8-9,1,1,0,0,0,0,0,0,0,0,0,1,.222,.333,.444,.778,0,0,0,0,0,0,,3.49,-0.099,3.64,-0.06%,-0.32,4,PH
10,71,86,2021-07-07,SFG,,STL,W 5-2,8-9,1,1,0,0,0,0,0,0,0,0,0,0,.211,.318,.421,.739,0,0,0,0,0,0,.000,0.14,-0.004,0.16,0.00%,-0.30,4,PH
11,72,87,2021-07-09,SFG,,WSN,W 5-3,4-5,1,1,0,1,0,0,0,0,0,0,0,0,.250,.348,.450,.798,1,0,0,0,0,0,1.000,1.00,0.024,1.10,0.02%,0.21,9,PH
12,73,88,2021-07-10,SFG,,WSN,W 10-4,CG,5,5,1,4,0,0,0,3,0,0,0,0,.360,.429,.520,.949,4,0,0,0,0,0,.800,0.46,0.079,0.49,0.05%,2.45,8,SS LF
13,74,90,2021-07-16,SFG,@,STL,W 7-2,7-GF,2,2,1,0,0,0,0,0,0,0,0,0,.333,.400,.481,.881,0,0,0,0,0,0,.000,0.37,-0.017,0.38,-0.01%,-0.81,1,PH SS 3B
14,75,91,2021-07-17,SFG,@,STL,L 1-3,CG,4,3,0,1,0,0,0,0,0,0,1,1,.333,.412,.467,.878,1,0,0,0,0,1,.500,2.09,-0.038,1.92,-0.02%,-0.20,8,SS
15,76,92,2021-07-18,SFG,@,STL,L 1-2,7-7,1,1,0,0,0,0,0,0,0,0,0,1,.323,.400,.452,.852,0,0,0,0,0,0,,1.14,-0.028,1.15,-0.02%,-0.15,9,PH
16,77,93,2021-07-19,SFG,@,LAD,W 7-2,CG,4,4,1,2,1,0,0,2,0,0,0,0,.343,.410,.486,.896,3,0,0,0,0,0,.500,1.01,0.116,1.65,0.12%,1.71,8,SS
17,78,94,2021-07-20,SFG,@,LAD,L 6-8,CG,4,3,1,1,0,0,1,1,0,0,1,1,.342,.419,.553,.971,4,0,0,0,0,0,.000,0.70,0.095,1.07,0.09%,1.03,8,SS
18,79,95,2021-07-21,SFG,@,LAD,W 4-2,CG,4,3,0,1,0,0,0,0,0,0,1,1,.341,.426,.537,.962,1,1,0,0,0,0,.500,1.47,0.008,2.43,0.01%,0.60,6,SS
19,80,96,2021-07-22,SFG,@,LAD,W 5-3,CG,4,4,1,1,0,0,0,1,0,0,0,1,.333,.412,.511,.923,1,0,0,0,0,0,.333,2.47,-0.039,3.80,-0.04%,-0.11,8,SS
20,81,97,2021-07-23,SFG,,PIT,L 4-6,CG,4,4,0,2,0,0,0,0,0,0,0,2,.347,.418,.510,.928,2,0,0,0,0,0,1.000,0.97,0.058,0.89,0.03%,0.31,7,SS
21,82,98,2021-07-24,SFG,,PIT,L 2-10,CG,3,3,0,0,0,0,0,0,0,0,0,1,.327,.397,.481,.877,0,1,0,0,0,0,.000,1.09,-0.107,1.09,-0.06%,-1.28,7,SS
22,83,99,2021-07-25,SFG,,PIT,W 6-1,CG,4,4,2,2,0,0,1,1,1,0,0,2,.339,.403,.536,.939,5,0,0,0,0,0,1.000,0.55,-0.005,0.55,0.00%,1.12,7,SS
23,84,100,2021-07-27,SFG,,LAD,W 2-1,CG,3,2,0,1,0,0,0,0,0,0,0,0,.345,.415,.534,.950,1,0,1,0,0,0,.500,1.12,0.067,1.88,0.07%,0.54,8,SS
24,85,101,2021-07-28,SFG,,LAD,L 0-8,CG,3,3,0,0,0,0,0,0,0,0,0,1,.328,.397,.508,.905,0,0,0,0,0,0,.000,0.28,-0.021,0.43,-0.02%,-0.50,8,SS
25,86,102,2021-07-29,SFG,,LAD,W 5-0,GS-5,2,2,1,0,0,0,0,0,0,0,0,0,.317,.386,.492,.878,0,0,0,0,0,0,.000,0.89,-0.025,1.50,-0.03%,-0.22,7,LF
26,87,103,2021-07-30,SFG,,HOU,L 6-9,GS-8,3,2,1,1,0,0,0,0,0,0,1,0,.323,.397,.492,.890,1,0,0,0,0,0,.500,1.05,0.044,1.09,0.03%,0.29,8,LF
27,88,104,2021-07-31,SFG,,HOU,W 8-6,4-GF,3,3,0,2,0,0,0,0,0,0,0,0,.338,.408,.500,.908,2,0,0,0,0,0,.667,0.77,0.068,0.81,0.04%,0.49,4,3B
28,89,106,2021-08-02,SFG,@,ARI,W 11-8 (10),7-7,1,1,0,0,0,0,0,0,0,0,0,1,.333,.403,.493,.895,0,0,0,0,0,0,,0.62,-0.017,0.59,-0.01%,-0.37,6,PH
29,90,107,2021-08-03,SFG,@,ARI,L 1-3,GS-6,3,3,0,0,0,0,0,0,0,0,0,1,.319,.388,.472,.860,0,0,0,0,0,0,.000,1.06,-0.116,1.00,-0.07%,-1.16,6,SS
30,91,108,2021-08-04,SFG,@,ARI,W 7-1,CG,4,3,0,0,0,0,0,0,0,0,1,0,.307,.381,.453,.834,0,0,0,0,0,0,.000,0.64,0.000,0.60,0.00%,-0.25,8,3B RF
31,92,111,2021-08-07,SFG,@,MIL,W 9-6 (11),10-GF(11),1,1,1,0,0,0,0,0,0,0,0,0,.303,.376,.447,.824,0,0,0,0,0,0,.000,3.94,-0.018,3.45,-0.01%,-0.18,9,PR 2B
32,93,114,2021-08-11,SFG,,ARI,W 7-2,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.303,.376,.447,.824,0,,0,0,,,,,,,,,9,2B
33,94,116,2021-08-13,SFG,,COL,W 5-4,CG,4,4,0,1,0,0,0,1,0,0,0,1,.300,.371,.438,.808,1,0,0,0,0,0,.333,0.45,0.037,0.30,0.02%,0.37,8,SS
34,95,127,2021-08-26,SFG,@,NYM,W 3-2,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.296,.367,.432,.799,0,0,0,0,0,0,.000,1.49,-0.054,1.27,-0.03%,-0.77,2,PH 2B
35,96,128,2021-08-27,SFG,@,ATL,L 5-6,CG,4,4,1,1,0,0,0,0,0,0,0,1,.294,.362,.424,.785,1,0,0,0,0,0,.333,1.24,-0.056,1.12,-0.03%,-0.04,7,SS
36,97,129,2021-08-28,SFG,@,ATL,W 5-0,8-8,1,1,0,0,0,0,0,0,0,0,0,0,.291,.358,.419,.776,0,0,0,0,0,0,.000,0.19,-0.005,0.17,0.00%,-0.62,9,PH
37,98,133,2021-09-01,SFG,,MIL,L 2-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.278,.343,.400,.743,0,0,0,0,0,0,.000,2.49,-0.246,2.92,-0.17%,-1.44,8,2B
38,99,134,2021-09-02,SFG,,MIL,W 5-1,CG,4,4,1,1,0,0,1,3,0,0,0,0,.277,.340,.426,.765,4,0,0,0,0,0,.000,1.05,0.032,1.27,0.02%,1.80,5,2B
39,100,135,2021-09-03,SFG,,LAD,W 3-2 (11),CG(11),5,5,0,1,1,0,0,0,0,0,0,1,.273,.333,.424,.758,2,0,0,0,0,0,.250,1.22,-0.001,2.83,0.00%,-0.53,7,2B
40,101,136,2021-09-04,SFG,,LAD,L 1-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,.262,.321,.408,.729,0,0,0,0,0,0,.000,1.02,-0.092,2.41,-0.13%,-0.97,7,2B
41,102,137,2021-09-05,SFG,,LAD,W 6-4,6-GF,2,2,0,0,0,0,0,0,0,0,0,0,.257,.316,.400,.716,0,0,0,0,0,0,.000,0.24,-0.014,0.62,-0.02%,-0.91,1,PH 2B
42,103,138,2021-09-06,SFG,@,COL,W 10-5,CG,5,5,2,3,0,0,2,3,0,0,0,0,.273,.328,.464,.791,9,0,0,0,0,0,.333,0.51,0.178,0.64,0.14%,2.08,6,2B
43,104,139,2021-09-07,SFG,@,COL,W 12-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.273,.328,.464,.791,0,,0,0,,,,,,,,,5,SS
