Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,15,12,2022-04-19,CIN,@,SDP,L 2-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.65,-0.065,0.40,-0.02%,-0.77,1,CF
2,16,13,2022-04-20,CIN,@,SDP,L 0-6,7-GF,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.44,-0.022,0.25,-0.01%,-0.32,6,PH RF
3,17,14,2022-04-22,CIN,,STL,L 2-4,6-GF,2,1,0,0,0,0,0,0,0,0,1,0,.000,.125,.000,.125,0,0,0,0,0,0,.000,1.11,0.026,0.61,0.01%,0.15,6,PH RF
4,18,23,2022-05-03,CIN,@,MIL,L 3-6,GS-7,2,2,0,0,0,0,0,0,0,0,0,2,.000,.100,.000,.100,0,0,0,0,0,0,,0.53,-0.026,0.13,0.00%,-0.26,9,RF
5,19,24,2022-05-04,CIN,@,MIL,L 4-18,CG,5,5,1,1,0,1,0,0,0,0,0,2,.071,.133,.214,.348,3,0,0,0,0,0,.333,0.48,-0.011,0.10,0.00%,-0.53,1,CF
6,20,25,2022-05-05,CIN,@,MIL,L 5-10,GS-9,4,4,1,1,0,0,0,0,0,0,0,1,.111,.158,.222,.380,1,0,0,0,0,0,.333,0.85,0.075,0.16,0.01%,1.01,1,RF
7,21,26,2022-05-07 (1),CIN,,PIT,W 9-2,CG,4,2,0,1,0,0,0,1,0,0,1,1,.150,.217,.250,.467,1,0,0,0,1,0,.500,0.97,0.112,0.12,0.01%,0.70,8,LF
8,22,27,2022-05-07 (2),CIN,,PIT,L 5-8,CG,4,4,1,1,0,0,0,0,0,0,0,0,.167,.222,.250,.472,1,0,0,0,0,0,.250,1.21,-0.090,0.19,-0.01%,-0.64,7,CF
9,23,28,2022-05-08,CIN,,PIT,W 7-3,CG,5,5,0,1,0,0,0,0,0,0,0,1,.172,.219,.241,.460,1,0,0,0,0,0,.250,0.69,-0.036,0.09,0.00%,-0.70,1,RF LF
10,24,29,2022-05-09,CIN,,MIL,W 10-5,CG,5,5,1,1,1,0,0,1,0,0,0,1,.176,.216,.265,.481,2,0,0,0,0,0,.250,1.22,0.142,0.22,0.02%,0.67,1,RF
11,25,30,2022-05-10,CIN,,MIL,L 4-5,GS-9,4,3,0,0,0,0,0,0,0,0,0,0,.162,.220,.243,.463,0,0,1,0,0,0,.000,1.09,-0.107,0.21,-0.01%,-1.13,1,CF
12,26,31,2022-05-11,CIN,,MIL,W 14-11,CG,5,4,3,3,0,0,0,0,1,0,1,0,.220,.283,.293,.575,3,0,0,0,0,0,.750,0.36,0.039,0.06,0.00%,0.71,1,CF
13,27,32,2022-05-12,CIN,@,PIT,W 4-0,CG,5,5,0,0,0,0,0,0,1,0,0,0,.196,.255,.261,.516,0,0,0,0,0,0,.000,0.89,-0.088,0.15,-0.01%,-1.35,1,CF
14,28,33,2022-05-13,CIN,@,PIT,W 8-2,CG,5,3,2,1,1,0,0,1,1,0,1,0,.204,.268,.286,.554,2,0,0,0,1,0,.250,1.11,-0.016,0.23,0.00%,0.30,1,RF
15,29,34,2022-05-14,CIN,@,PIT,L 1-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.189,.250,.264,.514,0,0,0,0,0,0,.000,1.02,-0.106,0.24,-0.02%,-0.94,1,RF
16,30,35,2022-05-15,CIN,@,PIT,L 0-1,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.185,.246,.259,.505,0,0,0,0,0,0,.000,1.39,-0.036,0.32,-0.01%,-0.10,5,PH
17,31,36,2022-05-17,CIN,@,CLE,W 5-4 (10),CG(10),5,4,1,0,0,0,0,0,1,0,1,1,.172,.242,.241,.484,0,1,0,0,0,0,.000,1.64,-0.074,0.27,-0.01%,-0.57,1,CF
18,32,37,2022-05-19,CIN,@,CLE,W 4-2,CG,4,3,0,0,0,0,0,1,0,0,0,0,.164,.229,.230,.458,0,0,0,0,1,0,.000,0.78,-0.035,0.14,0.00%,-0.28,1,RF
19,33,38,2022-05-20,CIN,@,TOR,L 1-2,GS-7,2,2,0,1,1,0,0,0,0,0,0,0,.175,.236,.254,.490,2,0,0,0,0,0,.500,0.64,0.014,0.14,0.00%,0.06,9,CF
20,34,39,2022-05-21,CIN,@,TOR,L 1-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,.179,.237,.254,.491,1,0,0,0,0,0,.250,1.06,-0.034,0.20,0.00%,-0.22,1,CF
21,35,56,2022-06-08,CIN,,ARI,L 0-7,CG,4,4,0,0,0,0,0,0,0,0,0,1,.169,.225,.239,.464,0,0,0,0,0,0,.000,0.52,-0.054,0.09,-0.01%,-0.91,1,CF
22,36,57,2022-06-09,CIN,,ARI,L 4-5,CG,5,5,1,3,0,0,0,0,1,0,0,0,.197,.247,.263,.510,3,0,0,0,0,0,.600,0.69,0.004,0.09,0.00%,0.66,1,CF RF
23,37,58,2022-06-10,CIN,@,STL,L 0-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.188,.236,.250,.486,0,0,0,0,0,0,.000,1.26,-0.121,0.16,-0.01%,-0.95,1,CF
24,38,60,2022-06-12,CIN,@,STL,W 7-6,CG,4,4,1,2,0,1,0,2,0,0,0,0,.202,.247,.286,.533,4,1,0,0,0,0,.500,1.37,0.157,0.12,0.01%,0.63,7,RF LF
25,39,61,2022-06-13,CIN,@,ARI,W 5-4,9-9,1,1,0,0,0,0,0,0,0,0,0,0,.200,.245,.282,.527,0,0,0,0,0,0,.000,0.98,-0.023,0.10,0.00%,-0.36,9,PH
26,40,62,2022-06-14,CIN,@,ARI,W 5-3 (12),10-10,1,1,0,1,1,0,0,1,0,0,0,0,.209,.253,.302,.555,2,0,0,0,0,0,1.000,4.08,0.242,0.50,0.02%,1.00,9,PH
27,41,63,2022-06-15,CIN,@,ARI,L 4-7,CG,4,3,1,0,0,0,0,0,0,0,0,1,.202,.253,.292,.545,0,0,1,0,0,0,.000,0.57,-0.022,0.07,0.00%,-0.17,8,RF
28,42,64,2022-06-17,CIN,,MIL,L 4-5,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.202,.253,.292,.545,0,,0,0,,,,,,,,,4,PR DH
29,43,65,2022-06-18,CIN,,MIL,L 3-7,6-7,1,1,0,0,0,0,0,0,0,0,0,0,.200,.250,.289,.539,0,0,0,0,0,0,.000,1.94,-0.051,0.20,0.00%,-0.45,9,PH
30,44,115,2022-08-16,CIN,,PHI,L 4-11,CG,4,4,1,2,0,0,0,1,0,0,0,0,.213,.260,.298,.557,2,0,0,0,0,0,.500,0.58,0.012,0.00,0.00%,1.18,7,LF
31,45,116,2022-08-17,CIN,,PHI,W 1-0,8-GF,1,1,0,1,0,0,0,0,0,0,0,0,.221,.267,.305,.572,1,0,0,0,0,0,1.000,1.82,0.063,0.00,0.00%,0.39,9,PH LF
