Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1006,26,2024-04-26,CHW,,TBR,W 9-4,CG,5,5,1,2,0,0,0,0,0,0,0,0,.400,.400,.400,.800,2,0,0,0,0,0,.400,0.62,0.080,0.07,0.01%,1.26,8.00,9.20,2,CF
2,1007,27,2024-04-27,CHW,,TBR,W 8-7 (10),CG(10),5,5,1,2,0,0,0,0,0,0,0,1,.400,.400,.400,.800,2,0,0,0,0,0,.500,1.67,-0.008,0.24,0.00%,0.29,8.00,9.20,2,CF
3,1008,28,2024-04-28,CHW,,TBR,W 4-2,CG,4,4,1,1,0,0,0,0,0,0,0,1,.357,.357,.357,.714,1,0,0,0,0,0,.333,0.94,-0.086,0.15,-0.01%,-0.58,5.00,6.20,2,CF RF
4,1009,29,2024-04-29,CHW,,MIN,L 2-3,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.333,.333,.333,.667,0,0,0,0,0,0,.000,4.62,-0.108,0.89,-0.01%,-0.29,0.00,0.00,7,PH
5,1010,30,2024-04-30,CHW,,MIN,L 5-6,CG,5,5,1,2,1,0,0,0,0,0,0,0,.350,.350,.400,.750,3,0,0,0,0,0,.400,1.68,0.186,0.26,0.02%,0.93,10.00,12.20,2,CF
6,1011,31,2024-05-01,CHW,,MIN,L 5-10,CG,4,4,2,2,1,0,1,2,0,0,0,0,.375,.375,.583,.958,6,0,0,0,0,0,.333,1.06,0.135,0.14,0.01%,1.53,23.00,31.40,2,CF
7,1012,32,2024-05-03,CHW,@,STL,L 0-3,CG,4,3,0,0,0,0,0,0,0,0,1,0,.333,.357,.519,.876,0,0,0,0,0,0,.000,0.87,-0.046,0.08,0.00%,-0.52,2.00,3.00,2,CF
8,1013,33,2024-05-04,CHW,@,STL,W 6-5 (10),CG(10),5,4,1,1,0,0,0,1,0,0,1,0,.323,.364,.484,.848,1,0,0,0,0,0,.250,1.85,0.160,0.15,0.01%,0.75,9.00,12.70,2,CF RF
9,1014,34,2024-05-05,CHW,@,STL,W 5-1,CG,4,4,0,0,0,0,0,0,0,0,0,3,.286,.324,.429,.753,0,0,0,0,0,0,.000,0.94,-0.110,0.08,-0.01%,-1.33,0.00,0.00,2,CF RF
10,1015,35,2024-05-06,CHW,@,TBR,L 2-8,CG,4,4,1,1,0,0,1,2,0,0,0,2,.282,.317,.487,.804,4,0,0,0,0,0,.000,1.15,0.067,0.13,0.01%,0.79,16.00,22.20,2,CF
