Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,70,1,2020-07-24,SDP,,ARI,W 7-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,1,0,0,0,0,0,.250,0.83,-0.082,0.97,-0.06%,-0.65,7,DH
2,71,2,2020-07-25,SDP,,ARI,W 5-1,CG,4,4,1,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,.333,0.95,0.013,1.14,0.01%,-0.67,5,1B
3,72,5,2020-07-28,SDP,@,SFG,W 5-3,5-GF,2,2,0,1,0,0,0,0,0,0,0,0,.300,.300,.300,.600,1,0,0,0,0,0,.500,0.42,0.011,0.50,0.01%,0.14,9,PH DH
4,73,7,2020-07-30,SDP,@,SFG,W 12-7 (10),CG(10),5,5,2,2,1,0,0,1,0,0,0,1,.333,.333,.400,.733,3,0,0,0,0,0,.500,0.80,0.061,0.98,0.05%,0.52,7,1B
5,74,9,2020-08-01,SDP,@,COL,L 1-6,GS-8,2,2,0,0,0,0,0,0,0,0,0,0,.294,.294,.353,.647,0,0,0,0,0,0,.000,0.33,-0.018,0.38,-0.01%,-0.27,7,1B
6,75,10,2020-08-02,SDP,@,COL,L 6-9,8-GF,2,2,0,0,0,0,0,1,0,0,0,0,.263,.263,.316,.579,0,0,0,0,0,0,.000,0.47,-0.026,0.56,-0.02%,-0.49,9,PH 1B
7,76,13,2020-08-05,SDP,,LAD,L 6-7,6-7,1,1,0,0,0,0,0,0,0,0,0,1,.250,.250,.300,.550,0,0,0,0,0,0,,1.29,-0.036,1.61,-0.03%,-0.37,8,PH
8,77,16,2020-08-09,SDP,,ARI,W 9-5,CG,5,4,2,1,0,0,1,1,0,0,1,2,.250,.280,.417,.697,4,0,0,0,0,0,.000,0.10,0.026,0.13,0.02%,0.33,4,1B
9,78,19,2020-08-12,SDP,@,LAD,L 0-6,9-GF,1,0,0,0,0,0,0,0,0,0,1,0,.250,.308,.417,.724,0,0,0,0,0,0,,0.24,0.008,0.30,0.01%,0.62,5,PH
10,79,24,2020-08-17,SDP,@,TEX,W 14-4,CG,5,4,1,1,0,0,0,0,0,0,1,0,.250,.323,.393,.715,1,0,0,0,0,0,.250,0.40,0.045,0.50,0.03%,0.08,5,DH
