Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,9,1,2021-04-01,CIN,,STL,L 6-11,5-GF,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,1,0,0,0,0,0,.333,0.39,0.012,0.43,0.01%,-0.05,9,C
2,10,3,2021-04-04,CIN,,STL,W 12-1,CG,4,4,3,3,0,0,0,1,0,0,0,1,.571,.571,.571,1.143,3,0,0,0,0,0,1.000,0.69,0.047,0.72,0.03%,1.31,8,C
3,11,6,2021-04-07,CIN,,PIT,W 11-4,CG,4,4,1,1,0,0,1,1,0,0,0,0,.455,.455,.727,1.182,4,0,0,0,0,0,.000,0.09,-0.009,0.11,-0.01%,0.36,8,C
4,12,7,2021-04-09,CIN,@,ARI,W 6-5 (10),10-10,1,1,0,0,0,0,0,0,0,0,0,1,.417,.417,.667,1.083,0,0,0,0,0,0,,6.33,-0.171,6.90,-0.11%,-0.69,7,PH
5,13,9,2021-04-11,CIN,@,ARI,L 0-7,CG,3,2,0,0,0,0,0,0,0,0,1,1,.357,.400,.571,.971,0,0,0,0,0,0,.000,0.35,-0.014,0.39,-0.01%,0.29,8,C
6,14,11,2021-04-13,CIN,@,SFG,L 6-7,7-GF,2,2,0,0,0,0,0,0,0,0,0,1,.313,.353,.500,.853,0,1,0,0,0,0,.000,2.61,-0.206,2.96,-0.14%,-1.01,9,PH C
7,15,12,2021-04-14,CIN,@,SFG,L 0-3,CG,3,3,0,1,0,0,0,0,0,0,0,1,.316,.350,.474,.824,1,1,0,0,0,0,.500,1.49,-0.109,1.62,-0.07%,-0.56,8,C
8,16,13,2021-04-16,CIN,,CLE,W 10-3,CG,4,2,1,1,0,0,0,2,0,0,1,1,.333,.417,.476,.893,1,0,1,0,0,0,1.000,0.53,0.085,0.55,0.05%,2.42,8,C
9,17,14,2021-04-17,CIN,,CLE,W 3-2 (10),10-GF(10),1,1,0,1,0,0,0,1,0,0,0,0,.364,.440,.500,.940,1,0,0,0,0,0,1.000,4.99,0.171,5.34,0.11%,0.73,7,PH
10,18,17,2021-04-21,CIN,,ARI,L 5-8 (10),CG(10),4,4,2,2,1,0,0,0,0,0,0,2,.385,.448,.538,.987,3,0,0,0,0,0,1.000,1.11,-0.067,1.15,-0.04%,-0.30,8,C
11,19,18,2021-04-22,CIN,,ARI,L 11-14 (10),10-GF(10),1,1,1,0,0,0,0,0,0,0,0,0,.370,.433,.519,.952,0,0,0,0,0,0,.000,0.59,-0.014,0.60,-0.01%,-0.51,9,PH
12,20,19,2021-04-23,CIN,@,STL,L 4-5,GS-9,3,3,0,1,0,0,0,0,0,0,0,0,.367,.424,.500,.924,1,0,0,0,0,0,.333,0.61,-0.038,0.65,-0.03%,-0.42,8,C
13,21,22,2021-04-26,CIN,@,LAD,W 5-3 (10),GS-8,4,4,0,2,1,0,0,0,0,0,0,0,.382,.432,.529,.962,3,0,0,0,0,0,.500,0.73,-0.015,0.60,-0.01%,0.15,6,C
14,22,23,2021-04-27,CIN,@,LAD,W 6-5,5-5,1,1,0,0,0,0,0,1,0,0,0,0,.371,.421,.514,.935,0,0,0,0,0,0,.000,2.11,-0.009,1.87,-0.01%,-0.06,9,PH
15,23,24,2021-04-28,CIN,@,LAD,L 0-8,CG,4,4,0,1,0,0,0,0,0,0,0,2,.359,.405,.487,.892,1,0,0,0,0,0,.500,0.68,-0.070,0.64,-0.04%,-0.39,7,C
16,24,26,2021-05-01,CIN,,CHC,L 2-3,GS-9,4,4,0,2,0,0,0,0,0,0,0,1,.372,.413,.488,.901,2,0,0,0,0,0,.667,1.51,0.123,1.55,0.08%,0.31,7,C
17,25,27,2021-05-02,CIN,,CHC,W 13-12 (10),8-9,1,1,0,0,0,0,0,0,0,0,0,0,.364,.404,.477,.882,0,0,0,0,0,0,.000,2.48,-0.073,2.22,-0.04%,-0.38,6,PH
18,26,28,2021-05-04,CIN,,CHW,L 0-9,9-GF,1,0,0,0,0,0,0,0,0,0,1,0,.364,.417,.477,.894,0,0,0,0,0,0,,0.01,0.000,0.01,0.00%,0.40,3,1B
19,27,29,2021-05-05,CIN,,CHW,W 1-0 (10),GS-8,3,3,0,0,0,0,0,0,0,0,0,1,.340,.392,.447,.839,0,0,0,0,0,0,.000,1.28,-0.100,1.03,-0.05%,-0.84,6,C
20,28,31,2021-05-08,CIN,@,CLE,L 2-9,CG,4,4,0,1,0,0,0,0,0,0,0,0,.333,.382,.431,.813,1,0,0,0,0,0,.250,0.44,-0.002,0.43,0.00%,-0.45,7,C
21,29,33,2021-05-11,CIN,@,PIT,L 2-7,7-7,1,1,0,0,0,0,0,0,0,0,0,0,.327,.375,.423,.798,0,0,0,0,0,0,.000,0.71,-0.021,0.71,-0.01%,-0.23,9,PH
22,30,34,2021-05-12,CIN,@,PIT,W 5-1 (10),CG(10),5,5,0,0,0,0,0,0,0,0,0,1,.298,.344,.386,.730,0,0,0,0,0,0,.000,1.47,-0.134,1.44,-0.08%,-1.26,7,C
23,31,35,2021-05-13,CIN,@,COL,L 8-13,8-8,2,2,1,1,0,0,1,2,0,0,0,1,.305,.349,.441,.790,4,0,0,0,0,0,,0.30,-0.014,0.29,-0.01%,1.48,9,PH
24,32,36,2021-05-14,CIN,@,COL,L 6-9,8-GF,1,0,1,0,0,0,0,0,0,0,0,0,.305,.359,.441,.800,0,0,1,0,0,0,,0.33,0.015,0.32,0.01%,0.40,3,PH 1B
25,33,37,2021-05-15,CIN,@,COL,W 6-5 (12),10-10,1,1,0,0,0,0,0,0,0,0,0,0,.300,.354,.433,.787,0,1,0,0,0,0,.000,4.51,-0.233,4.21,-0.13%,-1.20,3,PH
26,34,38,2021-05-16,CIN,@,COL,W 7-6,CG,5,5,0,1,0,0,0,0,0,0,0,1,.292,.343,.415,.758,1,1,0,0,0,0,.250,1.29,-0.135,1.33,-0.08%,-1.91,5,C
27,35,39,2021-05-17,CIN,,SFG,L 3-6,7-GF,2,1,1,1,0,0,0,0,0,0,1,0,.303,.361,.424,.785,1,0,0,0,0,0,1.000,0.51,0.058,0.55,0.04%,0.63,9,PH C
28,36,40,2021-05-18,CIN,,SFG,L 2-4,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.299,.356,.418,.774,0,0,0,0,0,0,.000,0.64,-0.018,0.64,-0.01%,-0.12,9,PH
29,37,41,2021-05-19,CIN,,SFG,L 0-4,CG,4,4,0,1,0,0,0,0,0,0,0,3,.296,.351,.408,.759,1,0,0,0,0,0,1.000,1.20,-0.044,1.13,-0.03%,-1.07,4,1B
30,38,42,2021-05-20,CIN,,SFG,L 4-19,CG,4,4,0,1,1,0,0,0,0,0,0,0,.293,.346,.413,.759,2,1,0,0,0,0,.250,0.50,-0.102,0.45,-0.05%,-1.37,3,C
31,39,43,2021-05-21,CIN,,MIL,W 9-4,GS-8,4,2,1,0,0,0,0,0,0,0,2,1,.286,.353,.403,.756,0,0,0,0,0,0,.000,0.58,0.026,0.49,0.01%,0.57,3,1B
32,40,44,2021-05-22,CIN,,MIL,L 3-4,CG,4,4,0,2,1,0,0,1,0,0,0,1,.296,.360,.420,.779,3,1,0,0,0,0,.667,1.35,0.111,1.28,0.06%,0.79,3,C
33,41,45,2021-05-23,CIN,,MIL,L 4-9,CG,5,3,0,0,0,0,0,0,0,0,2,1,.286,.362,.405,.766,0,0,0,0,0,0,.000,0.77,0.077,0.65,0.04%,0.17,4,1B
34,42,46,2021-05-25,CIN,@,WSN,W 2-1,GS-6,3,3,0,0,0,0,0,0,0,0,0,2,.276,.351,.391,.741,0,0,0,0,0,0,.000,0.90,-0.072,0.67,-0.03%,-0.74,5,1B
35,43,47,2021-05-26,CIN,@,WSN,L 3-5,GS-6,3,3,0,0,0,0,0,0,0,0,0,0,.267,.340,.378,.718,0,0,0,0,0,0,.000,0.94,-0.072,0.78,-0.04%,-0.76,5,1B
36,44,48,2021-05-27,CIN,@,WSN,W 3-0 (7),CG(7),3,3,0,0,0,0,0,0,0,0,0,1,.258,.330,.366,.696,0,0,0,0,0,0,.000,0.95,-0.074,0.69,-0.03%,-1.11,4,C
37,45,49,2021-05-28,CIN,@,CHC,L 0-1,CG,4,3,0,1,1,0,0,0,0,0,1,0,.260,.336,.375,.711,2,1,0,0,0,0,.333,1.40,-0.136,1.25,-0.07%,-0.52,4,1B
38,46,50,2021-05-29,CIN,@,CHC,L 2-10,CG,4,4,0,1,1,0,0,2,0,0,0,0,.260,.333,.380,.713,2,0,0,0,0,0,.250,1.71,0.192,1.32,0.09%,0.91,5,C
39,47,51,2021-05-30,CIN,@,CHC,W 5-1,CG,5,4,2,0,0,0,0,0,0,0,1,0,.250,.328,.365,.693,0,0,0,0,0,0,.000,0.61,0.043,0.36,0.02%,0.12,4,1B
40,48,52,2021-05-31,CIN,,PHI,W 11-1,CG,5,4,2,1,0,0,0,0,0,0,1,0,.250,.331,.361,.692,1,0,0,0,0,0,.250,0.33,0.018,0.20,0.01%,-0.32,4,1B
41,49,53,2021-06-01,CIN,,PHI,L 3-17,CG,4,3,1,1,0,0,0,0,0,0,1,1,.252,.336,.360,.696,1,0,0,0,0,0,.500,0.80,0.006,0.55,0.00%,0.15,4,1B
42,50,54,2021-06-03,CIN,@,STL,W 4-2,GS-8,4,3,0,1,0,0,0,0,0,0,0,0,.254,.341,.360,.701,1,0,1,0,0,0,.333,1.05,0.012,0.76,0.01%,0.19,4,1B
43,51,55,2021-06-04,CIN,@,STL,W 6-4,CG,5,4,1,2,0,0,1,2,0,0,1,0,.263,.351,.390,.741,5,0,0,0,0,1,.333,0.60,0.087,0.48,0.04%,1.24,4,C
44,52,56,2021-06-05,CIN,@,STL,W 5-2,7-7,1,1,0,0,0,0,0,0,0,0,0,1,.261,.348,.387,.735,0,0,0,0,0,0,,1.07,-0.032,0.96,-0.02%,-0.57,4,PH
45,53,57,2021-06-06,CIN,@,STL,W 8-7,GS-9,5,3,1,1,0,0,0,0,0,0,2,0,.262,.357,.385,.742,1,0,0,0,0,0,.333,0.46,0.005,0.49,0.00%,0.29,4,1B
46,54,58,2021-06-08,CIN,,MIL,L 1-5,6-GF,2,1,0,0,0,0,0,0,0,0,1,1,.260,.359,.382,.741,0,0,0,0,0,0,,1.83,-0.010,2.06,-0.01%,-0.11,6,PH C
47,55,59,2021-06-09,CIN,,MIL,W 7-3,CG,4,4,0,2,2,0,0,3,0,0,0,1,.268,.363,.402,.765,4,0,0,0,0,0,.667,0.78,0.181,0.77,0.11%,2.77,4,C
48,56,60,2021-06-10,CIN,,MIL,L 2-7,7-8,1,1,0,0,0,0,0,0,0,0,0,1,.266,.361,.398,.759,0,0,0,0,0,0,,0.99,-0.025,0.99,-0.02%,-0.32,9,PH
49,57,61,2021-06-11,CIN,,COL,W 11-5,CG,5,3,2,1,0,0,1,1,0,0,2,0,.267,.368,.420,.788,4,0,0,0,0,0,.000,0.23,0.018,0.18,0.01%,2.04,4,C
50,58,64,2021-06-14,CIN,@,MIL,W 10-2,CG,5,3,2,1,1,0,0,0,0,0,2,0,.269,.376,.425,.801,2,0,0,0,0,0,.333,0.82,0.036,0.93,0.02%,0.72,4,C
51,59,65,2021-06-15,CIN,@,MIL,W 2-1 (10),CG(10),4,3,1,0,0,0,0,0,0,0,0,0,.263,.373,.416,.789,0,0,1,0,0,0,.000,1.63,-0.015,1.97,-0.01%,-0.13,4,C
52,60,67,2021-06-17,CIN,@,SDP,L 4-6,9-GF,1,1,1,1,0,0,0,1,0,0,0,0,.268,.377,.420,.797,1,0,0,0,0,0,1.000,4.55,0.308,5.85,0.24%,0.87,9,PH C
53,61,68,2021-06-18,CIN,@,SDP,L 2-8,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.266,.374,.417,.792,0,0,0,0,0,0,.000,0.01,0.000,0.01,0.00%,-0.31,9,PH
54,62,69,2021-06-19,CIN,@,SDP,L 5-7,CG,4,2,1,1,0,0,0,0,0,0,2,1,.270,.383,.418,.802,1,0,0,0,0,0,1.000,1.64,0.144,1.88,0.10%,1.45,6,C
55,63,70,2021-06-20,CIN,@,SDP,L 2-3,6-GF,2,2,1,1,1,0,0,0,0,0,0,0,.273,.385,.427,.811,2,0,0,0,0,0,.500,1.26,0.093,1.40,0.06%,0.88,3,PH C
56,64,71,2021-06-21,CIN,@,MIN,L 5-7 (12),CG(12),6,4,1,1,0,0,0,0,0,0,2,1,.272,.389,.422,.810,1,0,0,0,0,0,.333,2.09,-0.098,1.92,-0.05%,0.22,4,C
