Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,38,12,2021-04-14,MIL,,CHC,W 7-0,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,0.00,0.000,0.00,0.00%,-0.36,9,LF
2,39,13,2021-04-16,MIL,,PIT,L 1-6,5-GF,3,2,0,1,1,0,0,1,0,0,1,1,.333,.500,.667,1.167,2,0,0,0,0,0,1.000,0.83,0.051,0.98,0.04%,0.99,9,LF
3,40,15,2021-04-18,MIL,,PIT,L 5-6 (10),7-8,1,1,0,0,0,0,0,0,0,0,0,0,.250,.400,.500,.900,0,0,0,0,0,0,.000,1.55,-0.039,1.81,-0.03%,-0.24,9,PH
4,41,16,2021-04-19,MIL,@,SDP,W 3-1,8-GF,1,1,1,1,0,0,1,1,0,0,0,0,.400,.500,1.200,1.700,4,0,0,0,0,0,,0.86,0.117,0.88,0.07%,1.00,9,PH RF
5,42,17,2021-04-20,MIL,@,SDP,W 6-0,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.333,.429,1.000,1.429,0,0,0,0,0,0,,0.01,0.000,0.01,0.00%,-0.28,2,PH RF
6,43,18,2021-04-21,MIL,@,SDP,W 4-2,8-GF,1,1,0,1,0,0,0,0,1,0,0,0,.429,.500,1.000,1.500,1,0,0,0,0,0,1.000,0.48,0.022,0.54,0.02%,0.41,6,PH LF
7,44,19,2021-04-23,MIL,@,CHC,L 2-15,3-GF,3,2,0,1,1,0,0,0,0,0,0,1,.444,.545,1.000,1.545,2,0,1,0,0,0,1.000,0.04,0.004,0.05,0.00%,0.64,3,RF
8,45,20,2021-04-24,MIL,@,CHC,W 4-3,GS-5,3,2,0,0,0,0,0,1,0,0,0,1,.364,.500,.818,1.318,0,0,1,0,0,0,.000,2.35,0.102,2.92,0.08%,0.67,3,RF
9,46,21,2021-04-25,MIL,@,CHC,W 6-0,9-GF,1,0,0,0,0,0,0,1,0,0,1,0,.364,.533,.818,1.352,0,0,0,0,0,0,,0.07,0.002,0.09,0.00%,1.00,5,PH LF
10,47,22,2021-04-26,MIL,,MIA,L 0-8,CG,4,4,0,2,0,0,0,0,0,0,0,0,.400,.526,.733,1.260,2,0,0,0,0,0,.500,0.77,0.009,0.94,0.01%,0.11,2,CF
11,48,23,2021-04-27,MIL,,MIA,W 5-4,CG,4,4,1,3,0,0,1,3,0,0,0,0,.474,.565,.895,1.460,6,0,0,0,0,0,.667,1.08,0.222,1.28,0.16%,1.72,1,LF
12,49,24,2021-04-28,MIL,,MIA,L 2-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,.391,.481,.739,1.221,0,0,0,0,0,0,.000,0.57,-0.060,0.69,-0.04%,-0.83,5,RF
13,50,25,2021-04-29,MIL,,LAD,W 2-1,CG,3,3,0,0,0,0,0,0,0,0,0,2,.346,.433,.654,1.087,0,0,0,0,0,0,.000,0.35,-0.027,0.41,-0.02%,-0.37,6,LF
14,51,26,2021-04-30,MIL,,LAD,W 3-1,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.346,.433,.654,1.087,0,,0,0,,,,,,,,,9,LF
