Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,102,2022-08-01,CLE,,ARI,W 6-5 (11),9-GF(11),1,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,3.78,-0.104,3.66,-0.06%,-0.31,7,RF
2,2,103,2022-08-02,CLE,,ARI,L 3-6,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,0.45,-0.012,0.44,-0.01%,-0.15,8,PH
3,3,104,2022-08-03,CLE,,ARI,W 7-4,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,0,,,,,,,,,5,RF
4,4,105,2022-08-04,CLE,,HOU,L 0-6,CG,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.48,-0.038,0.48,-0.02%,-0.58,7,CF
5,5,106,2022-08-05,CLE,,HOU,L 3-9,5-GF,3,2,0,0,0,0,0,0,0,0,1,2,.000,.125,.000,.125,0,0,0,0,0,0,,0.38,0.017,0.37,0.01%,-0.20,1,LF
6,6,107,2022-08-06,CLE,,HOU,W 4-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.083,.000,.083,0,1,0,0,0,0,.000,0.39,-0.070,0.36,-0.04%,-0.89,7,LF
7,7,110,2022-08-10,CLE,@,DET,W 3-2,GS-9,3,3,1,1,0,0,0,1,0,0,0,2,.071,.133,.071,.205,1,0,0,0,0,0,1.000,1.04,0.014,1.05,0.01%,-0.03,7,DH
8,8,112,2022-08-12,CLE,@,TOR,W 8-0,CG,5,5,2,1,0,0,0,0,0,0,0,1,.105,.150,.105,.255,1,0,0,0,0,0,.250,0.35,0.032,0.37,0.02%,-1.08,9,CF
9,9,113,2022-08-13,CLE,@,TOR,L 1-2,9-GF,1,1,0,1,0,0,0,0,0,0,0,0,.150,.190,.150,.340,1,0,0,0,0,0,1.000,2.05,0.136,2.22,0.09%,0.41,8,PH
10,10,116,2022-08-15 (2),CLE,,DET,L 5-7,CG,4,2,1,0,0,0,0,0,0,0,1,0,.136,.240,.136,.376,0,0,1,0,0,0,.000,1.17,0.033,1.09,0.02%,0.26,7,CF
11,11,118,2022-08-17,CLE,,DET,W 8-4,8-9,0,0,1,0,0,0,0,0,0,0,0,0,.136,.240,.136,.376,0,,0,0,,,,,0.000,,0.00%,0.00,8,PR
12,12,120,2022-08-20,CLE,,CHW,L 0-2,CG,3,3,0,0,0,0,0,0,0,0,0,0,.120,.214,.120,.334,0,0,0,0,0,0,.000,1.38,-0.108,1.75,-0.08%,-0.80,7,RF
13,13,122,2022-08-24,CLE,@,SDP,W 7-0,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.115,.207,.115,.322,0,0,0,0,0,0,,0.00,0.000,0.00,0.00%,-0.28,4,PH RF
14,14,123,2022-08-25,CLE,@,SEA,L 1-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.103,.188,.103,.291,0,0,0,0,0,0,.000,1.28,-0.090,1.20,-0.05%,-0.64,9,CF
15,15,126,2022-08-28,CLE,@,SEA,L 0-4,8-GF,1,1,0,1,0,0,0,0,0,0,0,0,.133,.212,.133,.345,1,0,0,0,0,0,1.000,0.26,0.011,0.24,0.01%,0.20,9,PH CF
16,16,127,2022-08-30,CLE,,BAL,W 5-1,GS-7,3,3,1,1,0,0,0,0,0,0,0,1,.152,.222,.152,.374,1,0,0,0,0,0,.500,0.90,0.029,0.95,0.02%,-0.18,9,CF
17,17,128,2022-08-31,CLE,,BAL,L 0-4,GS-7,2,2,0,0,0,0,0,0,0,0,0,0,.143,.211,.143,.353,0,0,0,0,0,0,.000,1.16,-0.057,1.20,-0.04%,-0.44,9,CF
18,18,130,2022-09-02,CLE,,SEA,L 1-6,CG,4,3,0,1,0,0,0,0,0,0,1,1,.158,.238,.158,.396,1,0,0,0,0,0,.500,0.40,0.027,0.44,0.02%,0.79,9,CF
19,19,137,2022-09-10,CLE,@,MIN,W 6-4,CG,4,3,0,0,0,0,0,1,0,0,0,1,.146,.239,.146,.385,0,0,1,0,0,0,.000,0.61,0.039,0.91,0.04%,0.46,7,LF
20,20,142,2022-09-15,CLE,,CHW,L 2-8,CG,4,4,0,2,1,0,0,1,0,0,0,1,.178,.260,.200,.460,3,0,0,0,0,0,.667,0.52,0.086,0.56,0.06%,1.01,7,LF
21,21,143,2022-09-16,CLE,,MIN,W 4-3,GS-7,2,2,0,0,0,0,0,0,0,0,0,1,.170,.250,.191,.441,0,0,0,0,0,0,.000,0.70,-0.035,0.85,-0.03%,-0.32,7,DH
22,22,145,2022-09-17 (2),CLE,,MIN,W 7-6 (15),GS-6,2,2,0,1,0,0,0,0,0,0,0,0,.184,.259,.204,.463,1,0,0,0,0,0,.500,0.79,0.013,0.49,0.01%,0.15,7,CF
23,23,146,2022-09-18,CLE,,MIN,L 0-3,8-9,1,1,0,0,0,0,0,0,0,0,0,1,.180,.255,.200,.455,0,0,0,0,0,0,,1.80,-0.044,0.92,-0.01%,-0.15,8,PH
24,24,148,2022-09-20,CLE,@,CHW,W 10-7 (11),7-7,0,0,1,0,0,0,0,0,0,0,0,0,.180,.255,.200,.455,0,,0,0,,,,,0.000,,0.00%,0.00,8,PR
25,25,154,2022-09-27,CLE,,TBR,L 5-6 (11),8-9,1,1,0,0,0,0,0,0,0,0,0,0,.176,.250,.196,.446,0,0,0,0,0,0,.000,3.54,-0.084,0.06,0.00%,-0.30,8,PH
26,26,158,2022-10-01,CLE,,KCR,L 1-7,7-GF,1,1,0,1,0,0,0,0,0,0,0,0,.192,.263,.212,.475,1,0,0,0,0,0,1.000,0.03,0.001,0.00,0.00%,0.12,4,RF
27,27,159,2022-10-02,CLE,,KCR,W 7-5,CG,4,3,0,0,0,0,0,0,0,0,0,2,.182,.250,.200,.450,0,0,0,1,0,0,.000,0.57,-0.016,0.01,0.00%,-1.19,8,CF
28,28,162,2022-10-05,CLE,,KCR,W 9-2,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.182,.250,.200,.450,0,,0,0,,,,,,,,,6,RF
,,,,,,,14-14,,61,55,8,10,1,0,0,3,0,0,3,19,.182,.250,.200,.450,11,1,2,1,0,0,.278,0.82,-0.220,0.82,-0.05%,-4.13,,
